variable,series,time_h,value,units,pixel_x,pixel_y,digitization_time_3px_h,digitization_value_3px
LWP,model_ensemble_mean,0.1997,62.21154,g m-2,173,67.0,0.0154,0.57692
LWP,model_ensemble_mean,0.3022,60.0,g m-2,193,78.5,0.0154,0.57692
LWP,model_ensemble_mean,0.3995,53.65385,g m-2,212,111.5,0.0154,0.57692
LWP,model_ensemble_mean,0.5019,46.63462,g m-2,232,148.0,0.0154,0.57692
LWP,model_ensemble_mean,0.5992,42.21154,g m-2,251,171.0,0.0154,0.57692
LWP,model_ensemble_mean,0.7017,40.57692,g m-2,271,179.5,0.0154,0.57692
LWP,model_ensemble_mean,0.799,39.51923,g m-2,290,185.0,0.0154,0.57692
LWP,model_ensemble_mean,0.9014,38.46154,g m-2,310,190.5,0.0154,0.57692
LWP,model_ensemble_mean,0.9987,37.11538,g m-2,329,197.5,0.0154,0.57692
LWP,model_ensemble_mean,1.1012,36.25,g m-2,349,202.0,0.0154,0.57692
LWP,model_ensemble_mean,1.1985,35.67308,g m-2,368,205.0,0.0154,0.57692
LWP,model_ensemble_mean,1.3009,35.09615,g m-2,388,208.0,0.0154,0.57692
LWP,model_ensemble_mean,1.3982,35.0,g m-2,407,208.5,0.0154,0.57692
LWP,model_ensemble_mean,1.5006,35.28846,g m-2,427,207.0,0.0154,0.57692
LWP,model_ensemble_mean,1.598,35.48077,g m-2,446,206.0,0.0154,0.57692
LWP,model_ensemble_mean,1.7004,35.76923,g m-2,466,204.5,0.0154,0.57692
LWP,model_ensemble_mean,1.7977,35.96154,g m-2,485,203.5,0.0154,0.57692
LWP,model_ensemble_mean,1.9001,36.25,g m-2,505,202.0,0.0154,0.57692
LWP,model_ensemble_mean,2.0026,35.86538,g m-2,525,204.0,0.0154,0.57692
LWP,model_ensemble_mean,2.0999,35.67308,g m-2,544,205.0,0.0154,0.57692
LWP,model_ensemble_mean,2.2023,35.57692,g m-2,564,205.5,0.0154,0.57692
LWP,model_ensemble_mean,2.2996,35.67308,g m-2,583,205.0,0.0154,0.57692
LWP,model_ensemble_mean,2.402,35.67308,g m-2,603,205.0,0.0154,0.57692
LWP,model_ensemble_mean,2.4994,35.48077,g m-2,622,206.0,0.0154,0.57692
LWP,model_ensemble_mean,2.6018,35.28846,g m-2,642,207.0,0.0154,0.57692
LWP,model_ensemble_mean,2.6991,34.80769,g m-2,661,209.5,0.0154,0.57692
LWP,model_ensemble_mean,2.8015,34.61538,g m-2,681,210.5,0.0154,0.57692
LWP,model_ensemble_mean,2.8988,34.51923,g m-2,700,211.0,0.0154,0.57692
LWP,model_ensemble_mean,3.0013,34.23077,g m-2,720,212.5,0.0154,0.57692
