variable,instrument,point_id,height_m,value,units,pixel_x,pixel_y,digitization_x_3px,digitization_z_3px_m,method,figure,printed_page
variance,in_situ,1,94.2,0.3317,m2 s-2,1036,372,0.0037,9.3,manual_marker_center,5,1450
variance,in_situ,2,150.2,0.4146,m2 s-2,1104,354,0.0037,9.3,manual_marker_center,5,1450
variance,in_situ,3,480.2,0.4756,m2 s-2,1154,248,0.0037,9.3,manual_marker_center,5,1450
variance,in_situ,4,480.2,0.4976,m2 s-2,1172,248,0.0037,9.3,manual_marker_center,5,1450
variance,in_situ,5,617.1,0.5171,m2 s-2,1188,204,0.0037,9.3,manual_marker_center,5,1450
variance,in_situ,6,632.7,0.4427,m2 s-2,1127,199,0.0037,9.3,manual_marker_center,5,1450
variance,in_situ,7,751.0,0.3939,m2 s-2,1087,161,0.0037,9.3,manual_marker_center,5,1450
variance,in_situ,8,751.0,0.4037,m2 s-2,1095,161,0.0037,9.3,manual_marker_center,5,1450
third_moment,in_situ,1,94.2,0.0247,m3 s-3,1744,372,0.0017,9.3,manual_marker_center,5,1450
third_moment,in_situ,2,150.2,0.0371,m3 s-3,1766,354,0.0017,9.3,manual_marker_center,5,1450
third_moment,in_situ,3,480.2,-0.0163,m3 s-3,1671,248,0.0017,9.3,manual_marker_center,5,1450
third_moment,in_situ,4,480.2,-0.0067,m3 s-3,1688,248,0.0017,9.3,manual_marker_center,5,1450
third_moment,in_situ,5,617.1,-0.0433,m3 s-3,1623,204,0.0017,9.3,manual_marker_center,5,1450
third_moment,in_situ,6,632.7,-0.0815,m3 s-3,1555,199,0.0017,9.3,manual_marker_center,5,1450
third_moment,in_situ,7,747.9,-0.0365,m3 s-3,1635,162,0.0017,9.3,manual_marker_center,5,1450
third_moment,in_situ,8,747.9,-0.0169,m3 s-3,1670,162,0.0017,9.3,manual_marker_center,5,1450
variance,radar,1,835.0,0.0976,m2 s-2,844,134,0.0037,9.3,manual_marker_center,5,1450
variance,radar,2,822.6,0.1195,m2 s-2,862,138,0.0037,9.3,manual_marker_center,5,1450
variance,radar,3,807.0,0.1646,m2 s-2,899,143,0.0037,9.3,manual_marker_center,5,1450
variance,radar,4,791.4,0.211,m2 s-2,937,148,0.0037,9.3,manual_marker_center,5,1450
variance,radar,5,775.9,0.2561,m2 s-2,974,153,0.0037,9.3,manual_marker_center,5,1450
variance,radar,6,760.3,0.2902,m2 s-2,1002,158,0.0037,9.3,manual_marker_center,5,1450
variance,radar,7,744.7,0.3232,m2 s-2,1029,163,0.0037,9.3,manual_marker_center,5,1450
variance,radar,8,726.1,0.3476,m2 s-2,1049,169,0.0037,9.3,manual_marker_center,5,1450
variance,radar,9,710.5,0.378,m2 s-2,1074,174,0.0037,9.3,manual_marker_center,5,1450
variance,radar,10,698.1,0.4183,m2 s-2,1107,178,0.0037,9.3,manual_marker_center,5,1450
variance,radar,11,682.5,0.4561,m2 s-2,1138,183,0.0037,9.3,manual_marker_center,5,1450
