file,status,records,expected,actual
gabls_data/res_12.5m/MO/MO_A8_32.dat,parsed,48,192,192
gabls_data/res_12.5m/MO/MO_A9_32.dat,parsed,48,192,192
gabls_data/res_12.5m/MO/MO_B8_32.dat,parsed,48,336,336
gabls_data/res_12.5m/MO/MO_B9_32.dat,parsed,48,336,336
gabls_data/res_12.5m/MO/MO_C8_32.dat,parsed,48,528,528
gabls_data/res_12.5m/MO/MO_C9_32.dat,parsed,48,528,528
gabls_data/res_12.5m/MO/MO_D8_32.dat,parsed,48,336,336
gabls_data/res_12.5m/MO/MO_D9_32.dat,parsed,48,336,336
gabls_data/res_12.5m/MO/MO_E_32.dat,parsed,6481,38886,38886
gabls_data/res_12.5m/LLNL/LLNL_A8_32.dat,parsed,32,128,128
gabls_data/res_12.5m/LLNL/LLNL_A9_32.dat,parsed,32,128,128
gabls_data/res_12.5m/LLNL/LLNL_B8_32.dat,parsed,32,224,224
gabls_data/res_12.5m/LLNL/LLNL_B9_32.dat,parsed,32,224,224
gabls_data/res_12.5m/LLNL/LLNL_C8_32.dat,parsed,32,352,352
gabls_data/res_12.5m/LLNL/LLNL_C9_32.dat,parsed,32,352,352
gabls_data/res_12.5m/LLNL/LLNL_D8_32.dat,parsed,32,224,224
gabls_data/res_12.5m/LLNL/LLNL_D9_32.dat,parsed,32,224,224
gabls_data/res_12.5m/LLNL/LLNL_E_32.dat,parsed,927,5562,5562
gabls_data/res_12.5m/NERSC/NERSC_A8_32.dat,parsed,32,128,128
gabls_data/res_12.5m/NERSC/NERSC_A9_32.dat,parsed,32,128,128
gabls_data/res_12.5m/NERSC/NERSC_B8_32.dat,parsed,32,224,224
gabls_data/res_12.5m/NERSC/NERSC_B9_32.dat,parsed,32,224,224
gabls_data/res_12.5m/NERSC/NERSC_C8_32.dat,parsed,32,352,352
gabls_data/res_12.5m/NERSC/NERSC_C9_32.dat,parsed,32,352,352
gabls_data/res_12.5m/NERSC/NERSC_D8_32.dat,parsed,32,224,224
gabls_data/res_12.5m/NERSC/NERSC_D9_32.dat,parsed,32,224,224
gabls_data/res_12.5m/NERSC/NERSC_E_32.dat,parsed,534,3204,3204
gabls_data/res_12.5m/WVU/WVU_A8_32.dat,parsed,74,296,296
gabls_data/res_12.5m/WVU/WVU_A9_32.dat,parsed,74,296,296
gabls_data/res_12.5m/WVU/WVU_B8_32.dat,parsed,74,518,518
gabls_data/res_12.5m/WVU/WVU_B9_32.dat,parsed,74,518,518
gabls_data/res_12.5m/WVU/WVU_C8_32.dat,parsed,74,814,814
gabls_data/res_12.5m/WVU/WVU_C9_32.dat,parsed,74,814,814
gabls_data/res_12.5m/WVU/WVU_D8_32.dat,parsed,74,518,518
gabls_data/res_12.5m/WVU/WVU_D9_32.dat,parsed,74,518,518
gabls_data/res_12.5m/WVU/WVU_E_32.dat,parsed,540,3240,3240
gabls_data/res_12.5m/UIB/UIB_A8_32.dat,parsed,32,128,128
gabls_data/res_12.5m/UIB/UIB_A9_32.dat,parsed,32,128,128
gabls_data/res_12.5m/UIB/UIB_B8_32.dat,parsed,32,224,224
gabls_data/res_12.5m/UIB/UIB_B9_32.dat,parsed,32,224,224
gabls_data/res_12.5m/UIB/UIB_C8_32.dat,parsed,32,352,352
gabls_data/res_12.5m/UIB/UIB_C9_32.dat,parsed,32,352,352
gabls_data/res_12.5m/UIB/UIB_D8_32.dat,parsed,32,224,224
gabls_data/res_12.5m/UIB/UIB_D9_32.dat,parsed,32,224,224
gabls_data/res_12.5m/UIB/UIB_E_32.dat,parsed,540,3240,3240
gabls_data/res_12.5m/CSU/CSU_A8_32.dat,parsed,32,128,128
gabls_data/res_12.5m/CSU/CSU_A9_32.dat,parsed,32,128,128
gabls_data/res_12.5m/CSU/CSU_B8_32.dat,parsed,32,224,224
gabls_data/res_12.5m/CSU/CSU_B9_32.dat,parsed,32,224,224
gabls_data/res_12.5m/CSU/CSU_C8_32.dat,parsed,32,352,352
gabls_data/res_12.5m/CSU/CSU_C9_32.dat,parsed,32,352,352
gabls_data/res_12.5m/CSU/CSU_D8_32.dat,parsed,32,224,224
gabls_data/res_12.5m/CSU/CSU_D9_32.dat,parsed,32,224,224
gabls_data/res_12.5m/CSU/CSU_E_32.dat,parsed,108,648,648
gabls_data/res_12.5m/WU/WU_A8_32.dat,parsed,32,128,128
gabls_data/res_12.5m/WU/WU_A9_32.dat,parsed,32,128,128
gabls_data/res_12.5m/WU/WU_B8_32.dat,parsed,32,224,224
gabls_data/res_12.5m/WU/WU_B9_32.dat,parsed,32,224,224
gabls_data/res_12.5m/WU/WU_C8_32.dat,parsed,32,352,352
gabls_data/res_12.5m/WU/WU_C9_32.dat,parsed,32,352,352
gabls_data/res_12.5m/WU/WU_D8_32.dat,parsed,32,224,224
gabls_data/res_12.5m/WU/WU_D9_32.dat,parsed,32,224,224
gabls_data/res_12.5m/WU/WU_E_32.dat,parsed,973,5838,5838
gabls_data/res_6.25m/MO/MO_A8_64.dat,parsed,81,324,324
gabls_data/res_6.25m/MO/MO_A9_64.dat,parsed,81,324,324
gabls_data/res_6.25m/MO/MO_B8_64.dat,parsed,81,567,567
gabls_data/res_6.25m/MO/MO_B9_64.dat,parsed,81,567,567
gabls_data/res_6.25m/MO/MO_C8_64.dat,parsed,81,891,891
gabls_data/res_6.25m/MO/MO_C9_64.dat,parsed,81,891,891
gabls_data/res_6.25m/MO/MO_D8_64.dat,parsed,81,567,567
gabls_data/res_6.25m/MO/MO_D9_64.dat,parsed,81,567,567
gabls_data/res_6.25m/MO/MO_E_64.dat,parsed,6481,38886,38886
gabls_data/res_6.25m/CSU/CSU_A8_64.dat,parsed,64,256,256
gabls_data/res_6.25m/CSU/CSU_A9_64.dat,parsed,64,256,256
gabls_data/res_6.25m/CSU/CSU_B8_64.dat,parsed,64,448,448
gabls_data/res_6.25m/CSU/CSU_B9_64.dat,parsed,64,448,448
gabls_data/res_6.25m/CSU/CSU_C8_64.dat,parsed,64,704,704
gabls_data/res_6.25m/CSU/CSU_C9_64.dat,parsed,64,704,704
gabls_data/res_6.25m/CSU/CSU_D8_64.dat,parsed,64,448,448
gabls_data/res_6.25m/CSU/CSU_D9_64.dat,parsed,64,448,448
gabls_data/res_6.25m/CSU/CSU_E_64.dat,parsed,108,648,648
gabls_data/res_6.25m/IMUK/IMUK_A8_64.dat,parsed,66,264,264
gabls_data/res_6.25m/IMUK/IMUK_A9_64.dat,parsed,66,264,264
gabls_data/res_6.25m/IMUK/IMUK_B8_64.dat,parsed,66,462,462
gabls_data/res_6.25m/IMUK/IMUK_B9_64.dat,parsed,66,462,462
gabls_data/res_6.25m/IMUK/IMUK_C8_64.dat,parsed,66,726,726
gabls_data/res_6.25m/IMUK/IMUK_C9_64.dat,parsed,66,726,726
gabls_data/res_6.25m/IMUK/IMUK_D8_64.dat,parsed,66,462,462
gabls_data/res_6.25m/IMUK/IMUK_D9_64.dat,parsed,66,462,462
gabls_data/res_6.25m/IMUK/IMUK_E_64.dat,parsed,540,3240,3240
gabls_data/res_6.25m/LLNL/LLNL_A8_64.dat,parsed,64,256,256
gabls_data/res_6.25m/LLNL/LLNL_A9_64.dat,parsed,64,256,256
gabls_data/res_6.25m/LLNL/LLNL_B8_64.dat,parsed,64,448,448
gabls_data/res_6.25m/LLNL/LLNL_B9_64.dat,parsed,64,448,448
gabls_data/res_6.25m/LLNL/LLNL_C8_64.dat,parsed,64,704,704
gabls_data/res_6.25m/LLNL/LLNL_C9_64.dat,parsed,64,704,704
gabls_data/res_6.25m/LLNL/LLNL_D8_64.dat,parsed,64,448,448
gabls_data/res_6.25m/LLNL/LLNL_D9_64.dat,parsed,64,448,448
gabls_data/res_6.25m/LLNL/LLNL_E_64.dat,parsed,927,5562,5562
gabls_data/res_6.25m/NERSC/NERSC_A8_64.dat,parsed,64,256,256
gabls_data/res_6.25m/NERSC/NERSC_A9_64.dat,parsed,64,256,256
gabls_data/res_6.25m/NERSC/NERSC_B8_64.dat,parsed,64,448,448
gabls_data/res_6.25m/NERSC/NERSC_B9_64.dat,parsed,64,448,448
gabls_data/res_6.25m/NERSC/NERSC_C8_64.dat,parsed,64,704,704
gabls_data/res_6.25m/NERSC/NERSC_C9_64.dat,parsed,64,704,704
gabls_data/res_6.25m/NERSC/NERSC_D8_64.dat,parsed,64,448,448
gabls_data/res_6.25m/NERSC/NERSC_D9_64.dat,parsed,64,448,448
gabls_data/res_6.25m/NERSC/NERSC_E_64.dat,parsed,534,3204,3204
gabls_data/res_6.25m/WVU/WVU_A8_64.dat,parsed,58,232,232
gabls_data/res_6.25m/WVU/WVU_A9_64.dat,parsed,58,232,232
gabls_data/res_6.25m/WVU/WVU_B8_64.dat,parsed,58,406,406
gabls_data/res_6.25m/WVU/WVU_B9_64.dat,parsed,58,406,406
gabls_data/res_6.25m/WVU/WVU_C8_64.dat,parsed,58,638,638
gabls_data/res_6.25m/WVU/WVU_C9_64.dat,parsed,58,638,638
gabls_data/res_6.25m/WVU/WVU_D8_64.dat,parsed,58,406,406
gabls_data/res_6.25m/WVU/WVU_D9_64.dat,parsed,58,406,406
gabls_data/res_6.25m/WVU/WVU_E_64.dat,parsed,540,3240,3240
gabls_data/res_6.25m/UIB/UIB_A8_64.dat,parsed,64,256,256
gabls_data/res_6.25m/UIB/UIB_A9_64.dat,parsed,64,256,256
gabls_data/res_6.25m/UIB/UIB_B8_64.dat,parsed,64,448,448
gabls_data/res_6.25m/UIB/UIB_B9_64.dat,parsed,64,448,448
gabls_data/res_6.25m/UIB/UIB_C8_64.dat,parsed,64,704,704
gabls_data/res_6.25m/UIB/UIB_C9_64.dat,parsed,64,704,704
gabls_data/res_6.25m/UIB/UIB_D8_64.dat,parsed,64,448,448
gabls_data/res_6.25m/UIB/UIB_D9_64.dat,parsed,64,448,448
gabls_data/res_6.25m/UIB/UIB_E_64.dat,parsed,540,3240,3240
gabls_data/res_6.25m/CORA/CORA_A8_64.dat,parsed,64,256,256
