case_id,dx_m,boundary_layer_height_m,ustar_m_s,surface_heat_flux_W_m2,peak_final_hour_w2,minimum_theta_K,maximum_abs_w_m_s,delta_h_last_two_hours_m,w2_profile_last_hour_change_rms,theta_profile_last_hour_change_rms,delta_heat_flux_last_two_hours_W_m2,solver_wall_s,iterations,mean_jet_height_m,mean_jet_speed_m_s,h_final_hour_sample_std_m,max_resolved_momentum_flux_m2_s2,max_sgs_momentum_flux_m2_s2
n032_weno9_none,12.5,195.57706954000002,0.28063880869166663,-15.519527899999998,0.0927031599,262.786591,2.24570155,-3.706775076666588,0.0043787191261830385,0.14894660986186875,-0.7830959091666649,529.7,40114,170.9375,9.257692583416667,36.692808675853406,0.06877405267566805,0.0
n032_weno5_none,12.5,136.08397231666666,0.24245580779166664,-11.7873014135,0.057442707950000005,262.68631,2.4426589,-2.256008206666678,0.0037862176874838126,0.13246178245788315,0.6918174456666666,505.5,39025,143.33333333333334,9.204688390583332,22.73814782442521,0.050376571751428685,0.0
n032_weno9_smagorinsky,12.5,140.60545353333336,0.222999967775,-9.170730933166665,1.11987936e-6,263.114929,0.0893315822,0.09170133333336139,4.742023967554533e-8,0.10072876241944975,-0.4774772808333321,473.4,35312,131.25,9.271101030166667,0.24242250068423926,1.341884707009459e-7,0.04147551118719667
n064_weno9_none,6.25,187.82272100000003,0.2786699103833333,-15.239923045833333,0.09764581175,262.662506,3.26181316,-3.281272833333304,0.0015363499070677777,0.1543441732663644,-0.689057877499998,1050.0,80959,183.38541666666666,9.444188681666668,11.265771408079553,0.07045284389436796,0.0
n064_weno5_none,6.25,150.863827425,0.24814351612499996,-12.013727633333334,0.06557841225,262.583771,3.48129988,-10.891887911666657,0.0024825978350873075,0.13327223406919209,-0.9046980799999975,1029.6,79613,149.27083333333334,9.477292791750001,24.790887790918028,0.056158742295715505,0.0
n064_weno9_smagorinsky,6.25,149.7307216633333,0.23433619969166664,-10.162588017333333,0.0315022059,262.919037,1.61278689,-21.024754911666747,0.009863463491114896,0.12787761441103723,2.3898866734999995,1020.2,79350,155.9375,9.545658294333334,18.637098193671378,0.028774671366884084,0.03769325447056977
n128_weno9_none,3.125,184.352704375,0.2695470817666667,-13.555610718333336,0.1007880605,262.336792,3.35900736,-1.3139482583333404,0.0008261958809558287,0.15284915564001803,-0.35074292000000185,4156.8,162036,181.796875,9.518540438666665,6.5649716877692965,0.06889938038267353,0.0
n128_weno5_none,3.125,162.91771961666666,0.24504386498333336,-11.123777214999999,0.0695954226,262.450287,2.6949544,7.8883889750000264,0.0018880951023861473,0.13522170311563342,-0.3954174629999976,4058.5,160877,155.078125,9.4929885705,14.483832532198196,0.0570527444744312,0.0
n128_weno9_smagorinsky,3.125,188.11593100833335,0.2773344832833333,-13.37097854666667,0.08561940865,262.833801,2.2986176,3.8917650750000234,0.0011174596846020176,0.15031143314223705,-0.44524723000000144,4172.6,161379,182.109375,9.516474557166665,8.851513683703368,0.06266624307311913,0.042682743320918266
n200_weno9_none,2.0,178.49671910833337,0.260768680025,-11.872183653333332,0.0993014461,262.486938,3.76036859,3.295245891666724,0.0009193310517967024,0.1553931426972571,-0.4286928658333302,9396.4,253504,173.81666666666666,9.551448694833333,4.271834182398717,0.06591152570869503,0.0
n200_weno5_none,2.0,159.16626462500003,0.24006723576666666,-10.039201363166667,0.0690235384,262.451294,3.08455014,1.8180510333333757,0.0006766696877215192,0.14211786633357376,-0.18647067008333273,8387.3,252093,155.6,9.554278866333334,6.210050953844658,0.05585996618713761,0.0
n200_weno9_smagorinsky,2.0,188.91193580833334,0.2741729522833333,-12.222944968333335,0.09297961745,262.790192,2.68595219,3.3088423666667097,0.0013782732407919436,0.15924290995134177,-0.0351947116666711,10660.3,252948,182.05,9.526772904249999,4.6344711114772545,0.0649904061276488,0.041459869348159276
n400_weno5_none,1.0,159.44508560000003,0.22929837312500004,-7.474515748333333,0.06807210294999999,262.385956,3.15160561,4.7091684000000384,0.0006817870216537479,0.1597168635245584,-0.18446643749999936,71341.1,506162,152.14166666666668,9.481203301833332,3.7649338520835545,0.052497117764355346,0.0
