time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s
27000.0,3.125,buoyancy_mean,-0.000278040272,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,9.375,buoyancy_mean,0.00874315575,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,15.625,buoyancy_mean,0.00977279618,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,21.875,buoyancy_mean,0.0114953984,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,28.125,buoyancy_mean,0.0130202333,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,34.375,buoyancy_mean,0.0144759305,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,40.625,buoyancy_mean,0.0158856343,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,46.875,buoyancy_mean,0.017274715,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,53.125,buoyancy_mean,0.0186610762,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,59.375,buoyancy_mean,0.02002839,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,65.625,buoyancy_mean,0.0213354342,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,71.875,buoyancy_mean,0.0226418544,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,78.125,buoyancy_mean,0.023950927,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,84.375,buoyancy_mean,0.0253062919,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,90.625,buoyancy_mean,0.026800314,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,96.875,buoyancy_mean,0.0284776427,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,103.125,buoyancy_mean,0.0302504469,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,109.375,buoyancy_mean,0.0321319923,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,115.625,buoyancy_mean,0.0341233686,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,121.875,buoyancy_mean,0.0362654701,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,128.125,buoyancy_mean,0.0387229882,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,134.375,buoyancy_mean,0.0414910726,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,140.625,buoyancy_mean,0.044441238,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,146.875,buoyancy_mean,0.0474248081,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,153.125,buoyancy_mean,0.0506157391,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,159.375,buoyancy_mean,0.0541440435,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,165.625,buoyancy_mean,0.0582004413,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,171.875,buoyancy_mean,0.0626099035,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,178.125,buoyancy_mean,0.0669877902,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,184.375,buoyancy_mean,0.0711697787,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,190.625,buoyancy_mean,0.0752716362,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,196.875,buoyancy_mean,0.0796355307,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,203.125,buoyancy_mean,0.0844428912,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,209.375,buoyancy_mean,0.0892293379,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,215.625,buoyancy_mean,0.0933206007,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,221.875,buoyancy_mean,0.0963983536,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,228.125,buoyancy_mean,0.0986912474,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,234.375,buoyancy_mean,0.100644156,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,240.625,buoyancy_mean,0.102570958,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,246.875,buoyancy_mean,0.104621291,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
