time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s
27000.0,3.125,buoyancy_mean,0.000208146681,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,9.375,buoyancy_mean,0.00666348869,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,15.625,buoyancy_mean,0.00938792061,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,21.875,buoyancy_mean,0.0120455585,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,28.125,buoyancy_mean,0.0143454093,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,34.375,buoyancy_mean,0.0163166728,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,40.625,buoyancy_mean,0.0179840419,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,46.875,buoyancy_mean,0.0194837097,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,53.125,buoyancy_mean,0.020800408,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,59.375,buoyancy_mean,0.0220033824,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,65.625,buoyancy_mean,0.0231530946,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,71.875,buoyancy_mean,0.0243122689,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,78.125,buoyancy_mean,0.0255515501,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,84.375,buoyancy_mean,0.0268237162,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,90.625,buoyancy_mean,0.0281233657,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,96.875,buoyancy_mean,0.0294848662,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,103.125,buoyancy_mean,0.0309146438,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,109.375,buoyancy_mean,0.0324347541,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,115.625,buoyancy_mean,0.0340643674,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,121.875,buoyancy_mean,0.0358304344,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,128.125,buoyancy_mean,0.037726678,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,134.375,buoyancy_mean,0.0398495942,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,140.625,buoyancy_mean,0.042301435,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,146.875,buoyancy_mean,0.0451164991,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,153.125,buoyancy_mean,0.0483517349,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,159.375,buoyancy_mean,0.0518922396,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,165.625,buoyancy_mean,0.0557485782,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,171.875,buoyancy_mean,0.0598216467,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,178.125,buoyancy_mean,0.0638662502,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,184.375,buoyancy_mean,0.0677306354,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,190.625,buoyancy_mean,0.0716966763,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,196.875,buoyancy_mean,0.0763076022,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,203.125,buoyancy_mean,0.0818333477,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,209.375,buoyancy_mean,0.0878305063,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,215.625,buoyancy_mean,0.0932179391,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,221.875,buoyancy_mean,0.0968812853,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,228.125,buoyancy_mean,0.0990665704,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,234.375,buoyancy_mean,0.100819364,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,240.625,buoyancy_mean,0.102676049,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,246.875,buoyancy_mean,0.104662254,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,253.125,buoyancy_mean,0.106703833,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,259.375,buoyancy_mean,0.108986907,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,265.625,buoyancy_mean,0.111730546,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,271.875,buoyancy_mean,0.114749864,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,278.125,buoyancy_mean,0.117672481,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,284.375,buoyancy_mean,0.120124362,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,290.625,buoyancy_mean,0.121926688,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,296.875,buoyancy_mean,0.123594314,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,303.125,buoyancy_mean,0.125748187,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,309.375,buoyancy_mean,0.12829639,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,315.625,buoyancy_mean,0.130703002,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,321.875,buoyancy_mean,0.13274762,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,328.125,buoyancy_mean,0.134798765,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,334.375,buoyancy_mean,0.137168899,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,340.625,buoyancy_mean,0.139527753,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,346.875,buoyancy_mean,0.141603366,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,353.125,buoyancy_mean,0.143663436,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,359.375,buoyancy_mean,0.146072105,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,365.625,buoyancy_mean,0.148611471,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,371.875,buoyancy_mean,0.151131675,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,378.125,buoyancy_mean,0.153648347,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,384.375,buoyancy_mean,0.155800626,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,390.625,buoyancy_mean,0.157339394,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,396.875,buoyancy_mean,0.158422053,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
28800.0,3.125,buoyancy_mean,-0.00435294863,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,9.375,buoyancy_mean,0.00216608308,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,15.625,buoyancy_mean,0.004946528,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,21.875,buoyancy_mean,0.00765219796,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,28.125,buoyancy_mean,0.00995101035,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,34.375,buoyancy_mean,0.0119354967,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,40.625,buoyancy_mean,0.0136787035,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,46.875,buoyancy_mean,0.0152554205,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,53.125,buoyancy_mean,0.0167097021,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,59.375,buoyancy_mean,0.0180675127,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,65.625,buoyancy_mean,0.0193664748,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,71.875,buoyancy_mean,0.0206108894,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,78.125,buoyancy_mean,0.0218578279,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,84.375,buoyancy_mean,0.0231352784,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,90.625,buoyancy_mean,0.0244078916,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,96.875,buoyancy_mean,0.0257117823,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,103.125,buoyancy_mean,0.0271168146,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,109.375,buoyancy_mean,0.028664723,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,115.625,buoyancy_mean,0.030379517,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,121.875,buoyancy_mean,0.0322381221,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,128.125,buoyancy_mean,0.0342363007,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,134.375,buoyancy_mean,0.0363209099,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,140.625,buoyancy_mean,0.0386408567,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,146.875,buoyancy_mean,0.0414278097,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,153.125,buoyancy_mean,0.0448489673,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,159.375,buoyancy_mean,0.0486829393,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,165.625,buoyancy_mean,0.0527788289,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,171.875,buoyancy_mean,0.0571501255,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
