time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0.0,6.25,1,0.926948965,3.125,8,0,1,1136814.5,1,0,8,5.9375,9.08703951e-05,8.02945692e-07,-1.75153104e-06,1.32231128,-1.13617527,-0.859234333,0,0,0.491943359,-0.0625214726,0,0.000312824937,7.96407257e-05,265,-6.22104199e-05,-4.70467276e-05,267.96875,264.950012,8,0,0,0
60.0,15.680925,1,0.521009862,59.375,8.00000668,-5.2658562e-09,1,49064.0703,1,0.00523471972,8.01112652,14.8968788,7.03969199e-05,1.85392e-05,-7.2063317e-06,1.32231128,-0.358941436,-0.271450043,-0.00107566221,-0.00081347127,0.139160156,-0.257232338,0,0.00024233562,6.78739016e-05,264.995833,-0.000255952589,-0.000193564556,267.968781,264.956024,8.01111889,0.022274537,0.0513413548,0.000222535426
120.0,19.2672747,1,0.428849071,34.375,8.00001907,-7.5216758e-07,1,19222.8223,1,0.0153521402,8.01795101,18.3039109,6.93156253e-05,4.70567174e-05,-1.02573767e-05,1.32231128,-0.243180424,-0.183905587,-0.00195173442,-0.00147600228,0,-0.366140395,0,0.000238620254,0.00016198415,264.991667,-0.00036431881,-0.000275516679,267.96875,264.967316,8.01791,0.0373137221,0.0889844298,0.00064715452
180.0,23.5110396,1,0.381716371,59.375,8.00001812,4.96540679e-07,1,10978.0342,1,0.0297281705,8.02181435,22.3354876,9.67197047e-05,8.2573999e-05,-1.26659497e-05,1.32231128,-0.192652538,-0.145693794,-0.00263231993,-0.00199069618,0,-0.452115208,0,0.000332979427,0.000284263922,264.9875,-0.000449865882,-0.000340211787,267.968781,264.972229,8.02180672,0.0528153256,0.112364486,0.00101981359
240.0,25.4847916,1,0.350607753,46.875,8.00007057,3.82661638e-05,1,7303.26025,1,0.0511235557,8.02381802,24.210552,0.000139708878,0.000123911479,-1.47532519e-05,1.32231128,-0.162514538,-0.122901879,-0.00320648029,-0.00242490578,0,-0.526622117,0,0.000480994029,0.000426601095,264.983333,-0.000524002127,-0.000396277435,267.96875,264.9776,8.02381134,0.0667666271,0.12034902,0.00119377091
300.0,27.99261,1,0.327835679,46.875,8.00018597,5.19679634e-05,1,5334.37305,1,0.0844503716,8.03104782,26.5929795,0.000192909269,0.000169930747,-1.65129732e-05,1.32231128,-0.142068595,-0.1074396,-0.00371070206,-0.00280622439,0,-0.589435995,0,0.000664236664,0.000585084257,264.979167,-0.000586503476,-0.000443544181,267.96875,264.981171,8.03103256,0.0819908082,0.120956346,0.00115462649
360.0,30.5034688,1,0.310165524,46.875,8.00031567,6.72011083e-05,1,4131.26904,1,0.131152257,8.03176403,28.9782954,0.00024688078,0.000219217647,-1.80566458e-05,1.32231128,-0.127141654,-0.0961510763,-0.00416458584,-0.00314947474,0,-0.644537866,0,0.000850154262,0.000754849985,264.975,-0.000641331193,-0.000485007738,267.96875,264.983734,8.03174019,0.0978445262,0.126151562,0.00105668313
420.0,31.9236561,1,0.295908839,46.875,8.00034714,7.96486347e-05,1,3333.4248,1,0.190358356,8.03050327,30.3274733,0.0003093298,0.00027209468,-1.94322529e-05,1.32231128,-0.115693666,-0.0874935165,-0.00457995851,-0.00346360076,0,-0.69364059,0,0.00106531358,0.000937015866,264.970833,-0.000690189656,-0.000521957001,267.96875,264.985138,8.0304966,0.115226477,0.126631349,0.000895908044
480.0,33.1739374,1,0.284066051,53.125,8.00023174,5.99677442e-05,1,2764.98242,1,0.258421928,8.02820873,31.5152405,0.000373440096,0.000327862683,-2.07255289e-05,1.32231128,-0.106586397,-0.0806061327,-0.00496435352,-0.0037543003,0,-0.739804566,0,0.00128625042,0.00112917891,264.966667,-0.00073612394,-0.000556694868,267.96875,264.983032,8.02819061,0.142993242,0.120372981,0.00073417899
540.0,35.6134346,1,0.274007708,53.125,8.00029182,6.57868077e-05,1,2346.10156,1,0.327559292,8.03155804,33.8327628,0.000446363789,0.000386886444,-2.19220656e-05,1.32231128,-0.0991365984,-0.0749722123,-0.00532328524,-0.00402574288,0,-0.782515347,0,0.00153762638,0.00133260339,264.9625,-0.000778622227,-0.000588834286,267.96875,264.98053,8.03152847,0.173252866,0.125574127,0.000629955612
