time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0.0,3.125,1,1.16074967,1.5625,8,0,1,979697.312,1,0,8,2.96875,4.54351975e-05,5.77501453e-07,-3.99083501e-06,1.32231128,-1.7816025,-1.34733975,0,0,0.48614502,-0.142454162,0,0.000124911414,3.20147265e-05,265,-0.000141745433,-0.000107195207,267.984375,264.950012,8,0,0,0
60.0,3.13029697,1,0.274280012,51.5625,8.00001431,-1.41360687e-07,1,14311.8066,1,0.0161275491,8.23267937,2.97378212,0.000233713872,4.00760036e-05,-3.60435888e-06,1.32231128,-0.0994678289,-0.0752227008,-0.00134023838,-0.00101355743,0.229431152,-0.128658757,0,0.000642721949,0.000128542073,264.995833,-0.00012801867,-9.68143213e-05,267.984375,264.957306,8.23267555,0.0367215164,0.0556699038,0.000203682226
120.0,3.16938083,1,0.156415045,51.5625,8.00003338,-1.06465734e-06,1,2639.53687,1,0.0863113552,8.51680946,3.01091178,0.000696431147,0.000222246905,-3.62449759e-06,1.32231128,-0.0323050395,-0.0244307369,-0.00172805507,-0.00130684441,0.000427246094,-0.129377618,0,0.00191680901,0.000611242722,264.991667,-0.000128733955,-9.73552596e-05,267.984375,264.960724,8.5168047,0.077804476,0.0922287852,0.000561869703
180.0,3.24118601,1,0.111070745,51.5625,8.00006104,-1.66287828e-06,1,915.971313,1,0.177073181,8.73733807,3.07912671,0.00278500398,0.000721413002,-3.73987564e-06,1.32231128,-0.0162012,-0.0122521827,-0.00190634502,-0.0014416764,0,-0.133496076,0,0.00769471191,0.00198615552,264.9875,-0.000132831919,-0.000100454352,267.984375,264.96582,8.7370739,0.166367903,0.168535814,0.000938629848
240.0,8.94790552,1,0.090607293,23.4375,8.00007439,-8.01448623e-05,1,443.384857,1,0.288191527,9.12128639,8.50051024,0.364666998,0.00232372945,-4.19419439e-06,1.32231128,-0.0106476266,-0.00805228483,-0.00211552228,-0.00159986701,0,-0.149713144,0.000122070312,10,0.00823493488,264.983333,-0.000148968305,-0.000112657515,267.984375,264.972137,9.1212368,1.01549172,0.247043908,0.00187091751
300.0,21.2080392,1,0.322278976,92.1875,8.00004768,-2.35023109e-07,1,4726.07764,1,13.312417,11.4966183,20.1476372,6.02432251,0.0015051451,-1.77065958e-05,1.32231128,-0.137156323,-0.103724688,-0.00710437912,-0.00537269795,0,-0.632042706,0.000183105469,10,0.0052109696,264.979167,-0.000628898211,-0.00047560528,267.984406,264.974731,11.4867287,4.54357815,3.35900736,0.274652511
360.0,34.4803589,1,0.4659051,92.1875,8.00004387,-2.08326696e-07,1,9496.54688,1,13.383584,10.5715933,32.756341,0.00335772685,7.76967208e-05,-2.66235947e-05,1.32231128,-0.287023276,-0.217061803,-0.00208999356,-0.00158056093,0.000244140625,-0.950337887,0,0.00928701367,0.000213665364,264.975,-0.00094560982,-0.000715118949,267.984467,264.972382,10.5673542,3.17429018,2.29895973,0.231220871
420.0,40.891825,1,0.429868549,92.1875,8.00004482,2.22732638e-07,1,7297.09229,1,13.7126226,9.12949944,38.8472337,0.01264269,0.000104853876,-2.72143043e-05,1.32231128,-0.244307518,-0.184757948,-0.00433023088,-0.00327474391,0.000183105469,-0.971423447,0,0.0356112197,0.000288463343,264.970833,-0.00096659048,-0.000730985601,267.984467,264.970612,9.08566666,2.84025311,2.16234636,0.20986101
480.0,51.4764766,1,0.415383637,95.3125,8.00004482,1.04442154e-06,1,6010.55127,1,15.1756525,8.94948483,48.9026528,0.00709843868,0.000127705265,-2.98108152e-05,1.32231128,-0.228102058,-0.172502548,-0.00497380551,-0.0037614482,6.10351562e-05,-1.06410682,0,0.0197739583,0.000351287017,264.966667,-0.00105881272,-0.000800728798,267.984314,264.966583,8.94496155,3.02579927,2.2635417,0.196113139
540.0,57.1025847,1,0.403846741,226.5625,8.00003052,-3.00716465e-08,1,5112.25342,1,16.7756176,8.52264786,54.2474555,0.0327197686,0.00014690336,-3.22090127e-05,1.32231128,-0.215643495,-0.163080737,-0.00255684508,-0.0019336181,0.000183105469,-1.14971125,0,0.0964018479,0.00040447741,264.9625,-0.00114399125,-0.000865145179,267.984344,264.960632,8.51535034,2.721488,2.21224022,0.197450265
600.0,66.9740093,1,0.394268751,226.5625,8.00002861,2.07636447e-07,1,4404.13037,1,17.8029613,8.72191429,63.6253088,0.0104601495,0.00016698314,-3.47901951e-05,1.32231128,-0.205528438,-0.155431211,-0.00300732511,-0.00227429438,0.000854492188,-1.2418474,0,0.029333109,0.000462713331,264.958333,-0.00123566901,-0.000934476673,267.984314,264.954224,8.71373367,2.66539431,1.91531324,0.183958188
660.0,72.9955493,1,0.38677904,226.5625,8.00002098,1.10801193e-06,1,3887.80029,1,19.2901249,8.61441708,69.3457718,0.00989631005,0.000194596243,-3.72070172e-05,1.32231128,-0.197774246,-0.149567083,-0.00402269792,-0.00304217171,0.000366210938,-1.32811654,0,0.0277205762,0.000535524625,264.954167,-0.00132150901,-0.000999393291,267.984314,264.950409,8.5598526,2.90034413,1.95301807,0.182845935
720.0,77.3469988,1,0.383708239,226.5625,8.00000572,2.86770342e-06,1,3519.14722,1,20.4746933,8.51737881,73.4796489,0.0370116942,0.000221270253,-4.01333964e-05,1.32231128,-0.194609344,-0.147173628,-0.00548191043,-0.00414570328,0.000427246094,-1.43257463,0,0.110203393,0.000609756098,264.95,-0.00142544741,-0.00107799692,267.984314,264.94632,8.51329994,2.57326126,2.12724471,0.179042608
780.0,87.7106755,1,0.372043073,226.5625,7.99997807,4.97947167e-06,1,3086.52612,1,21.933939,8.60691833,83.3251418,0.0128995087,0.00024307135,-4.17109113e-05,1.32231128,-0.182944119,-0.138351783,-0.00557690673,-0.00421754457,0.000610351562,-1.48888469,0,0.0363538004,0.000669146422,264.945833,-0.00148147729,-0.00112036953,267.984253,264.93399,8.59454727,2.83185053,2.18881464,0.186641738
840.0,97.2276994,1,0.369253397,295.3125,7.99996233,5.67082395e-07,1,2829.28247,1,22.8377171,8.43850994,92.3663145,0.0229669604,0.000277810992,-4.44874167e-05,1.32231128,-0.180210173,-0.136284232,-0.00551658496,-0.00417192606,0.00048828125,-1.58799291,0,0.0661446899,0.000765296747,264.941667,-0.00158009247,-0.0011949474,267.984314,264.934662,8.43338394,2.59205866,1.90875745,0.168024406
900.0,100.560567,1,0.360821456,295.3125,7.99995089,1.10228598e-06,1,2542.18677,1,23.5084114,8.40146637,95.5325387,0.0347751826,0.000294657482,-4.61965537e-05,1.32231128,-0.172110215,-0.130158618,-0.00390534755,-0.00295342528,0.000671386719,-1.64900112,0,0.102972403,0.000811827485,264.9375,-0.00164079713,-0.00124085543,267.984283,264.932556,8.3747654,2.54063392,2.02371264,0.174874291
960.0,105.723755,1,0.356488019,295.3125,7.99992371,2.21728305e-06,1,2337.15942,1,24.2708607,8.44249249,100.437568,0.0467636287,0.000323115528,-4.84603443e-05,1.32231128,-0.167956501,-0.127017364,-0.00542910304,-0.0041057677,0.00109863281,-1.72980785,0,0.142787874,0.000891070231,264.933333,-0.00172120181,-0.0013016616,267.984253,264.922546,8.44034195,2.32036018,1.88542724,0.166958153
1020.0,110.427475,1,0.357149482,339.0625,7.99990082,1.03970785e-06,1,2214.93066,1,24.4021244,8.43180943,104.906101,0.0311170518,0.000345701905,-5.14197491e-05,1.32231128,-0.168601096,-0.12750484,-0.00476469705,-0.00360330963,0.000549316406,-1.83544469,0,0.091326952,0.000952942239,264.929167,-0.00182631309,-0.00138115219,267.984253,264.921936,8.42927933,2.59378505,1.81029618,0.164665103
1080.0,117.244792,1,0.356312692,339.0625,7.99987984,1.68396696e-06,1,2100.95972,1,25.0698299,8.48094273,111.382553,0.0186948534,0.000360027654,-5.38289714e-05,1.32231128,-0.167799175,-0.126898393,-0.00517535768,-0.00391387241,0.000793457031,-1.92144275,0,0.0533357784,0.000991464825,264.925,-0.00191188336,-0.00144586479,267.984253,264.916565,8.47897816,2.41229057,1.93830943,0.161338806
1140.0,119.22568,1,0.346396625,373.4375,7.99986839,1.14832949e-06,1,1904.14709,1,25.5067749,8.44154644,113.264396,0.0527953506,0.000391154434,-5.45708172e-05,1.32231128,-0.158502936,-0.1198681,-0.007168415,-0.00542112533,0.000793457031,-1.94792318,0,0.16386883,0.00107874535,264.920833,-0.00193823199,-0.00146579102,267.984253,264.911011,8.43600655,2.38438797,1.97990108,0.158470064
1200.0,121.491837,1,0.338770509,373.4375,7.99985361,1.48497418e-06,1,1742.99292,1,25.3813763,8.40855217,115.417245,0.210486248,0.000456912443,-5.57649291e-05,1.32231128,-0.151630998,-0.114671186,-0.00614955276,-0.0046506091,0.00048828125,-1.99054742,0,1.35020816,0.00130701077,264.916667,-0.00198064419,-0.00149786531,267.984253,264.908417,8.39492416,2.28136754,1.76378536,0.157014206
1260.0,117.96416,1,0.339389533,373.4375,7.99983215,2.10444296e-06,1,1673.48853,1,25.5747261,8.47912884,112.065952,0.0469211042,0.000456447364,-5.83999645e-05,1.32231128,-0.152100146,-0.115025975,-0.00800726656,-0.00605550781,0.000183105469,-2.08460593,0,0.14332886,0.0012589012,264.9125,-0.00207423465,-0.00156864326,267.984131,264.906769,8.45517159,2.57576418,1.71119785,0.159986198
1320.0,113.321876,1,0.339843333,395.3125,7.9998045,1.93676033e-06,1,1614.04553,1,25.843605,8.50530243,107.655782,0.0516665094,0.000474650617,-6.07939655e-05,1.32231128,-0.152548507,-0.115365051,-0.0072004851,-0.00544537837,0.00048828125,-2.1700604,0,0.159866273,0.00130913558,264.908333,-0.00215926417,-0.00163294689,267.984131,264.898193,8.5012207,2.41208267,1.95377302,0.162272438
1380.0,120.406936,1,0.333528161,395.3125,7.99979353,2.21755727e-06,1,1499.6322,1,25.4179325,8.50729084,114.38659,0.113618284,0.000525415351,-6.18518607e-05,1.32231128,-0.146939889,-0.111123525,-0.00675957883,-0.00511194207,0.000671386719,-2.20782232,0,0.431799829,0.00145955279,264.904167,-0.00219683815,-0.00166136236,267.984131,264.896667,8.49311829,2.51560068,1.9106741,0.147587121
1440.0,125.614349,1,0.332288891,395.3125,7.99978256,2.53538633e-06,1,1433.74097,1,24.8746471,8.28383923,119.333631,0.0324564762,0.000517840497,-6.39759528e-05,1.32231128,-0.145792574,-0.110255867,-0.00785822049,-0.0059427917,0.000915527344,-2.28364253,0,0.0955652446,0.00142767897,264.9,-0.0022722811,-0.00171841623,267.984131,264.886322,8.27958488,2.30351615,1.60341692,0.149777949
1500.0,123.509333,1,0.323613673,395.3125,7.9997716,2.89365789e-06,1,1321.80933,1,24.7358894,8.30555248,117.333866,0.0528421588,0.000566185743,-6.40990693e-05,1.32231128,-0.138245672,-0.104548506,-0.00805450045,-0.00609122869,0.00115966797,-2.28803706,0,0.164035365,0.00156220887,264.895833,-0.00227665389,-0.00172172312,267.984131,264.887207,8.30307198,2.34486294,1.64192009,0.134870812
1560.0,124.343967,1,0.325979799,395.3125,7.99975967,3.30154398e-06,1,1278.92725,1,25.3870945,8.28722,118.126769,0.0381990671,0.000583769171,-6.77120915e-05,1.32231128,-0.140312463,-0.106111519,-0.00749583775,-0.00566873932,0.000793457031,-2.4170053,0,0.114077717,0.00161011843,264.891667,-0.00240498036,-0.00181877019,267.984131,264.884583,8.28284359,2.31354666,1.8105104,0.14518781
1620.0,131.277126,1,0.321147561,395.3125,7.99974728,3.76555454e-06,1,1197.65381,1,25.3678513,8.2433567,124.71327,0.178076237,0.000642624218,-6.91389141e-05,1.32231128,-0.136130691,-0.102949053,-0.00820248201,-0.00620314013,0.000549316406,-2.46793604,0,0.922207892,0.00180126366,264.8875,-0.00245565781,-0.00185709517,267.984131,264.874908,8.2354126,2.38378191,2.00184917,0.13678661
1680.0,128.594553,1,0.318988025,395.3125,7.99973536,4.25539929e-06,1,1141.8125,1,25.5293064,8.29070568,122.164825,0.0436354615,0.000658909325,-7.10670574e-05,1.32231128,-0.134245351,-0.101523258,-0.00904354826,-0.00683919759,0.00109863281,-2.536762,0,0.132141545,0.00181772583,264.883333,-0.00252414122,-0.00190888578,267.984131,264.870697,8.28690052,2.39499307,1.80972075,0.125595629
1740.0,125.883259,1,0.317573547,395.3125,7.99972343,4.77553476e-06,1,1102.46387,1,26.773344,8.27245235,119.589096,0.0569756553,0.000697845477,-7.26287544e-05,1.32231128,-0.132997468,-0.100579545,-0.00981311314,-0.00742118247,0.000610351562,-2.59250689,0,0.178930417,0.00193005335,264.879167,-0.00257960893,-0.00195083336,267.9841,264.86853,8.27188301,2.33884954,1.5547843,0.136952981
1800.0,134.505129,1,0.312541813,395.3125,7.99971247,5.34743094e-06,1,1031.19336,1,27.9159069,8.24029922,127.779873,0.029500274,0.000708464882,-7.40157702e-05,1.32231128,-0.128786415,-0.0973949283,-0.0099020917,-0.00748847239,0.000915527344,-2.64201713,0,0.0862496123,0.00195547566,264.875,-0.00262887287,-0.00198808918,267.984131,264.86853,8.2399044,2.34230232,1.76920414,0.136140585
1860.0,136.784359,1,0.315737575,395.3125,7.99969959,6.0042712e-06,1,999.750427,1,28.8247261,8.28042316,129.945141,0.148927256,0.000762748532,-7.8709505e-05,1.32231128,-0.131463572,-0.0994195342,-0.00970758777,-0.00734137883,0.00177001953,-2.80956149,0,0.660417438,0.00213098899,264.870833,-0.00279558357,-0.00211416441,267.984131,264.853516,8.28015137,2.184093,1.63315344,0.139776394
