figure,page,experiment,axis_svg_path,x_left_pt,x_right_pt,y_top_pt,y_bottom_pt,x_min,x_max,y_min,y_max
1,7,Mixed-SGS,363,212.84765656087112,384.058670378784,109.800733498916,216.80859388588266,0.0,0.0004,0.0,1200.0
1,7,Paired-SGS,312,396.78125042703755,567.992264300948,109.800733498916,216.80859388588266,0.0,0.0004,0.0,1200.0
1,7,Mixed-NSGS,387,212.84765656087112,384.058670378784,234.761671477268,341.769531424254,0.0,0.0004,0.0,1200.0
1,7,Paired-NSGS,339,396.78125042703755,567.992264300948,234.761671477268,341.769531424254,0.0,0.0004,0.0,1200.0
2,7,Mixed-SGS,433,208.964844,385.808594,464.527344,575.054688,0.0,4.0,0.1,1.1
2,7,Paired-SGS,410,398.945312,575.789062,464.527344,575.054688,0.0,4.0,0.1,1.1
2,7,Mixed-NSGS,473,208.964844,385.808594,593.597656,704.125,0.0,4.0,0.1,1.1
2,7,Paired-NSGS,453,398.945312,575.789062,593.597656,704.125,0.0,4.0,0.1,1.1
3,8,Mixed-SGS,334,207.621094,385.109375,110.671875,221.597656,0.0,4.0,0.0,80.0
3,8,Paired-SGS,267,398.296875,575.78125,109.113281,220.042969,0.0,4.0,0.0,80.0
3,8,Mixed-NSGS,366,207.621094,385.109375,238.664062,349.59375,0.0,4.0,0.0,80.0
3,8,Paired-NSGS,302,398.296875,575.78125,238.664062,349.59375,0.0,4.0,0.0,80.0
4,9,Mixed-SGS,323,212.96484421239214,384.98445174661595,479.781201854744,587.2968750229651,0.0,0.01,0.0,1200.0
4,9,Paired-SGS,258,397.76562524461264,569.785232790836,479.781201854744,587.2968750229651,0.0,0.01,0.0,1200.0
4,9,Mixed-NSGS,354,212.96484421239214,384.98445174661595,605.335889710952,712.8476565830576,0.0,0.01,0.0,1200.0
4,9,Paired-NSGS,292,397.76562524461264,569.785232790836,605.335889710952,712.8476565830576,0.0,0.01,0.0,1200.0
5,10,Mixed-SGS,257,213.1171878589688,386.191483454876,109.910107742196,218.08203100614233,288.0,308.0,0.0,1200.0
5,10,Paired-SGS,291,399.05078165022434,572.125077417124,109.910107742196,218.08203100614233,288.0,308.0,0.0,1200.0
5,10,Mixed-NSGS,325,213.1171878589688,386.191483454876,236.23042070140798,344.4023439473551,288.0,308.0,0.0,1200.0
5,10,Paired-NSGS,356,399.05078165022434,572.125077417124,236.23042070140798,344.4023439473551,288.0,308.0,0.0,1200.0
6,11,Mixed-SGS,375,213.20312518155072,386.86726450319196,109.527295926672,218.06640633897288,0.0,0.6,0.0,1200.0
6,11,Paired-SGS,288,399.76953151281896,573.429764556344,109.527295926672,218.06640633897288,0.0,0.6,0.0,1200.0
6,11,Mixed-NSGS,417,213.20312518155072,386.86726450319196,236.27729481082,344.812499551678,0.0,0.6,0.0,1200.0
6,11,Paired-NSGS,333,399.76953151281896,573.429764556344,236.27729481082,344.812499551678,0.0,0.6,0.0,1200.0
7,12,Mixed-SGS,373,213.3867191090667,389.457109640996,475.335888241184,585.3828124554583,-0.75,4.2,0.0,1200.0
7,12,Paired-SGS,292,401.4414059160492,577.511796594972,475.335888241184,585.3828124554583,-0.75,4.2,0.0,1200.0
7,12,Mixed-NSGS,412,213.3867191090667,389.457109640996,603.8437011300839,713.8867183052756,-0.75,4.2,0.0,1200.0
7,12,Paired-NSGS,334,401.4414059160492,577.511796594972,603.8437011300839,713.8867183052756,-0.75,4.2,0.0,1200.0
