case_id,grid,window_start_s,window_end_s,z_m,w_variance_m2_s2,w_third_central_moment_m3_s3,skewness_ratio_of_time_averaged_moments,mean_of_four_halfhour_skewness_ratios,valid
coarse_none_weno9,coarse,7200,14400,0.0,0.0,0.0,NaN,NaN,false
coarse_none_weno9,coarse,7200,14400,20.0,0.021819195225,0.0031599650950000003,0.980447160879001,0.9806930984774812,true
coarse_none_weno9,coarse,7200,14400,40.0,0.0445825234,0.007924458130000001,0.8418265250964626,0.8425335846344943,true
coarse_none_weno9,coarse,7200,14400,60.0,0.070958742875,0.011436930849999999,0.6050630414048943,0.6062081085319474,true
coarse_none_weno9,coarse,7200,14400,80.0,0.1002420949,0.01432387205,0.4513206778471315,0.452689842832907,true
coarse_none_weno9,coarse,7200,14400,100.0,0.12987632275,0.016946587699999998,0.36206561965291917,0.36356686530446364,true
coarse_none_weno9,coarse,7200,14400,120.0,0.15836440400000001,0.019467473025,0.3089037820457251,0.31049113254705357,true
coarse_none_weno9,coarse,7200,14400,140.0,0.18502031624999998,0.022027979125,0.27678689758002645,0.27850447844868653,true
coarse_none_weno9,coarse,7200,14400,160.0,0.2095825335,0.024817932850000002,0.2586622054694543,0.2605562104994036,true
coarse_none_weno9,coarse,7200,14400,180.0,0.23199933025,0.027976227925,0.2503566091705069,0.25244309596299036,true
coarse_none_weno9,coarse,7200,14400,200.0,0.2523157895,0.031509586125,0.24861427165611702,0.2508636145496406,true
coarse_none_weno9,coarse,7200,14400,220.0,0.270646155,0.035299326275,0.2507053628985459,0.2530542752922718,true
coarse_none_weno9,coarse,7200,14400,240.0,0.2871438935,0.039198612800000004,0.25475418124418125,0.2571083948221503,true
coarse_none_weno9,coarse,7200,14400,260.0,0.30199603750000004,0.043053022600000004,0.2594189996031858,0.2616796070053524,true
coarse_none_weno9,coarse,7200,14400,280.0,0.315371223,0.046707546350000004,0.26372661468673153,0.2658071931156425,true
coarse_none_weno9,coarse,7200,14400,300.0,0.32738425574999996,0.0500230901,0.26704461898090964,0.2688747934668168,true
coarse_none_weno9,coarse,7200,14400,320.0,0.33810339125,0.052866122725,0.2689076575134645,0.27043290689482374,true
coarse_none_weno9,coarse,7200,14400,340.0,0.34756305825,0.0551228728,0.26901805495327324,0.27019384519845496,true
coarse_none_weno9,coarse,7200,14400,360.0,0.355788596,0.056716503574999994,0.2672522771898418,0.2680413651638238,true
coarse_none_weno9,coarse,7200,14400,380.0,0.36283712874999996,0.057623160075,0.26365104019300156,0.2640287687862067,true
coarse_none_weno9,coarse,7200,14400,400.0,0.36878897225,0.057858300425,0.258344240059524,0.25830515430916845,true
coarse_none_weno9,coarse,7200,14400,420.0,0.37375166275,0.05742289125,0.2513103386260209,0.250868299346349,true
coarse_none_weno9,coarse,7200,14400,440.0,0.37787378574999997,0.056301602150000005,0.24238213500138173,0.2415699465857894,true
coarse_none_weno9,coarse,7200,14400,460.0,0.3813244105,0.05447939319999999,0.23136110528122364,0.2302254357786062,true
coarse_none_weno9,coarse,7200,14400,480.0,0.384285316,0.051970855325,0.21816203679714746,0.21676312633906153,true
coarse_none_weno9,coarse,7200,14400,500.0,0.38689678899999996,0.048829985775,0.2029055422574034,0.20131706008963213,true
coarse_none_weno9,coarse,7200,14400,520.0,0.38930498075000003,0.045154459775,0.18589414472691004,0.18419902143080838,true
coarse_none_weno9,coarse,7200,14400,540.0,0.3916471375,0.041120565525,0.1677709036679889,0.16606377472456055,true
coarse_none_weno9,coarse,7200,14400,560.0,0.3940462095,0.0370254796,0.14968557895650905,0.14807832474955276,true
coarse_none_weno9,coarse,7200,14400,580.0,0.39649662350000003,0.033271485,0.13326403081158095,0.1318758116642198,true
