figure,page,experiment,case_id,variable,coordinate,coordinate_value,value,units,averaging,svg_path_index,svg_x_pt,svg_y_pt,outline_halfwidth_value,intersection_count,method
1,7,Mixed-SGS,25MS,q_l,height_m,10.0,6.28088398982714e-10,kg kg^-1,2-4 h,356,212.8479254,215.91686171599127,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,20.0,1.4654177085633503e-9,kg kg^-1,2-4 h,356,212.8482838,215.0251295460999,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,30.0,2.302747018210388e-9,kg kg^-1,2-4 h,356,212.8486422,214.13339737620848,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,40.0,3.1398426979752006e-9,kg kg^-1,2-4 h,356,212.8490005,213.2416652063171,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,50.0,3.977172007622238e-9,kg kg^-1,2-4 h,356,212.8493589,212.3499330364257,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,60.0,4.814267687387051e-9,kg kg^-1,2-4 h,356,212.8497172,211.45820086653433,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,70.0,5.651596997034088e-9,kg kg^-1,2-4 h,356,212.8500756,210.56646869664294,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,80.0,6.4886926768653025e-9,kg kg^-1,2-4 h,356,212.8504339,209.67473652675156,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,90.0,7.326021986445939e-9,kg kg^-1,2-4 h,356,212.8507923,208.78300435686015,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,100.0,8.163117666277153e-9,kg kg^-1,2-4 h,356,212.8511506,207.89127218696876,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,110.0,9.000446975857789e-9,kg kg^-1,2-4 h,356,212.851509,206.99954001707738,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,120.0,9.837776285504828e-9,kg kg^-1,2-4 h,356,212.8518674,206.107807847186,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,130.0,1.067487196526964e-8,kg kg^-1,2-4 h,356,212.8522257,205.2160756772946,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,140.0,1.1512201274916676e-8,kg kg^-1,2-4 h,356,212.8525841,204.32434350740323,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,150.0,1.2349296954681488e-8,kg kg^-1,2-4 h,356,212.8529424,203.43261133751182,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,160.0,1.3186626264328527e-8,kg kg^-1,2-4 h,356,212.8533008,202.54087916762043,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,170.0,1.402372194409334e-8,kg kg^-1,2-4 h,356,212.8536591,201.64914699772905,0.0,1,vector centerline interpolation
