figure,page,experiment,case_id,variable,coordinate,coordinate_value,value,units,averaging,svg_path_index,svg_x_pt,svg_y_pt,outline_halfwidth_value,intersection_count,method
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.02,0.9999823337833944,1,instantaneous plotted series,430,209.84906275,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.04,0.9999823337833944,1,instantaneous plotted series,430,210.7332815,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.06,0.9999823337833944,1,instantaneous plotted series,430,211.61750025,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.08,0.9999823337833944,1,instantaneous plotted series,430,212.501719,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.1,0.9999823337833944,1,instantaneous plotted series,430,213.38593775,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.12,0.9999823337833944,1,instantaneous plotted series,430,214.2701565,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.14,0.9999823337833944,1,instantaneous plotted series,430,215.15437525,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.16,0.9999823337833944,1,instantaneous plotted series,430,216.038594,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.18,0.9999823337833944,1,instantaneous plotted series,430,216.92281275,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.2,0.9999823337833944,1,instantaneous plotted series,430,217.8070315,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.22,0.9999823337833944,1,instantaneous plotted series,430,218.69125025,475.582031,0.007916593019732744,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.24,0.9999823337833944,1,instantaneous plotted series,430,219.575469,475.582031,0.007916593019732744,2,filled vector outline midpoint
