figure,page,experiment,case_id,variable,coordinate,coordinate_value,value,units,averaging,svg_path_index,svg_x_pt,svg_y_pt,outline_halfwidth_value,intersection_count,method
3,8,Mixed-SGS,25MS,LWP,time_h,0.02,65.14032441204988,g m^-2,instantaneous plotted series,331,208.508535405,131.275889,0.8322477891771614,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.04,64.74749133386764,g m^-2,instantaneous plotted series,331,209.39597681,131.82058045,0.6794542740248968,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.06,64.98500149392684,g m^-2,instantaneous plotted series,331,210.283418215,131.49125544999998,0.8903655318865783,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.08,65.59436273881181,g m^-2,instantaneous plotted series,331,211.17085962,130.64633205,0.862459593590782,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.1,66.15465246983477,g m^-2,instantaneous plotted series,331,212.058301025,129.86944985,0.8407950898267693,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.12,66.68447242215046,g m^-2,instantaneous plotted series,331,212.94574243,129.1348162,0.8068941881058299,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.14,67.16510294392248,g m^-2,instantaneous plotted series,331,213.833183835,128.46838725,0.7799334944506774,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.16,67.60125085799487,g m^-2,instantaneous plotted series,331,214.72062524,127.86363664999999,0.7559427505856325,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.18,67.98846875822312,g m^-2,instantaneous plotted series,331,215.608066645,127.32673105,0.7403404624214495,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.2,68.34065793956411,g m^-2,instantaneous plotted series,331,216.49550805,126.8383953,0.7163182380478382,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.22,68.6498234346441,g m^-2,instantaneous plotted series,331,217.382949455,126.409715,0.6957736903380453,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.24,68.90101831241557,g m^-2,instantaneous plotted series,331,218.27039086,126.06141515,0.6598265916198476,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.26,68.79479272722001,g m^-2,instantaneous plotted series,331,219.157832265,126.2087046,0.7827339615485772,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.28,67.62110806323734,g m^-2,instantaneous plotted series,331,220.04527367,127.8361032,1.736504374938765,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.3,65.17430666546309,g m^-2,instantaneous plotted series,331,220.932715075,131.22877015,3.1655496570269808,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.32,61.580711989758285,g m^-2,instantaneous plotted series,331,221.82015648,136.21154884999999,4.380076909262417,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.34,57.07816198292082,g m^-2,instantaneous plotted series,331,222.707597885,142.4546598,4.91871609179836,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.36,52.14881362881727,g m^-2,instantaneous plotted series,331,223.59503929,149.2895575,5.030556927068197,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.38,47.39273215484505,g m^-2,instantaneous plotted series,331,224.482480695,155.88420815,4.756579969448218,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.4,43.131217223523535,g m^-2,instantaneous plotted series,331,225.3699221,161.79310655,3.9880364691775325,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.42,39.6996669692143,g m^-2,instantaneous plotted series,331,226.257363505,166.55119895,2.958072767592234,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.44,37.16500797952461,g m^-2,instantaneous plotted series,331,227.14480491,170.0656868,2.113994401355626,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.46,35.38418189726337,g m^-2,instantaneous plotted series,331,228.032246315,172.53493085,1.5280210828535845,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.48,34.06924689581406,g m^-2,instantaneous plotted series,331,228.91968772,174.35818325,1.2618966910857328,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.5,32.98713571374359,g m^-2,instantaneous plotted series,331,229.807129125,175.8586086,1.2024450114081164,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.52,31.936524368487422,g m^-2,instantaneous plotted series,331,230.69457053,177.31535715,1.2388519491244256,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.54,30.798153839457754,g m^-2,instantaneous plotted series,331,231.582011935,178.89379015,1.2851157477989625,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.56,29.688308762054145,g m^-2,instantaneous plotted series,331,232.46945334,180.43267055,1.2813830177134427,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.58,28.555702916349087,g m^-2,instantaneous plotted series,331,233.356894745,182.0031104,1.2742149455769933,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.6,27.42654914460327,g m^-2,instantaneous plotted series,331,234.24433615,183.5687637,1.2721721382335782,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.62,26.358315818393912,g m^-2,instantaneous plotted series,331,235.13177755499999,185.0499464,1.235272150123511,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.64,25.34394192816187,g m^-2,instantaneous plotted series,331,236.01921896,186.4564491,1.183079702634688,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.66,24.38200814651015,g m^-2,instantaneous plotted series,331,236.906660365,187.7902398,1.1230178492049534,2,filled vector outline midpoint
