figure,page,experiment,case_id,variable,coordinate,coordinate_value,value,units,averaging,svg_path_index,svg_x_pt,svg_y_pt,outline_halfwidth_value,intersection_count,method
4,9,Mixed-SGS,25MS,q_t,height_m,10.0,0.009633307043479856,kg kg^-1,2-4 h,311,378.6766139,586.4009110798966,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,20.0,0.009503279668574062,kg kg^-1,2-4 h,311,376.4398881,585.504947136828,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,30.0,0.009421506275403162,kg kg^-1,2-4 h,311,375.0332254,584.6089831937595,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,40.0,0.00937494200220886,kg kg^-1,2-4 h,311,374.2322286,583.713019250691,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,50.0,0.00934163129953876,kg kg^-1,2-4 h,311,373.6592192,582.8170553076226,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,60.0,0.009316901490763014,kg kg^-1,2-4 h,311,373.233818,581.9210913645541,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,70.0,0.009298166190489999,kg kg^-1,2-4 h,311,372.9115341,581.0251274214855,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,80.0,0.009283685248254946,kg kg^-1,2-4 h,311,372.6624335,580.129163478417,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,90.0,0.00927222412455945,kg kg^-1,2-4 h,311,372.4652797,579.2331995353485,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,100.0,0.009263081550509067,kg kg^-1,2-4 h,311,372.3080095,578.33723559228,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,110.0,0.009255704455431415,kg kg^-1,2-4 h,311,372.181109,577.4412716492114,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,120.0,0.009249618434105085,kg kg^-1,2-4 h,311,372.0764175,576.5453077061429,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,130.0,0.009244371322959223,kg kg^-1,2-4 h,311,371.9861569,575.6493437630745,0.0,1,vector centerline interpolation
4,9,Mixed-SGS,25MS,q_t,height_m,140.0,0.009239475218311196,kg kg^-1,2-4 h,311,371.9019343,574.753379820006,0.0,1,vector centerline interpolation
