figure,page,experiment,case_id,variable,coordinate,coordinate_value,value,units,averaging,svg_path_index,svg_x_pt,svg_y_pt,outline_halfwidth_value,intersection_count,method
5,10,Mixed-SGS,25MS,theta_l,height_m,10.0,289.4915213604182,K,2-4 h,245,226.0243883,217.18059831227612,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,20.0,289.4544207731941,K,2-4 h,245,225.7033304,216.27916561840988,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,30.0,289.4339887963496,K,2-4 h,245,225.5265179,215.37773292454366,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,40.0,289.42815067927665,K,2-4 h,245,225.4759965,214.47630023067745,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,50.0,289.4223125737595,K,2-4 h,245,225.4254752,213.57486753681124,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,60.0,289.4167168265882,K,2-4 h,245,225.3770512,212.67343484294503,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,70.0,289.41212798803616,K,2-4 h,245,225.3373407,211.7720021490788,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,80.0,289.40753916103984,K,2-4 h,245,225.2976303,210.87056945521257,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,90.0,289.4031107853682,K,2-4 h,245,225.2593084,209.96913676134636,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,100.0,289.3996966908722,K,2-4 h,245,225.2297638,209.06770406748012,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,110.0,289.3962825963761,K,2-4 h,245,225.2002192,208.1662713736139,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,120.0,289.39295270849175,K,2-4 h,245,225.1714033,207.2648386797477,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,130.0,289.390639505375,K,2-4 h,245,225.1513855,206.36340598588149,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,140.0,289.3883263022583,K,2-4 h,245,225.1313677,205.46197329201527,0.0,1,vector centerline interpolation
5,10,Mixed-SGS,25MS,theta_l,height_m,150.0,289.38602763625113,K,2-4 h,245,225.1114757,204.56054059814903,0.0,1,vector centerline interpolation
