figure,page,experiment,case_id,variable,coordinate,coordinate_value,value,units,averaging,svg_path_index,svg_x_pt,svg_y_pt,outline_halfwidth_value,intersection_count,method
6,11,Mixed-SGS,25MS,w_variance,height_m,10.0,0.021337457033697497,m^2 s^-2,2-4 h,372,219.3790437,217.1619137522037,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,20.0,0.05562952702156207,m^2 s^-2,2-4 h,372,229.3045484,216.25742116543452,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,30.0,0.08588512429411445,m^2 s^-2,2-4 h,372,238.0617355,215.35292857866537,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,40.0,0.10559352715361882,m^2 s^-2,2-4 h,372,243.7661402,214.4484359918962,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,50.0,0.12062456816298578,m^2 s^-2,2-4 h,372,248.1167282,213.543943405127,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,60.0,0.1333305281189053,m^2 s^-2,2-4 h,372,251.7943442,212.63945081835783,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,70.0,0.14434029471475274,m^2 s^-2,2-4 h,372,254.9810136,211.73495823158868,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,80.0,0.15403271853106232,m^2 s^-2,2-4 h,372,257.786391,210.8304656448195,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,90.0,0.16269132338681233,m^2 s^-2,2-4 h,372,260.2925396,209.92597305805032,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,100.0,0.1703355039596438,m^2 s^-2,2-4 h,372,262.505073,209.02148047128114,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,110.0,0.17702401296638073,m^2 s^-2,2-4 h,372,264.4409966,208.11698788451196,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,120.0,0.18316592207995153,m^2 s^-2,2-4 h,372,266.2187122,207.2124952977428,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,130.0,0.18855624597558454,m^2 s^-2,2-4 h,372,267.7788888,206.30800271097362,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,140.0,0.19327167786151542,m^2 s^-2,2-4 h,372,269.1437245,205.40351012420444,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,150.0,0.19762995587421556,m^2 s^-2,2-4 h,372,270.4051855,204.49901753743526,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,160.0,0.2011564448914197,m^2 s^-2,2-4 h,372,271.4258933,203.59452495066608,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,170.0,0.2045328670030337,m^2 s^-2,2-4 h,372,272.4031657,202.69003236389693,0.0,1,vector centerline interpolation
6,11,Mixed-SGS,25MS,w_variance,height_m,180.0,0.2070758341448112,m^2 s^-2,2-4 h,372,273.1392027,201.78553977712775,0.0,1,vector centerline interpolation
