figure,page,experiment,case_id,variable,coordinate,coordinate_value,value,units,averaging,svg_path_index,svg_x_pt,svg_y_pt,outline_halfwidth_value,intersection_count,method
7,12,Mixed-SGS,25MS,w_skewness,height_m,10.0,-0.45262672919087454,1,2-4 h,370,223.9642197,584.4657547536726,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,20.0,-0.21276524588064472,1,2-4 h,370,232.4960389,583.5486970518871,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,30.0,-0.042230204473129085,1,2-4 h,370,238.5619321,582.6316393501014,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,40.0,0.09777825998546286,1,2-4 h,370,243.5420018,581.7145816483159,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,50.0,0.21234510222428815,1,2-4 h,370,247.6171187,580.7975239465302,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,60.0,0.30798474619921534,1,2-4 h,370,251.0189994,579.8804662447445,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,70.0,0.38750366447219364,1,2-4 h,370,253.8474695,578.963408542959,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,80.0,0.45567305382118484,1,2-4 h,370,256.2722394,578.0463508411733,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,90.0,0.5140411247327803,1,2-4 h,370,258.3483786,577.1292931393878,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,100.0,0.5640049425185127,1,2-4 h,370,260.1255804,576.2122354376021,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,110.0,0.6068071127030192,1,2-4 h,370,261.648044,575.2951777358165,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,120.0,0.6435426885738917,1,2-4 h,370,262.9547202,574.3781200340309,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,130.0,0.6763192572096814,1,2-4 h,370,264.1205754,573.4610623322452,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,140.0,0.7059533236148083,1,2-4 h,370,265.1746525,572.5440046304597,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,150.0,0.7331110010672985,1,2-4 h,370,266.140645,571.626946928674,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,160.0,0.7579222004222961,1,2-4 h,370,267.0231738,570.7098892268884,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,170.0,0.7809505856195493,1,2-4 h,370,267.8422883,569.7928315251028,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,180.0,0.8027738240606725,1,2-4 h,370,268.618536,568.8757738233171,0.0,1,vector centerline interpolation
7,12,Mixed-SGS,25MS,w_skewness,height_m,190.0,0.8237243243626027,1,2-4 h,370,269.3637406,567.9587161215316,0.0,1,vector centerline interpolation
