case_id,variable,extracted_mean_2_4h,published_table4_mean,difference,tolerance,pass
25MS,cloud_fraction,0.5366758386662224,0.54,-0.0033241613337776643,0.006,true
45MS,cloud_fraction,0.5222587600924351,0.52,0.002258760092435086,0.006,true
65MS,cloud_fraction,0.5059843501351127,0.51,-0.0040156498648873384,0.006,true
22MS,cloud_fraction,0.748810367710908,0.75,-0.0011896322890919686,0.006,true
44MS,cloud_fraction,0.9679929500409421,0.97,-0.0020070499590578716,0.006,true
66MS,cloud_fraction,0.983621253639733,0.98,0.0036212536397329798,0.006,true
55MS,cloud_fraction,0.9779291392159937,0.98,-0.002070860784006312,0.006,true
77MS,cloud_fraction,0.9891407035303411,0.99,-0.0008592964696588767,0.006,true
99MS,cloud_fraction,0.9898158889283544,0.99,-0.00018411107164562068,0.006,true
25MN,cloud_fraction,0.7967153278694548,0.8,-0.0032846721305452853,0.006,true
45MN,cloud_fraction,0.8683900393485436,0.87,-0.0016099606514563547,0.006,true
65MN,cloud_fraction,0.8834780193713876,0.88,0.003478019371387586,0.006,true
55NN,cloud_fraction,0.9969617479860912,1.0,-0.0030382520139088376,0.006,true
77NN,cloud_fraction,0.9980790344989202,1.0,-0.0019209655010797855,0.006,true
99NN,cloud_fraction,0.9976366875535345,1.0,-0.002363312446465482,0.006,true
25MS,LWP,9.045518143523372,9.1,-0.0544818564766274,0.12,true
45MS,LWP,9.325402588781413,9.3,0.02540258878141266,0.12,true
65MS,LWP,9.873700089071269,9.9,-0.026299910928731407,0.12,true
22MS,LWP,12.395516693601445,12.4,-0.004483306398554987,0.12,true
44MS,LWP,30.124790192865234,30.1,0.02479019286523254,0.12,true
66MS,LWP,33.381852396628034,33.4,-0.01814760337196475,0.12,true
55MS,LWP,39.333555392313,39.3,0.03355539231300497,0.12,true
77MS,LWP,42.033441073953085,42.0,0.033441073953085265,0.12,true
99MS,LWP,45.065379119248945,45.1,-0.034620880751056404,0.12,true
25MN,LWP,19.238204676641658,19.2,0.03820467664165861,0.12,true
45MN,LWP,23.962881143594313,24.0,-0.03711885640568724,0.12,true
65MN,LWP,23.30624897764068,23.3,0.006248977640680664,0.12,true
55NN,LWP,56.31582081327048,56.3,0.015820813270480016,0.12,true
77NN,LWP,55.80571797930236,55.8,0.005717979302360732,0.12,true
99NN,LWP,53.60862668630241,53.6,0.008626686302406483,0.12,true
