time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
0.0,0.0677318722,0,1,1,592.5,0,1,838.166687,0,1,840.543457,0,837.5,0,0,0,0,0,0.295254111,0.810248137,-0.0836955905,0.0657608211,-0.0685472861,0.0538585819,1.22099054,0,0,0,0,15,115,0.000634634634
60.0,0.0679063424,4.65661287e-10,1,1,592.5,0,1,838.071045,0,1,840.491028,0,837.5,0,-1.95577741e-08,0.000685817969,4.57211968e-07,4.20407423e-06,0.264205247,0.810217381,-0.0670324638,0.052639246,-0.0549000688,0.0431119204,1.22099054,0,0,0,0,15,115,0.000634634634
120.0,0.0680681318,1.39698386e-09,1,1,592.5,0,1,837.973328,0,1,840.435852,0,837.5,0,-5.58793545e-08,0.00162293902,1.08195934e-06,9.56619624e-06,0.239072755,0.81018585,-0.0549208373,0.043056719,-0.0449805595,0.0352637619,1.22099054,0,0,0,0,15,115,0.000634634634
180.0,0.0682084113,2.79396772e-09,1,1,592.5,0,1,837.871338,0.0625,1,840.376404,0,837.5,0,-1.10827386e-07,0.00234294776,1.56196518e-06,1.29847158e-05,0.218314245,0.810152948,-0.0458455905,0.0358426496,-0.0375478677,0.0293553863,1.22099054,0,0,0,0,15,115,0.000634634634
240.0,0.0682704151,4.42378223e-08,1,1,592.5,0,1,837.758789,0,1,840.312927,0,837.5,0,-1.62981451e-07,0.00301168184,2.007788e-06,1.52306266e-05,0.200881541,0.810116708,-0.0388731807,0.0302740429,-0.031837415,0.0247946586,1.22099054,0,0,0,0,15,115,0.000634634634
300.0,0.0683115646,5.72763383e-08,1,1,592.5,0,1,837.622803,0.0625,1,840.243225,0,837.5,0,-2.11410224e-07,0.0037635453,2.50903031e-06,1.75190689e-05,0.186036542,0.810072839,-0.0334026553,0.0258843563,-0.0273570139,0.0211994741,1.22099054,0,0,0,0,15,115,0.000634634634
360.0,0.0686488971,4.65661287e-10,1,1,592.5,0,1,837.354187,0.0625,1,840.167664,0,837.5,0,-2.57976353e-07,0.00481788116,3.21192078e-06,2.19856047e-05,0.173245594,0.809986293,-0.0290334225,0.0223618541,-0.0237785801,0.018314518,1.22099054,0,0,0,0,15,115,0.000634634634
420.0,0.0693142638,0,1,1,592.5,0,1,836.595947,0.0625,1,840.088074,0,837.5,0,-3.0733645e-07,0.00639210083,4.26140059e-06,2.99906151e-05,0.16211316,0.809741735,-0.0254900549,0.0194917023,-0.020876538,0.0159638431,1.22099054,0,0,0,0,15,115,0.000634634634
480.0,0.0699812025,4.65661287e-10,1,1,577.576477,1.15625,1,835.983398,0,1,840.006165,0.0625,837.5,0,-3.56696546e-07,0.00920578837,6.13719203e-06,4.55616901e-05,0.152339086,0.809544027,-0.0225779228,0.0171217136,-0.0184914805,0.0140228057,1.22099054,0,0,0,0,15,115,0.000634634634
540.0,0.0706599727,9.31322575e-10,1,1,549.299072,15420.2188,1,835.510071,0.1875,1,839.922302,0,837.5,0,-3.99537385e-07,0.0147930356,9.86202394e-06,7.73892098e-05,0.143695101,0.809391201,-0.020157354,0.0151424408,-0.016509017,0.0124017671,1.22099054,0,0,0,0,15,115,0.000634634634
