variable,time_s,z_m,value,location,units,record_kind,window_start_s,window_end_s
u_mean,9000.0,2.5,4.59739542,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,7.5,6.87896395,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,12.5,6.76229715,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,17.5,6.8038187,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,22.5,6.83284426,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,27.5,6.85660267,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,32.5,6.87430668,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,37.5,6.88781691,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,42.5,6.89807081,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,47.5,6.90591383,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,52.5,6.91209412,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,57.5,6.91670513,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,62.5,6.92037868,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,67.5,6.9229784,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,72.5,6.92501354,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,77.5,6.92629194,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,82.5,6.92724609,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,87.5,6.92778921,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,92.5,6.92798758,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,97.5,6.92798281,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,102.5,6.92771435,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,107.5,6.92720938,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
