time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
0.0,0.0677318722,0,1,1,592.5,0,1,838.166687,0,1,840.543457,0,837.5,0,0,0,0,0,0.295254111,0.810248137,-0.0836955905,0.0657608211,-0.0685472861,0.0538585819,1.22099054,3.02486375e-14,0,4.32398508e-08,0,15,115,0.000634634634
60.0,0.0679086596,0,1,1,592.5,0,1,838.071289,0,1,840.490845,0,837.5,0,-1.95577741e-08,0.0250816643,1.67211092e-05,0.000229965954,0.273546726,0.81021744,-0.0718504116,0.056434989,-0.0588460006,0.0462206602,1.22099054,-0.0464652926,0.0366535299,0.0100162765,2.85756996e-05,15,115,0.000634634634
120.0,0.0680789128,9.31322575e-10,1,1,592.5,0,1,837.974304,0,1,840.435425,0,837.5,0,-5.68106771e-08,0.0952174291,6.34782846e-05,0.000907184964,0.263470054,0.810186207,-0.066670008,0.0523338728,-0.0546032153,0.0428618155,1.22099054,-0.0711257383,0.0562814139,0.016152462,4.65942321e-05,15,115,0.000634634634
180.0,0.0682389066,9.31322575e-10,1,1,592.5,0,1,837.875854,0,1,840.375671,0,837.5,0,-9.77888703e-08,0.203230828,0.000135487222,0.00208406663,0.256310791,0.810154438,-0.0631145984,0.0495046787,-0.0516913086,0.040544685,1.22099054,-0.0875824615,0.0695027784,0.0214374233,6.00949134e-05,15,115,0.000634634634
240.0,0.068374224,4.65661287e-10,1,1,592.503784,0.0625,1,837.776245,0,1,840.312073,0.0625,837.5,0,-1.20140612e-07,0.364699364,0.000243132905,0.00417008018,0.250679463,0.810122371,-0.0603917576,0.0473277047,-0.0494612828,0.0387617275,1.22099054,-0.0998549834,0.0794409588,0.0268530305,7.09695305e-05,15,115,0.000634634634
300.0,0.0684892312,1.86264515e-09,1,1,592.508667,0.0625,1,837.675659,0.1875,1,840.243408,0,837.5,0,-1.11758709e-07,0.637983322,0.000425322214,0.00799349323,0.246131808,0.810089886,-0.0582397915,0.0456014276,-0.047698807,0.0373478942,1.22099054,-0.109253086,0.0870678872,0.0320828371,7.94378575e-05,15,115,0.000634634634
360.0,0.0686128065,4.65661287e-09,1,1,592.501648,0,1,837.575195,0,1,840.168701,0.0625,837.5,0,-8.00937414e-08,1.16858315,0.000779055408,0.0146023585,0.242669091,0.810057521,-0.0566264205,0.0443097353,-0.0463774428,0.0362899899,1.22099054,-0.116550684,0.0929073244,0.03580717,8.47910414e-05,15,115,0.000634634634
420.0,0.0691990554,4.19095159e-09,1,1,592.295471,3,1,837.314026,0,1,840.092346,0.125,837.5,0,-4.47034836e-08,2.27672482,0.00151781656,0.026159022,0.240817219,0.8099733,-0.0557614155,0.0436411984,-0.0456690006,0.0357424542,1.22099054,-0.121546067,0.0965197384,0.0362376086,8.33123704e-05,15,115,0.000634634634
480.0,0.0697466508,7.91624188e-09,1,1,590.985779,20.46875,1,836.687927,0.0625,1,840.022583,0.0625,837.5,0,0,4.49403381,0.00299602258,0.0573886037,0.241723344,0.809771359,-0.0561346225,0.0440304875,-0.0459746569,0.0360612832,1.22099054,-0.121364832,0.0952792615,0.0327009447,7.16535724e-05,15,115,0.000634634634
540.0,0.0702184215,5.77419996e-08,1,1,587.842896,49.46875,1,836.20929,0.125,1,839.959412,0,835.342896,1782.5625,9.406358e-08,8.25032043,0.00550021371,0.103632696,0.246225864,0.809616983,-0.0581313521,0.045830965,-0.0476099923,0.0375358872,1.22099054,-0.11402411,0.0870871246,0.0320230871,5.07842888e-05,15,115,0.000634634634
600.0,0.0704714879,4.18629497e-07,1,1,586.689453,61.0625,1,835.990784,1,1,839.919067,0,828.350159,6843.75,4.72180545e-07,13.650445,0.00910029653,0.164840698,0.253241748,0.809546411,-0.0613373928,0.048674535,-0.0502357632,0.0398647934,1.22099054,-0.101108067,0.073601976,0.0392933451,3.92233378e-05,15,115,0.000634634634
660.0,0.0706494749,4.86522913e-06,1,1,587.625305,64.90625,1,836.067627,4.6875,1,839.959656,0,753.295898,52560.3125,1.06617808e-05,22.0050011,0.0146700004,0.260154486,0.260072231,0.809571207,-0.0645640343,0.0514950305,-0.0528784059,0.0421747975,1.22099054,-0.0885614455,0.0613818243,0.0813754499,3.17349404e-05,15,115,0.000634634634
720.0,0.0686035752,6.20381907e-05,1,1,589.569214,52.03125,1,836.581238,16.6875,1,840.406555,0.5625,745.362976,53982.1875,9.34107229e-05,35.9662094,0.0239774734,0.389195591,0.265459925,0.809736967,-0.0671941563,0.053741619,-0.0550324954,0.0440147705,1.22099054,-0.0775531083,0.0516339689,0.0900354236,3.35315199e-05,15,115,0.000634634634
780.0,0.0668316185,7.01304525e-05,1,1,590.436768,38,1,837.041382,42.8125,1,840.772217,1.5,776.931396,21045.625,0.000243020244,52.6844635,0.0351229757,0.576381564,0.269156039,0.809885383,-0.0690569729,0.0552752689,-0.0565581545,0.0452708416,1.22099054,-0.0689925924,0.0435698368,0.0900216475,3.74047959e-05,15,115,0.000634634634
840.0,0.0645233542,6.24833629e-05,1,1,590.538208,32.5625,1,835.489624,156.625,1,841.379089,2.75,792.346436,9406.125,0.000295037404,66.7911377,0.0445274264,0.580466449,0.270806968,0.809384584,-0.0699400529,0.0559137538,-0.0572814047,0.0457937643,1.22099054,-0.0631880909,0.0406983122,0.111892357,4.15684372e-05,15,115,0.000634634634
900.0,0.0613469817,0.000109096291,1,1,590.471985,21.0625,1,835.953247,141.9375,1,842.135193,4.1875,794.051086,8220.375,0.000321808271,81.9473267,0.0546315499,0.596351504,0.270950794,0.809534311,-0.0700953007,0.0558718033,-0.0574085526,0.0457594059,1.22099054,-0.0612430573,0.0403099693,0.116008557,4.52013446e-05,15,115,0.000634634634
960.0,0.0580226704,0.00015850761,1,1,589.230164,21.6875,1,837.330505,37.6875,1,842.945374,5.0625,796.548401,7743.0625,0.000323066488,99.8587036,0.0665724725,0.655049801,0.270391524,0.809978664,-0.069898881,0.0555249415,-0.0572476834,0.0454753265,1.22099054,-0.0628887862,0.0427409895,0.0901821554,4.60046867e-05,15,115,0.000634634634
1020.0,0.0548859388,0.000188307837,1,1,594.235046,35.84375,1,837.796448,24.5625,1,843.738037,5.375,800.715088,7946.375,0.00032084994,119.913864,0.0799425766,0.701977611,0.269686222,0.810128868,-0.0696118772,0.055138357,-0.057012625,0.0451587103,1.22099054,-0.0602942258,0.0470082909,0.0690489411,4.4291377e-05,15,115,0.000634634634
1080.0,0.0518759638,0.000234399689,1,1,596.914612,117.09375,1,838.287781,29.3125,1,844.48999,5.4375,802.096924,7490.1875,0.000309584662,139.72963,0.0931530893,0.732874751,0.269264162,0.810287178,-0.0694657564,0.0548754036,-0.0568929538,0.0449433476,1.22099054,-0.0615972131,0.0476983003,0.0565796681,4.0549905e-05,15,115,0.000634634634
1140.0,0.0505059808,0.000294071855,1,1,609.702148,654.0625,1,838.695862,36.5625,1,845.141174,5.4375,798.366943,8331.6875,0.00031621661,154.134644,0.102756426,0.728990853,0.269113541,0.810418606,-0.0694528446,0.0547319092,-0.0568823777,0.0448258258,1.22099054,-0.0590894371,0.0462824553,0.0476728566,3.66291242e-05,15,115,0.000634634634
1200.0,0.0492382608,0.000337886857,1,1,615.181763,776.71875,1,839.385864,36.5,1,845.781982,5.8125,795.214294,10656.0625,0.000335090794,162.427902,0.108285271,0.716652572,0.269537359,0.810640812,-0.0697554499,0.0547980964,-0.0571302138,0.0448800325,1.22099054,-0.0581981093,0.0462322123,0.0402411222,3.47951718e-05,15,115,0.000634634634
1260.0,0.0478716418,0.000364590902,1,1,621.725281,1104.84375,1,839.966248,36.8125,1,846.496582,6.625,792.714294,11806.75,0.000348213129,166.839035,0.111226022,0.682451904,0.270467043,0.810827613,-0.0703108832,0.0550832078,-0.0575851165,0.0451135412,1.22099054,-0.0600286387,0.044588048,0.0339533165,3.01489326e-05,15,115,0.000634634634
1320.0,0.0467601307,0.000362756895,0.99989152,0.99989152,630.801086,1428.4375,1,840.4646,38.9375,1,847.231873,7.125,794.894775,11120.1875,0.000352698378,168.850891,0.112567261,0.639368296,0.271300912,0.810987949,-0.0708027557,0.0553496927,-0.0579879656,0.0453317948,1.22099054,-0.0590012521,0.0440971665,0.0335780047,2.30060978e-05,15,115,0.000634634634
1380.0,0.0459166728,0.000345221953,1,1,637.389343,1554.6875,1,840.949524,39.625,1,847.954529,7.375,800.040161,8776.75,0.000353555195,170.329056,0.113552704,0.615888059,0.271552861,0.811143875,-0.0709982589,0.0553706698,-0.0581480823,0.0453489758,1.22099054,-0.0548036136,0.0470994636,0.0338030718,2.09122445e-05,15,115,0.000634634634
1440.0,0.0450912453,0.00031553884,1,1,641.163757,1572.15625,1,841.51947,39.625,1,848.574951,7.125,800.34668,7334.0625,0.000356348231,172.746872,0.115164578,0.59455204,0.27138263,0.8113271,-0.0709461123,0.0552540012,-0.0581053756,0.0452534221,1.22099054,-0.0580519885,0.0479230694,0.0372371823,2.00546056e-05,15,115,0.000634634634
1500.0,0.0440177917,0.000296146725,1,1,643.907349,1679.03125,1,842.002808,41,1,849.173523,7.0625,797.424072,9210.4375,0.000362855382,176.95636,0.117970906,0.583603859,0.270910561,0.81148243,-0.0707043931,0.0550556481,-0.0579074062,0.0450909697,1.22099054,-0.0605987981,0.0514213294,0.0447375029,1.81575633e-05,15,115,0.000634634634
1560.0,0.0428867415,0.000274344464,1,1,646.011841,1851.8125,1,842.551086,41.4375,1,849.680481,6.8125,799.805237,8384.375,0.000372073613,183.467514,0.122311674,0.564327538,0.270479679,0.811658502,-0.0704804659,0.0548796318,-0.0577240065,0.0449468121,1.22099054,-0.0626278818,0.0523044392,0.0455203205,1.98395282e-05,15,115,0.000634634634
1620.0,0.0413858294,0.000268563046,1,1,648.724487,2047.46875,1,843.086182,41.8125,1,850.202881,6.8125,797.497803,9681.125,0.000384036452,192.343796,0.128229201,0.540212631,0.270463377,0.811830282,-0.0704503357,0.0549008027,-0.0576993302,0.0449641496,1.22099054,-0.0603146553,0.0526297875,0.0450877137,2.0750831e-05,15,115,0.000634634634
1680.0,0.0395711213,0.0002540485,0.99989152,0.99989152,648.656799,2366.125,1,843.565186,41.9375,1,850.717041,6.8125,800.398193,8488,0.000400363468,202.831512,0.135221004,0.538597643,0.270857632,0.811984003,-0.0706397519,0.0550816469,-0.0578544624,0.0451122634,1.22099054,-0.0630731285,0.052986484,0.0409089066,2.17477318e-05,15,115,0.000634634634
1740.0,0.0378460437,0.000236699125,1,1,648.087585,3163.59375,1,844.049133,41.125,1,851.178894,6.8125,800.251221,8039.5625,0.00041243434,213.679459,0.14245297,0.573570132,0.271053672,0.812139273,-0.0707495883,0.0551517531,-0.0579444207,0.0451696813,1.22099054,-0.0599591583,0.0501905307,0.0391188189,2.35161933e-05,15,115,0.000634634634
1800.0,0.0363339595,0.000223599491,0.99989152,0.99989152,643.714844,3973.6875,1,844.518372,40.4375,1,851.637268,6.875,802.433838,6904.375,0.000413498841,223.869843,0.149246559,0.60317862,0.271065593,0.812289715,-0.0707542747,0.0551585704,-0.0579482578,0.0451752655,1.22099054,-0.0606786162,0.0508741364,0.0337311178,3.01959226e-05,15,115,0.000634634634
1860.0,0.0352825783,0.000211669365,1,1,635.73999,4396.90625,1,845.029175,37.5625,1,852.053162,6.875,804.534485,6013.6875,0.000413705595,233.015015,0.155343339,0.619523108,0.27103743,0.812453508,-0.0707271919,0.0551629812,-0.0579260774,0.0451788753,1.22099054,-0.0599247627,0.0539599992,0.0325520672,3.59392288e-05,15,115,0.000634634634
