time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
0.0,0.0677318722,0,1,1,592.5,0,1,838.166687,0,1,840.543457,0,837.5,0,0,0,0,0,0.295254111,0.810248137,-0.0836955905,0.0657608211,-0.0685472861,0.0538585819,1.22099054,3.02486375e-14,0,4.32398508e-08,0,15,115,0.000634634634
60.0,0.067906253,0,1,1,592.5,0,1,838.071045,0,1,840.491028,0.0625,837.5,0,-2.14204192e-08,0.000681940408,4.54626928e-07,4.21093318e-06,0.27355209,0.810217381,-0.0718532279,0.0564372018,-0.0588483103,0.0462224744,1.22099054,-0.0464866981,0.0366707593,0.0088337753,2.85902224e-05,15,115,0.000634634634
120.0,0.0680708066,4.65661287e-10,1,1,592.5,0,1,837.973328,0,1,840.435547,0,837.5,0,-5.77419996e-08,0.00159669691,1.06446464e-06,9.56907388e-06,0.263463765,0.81018585,-0.0666668564,0.052331347,-0.0546006337,0.042859748,1.22099054,-0.0710936561,0.0562580153,0.0138345929,4.65782323e-05,15,115,0.000634634634
180.0,0.0682103708,2.32830644e-09,1,1,592.5,0,1,837.871399,0.0625,1,840.376221,0,837.5,0,-1.10827386e-07,0.00225038989,1.50025994e-06,1.29717928e-05,0.256271243,0.810153008,-0.0630953461,0.0494890995,-0.0516755395,0.0405319259,1.22099054,-0.0875373706,0.0694749877,0.0180577114,6.01464671e-05,15,115,0.000634634634
240.0,0.0682707727,4.51691449e-08,1,1,592.5,0,1,837.759216,0.0625,1,840.313416,0.0625,837.5,0,-1.57393515e-07,0.00278963498,1.85975671e-06,1.5077042e-05,0.250545859,0.810116827,-0.0603285842,0.047275763,-0.0494095422,0.0387191884,1.22099054,-0.0998997688,0.0795126706,0.0224077478,7.14794587e-05,15,115,0.000634634634
300.0,0.0683087632,6.05359674e-08,1,1,592.5,0,1,837.624756,0,1,840.244873,0,837.5,0,-2.05822289e-07,0.00334014208,2.22676135e-06,1.68687184e-05,0.245740071,0.810073495,-0.0580590218,0.0454506725,-0.0475507565,0.0372244269,1.22099054,-0.109714143,0.0875662863,0.0269439369,8.13615479e-05,15,115,0.000634634634
360.0,0.0686238855,0,1,1,592.5,0,1,837.377686,0.0625,1,840.170532,0,837.5,0,-2.56113708e-07,0.00407934887,2.71956583e-06,1.96293477e-05,0.241574883,0.809993804,-0.0561314411,0.0438924581,-0.045972053,0.0359482393,1.22099054,-0.117606468,0.0941161811,0.0314944796,9.0005713e-05,15,115,0.000634634634
420.0,0.0692674667,0,1,1,592.5,0,1,836.634277,0.0625,1,840.092529,0.0625,837.5,0,-2.98954546e-07,0.00508095603,3.3873041e-06,2.53796825e-05,0.237885088,0.809754074,-0.0544547774,0.0425299741,-0.0445988514,0.0348323546,1.22099054,-0.123832189,0.09934818,0.0357287787,9.76012816e-05,15,115,0.000634634634
480.0,0.0699201152,9.31322575e-10,1,1,582.644836,50.71875,1,836.011414,0,1,840.011047,0.125,837.5,0,-3.41795385e-07,0.006702282,4.46818785e-06,3.60229242e-05,0.234564304,0.809553087,-0.0529708602,0.0413177982,-0.0433835126,0.0338395722,1.22099054,-0.128752559,0.103541911,0.0406893939,0.000103582948,15,115,0.000634634634
540.0,0.070581764,0,1,1,577.5,0,1,835.525391,0.0625,1,839.92804,0.0625,837.5,0,-3.81842256e-07,0.00945127755,6.30085151e-06,5.64458314e-05,0.231535986,0.809396148,-0.0516384989,0.0402237512,-0.0422923006,0.0329435393,1.22099054,-0.133634761,0.107736841,0.0442752689,0.000109556218,15,115,0.000634634634
600.0,0.071264796,0,1,1,577.5,0,1,835.136414,0,1,839.844604,0.0625,837.072998,2,-4.11644578e-07,0.0142245889,9.48305933e-06,9.74054201e-05,0.228745177,0.809270501,-0.0504283905,0.039224945,-0.0413012132,0.0321255103,1.22099054,-0.140205801,0.113378063,0.0474137068,0.000116904419,15,115,0.000634634634
