variable,time_s,z_m,value,location,units,record_kind,window_start_s,window_end_s
u_mean,9000.0,10,5.29623175,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,30,6.87964344,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,50,6.72433805,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,70,6.75283241,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,90,6.76877642,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,110,6.7813592,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,130,6.78800583,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,150,6.79137516,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,170,6.79307795,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,190,6.79428625,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,210,6.79564285,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,230,6.79708099,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,250,6.79830074,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,270,6.79899359,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,290,6.79903412,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,310,6.79843473,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,330,6.7973175,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,350,6.79557848,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,370,6.7934227,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,390,6.79083157,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,410,6.78813791,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,430,6.7853446,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,450,6.78209305,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,470,6.77821493,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,490,6.77426004,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,510,6.77014971,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,530,6.76596355,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,550,6.76173878,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,570,6.75768852,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,590,6.75323677,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,610,6.74784613,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,630,6.74184561,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,650,6.73553371,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,670,6.72864056,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,690,6.72075367,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,710,6.71288204,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,730,6.70506859,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,750,6.69776487,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,770,6.69271469,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,790,6.69280672,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,810,6.7056632,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
