time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
0.0,0.067632705,0,1,1,610,0,1,832.666687,0,1,841.262878,0,830,0,0,0,0,0,0.295254171,0.808471978,-0.0836956277,0.0657608509,-0.0685473159,0.053858608,1.22099054,0,0,0,0,15,115,0.000634634634
60.0,0.0678146183,4.65661287e-10,1,1,610,0,1,832.571594,0.0625,1,841.27887,0,830,0,3.7252903e-09,0.00151850644,1.01233763e-06,9.02280044e-06,0.286821961,0.808441222,-0.0789875165,0.0620530397,-0.0646913424,0.0508218855,1.22099054,0,0,0,0,15,115,0.000634634634
120.0,0.0679803789,0,1,1,610,0,1,832.475708,0,1,841.294373,0,830,0,1.67638063e-08,0.00396817084,2.64544724e-06,2.17744127e-05,0.278860152,0.808410168,-0.0746750161,0.0586407706,-0.0611593723,0.0480272099,1.22099054,0,0,0,0,15,115,0.000634634634
180.0,0.0681416765,1.39698386e-09,1,1,610,0,1,832.37915,0,1,841.30957,0,830,0,3.63215804e-08,0.00698441081,4.65627409e-06,3.63798317e-05,0.271330625,0.808378935,-0.070715487,0.0554930419,-0.0579164922,0.0454491973,1.22099054,0,0,0,0,15,115,0.000634634634
240.0,0.0683026165,3.7252903e-09,1,1,610,0,1,832.281982,0,1,841.323975,0.1875,830,0,5.40167093e-08,0.0104052546,6.93683614e-06,5.15743232e-05,0.264199436,0.808347464,-0.0670719445,0.0525828786,-0.0549324043,0.0430657528,1.22099054,0,0,0,0,15,115,0.000634634634
300.0,0.0684536546,1.07102096e-08,1,1,610,0,1,832.183655,0.0625,1,841.33783,0,830,0,7.82310963e-08,0.0141747538,9.44983549e-06,6.62620005e-05,0.257436484,0.808315635,-0.0637122542,0.0498868003,-0.0521807931,0.0408576466,1.22099054,0,0,0,0,15,115,0.000634634634
360.0,0.0685867369,3.35276127e-08,1,1,610,0,1,832.083374,0,1,841.351318,0,830,0,9.77888703e-08,0.0183718819,1.22479214e-05,8.05513409e-05,0.251014233,0.80828315,-0.0606080815,0.0473840423,-0.0496384539,0.038807869,1.22099054,0,0,0,0,15,115,0.000634634634
420.0,0.0686860308,1.35973096e-07,1,1,610,0,1,831.979065,0,1,841.364258,0,830,0,1.1920929e-07,0.0233450085,1.55633388e-05,9.44446219e-05,0.244908586,0.808249414,-0.0577348322,0.045056574,-0.0472852401,0.0369016565,1.22099054,0,0,0,0,15,115,0.000634634634
480.0,0.0687184036,5.81145287e-07,1,1,610,0,1,831.866211,0,1,841.377502,0,830,0,1.43423676e-07,0.0299688056,1.9979203e-05,0.000108832057,0.239097595,0.808212817,-0.0550707653,0.0428883955,-0.0451033525,0.0351259038,1.22099054,0,0,0,0,15,115,0.000634634634
540.0,0.068630673,2.15088949e-06,1,1,610,0,1,831.732727,0.125,1,841.391296,0,830,0,1.70432031e-07,0.0400432423,2.66954939e-05,0.000124474289,0.233561754,0.808169603,-0.0525967889,0.040865466,-0.0430771485,0.0334691107,1.22099054,0,0,0,0,15,115,0.000634634634
600.0,0.0684197918,5.09340316e-06,1,1,610,0,1,831.536133,0.625,1,841.405029,0.0625,830,0,2.04890966e-07,0.0553670451,3.69113623e-05,0.000141009063,0.228283688,0.808105946,-0.0502960943,0.0389753953,-0.0411928631,0.0319211297,1.22099054,0,0,0,0,15,115,0.000634634634
660.0,0.0681323856,8.27480108e-06,1,1,610,0,1,831.27771,1.3125,1,841.417419,0.125,830,0,2.48663127e-07,0.0772962272,5.15308166e-05,0.000157627612,0.223248631,0.808022201,-0.0481541753,0.0372075029,-0.0394386128,0.0304732118,1.22099054,0,0,0,0,15,115,0.000634634634
720.0,0.0678312555,1.11502595e-05,1,1,610,0,1,830.968323,2.375,1,841.426819,0.1875,830,0,3.05473804e-07,0.111355066,7.4236712e-05,0.00017405118,0.218445331,0.807921946,-0.0461589172,0.0355529115,-0.0378044844,0.029118089,1.22099054,0,0,0,0,15,115,0.000634634634
780.0,0.0675640479,1.33118592e-05,1,1,610,0,1,830.621826,3.6875,1,841.432495,0.1875,830,0,3.89292836e-07,0.169025958,0.000112683971,0.000190056235,0.213867068,0.807809651,-0.0443008617,0.0340047814,-0.0362827219,0.0278501604,1.22099054,0,0,0,0,15,115,0.000634634634
840.0,0.0673355237,1.47218816e-05,1,1,610,0,1,830.248169,5.375,1,841.43457,0.1875,830,0,5.14090061e-07,0.272680938,0.000181787298,0.000255451538,0.209515586,0.807688475,-0.0425744541,0.0325593837,-0.0348687842,0.0266663693,1.22099054,0,0,0,0,15,115,0.000634634634
900.0,0.0671402514,1.55447051e-05,1,1,610,0,1,829.862488,7.125,1,841.433289,0.125,830,0,7.1618706e-07,0.467499435,0.000311666285,0.000533322513,0.20540826,0.807563424,-0.0409804136,0.031218214,-0.0335632525,0.0255679414,1.22099054,0,0,0,0,15,115,0.000634634634
960.0,0.066978842,1.5898142e-05,1,1,610,0,1,829.468628,9.375,1,841.428467,0.375,829.924072,1.4375,1.07754022e-06,0.844884455,0.000563256326,0.00115156081,0.201592833,0.807435632,-0.0395307392,0.0299921725,-0.0323759578,0.0245638043,1.22099054,0,0,0,0,15,115,0.000634634634
1020.0,0.0668284073,1.58138573e-05,1,1,610,0,1,829.086731,11.9375,1,841.421021,0.375,829.303406,148.875,1.79000199e-06,1.59035492,0.00106023659,0.00254308968,0.198176503,0.807311714,-0.0382586382,0.0289097894,-0.0313340984,0.0236773249,1.22099054,0,0,0,0,15,115,0.000634634634
