variable,time_s,z_m,value,location,units,record_kind,window_start_s,window_end_s
u_mean,9000.0,10,6.31221199,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,30,6.50590754,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,50,6.49390984,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,70,6.49806404,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,90,6.49533033,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,110,6.4995594,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,130,6.50247478,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,150,6.50805569,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,170,6.51316738,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,190,6.51910639,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,210,6.52470303,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,230,6.53049326,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,250,6.53610992,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,270,6.54188442,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,290,6.54743433,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,310,6.55269909,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,330,6.55810118,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,350,6.56406212,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,370,6.57079554,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,390,6.5782485,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,410,6.58671951,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,430,6.5965662,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,450,6.60801983,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,470,6.62131453,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,490,6.63670015,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,510,6.65322256,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,530,6.67018986,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,550,6.68690252,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,570,6.7026639,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,590,6.71666145,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,610,6.72774887,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,630,6.73611259,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,650,6.74208879,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,670,6.74633217,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,690,6.74992895,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,710,6.75368595,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,730,6.75642347,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,750,6.75904083,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,770,6.76081753,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,790,6.76236582,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,810,6.76093769,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,830,6.75618792,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,850,6.74300241,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,870,6.75134993,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,890,6.97332573,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,910,7.03821039,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,930,7.04578924,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,950,7.04056168,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,970,7.03112984,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,990,7.02251053,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1010,7.01466894,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1030,7.00567102,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1050,6.99377728,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1070,6.97698545,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1090,6.96340179,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1110,6.97408247,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1130,6.99359322,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1150,6.99996662,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1170,6.99963093,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1190,6.99687767,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1210,6.99399996,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1230,6.99199772,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1250,6.9928093,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1270,6.99491262,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1290,6.99425936,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1310,6.99349499,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1330,6.99594879,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1350,6.9956069,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1370,6.99562836,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1390,6.99670362,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1410,6.996562,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1430,6.99603987,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1450,6.99484825,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1470,6.9948988,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1490,6.99508762,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,10800.0,10,6.23637199,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,30,6.43492222,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,50,6.43386507,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,70,6.44513702,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,90,6.4477787,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,110,6.45577812,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,130,6.46146965,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,150,6.4689579,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,170,6.47562027,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,190,6.48295832,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,210,6.49004745,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,230,6.49755096,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,250,6.50513268,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,270,6.51295614,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,290,6.52072239,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,310,6.52839565,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,330,6.53602505,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,350,6.54377556,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,370,6.55189228,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,390,6.56047773,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,410,6.56978655,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,430,6.58011866,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,450,6.59161806,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,470,6.60458851,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,490,6.61915112,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,510,6.63465309,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,530,6.65111542,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,550,6.6679759,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,570,6.68413258,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,590,6.69885874,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,610,6.71174288,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,630,6.72257614,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,650,6.73117113,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,670,6.7380147,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,690,6.74267435,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,710,6.74578905,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,730,6.74738646,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,750,6.74885654,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,770,6.7495265,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,790,6.75012732,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,810,6.74750233,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,830,6.74341774,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,850,6.73156929,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,870,6.73757696,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,890,6.9002533,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,910,7.01891518,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,930,7.0304904,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,950,7.0257411,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,970,7.02199984,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,990,7.01717424,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1010,7.01395655,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1030,7.01063871,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1050,7.00731277,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1070,7.00206423,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1090,6.99416828,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1110,6.98351622,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1130,6.99069786,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1150,6.99408007,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1170,6.99626064,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1190,6.9983983,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1210,6.99671125,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1230,6.99377632,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1250,6.99355221,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1270,6.99521732,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1290,6.99539423,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1310,6.99383688,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1330,6.99602318,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1350,6.99523115,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,1370,6.99447441,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
