time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
0.0,0.067632705,0,1,1,610,0,1,832.666687,0,1,841.262878,0,830,0,0,0,0,0,0.295254171,0.808471978,-0.0836956277,0.0657608509,-0.0685473159,0.053858608,1.22099054,1.57468185e-14,0,4.46455406e-09,0,15,115,0.000634634634
60.0,0.0678158328,0,1,1,610,0,1,832.571838,0,1,841.278748,0.0625,830,0,2.79396772e-09,0.0369076543,2.46051022e-05,0.000377315417,0.286931604,0.808441341,-0.0790478438,0.0621005744,-0.0647407472,0.0508608148,1.22099054,-0.00276993867,0.00218648231,0.000755050511,1.58783632e-06,15,115,0.000634634634
120.0,0.0679877996,0,1,1,610,0,1,832.476685,0,1,841.294006,0,830,0,1.76951289e-08,0.144983366,9.66555745e-05,0.00149239681,0.279830128,0.808410525,-0.0751942098,0.0590509586,-0.0615845956,0.0483631566,1.22099054,-0.0138520636,0.0109840967,0.00308097224,8.16591546e-06,15,115,0.000634634634
180.0,0.0681565627,0,1,1,610,0,1,832.381042,0,1,841.309021,0,830,0,3.63215804e-08,0.317118943,0.000211412626,0.00328397262,0.274580002,0.808379591,-0.0724133104,0.0568378493,-0.0593070202,0.0465506054,1.22099054,-0.0255594645,0.0203521773,0.00533389626,1.54785102e-05,15,115,0.000634634634
240.0,0.0683279559,1.39698386e-09,1,1,610,0,1,832.285034,0,1,841.323425,0,830,0,5.58793545e-08,0.55130583,0.000367537228,0.00565599045,0.270491421,0.808348477,-0.0702887774,0.0551374964,-0.0575670116,0.0451580063,1.22099054,-0.0335480757,0.0268189833,0.0069932905,2.07496778e-05,15,115,0.000634634634
300.0,0.0684949681,9.31322575e-10,1,1,610,0,1,832.188721,0.0625,1,841.337036,0,830,0,8.19563866e-08,0.854078591,0.000569385709,0.00851624366,0.267104983,0.808317244,-0.0685568526,0.0537438355,-0.0561485551,0.0440165848,1.22099054,-0.0397398584,0.0318822712,0.00830713846,2.49467939e-05,15,115,0.000634634634
360.0,0.0686588138,9.31322575e-10,1,1,610,0,1,832.092102,0,1,841.350037,0,830,0,1.31316483e-07,1.2456193,0.000830412842,0.0117654037,0.264214396,0.808286011,-0.0670986697,0.0525644235,-0.0549542904,0.0430506393,1.22099054,-0.0448853336,0.0361139104,0.00934736151,2.83869831e-05,15,115,0.000634634634
420.0,0.0688175634,9.31322575e-10,1,1,610,0,1,831.995117,0,1,841.362549,0,830,0,2.7474016e-07,1.76944935,0.00117963285,0.0157007705,0.261745185,0.8082546,-0.065867871,0.0515642054,-0.0539462566,0.0422314554,1.22099054,-0.0493590832,0.0398185402,0.0101317661,3.11077092e-05,15,115,0.000634634634
480.0,0.0689720213,4.65661287e-09,1,1,610,0,1,831.897888,0,1,841.374207,0,829.913208,69.375,7.18981028e-07,2.51270366,0.00167513581,0.0239024572,0.259705931,0.808223128,-0.0648615286,0.050743416,-0.0531220585,0.0415592231,1.22099054,-0.0532283001,0.0430380069,0.0106285186,3.29413015e-05,15,115,0.000634634634
540.0,0.0691229478,1.76951289e-08,1,1,610,0,1,831.800537,0,1,841.38501,0,829.479187,416.375,1.97254121e-06,3.62233186,0.002414888,0.0380185917,0.258180946,0.808191538,-0.0641142279,0.050133612,-0.0525100119,0.0410597883,1.22099054,-0.0565221719,0.0457286015,0.0107681276,3.35759105e-05,15,115,0.000634634634
