variable,time_s,z_m,value,location,units,record_kind,window_start_s,window_end_s
u_mean,9000.0,10,5.74563456,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,30,6.15803051,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,50,6.3592968,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,70,6.48732471,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,90,6.56286764,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,110,6.60967207,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,130,6.64003754,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,150,6.6610899,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,170,6.67642164,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,190,6.68818188,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,210,6.69755745,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,230,6.70508862,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,250,6.71115828,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,270,6.71610308,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,290,6.72027397,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,310,6.72397137,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,330,6.72761679,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,350,6.73137999,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,370,6.73537302,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,390,6.73949814,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,410,6.74377489,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,430,6.74802732,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,450,6.75199032,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,470,6.75525427,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,490,6.75743484,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,510,6.75825405,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,530,6.75784826,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,550,6.75594568,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,570,6.75251436,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,590,6.74771547,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,610,6.74187422,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,630,6.73537207,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,650,6.72878551,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,670,6.7231164,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,690,6.71917868,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,710,6.71779919,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,730,6.7194519,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,750,6.72548962,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,770,6.73653984,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,790,6.75460815,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,810,6.78310871,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,830,6.83174562,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,850,6.91483879,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,870,6.97608423,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,890,6.99072552,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,910,6.98612452,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,930,6.99365711,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,950,6.99469709,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,970,6.99137688,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,990,6.99108171,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1010,6.99308062,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1030,6.99699402,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1050,6.99793959,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1070,6.99644279,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1090,6.9944458,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1110,6.99470186,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1130,6.99650383,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1150,6.99785042,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1170,6.99845934,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1190,6.99771643,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1210,6.99669266,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1230,6.99601841,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1250,6.99633408,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1270,6.99599552,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1290,6.99491739,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1310,6.99406672,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1330,6.99453115,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1350,6.9946475,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1370,6.99419117,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1390,6.99416637,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1410,6.99561357,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1430,6.99658775,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1450,6.99704552,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1470,6.99687195,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,1490,6.99604702,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,10800.0,10,5.70718193,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,30,6.11295271,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,50,6.31516218,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,70,6.44766283,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,90,6.52881479,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,110,6.58104753,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,130,6.61518192,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,150,6.6382947,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,170,6.65441132,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,190,6.66601419,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,210,6.67465734,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,230,6.6810379,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,250,6.6857605,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,270,6.68932343,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,290,6.69198227,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,310,6.69396734,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,330,6.69567776,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,350,6.69726181,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,370,6.69905472,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,390,6.70136976,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,410,6.70421886,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,430,6.70735931,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,450,6.71041203,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,470,6.71304512,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,490,6.71505928,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,510,6.71634817,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,530,6.71714878,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,550,6.71755695,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,570,6.71782541,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,590,6.71797895,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
u_mean,10800.0,610,6.71792698,Center,m s^-1,preceding_1800s_average,9000.0,10800.0
