time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
0.0,0.067632705,0,1,1,610,0,1,832.666687,0,1,841.262878,0,830,0,0,0,0,0,0.295254171,0.808471978,-0.0836956277,0.0657608509,-0.0685473159,0.053858608,1.22099054,1.57468185e-14,0,4.46455406e-09,0,15,115,0.000634634634
60.0,0.0678146183,0,1,1,610,0,1,832.571594,0,1,841.27887,0,830,0,3.7252903e-09,0.00151386589,1.00924387e-06,9.01538351e-06,0.28693983,0.808441222,-0.0790523812,0.0621041469,-0.0647444651,0.0508637428,1.22099054,-0.00279568206,0.00220696186,0.000516185304,1.6035691e-06,15,115,0.000634634634
120.0,0.0679803416,0,1,1,610,0,1,832.475708,0,1,841.294373,0,830,0,1.76951289e-08,0.00393534591,2.62356389e-06,2.17207325e-05,0.279811829,0.808410168,-0.0751843899,0.05904321,-0.0615765527,0.0483568124,1.22099054,-0.0140567981,0.0111468993,0.00259928429,8.30218778e-06,15,115,0.000634634634
180.0,0.0681405216,1.86264515e-09,1,1,610,0,1,832.37915,0.0625,1,841.309509,0.0625,830,0,3.63215804e-08,0.00683239987,4.55493318e-06,3.62498249e-05,0.274551302,0.808378935,-0.0723982155,0.0568259358,-0.0592946559,0.0465408489,1.22099054,-0.0254524425,0.0202676654,0.00476921722,1.54501577e-05,15,115,0.000634634634
240.0,0.0683017671,3.25962901e-09,1,1,610,0,1,832.281982,0,1,841.324341,0.0625,830,0,5.58793545e-08,0.0100532249,6.70215013e-06,5.15840075e-05,0.27042672,0.808347464,-0.0702552646,0.0551109761,-0.0575395636,0.0451362841,1.22099054,-0.0332782418,0.0265991576,0.00637133978,2.07105022e-05,15,115,0.000634634634
300.0,0.0684519857,1.02445483e-08,1,1,610,0,1,832.183716,0,1,841.338196,0.0625,830,0,7.91624188e-08,0.0135723064,9.04820445e-06,6.70895024e-05,0.266970545,0.808315694,-0.0684882402,0.0536892451,-0.0560923591,0.0439718775,1.22099054,-0.0392933264,0.0315170512,0.00768549507,2.50127814e-05,15,115,0.000634634634
360.0,0.0685849562,3.63215804e-08,1,1,610,0,1,832.083435,0,1,841.351685,0,830,0,1.01514161e-07,0.017413618,1.16090787e-05,8.24826129e-05,0.263948977,0.80828321,-0.0669651181,0.0524573512,-0.0548449121,0.042962946,1.22099054,-0.0442795828,0.0356347486,0.00883359928,2.87737766e-05,15,115,0.000634634634
420.0,0.068684496,1.40629709e-07,1,1,610,0,1,831.979004,0.0625,1,841.364807,0,830,0,1.27591193e-07,0.0217115842,1.44743899e-05,9.78002136e-05,0.261241078,0.808249354,-0.0656175315,0.0513617881,-0.0537412278,0.0420656726,1.22099054,-0.0486163832,0.0392505042,0.0099055972,3.22009946e-05,15,115,0.000634634634
480.0,0.06871479,5.92786819e-07,1,1,610,0,1,831.866211,0.0625,1,841.378052,0,830,0,1.54599547e-07,0.0269357637,1.79571762e-05,0.000112418049,0.258776098,0.808212817,-0.0644053221,0.0503712073,-0.0527484193,0.0412543789,1.22099054,-0.0524670407,0.0424918942,0.0109277507,3.53850955e-05,15,115,0.000634634634
540.0,0.0686249882,2.23703682e-06,1,1,610,0,1,831.732849,0.125,1,841.391846,0,830,0,1.81607902e-07,0.0344252996,2.29502002e-05,0.000126155384,0.256506652,0.808169663,-0.0633016527,0.0494646691,-0.0518445075,0.0405119173,1.22099054,-0.0559463836,0.0454487577,0.0119217671,3.8407612e-05,15,115,0.000634634634
