time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
0.0,0.0677318722,0,1,1,592.5,0,1,838.166687,0,1,840.543457,0,837.5,0,0,0,0,0,0.295254111,0.810248137,-0.0836955905,0.0657608211,-0.0685472935,0.0538585894,1.22099042,0,0,0,0,15,115,0.000634634634
60.0,0.0679063052,4.65661287e-10,1,1,592.5,0,1,838.070801,0,1,840.491333,0.0625,837.5,0,-9.31322575e-09,0.00327211036,2.1814069e-06,2.21908194e-05,0.264205337,0.810217261,-0.0670325086,0.0526392832,-0.0549001098,0.0431119539,1.22099042,0,0,0,0,15,115,0.000634634634
120.0,0.0680226088,6.98491931e-09,1,1,592.5,0,1,837.968323,0,1,840.437012,0,837.5,0,-2.04890966e-08,0.0103864642,6.92430967e-06,6.33889722e-05,0.239078209,0.81018424,-0.0549232848,0.0430587456,-0.0449825674,0.0352654234,1.22099042,0,0,0,0,15,115,0.000634634634
180.0,0.0679324046,2.44937837e-07,1,1,592.5,0,1,837.819702,0.0625,1,840.382874,0,837.5,0,-2.98023224e-08,0.0271323174,1.80882107e-05,0.00011674386,0.21835725,0.810136318,-0.0458633341,0.0358571708,-0.0375624038,0.029367283,1.22099042,0,0,0,0,15,115,0.000634634634
240.0,0.0677856058,2.40746886e-07,1,1,592.5,0,1,837.618286,0,1,840.323792,0,837.5,0,-4.00468707e-08,0.113020569,7.53470449e-05,0.000194704829,0.201200768,0.810071409,-0.0389946885,0.0303730927,-0.0319369324,0.0248757824,1.22099042,0,0,0,0,15,115,0.000634634634
300.0,0.0679340288,1.21071935e-08,1,1,592.5,0,1,837.268433,0.125,1,840.254944,0.0625,837.470581,24.375,-5.12227416e-08,0.952267349,0.000634844881,0.00201379415,0.189180508,0.809958637,-0.0345219336,0.0267914496,-0.0282737147,0.021942392,1.22099042,0,0,0,0,15,115,0.000634634634
360.0,0.0685435161,1.72294676e-08,1,1,590.273743,1308.5,1,836.16626,274,1,840.177551,0.0625,813.738647,19157.3125,-6.14672899e-08,5.17989159,0.00345326099,0.0241780356,0.193739966,0.809603035,-0.0361947231,0.028112974,-0.0296437405,0.0230247285,1.22099042,0,0,0,0,15,115,0.000634634634
420.0,0.0691395253,7.35744834e-08,1,1,590.158752,1375.84375,1,835.404053,370.8125,1,840.098083,0,803.633667,26940.4375,-7.07805157e-08,7.68049002,0.00512032676,0.056590762,0.209958345,0.809356987,-0.0424475893,0.0330947042,-0.0347648822,0.0271048024,1.22099042,0,0,0,0,15,115,0.000634634634
480.0,0.0696296766,4.16766852e-07,1,1,592.437317,37,1,835.387878,0.3125,1,840.023804,0.0625,800.604004,28391.125,-8.38190317e-08,8.43794823,0.00562529871,0.0566488765,0.219786018,0.809351802,-0.0465049222,0.0362774655,-0.0380878672,0.0297115073,1.22099042,0,0,0,0,15,115,0.000634634634
540.0,0.0698472485,2.07964331e-06,1,1,592.358154,8.09375,1,835.104187,0.625,1,839.96875,0.0625,787.933228,36531,1.07008964e-06,10.2795162,0.00685301097,0.0584773757,0.22362189,0.80926013,-0.0481174365,0.0375867411,-0.0394085273,0.0307838134,1.22099042,0,0,0,0,15,115,0.000634634634
600.0,0.0697518885,6.65104017e-06,1,1,579.080933,24.1875,1,834.950623,13.6875,1,839.936646,0.125,761.022827,52214.125,1.2469478e-05,15.4199982,0.0102799991,0.135288343,0.224548757,0.809210539,-0.0485015661,0.0379188769,-0.0397231355,0.0310558341,1.22099042,0,0,0,0,15,115,0.000634634634
660.0,0.0693356767,1.77668408e-05,1,1,577.503174,0.09375,1,834.77478,2.8125,1,839.928284,0.0625,764.520874,47137.5,3.69464979e-05,24.3326969,0.0162217971,0.212702781,0.224345565,0.809153736,-0.0483867973,0.0378848389,-0.039629139,0.0310279578,1.22099042,0,0,0,0,15,115,0.000634634634
720.0,0.0687040761,2.96677463e-05,1,1,577.7052,6.09375,1,834.596741,4.5,1,839.939087,0.0625,765.435242,45890.5625,6.55110925e-05,36.2304688,0.0241536461,0.263978273,0.223850027,0.809096158,-0.0481754057,0.0377149507,-0.0394560061,0.0308888182,1.22099042,0,0,0,0,15,115,0.000634634634
780.0,0.0677434802,3.7362799e-05,1,1,580.429565,42.75,1,834.46759,6.6875,1,839.999634,0.3125,766.355225,44324.375,9.08700749e-05,50.5883217,0.0337255485,0.305449963,0.222976238,0.809054434,-0.0477958284,0.0374264568,-0.0391451307,0.0306525398,1.22099042,0,0,0,0,15,115,0.000634634634
840.0,0.0664911345,4.36836854e-05,1,1,583.001465,54.5625,1,834.30896,8.375,1,840.129089,0.5,764.053223,43893.0625,0.000115201809,66.5619583,0.0443746373,0.334577084,0.222224295,0.809003174,-0.0474736355,0.0371749513,-0.0388812497,0.0304465536,1.22099042,0,0,0,0,15,115,0.000634634634
900.0,0.0649476722,4.7700014e-05,1,1,586.285706,53.03125,1,834.077515,9.9375,1,840.324463,0.75,769.316467,38218.5625,0.000137344003,82.496727,0.0549978167,0.3429645,0.221883401,0.80892837,-0.0473560728,0.0370252095,-0.0387849659,0.0303239152,1.22099042,0,0,0,0,15,115,0.000634634634
960.0,0.0633315966,4.94834967e-05,1,1,589.505005,52.21875,1,833.772278,23.9375,1,840.571472,1,776.460754,32149.75,0.000155090354,96.8662643,0.0645775124,0.333159178,0.221602097,0.808829665,-0.0472495221,0.0369141847,-0.0386977009,0.0302329846,1.22099042,0,0,0,0,15,115,0.000634634634
1020.0,0.061835438,5.1719835e-05,1,1,589.107788,39.40625,1,833.515015,14.0625,1,840.816467,1,785.033752,25984.9375,0.000168632716,109.340134,0.0728934258,0.318470567,0.22161743,0.808746457,-0.0472694375,0.0369021669,-0.0387140103,0.0302231424,1.22099042,0,0,0,0,15,115,0.000634634634
1080.0,0.0606282391,5.62029891e-05,1,1,588.579285,41.78125,1,833.344116,22.1875,1,841.03064,0.875,789.62854,22734.0625,0.000180690549,120.384651,0.0802564323,0.302541316,0.221855775,0.808691204,-0.0473698638,0.0369832516,-0.038796261,0.0302895512,1.22099042,0,0,0,0,15,115,0.000634634634
1140.0,0.0595902093,6.05548266e-05,1,1,590.826538,59.375,1,833.294983,17.0625,1,841.198914,1,793.091736,20250.625,0.000192258507,130.512009,0.0870080069,0.285396039,0.222100228,0.808675289,-0.0474847332,0.0370514505,-0.0388903394,0.0303454064,1.22099042,0,0,0,0,15,115,0.000634634634
1200.0,0.0587103739,6.31981529e-05,1,1,592.545166,77.53125,1,833.29657,17.6875,1,841.336609,0.9375,795.3396,17796.3125,0.000203358009,140.284607,0.0935230702,0.274382025,0.222078472,0.808675826,-0.0474781282,0.0370407365,-0.0388849303,0.0303366315,1.22099042,0,0,0,0,15,115,0.000634634634
1260.0,0.0580231771,6.48710411e-05,1,1,593.101257,96.875,1,833.331055,17.875,1,841.443604,0.9375,795.323669,17549.5625,0.000213246793,150.2173,0.100144871,0.267767787,0.221895948,0.808686972,-0.0474133603,0.0369628854,-0.0388318859,0.0302728713,1.22099042,0,0,0,0,15,115,0.000634634634
1320.0,0.057522893,6.61516096e-05,1,1,593.727234,128.875,1,833.32428,30.5625,1,841.547852,0.9375,794.681458,17605.5625,0.000220163725,160.419525,0.106946349,0.273861676,0.221148446,0.808684766,-0.0470994972,0.0367078036,-0.0385748297,0.030063957,1.22099042,0,0,0,0,15,115,0.000634634634
1380.0,0.0571367703,6.93143811e-05,1,1,594.934937,150.1875,1,833.348633,26.125,1,841.648621,1.125,793.808044,17993.9375,0.000226520933,170.98381,0.113989204,0.291198879,0.220659807,0.808692634,-0.0468859151,0.0365530513,-0.038399905,0.0299372133,1.22099042,0,0,0,0,15,115,0.000634634634
1440.0,0.0567819662,7.22974073e-05,1,1,595.978455,166.625,1,833.356995,39.0625,1,841.752686,1.4375,794.379028,17279.8125,0.000231862068,181.636765,0.12109118,0.313724935,0.220592156,0.808695376,-0.0468288362,0.0365669541,-0.0383531563,0.0299485996,1.22099042,0,0,0,0,15,115,0.000634634634
1500.0,0.0564463697,7.61286356e-05,1,1,596.637878,183.96875,1,833.40155,29,1,841.868652,1.4375,794.616821,16698.5,0.000236390159,192.328339,0.128218889,0.332269788,0.220889792,0.8087098,-0.0469599068,0.0366597809,-0.0384605043,0.0300246254,1.22099042,0,0,0,0,15,115,0.000634634634
1560.0,0.0561283827,7.93458894e-05,1,1,597.838989,227.96875,1,833.37439,27,1,842.002319,1.9375,794.987244,15822.875,0.000240449794,203.326782,0.135551184,0.352404565,0.221358195,0.808700979,-0.0471548773,0.0368210673,-0.0386201851,0.0301567204,1.22099042,0,0,0,0,15,115,0.000634634634
1620.0,0.0558194108,8.3588995e-05,1,1,598.51532,251.09375,1,833.363953,36,1,842.148254,2.25,794.164734,15496.75,0.00024391152,214.347305,0.142898202,0.371091992,0.221650928,0.808697641,-0.0472552851,0.0369497277,-0.0387024209,0.030262094,1.22099042,0,0,0,0,15,115,0.000634634634
1680.0,0.0555003174,8.69012438e-05,1,1,599.517883,269.5625,1,833.341553,32.4375,1,842.315186,2.4375,794.358826,15180.4375,0.000246029347,225.477188,0.150318131,0.39984867,0.221411064,0.808690369,-0.0471667163,0.03685233,-0.038629882,0.0301823243,1.22099042,0,0,0,0,15,115,0.000634634634
