time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
0.0,0.0677318722,0,1,1,592.5,0,1,838.166687,0,1,840.543457,0,837.5,0,0,0,0,0,0.295254111,0.810248137,-0.0836955905,0.0657608211,-0.0685472935,0.0538585894,1.22099042,6.3731246e-15,0,8.15607226e-09,0,15,115,0.000634634634
60.0,0.0679108649,4.65661287e-10,1,1,592.5,0,1,838.071289,0.0625,1,840.491089,0,837.5,0,-9.31322575e-09,0.0578759275,3.85839521e-05,0.000586870825,0.267958254,0.81021744,-0.0689479336,0.0541484617,-0.0564688556,0.0443479829,1.22099042,-0.0197406802,0.0155792385,0.00455915229,1.2255643e-05,15,115,0.000634634634
120.0,0.0680711344,0,1,1,592.5,0,1,837.974609,0.125,1,840.435669,0,837.5,0,-1.86264515e-08,0.197046623,0.000131364417,0.00201668148,0.253260791,0.810186267,-0.0616134517,0.048343692,-0.0504618622,0.0395938344,1.22099042,-0.0356063284,0.0281934477,0.0084923394,2.40411064e-05,15,115,0.000634634634
180.0,0.0682109818,5.12227416e-09,1,1,592.500183,0,1,837.876709,0,1,840.376892,0.0625,837.5,0,-2.98023224e-08,0.403271377,0.000268847594,0.00404074602,0.243732497,0.810154676,-0.0570875779,0.0447451621,-0.0467551388,0.036646612,1.22099042,-0.0448310934,0.0355705842,0.0108764386,3.21208136e-05,15,115,0.000634634634
240.0,0.0683305189,8.52160156e-08,1,1,592.500305,0,1,837.778931,0,1,840.314575,0,837.5,0,-3.7252903e-08,0.796879411,0.000531252939,0.00672023976,0.237517685,0.810123205,-0.0542352088,0.0424645394,-0.0444190279,0.0347787663,1.22099042,-0.0510418676,0.0405141972,0.0124786738,3.75741147e-05,15,115,0.000634634634
300.0,0.0684837997,9.87201929e-07,1,1,592.513489,0.09375,1,837.68988,0.125,1,840.256287,0.125,837.315491,151.125,-5.0291419e-08,1.88028944,0.00125352631,0.0225520022,0.236645311,0.810094476,-0.0538649783,0.0421181098,-0.0441158079,0.034495037,1.22099042,-0.0532523878,0.0422817841,0.0122915935,3.7344078e-05,15,115,0.000634634634
360.0,0.0687591583,6.2934123e-06,1,1,592.753052,1.1875,1,837.475037,1.125,1,840.256531,0,821.242371,11787.875,-5.96046448e-08,4.02515364,0.0026834358,0.058124803,0.244625181,0.810025215,-0.0576449931,0.0448962934,-0.0472116657,0.0367703885,1.22099042,-0.0448162146,0.0364103466,0.00912985299,2.66181851e-05,15,115,0.000634634634
420.0,0.068607524,1.20326877e-05,1,1,593.362793,4.46875,1,838.091675,1.125,1,840.441467,0,818.130005,8354.625,-6.79865479e-08,6.39901876,0.00426601246,0.103118412,0.254666477,0.810223997,-0.0626461133,0.0484365597,-0.0513076223,0.0396698937,1.22099042,-0.0322986469,0.0279251393,0.00685161585,1.79564213e-05,15,115,0.000634634634
480.0,0.0687024891,7.01704994e-06,1,1,593.634094,16.78125,1,837.914551,1.875,1,840.337891,0.0625,818.95874,4229.0625,2.16253102e-06,8.85654163,0.00590436114,0.167640373,0.258851677,0.810166895,-0.0648914725,0.0498218276,-0.0531465858,0.0408044383,1.22099042,-0.0267867353,0.0242036898,0.00810701121,1.82964577e-05,15,115,0.000634634634
540.0,0.068674095,8.88388604e-06,1,1,594.526672,8.625,1,837.990662,1.875,1,840.398254,0.0625,813.079956,8198.4375,2.66553834e-05,11.454751,0.00763650052,0.169778451,0.259218305,0.810191453,-0.0652106255,0.0497864783,-0.0534079745,0.0407754853,1.22099042,-0.0255885441,0.0234610699,0.00989810284,2.11940587e-05,15,115,0.000634634634
600.0,0.0685343221,1.08107924e-05,1,1,593.686157,20.15625,1,838.016846,0.5,1,840.408997,0.125,812.307373,8504.1875,3.36617231e-05,14.8160915,0.00987739395,0.187065318,0.258907169,0.810199857,-0.0651518926,0.04953878,-0.0533598736,0.0405726209,1.22099042,-0.0252509639,0.0260303505,0.0115562975,2.21994778e-05,15,115,0.000634634634
660.0,0.0683173537,1.52564608e-05,1,1,589.489258,14.9375,1,837.918274,0.8125,1,840.425232,0.1875,811.118042,10683.4375,5.09964302e-05,18.7366447,0.0124910967,0.208381087,0.259020627,0.810168087,-0.0652544945,0.0495222956,-0.053443905,0.0405591205,1.22099042,-0.024589641,0.0259476472,0.00706175575,2.36637352e-05,15,115,0.000634634634
720.0,0.068104893,1.84653327e-05,1,1,593.177734,14.9375,1,837.790588,1.3125,1,840.456421,0.1875,809.253662,12679.75,6.43646345e-05,23.8986053,0.0159324035,0.22904703,0.259371549,0.81012696,-0.0653968006,0.049702175,-0.0535604544,0.0407064408,1.22099042,-0.0239701122,0.0207015611,0.00516569475,2.46868585e-05,15,115,0.000634634634
780.0,0.0677787289,1.84830278e-05,1,1,594.425171,6.9375,1,837.731628,1.75,1,840.534424,0.25,806.993774,14273.625,9.42507759e-05,30.677948,0.0204519648,0.273594648,0.259799182,0.810107946,-0.0654843003,0.0500345975,-0.0536321178,0.0409786962,1.22099042,-0.026402479,0.0191124007,0.00243668724,2.70357905e-05,15,115,0.000634634634
840.0,0.0671259314,1.90953724e-05,1,1,594.396423,5.96875,1,837.688965,2.3125,1,840.68042,0.625,807.176819,14186.0625,0.000129058026,39.3066902,0.0262044594,0.299631447,0.260427922,0.810094178,-0.0655905306,0.0505521707,-0.0537191182,0.0414025933,1.22099042,-0.0245644618,0.0253294073,-0.00148597627,2.909877e-05,15,115,0.000634634634
900.0,0.0663373098,2.48160213e-05,1,1,594.241028,6.21875,1,837.584045,3.0625,1,840.872803,0.875,804.068481,14782.375,0.000167231075,49.5265198,0.03301768,0.364790201,0.261103064,0.810060382,-0.0656737089,0.0511467718,-0.0537872426,0.0418895781,1.22099042,-0.0274397917,0.0242164675,-0.0038096502,2.90320586e-05,15,115,0.000634634634
960.0,0.0652623475,3.44011933e-05,1,1,594.416748,7.46875,1,837.509094,4.6875,1,841.151489,1.4375,803.736938,13555.3125,0.000203819945,59.6861954,0.039790798,0.410661787,0.261152655,0.810036182,-0.0654653758,0.0514643416,-0.0536166169,0.0421496704,1.22099042,-0.0234259311,0.0227590073,-0.00534263486,2.95288773e-05,15,115,0.000634634634
1020.0,0.0640022904,4.40194272e-05,1,1,594.892578,7.96875,1,837.495605,6,1,841.490051,1.9375,806.911133,10243,0.000235724263,68.3713608,0.0455809087,0.404554933,0.260902584,0.810031891,-0.0651696101,0.0515819006,-0.0533743836,0.0422459505,1.22099042,-0.0251606554,0.021133922,-0.00509569002,2.94335023e-05,15,115,0.000634634634
1080.0,0.06281472,5.2744057e-05,1,1,594.75,12.75,1,837.505737,7.0625,1,841.805725,2.3125,808.216248,8520.25,0.00026241038,75.34272,0.0502284802,0.357988536,0.260640562,0.810035169,-0.0649229661,0.051624354,-0.0531723797,0.0422807187,1.22099042,-0.0268088561,0.021568032,-0.00322185131,2.81512039e-05,15,115,0.000634634634
1140.0,0.0618092492,5.63706271e-05,1,1,593.851135,10.5,1,837.483093,7.8125,1,842.085876,2.75,809.018921,7682.875,0.000279929489,80.876297,0.0539175309,0.308332384,0.260269403,0.810027838,-0.0646941662,0.0515327454,-0.0529849902,0.0422056913,1.22099042,-0.0261959974,0.0217043385,-0.00177934032,2.69339725e-05,15,115,0.000634634634
1200.0,0.0609067194,5.91529533e-05,1,1,594.56311,16.125,1,837.484558,8.625,1,842.337769,2.9375,810.370544,7056.625,0.000287016854,86.2267151,0.0574844778,0.281508952,0.25985986,0.810028315,-0.0644932538,0.051367525,-0.0528204404,0.0420703739,1.22099042,-0.0262014996,0.0216837618,-0.00206268742,2.67238665e-05,15,115,0.000634634634
1260.0,0.0601360947,6.00288622e-05,1,1,596.209473,30.53125,1,837.518005,8.875,1,842.577637,3.0625,811.806274,6446.125,0.000290414318,92.2034378,0.0614689589,0.268348515,0.259401172,0.810039043,-0.0643205717,0.0511174873,-0.0526790135,0.041865591,1.22099042,-0.0267674308,0.0221680384,-0.00186267705,2.67023297e-05,15,115,0.000634634634
1320.0,0.0594739951,6.09364361e-05,1,1,598.057251,53.34375,1,837.556152,9.5,1,842.804749,3.1875,812.708191,6048.5625,0.000294235535,99.3061295,0.0662040859,0.263403803,0.258927464,0.810051382,-0.0641619042,0.0508351438,-0.0525490642,0.041634351,1.22099042,-0.027384745,0.0228401404,-0.00132868905,2.69761113e-05,15,115,0.000634634634
1380.0,0.0588329434,6.14337623e-05,1,1,599.864075,77.53125,1,837.645508,9.8125,1,843.037537,3.25,813.878357,5582.3125,0.000299583189,107.347504,0.0715650022,0.264587045,0.258616358,0.81008023,-0.0640712455,0.0506328717,-0.0524748154,0.0414686874,1.22099042,-0.027705742,0.0234874114,-0.00126051588,2.77223244e-05,15,115,0.000634634634
1440.0,0.0581885763,6.37860503e-05,1,1,601.60614,95.34375,1,837.719055,10.625,1,843.288269,3.1875,814.753662,5419.25,0.000306219794,116.430779,0.0776205212,0.274009079,0.258390367,0.810103893,-0.0640037134,0.050488174,-0.052419506,0.0413501784,1.22099042,-0.0281810183,0.0238423962,-0.00146384665,2.80785971e-05,15,115,0.000634634634
1500.0,0.0575148128,6.55010808e-05,1,1,602.841003,108.96875,1,837.830872,11.5625,1,843.545349,3.1875,816.044189,4863.375,0.00031375885,126.382187,0.0842547938,0.281270862,0.258365571,0.810139954,-0.0640316457,0.0504274666,-0.052442383,0.0413004607,1.22099042,-0.0285805035,0.0242412034,-0.00212213141,2.89474428e-05,15,115,0.000634634634
1560.0,0.0567720644,7.00147357e-05,1,1,603.625488,129.125,1,837.950439,12.875,1,843.821045,3.3125,816.483276,4685.9375,0.000321624801,137.264008,0.0915093347,0.295779556,0.258114189,0.810178459,-0.0639364049,0.0502921604,-0.0523643792,0.0411896445,1.22099042,-0.0289458316,0.0246551707,-0.00253110239,2.95561331e-05,15,115,0.000634634634
1620.0,0.0559960268,7.44427089e-05,1,1,604.048401,151.65625,1,838.086609,13.8125,1,844.110657,3.25,817.568604,4267.25,0.000329291448,149.175629,0.0994504169,0.308079809,0.257850081,0.810222387,-0.0638086945,0.0501854233,-0.0522597842,0.0411022268,1.22099042,-0.0299670845,0.0248116609,-0.00318681845,3.04394089e-05,15,115,0.000634634634
1680.0,0.0552063696,8.38343985e-05,1,1,604.299744,185.34375,1,838.196716,28.5625,1,844.393555,3.25,818.621155,3694.5,0.000336691737,162.333359,0.108222239,0.321193874,0.257504553,0.810257852,-0.0636145175,0.0500805639,-0.0521007515,0.041016344,1.22099042,-0.0309557635,0.0252275337,-0.00353836291,3.13386408e-05,15,115,0.000634634634
1740.0,0.0544105396,9.2334114e-05,1,1,604.662354,231.75,1,838.366333,17.6875,1,844.693359,3.3125,818.578491,3716.625,0.000345028937,176.817566,0.117878377,0.336962879,0.257011801,0.81031251,-0.063363716,0.0498987064,-0.0518953428,0.0408674031,1.22099042,-0.0317103639,0.0259864125,-0.00523676071,3.31892188e-05,15,115,0.000634634634
1800.0,0.0536823235,0.000105687417,1,1,604.963806,287.8125,1,838.527893,19.75,1,844.988708,3.5625,818.592834,3620.125,0.000352560543,192.657272,0.128438175,0.356868237,0.256598651,0.810364544,-0.0631698072,0.0497261845,-0.0517365299,0.0407261066,1.22099042,-0.0324603952,0.0265819281,-0.00688808691,3.49328911e-05,15,115,0.000634634634
1860.0,0.0530879982,0.000119997188,1,1,605.122498,346.59375,1,838.690491,21.75,1,845.280334,3.9375,817.751465,3898.6875,0.000357631594,210.133804,0.140089199,0.393210113,0.256275266,0.810416937,-0.0630071983,0.0496053547,-0.0516033508,0.0406271443,1.22099042,-0.0337126665,0.0272331461,-0.00903918967,3.7021473e-05,15,115,0.000634634634
1920.0,0.0525391176,0.000136270188,1,1,605.587463,426.46875,1,838.841492,24.875,1,845.585571,5.125,817.228882,3956.5,0.000360260718,229.000961,0.152667314,0.428812593,0.256281227,0.810465574,-0.0630177557,0.0495979637,-0.0516119972,0.0406210907,1.22099042,-0.0339284651,0.0278688911,-0.0138381356,4.06599247e-05,15,115,0.000634634634
1980.0,0.0520528145,0.000151857035,1,1,605.792419,518.03125,1,838.912048,28.3125,1,845.934021,6.375,815.983704,4262.625,0.00036029052,248.353073,0.165568709,0.474370629,0.256357342,0.810488284,-0.063081108,0.0495944917,-0.051663883,0.0406182483,1.22099042,-0.0344886556,0.0277610552,-0.0212183967,4.56422895e-05,15,115,0.000634634634
2040.0,0.0515603572,0.000165891135,1,1,606.252258,605.125,1,838.939819,34.125,1,846.313965,7.3125,815.177795,4342.9375,0.000359637663,266.970673,0.177980453,0.499141932,0.256407022,0.810497224,-0.0630896464,0.0496339351,-0.0516708791,0.040650554,1.22099042,-0.0352797471,0.0276837032,-0.029760804,5.13369414e-05,15,115,0.000634634634
2100.0,0.050989069,0.000179291004,1,1,606.74939,691.3125,1,838.855103,40.125,1,846.747681,8.625,814.863525,4569.9375,0.00035691727,283.744232,0.189162821,0.529138565,0.256477147,0.810469925,-0.0631060153,0.0496841297,-0.0516842827,0.0406916626,1.22099042,-0.0357695743,0.028005911,-0.0397288203,5.71898345e-05,15,115,0.000634634634
2160.0,0.0504207537,0.000192814041,1,1,607.085571,777.78125,1,838.8479,43.8125,1,847.199219,8.5,814.537537,4804.875,0.000353752635,299.089325,0.199392885,0.544274211,0.256543994,0.810467601,-0.0631339327,0.0497163832,-0.0517071486,0.0407180786,1.22099042,-0.0358408652,0.02775071,-0.0419472195,5.81471577e-05,15,115,0.000634634634
2220.0,0.0499546342,0.000213635387,1,1,607.473633,857.1875,1,838.804443,50.6875,1,847.667786,10.125,814.948547,4995,0.000349977985,313.538116,0.209025413,0.558057845,0.256329805,0.810453594,-0.0630258247,0.0496368743,-0.0516186059,0.0406529605,1.22099042,-0.0365194418,0.0282079354,-0.0486977845,6.19817583e-05,15,115,0.000634634634
2280.0,0.0494153202,0.000229189405,1,1,608.137329,943.09375,1,838.815918,61.75,1,848.171204,9.875,815.28125,5311.125,0.000345639884,326.56842,0.217712283,0.566270471,0.255981356,0.810457349,-0.0628599152,0.0494952202,-0.0514827259,0.0405369438,1.22099042,-0.0375432819,0.0292062722,-0.052948989,6.43434032e-05,15,115,0.000634634634
2340.0,0.0490023568,0.000247720163,1,1,608.400085,1026.34375,1,838.847656,63.125,1,848.65332,10.625,815.957031,5170.5625,0.000341145322,338.60083,0.225733891,0.577853262,0.255673617,0.810467541,-0.0626785159,0.0494148284,-0.0513341576,0.040471103,1.22099042,-0.0381905884,0.0290861744,-0.0558159761,6.58983772e-05,15,115,0.000634634634
2400.0,0.0486125834,0.000263380585,0.999991119,0.999991119,608.854553,1129.71875,1,838.979675,79.4375,1,849.138245,10.375,815.997925,5369.5,0.000334339216,349.764801,0.233176529,0.587199509,0.255516022,0.810510039,-0.0625800714,0.0493808165,-0.0512535311,0.0404432453,1.22099042,-0.0382714532,0.0298570264,-0.0565076545,6.59965299e-05,15,115,0.000634634634
2460.0,0.0484227687,0.00028082123,1,1,609.744629,1215.96875,1,839.155762,73.0625,1,849.591492,10.6875,815.438477,5811.25,0.000326679088,360.266785,0.240177855,0.602539837,0.255144298,0.810566723,-0.0623749495,0.0492665693,-0.0510855354,0.0403496772,1.22099042,-0.0398146994,0.0302097611,-0.0598348491,6.77707212e-05,15,115,0.000634634634
2520.0,0.0483013764,0.000297483057,0.999964595,0.999964595,609.908875,1309.40625,1,839.297852,80.3125,1,850.067078,11.5625,816.033325,5962.1875,0.000317880884,369.555573,0.246370375,0.608823597,0.255015135,0.8106125,-0.0622406527,0.0493066832,-0.0509755462,0.0403825305,1.22099042,-0.0398674197,0.0299857184,-0.0626913533,6.91764944e-05,15,115,0.000634634634
2580.0,0.0482559204,0.000314657809,0.999991119,0.999991119,610.240845,1387.65625,1,839.448425,86.9375,1,850.541626,12.0625,814.808228,6895.75,0.000306847505,378.234528,0.252156347,0.615169466,0.255029589,0.810660958,-0.0622023419,0.0493694916,-0.0509441681,0.0404339731,1.22099042,-0.0397569463,0.030831283,-0.0650736466,6.99141092e-05,15,115,0.000634634634
