time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
0.0,0.0677318722,0,1,1,592.5,0,1,838.166687,0,1,840.543457,0,837.5,0,0,0,0,0,0.295254111,0.810248137,-0.0836955905,0.0657608211,-0.0685472935,0.0538585894,1.22099042,6.3731246e-15,0,8.15607226e-09,0,15,115,0.000634634634
60.0,0.0679057613,4.65661287e-10,1,1,592.5,0,1,838.07074,0,1,840.491333,0,837.5,0,-1.11758709e-08,0.00323446491,2.15630985e-06,2.21814516e-05,0.267950416,0.810217261,-0.0689439327,0.0541452244,-0.0564655811,0.0443453304,1.22099042,-0.0197255071,0.015567611,0.00387840578,1.22537822e-05,15,115,0.000634634634
120.0,0.0680200607,7.91624188e-09,1,1,592.5,0,1,837.96814,0,1,840.437012,0,837.5,0,-2.04890966e-08,0.00951432623,6.34288426e-06,6.32247393e-05,0.253165722,0.810184181,-0.0615680665,0.0483063012,-0.0504246913,0.0395632125,1.22099042,-0.0355521739,0.028160898,0.00754513871,2.41124308e-05,15,115,0.000634634634
180.0,0.067923598,2.4586916e-07,1,1,592.5,0,1,837.820251,0.0625,1,840.383179,0,837.5,0,-3.16649675e-08,0.0188907944,1.25938632e-05,0.00011544778,0.243287176,0.810136497,-0.0568828695,0.0445770733,-0.0465874821,0.0365089476,1.22099042,-0.0447702482,0.0355762951,0.010056885,3.25806723e-05,15,115,0.000634634634
240.0,0.0677767769,2.47731805e-07,1,1,592.5,0,1,837.621399,0,1,840.32428,0,837.5,0,-4.28408384e-08,0.0348357223,2.32238144e-05,0.00019035257,0.235667571,0.810072422,-0.053403452,0.041792959,-0.0437378138,0.0342287347,1.22099042,-0.0512845218,0.0408746265,0.0120669594,3.95141469e-05,15,115,0.000634634634
300.0,0.0679192543,1.53668225e-08,1,1,592.5,0,1,837.276306,0.0625,1,840.256348,0,837.5,0,-5.21540642e-08,0.0767020881,5.11347243e-05,0.000305475492,0.229471788,0.80996114,-0.0506612584,0.0395874083,-0.0414919369,0.0324223749,1.22099042,-0.0562222525,0.0449371412,0.0136565771,4.55828813e-05,15,115,0.000634634634
360.0,0.0684948042,1.16415322e-08,1,1,592.5,0,1,836.516785,0.25,1,840.181519,0.0625,837.5,0,-6.33299351e-08,0.247456729,0.000164971148,0.000913512253,0.224566996,0.809716165,-0.0485463031,0.0378778577,-0.0397597738,0.0310222395,1.22099042,-0.0598560199,0.0479628816,0.0152092781,5.06111173e-05,15,115,0.000634634634
420.0,0.0690757036,5.96046448e-08,1,1,592.5,0,1,835.862854,0.125,1,840.104126,0,837.46936,0.1875,-7.54371285e-08,1.09944165,0.000732961111,0.00553005235,0.222237945,0.809505105,-0.0475609154,0.0370752588,-0.0389527343,0.0303649064,1.22099042,-0.061540354,0.0493901595,0.0170853287,5.35396539e-05,15,115,0.000634634634
480.0,0.0695606768,3.43192369e-07,1,1,592.5,0,1,835.392883,0.25,1,840.031372,0.0625,836.412109,4.3125,-9.22009349e-08,4.41037369,0.00294024916,0.0296759233,0.227761939,0.809353352,-0.0499229804,0.0389818773,-0.0408872813,0.0319264382,1.22099042,-0.0590539016,0.0474256091,0.0174629893,5.30162652e-05,15,115,0.000634634634
540.0,0.0697675794,1.77556649e-06,1,1,585.352722,56.125,1,835.108582,0.625,1,839.978821,0,832.129578,2373.125,6.42612576e-08,9.92846107,0.00661897426,0.0925310776,0.243351921,0.80926156,-0.0568722412,0.04465295,-0.0465787761,0.0365710892,1.22099042,-0.0499420129,0.0400238298,0.0155637097,4.71799067e-05,15,115,0.000634634634
