case_id,grid,advection_scheme,advection_order,weno,closure,q_t_min_kg_kg,q_t_max_kg_kg,q_t_negative_samples,LWP_g_m2,LWP_first_half_g_m2,LWP_second_half_g_m2,cloud_fraction,cloud_base_m,inversion_qt_m,entrainment_mm_s,decoupling_g_kg,integrated_resolved_TKE_m3_s2,peak_hour4_w2_m2_s2,min_hour4_w3_m3_s3,min_hour4_w3_600_760_m3_s3,max_hour4_w3_600_760_m3_s3,w2_insitu_marker_RMSE,w2_insitu_marker_bias,w3_insitu_marker_RMSE,w3_insitu_marker_bias
coarse_none_weno9,coarse,WENO,9,9,none,,,,49.86757579750001,50.5468805,49.188271095,0.9934082031750001,636.2304758749998,841.3576232083333,4.752584698142339,0.018934408823333332,437.1561401833334,0.39464564599999996,-0.0001249107662,0.0343838781,0.04885637205,0.14224497498579314,-0.13170682834475,0.0703791264968929,0.05604912298146875
coarse_none_weno5,coarse,WENO,5,5,none,,,,46.44613551833333,45.59768643333333,47.294584603333334,0.9891285066833333,646.9080978666667,842.3227555166667,4.69596533318751,0.015291393116533334,385.92213659166663,0.2958255115,-0.0001409491815,0.01237408355,0.0217078198,0.21469838199385902,-0.21166847118293752,0.057870490379429894,0.0467381850275
coarse_smagorinsky_weno9,coarse,WENO,9,9,smagorinsky,,,,43.32739077666667,43.92416633,42.73061522333334,0.9906512250416668,656.1772857833333,846.6151357749999,5.211990925822902,0.08027201984333332,353.11810326666676,0.3563552795,-0.00010444040149999999,0.0117055848,0.035191418599999996,0.16368487188845707,-0.1591997429675,0.05951920871273124,0.05004248445559375
coarse_smagorinsky_weno5,coarse,WENO,5,5,smagorinsky,,,,42.26552704583334,42.31221906,42.21883503166666,0.9852086961583331,660.278091925,847.4987548666668,4.931660330749987,0.0472721255725,365.3392755833334,0.3139301985,-0.00013268263124999999,0.011873384725,0.029130492350000002,0.19830381813225403,-0.19481781198393752,0.06499796032047793,0.05526748717249062
coarse_smagorinsky_centered2,coarse,Centered,2,,smagorinsky,-0.00433849357,0.0150838979,227,48.85149877833333,49.56502188666666,48.13797567,0.9944453487833335,697.8188206916666,880.7711781916666,7.26587052932988,0.21389664616666668,331.873881775,0.4092561455,-0.029987679750000003,-0.00476952526,0.02637269255,0.1737082260927115,-0.127913010773125,0.04924573523413132,0.016199981687643434
canonical_none_weno9,canonical,WENO,9,9,none,,,,61.69408187583334,61.75370378166667,61.63445997,0.9990957772916667,571.3643926,831.6214416833332,4.323210961868062,0.0025660575665666665,570.3804435583334,0.520691067,-0.012574944650000001,-0.012574944650000001,0.030479678895,0.06057905970797991,-0.006820218441250008,0.0453738979308783,0.0382025702218575
canonical_none_weno5,canonical,WENO,5,5,none,,,,59.60550743666666,59.339810795,59.87120407833333,0.9991572588749997,442.9678612250001,813.2477956083333,5.18936840019793,0.020046462305916665,476.3386508000001,0.4666359875,-0.0014546393099999998,0.0028766328499999997,0.0336807948,0.0869535445670847,-0.061908185190000006,0.05377166265250173,0.044758908221525
canonical_smagorinsky_weno9,canonical,WENO,9,9,smagorinsky,,,,52.190957835000006,52.653536386666666,51.728379283333325,0.9936993638583332,641.0874415250003,858.0873642666666,5.242652060444467,0.023231073274333335,492.77304360833335,0.453803137,-0.012235033775000001,-0.012235033775000001,0.0193356238,0.0764742114322215,-0.05537227567875,0.04443235650104955,0.03952734001248749
canonical_smagorinsky_weno5,canonical,WENO,5,5,smagorinsky,,,,51.03567813916667,51.48177451333333,50.58958176499999,0.9895209442083333,642.8279404250001,856.4141586833333,5.2365808728402925,0.060039727630000005,443.57266315833334,0.4328026625,-0.020084450939999998,-0.020084450939999998,0.0164917335,0.10956236354753902,-0.09390710400374999,0.04534194854817154,0.04096813843867999
canonical_smagorinsky_centered2,canonical,Centered,2,,smagorinsky,-0.0076971543,0.0174040813,231,35.7041956525,35.658201760000004,35.750189545000005,0.9959192325666666,701.6164240666667,883.0589874083335,6.568035925003491,0.25002134495,319.5202989583332,0.4272832425,-0.03284705615,-0.0028752436049999997,0.028115934699999998,0.18493227204310356,-0.129418253465,0.05143022197612243,0.021505082448974998
