z_m,pressure_Pa,theta_K,specific_humidity_kg_kg
10,102091,292.72,0.0098
20,101973,293.02,0.0097
40,101737,293.41,0.0096
80,101267,294.30,0.0096
140,100567,295.68,0.0092
200,99874,297.35,0.0089
203,99850,297.35,0.0089
257,99240,297.51,0.0089
308,98660,297.66,0.0089
363,98040,297.81,0.0089
408,97540,297.94,0.0089
465,96900,298.11,0.0089
520,96280,298.27,0.0088
575,95670,298.42,0.0088
635,95020,298.60,0.0088
694,94370,298.77,0.0088
749,93780,298.93,0.0088
801,93210,299.08,0.0088
854,92640,299.23,0.0087
