variable,time_s,utc_time,value,units,side
u,-3600,2006-07-01T23:00:00Z,5.0e-4,m_s-2,continuous
u,10800,2006-07-02T03:00:00Z,5.0e-4,m_s-2,before
u,10800,2006-07-02T03:00:00Z,0.0,m_s-2,after
u,43200,2006-07-02T12:00:00Z,0.0,m_s-2,continuous
v,-3600,2006-07-01T23:00:00Z,0.0,m_s-2,continuous
v,43200,2006-07-02T12:00:00Z,0.0,m_s-2,continuous
theta,-43200,2006-07-01T12:00:00Z,-2.5e-5,K_s-1,continuous
theta,3600,2006-07-02T01:00:00Z,-2.5e-5,K_s-1,before
theta,3600,2006-07-02T01:00:00Z,7.5e-5,K_s-1,after
theta,21600,2006-07-02T06:00:00Z,7.5e-5,K_s-1,before
theta,21600,2006-07-02T06:00:00Z,0.0,K_s-1,after
theta,43200,2006-07-02T12:00:00Z,0.0,K_s-1,continuous
specific_humidity,0,2006-07-02T00:00:00Z,0.0,kg_kg-1_s-1,continuous
specific_humidity,7200,2006-07-02T02:00:00Z,0.0,kg_kg-1_s-1,before
specific_humidity,7200,2006-07-02T02:00:00Z,-8.0e-8,kg_kg-1_s-1,after
specific_humidity,18000,2006-07-02T05:00:00Z,-8.0e-8,kg_kg-1_s-1,before
specific_humidity,18000,2006-07-02T05:00:00Z,0.0,kg_kg-1_s-1,after
specific_humidity,43200,2006-07-02T12:00:00Z,0.0,kg_kg-1_s-1,continuous
