time_s,utc_time,pressure_Pa,theta_0p25_K,specific_humidity_0p25_kg_kg
0,2006-07-02T00:00:00Z,102210,291.28,0.0100
3600,2006-07-02T01:00:00Z,102200,290.34,0.0099
7200,2006-07-02T02:00:00Z,102200,289.45,0.0100
10800,2006-07-02T03:00:00Z,102180,288.62,0.0099
14400,2006-07-02T04:00:00Z,102190,288.43,0.0099
18000,2006-07-02T05:00:00Z,102210,289.95,0.0104
21600,2006-07-02T06:00:00Z,102230,292.38,0.0109
25200,2006-07-02T07:00:00Z,102230,294.16,0.0113
28800,2006-07-02T08:00:00Z,102230,296.55,0.0121
32400,2006-07-02T09:00:00Z,102220,298.45,0.0129
