time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_resolved_flux,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_resolved_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.5,1,0.77147060632705688,6.25,8,0,1,173309.359375,1,5.0487097934144756e-27,8,11.875,0.00018174079013988376,8.6545405793003738e-06,-6.6233260440640152e-06,1.3223112821578979,-0.78699588775634766,-0.59516686201095581,0,0,8,2.2182240400070441e-07,2.2182240400070441e-07,0,0,0,2.7727800500088051e-08,1,1,0,0,0,3.8573527336120605,0,0,0,1,0,0,0,0,0,1,0,1,3.8573527336120605,350.00762939453125,9.7049414762295783e-06,9.7049414762295783e-06,0,8,6.7548819515650393e-07,6.7548819515650393e-07,0,0,0,8.4436024394562992e-08,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,349.600830078125,2.951890928670764e-05,2.951890928670764e-05,0,0.77147054672241211,0,-0.00017790481797419488,-0.59516680240631104,0,0.4462890625,-0.23642179369926453,0,0.00075175828533247113,0.00020818470511585474,265,-0.00023524556308984756,-0.00017790483252611011,267.9375,264.9500732421875,8,0,1.3249705261841882e-06,3.2311742677852644e-27
60,12.502180780317502,1,0.62877267599105835,306.25,8,3.4725644582067616e-10,1,68643.125,1,0.0056889769621193409,8.0098733901977539,11.877071741301627,0.00014543395082000643,2.1901658328715712e-05,-9.0536532297846861e-06,1.3223112821578979,-0.52278226613998413,-0.39535492658615112,-0.0004368887166492641,-0.00033039777190424502,7.698183536529541,-6.181071512401104e-07,-9.8558812169358134e-06,0.00087281991727650166,3.3093506601744593e-08,1.0561311825085795e-07,1.8599166651256382e-08,1,0.99998253583908081,-9.2376831162255257e-06,7.2519682703386934e-08,-7.3670641143053217e-08,3.658801794052124,0,0,0,1,0,0,0,0,0,1,0,1.0095014572143555,3.6936278343200684,350.00738525390625,1.1926516890525818e-05,3.4408178180456161e-05,2.2481479390989989e-05,7.9137701988220215,-1.0989897418767214e-06,-1.2820819392800331e-05,0.00033080781577154994,8.1175102195629734e-08,4.1778426407290681e-07,-2.7092028176411986e-08,0,0.99999380111694336,-1.1721862392732874e-05,3.3660904819043935e-07,-1.8032449133897899e-07,0,0,0,0,1,0,0,0,0,0,0,0,0.99996387958526611,0,349.60110473632812,-2.1532177925109863e-06,3.4008175134658813e-05,3.6160068702884018e-05,0.73177307844161987,0,-0.00018409939366392791,-0.53549182415008545,-6.8454566644504666e-05,0.306640625,-0.32317313551902771,0,0.00060156226390972733,0.00012953439727425575,264.99583333323244,-0.00032156531233340502,-0.00024318427313119173,267.93746948242188,264.95834350585938,8.00982666015625,0.020744822919368744,0.046545390039682388,0.000256593048106879
120,12.510388016234312,1,0.55308306217193604,343.75,7.9999980926513672,1.2443240882120676e-09,1,30640.525390625,1,0.037106677889823914,8.0196390151977539,11.884868615422596,0.00017344985099043697,4.933618038194254e-05,-1.3804314221488312e-05,1.3223112821578979,-0.4044945240020752,-0.30589962005615234,-0.0011737891472876072,-0.00088767992565408349,7.1065850257873535,-1.4097779057919979e-05,-8.570621139369905e-05,0.0053087919950485229,1.7043464595190017e-07,2.0167490220046602e-06,2.0343577489256859e-08,1,0.99983656406402588,-7.1608381404075772e-05,1.8463149444869487e-06,-1.8960042780236108e-06,3.3470869064331055,0,0,0,1,0,0,0,0,0,1,0,1.0294954776763916,3.4463367462158203,350.0067138671875,1.7168000340461731e-05,4.8069283366203308e-05,3.0901850550435483e-05,7.6587610244750977,-2.3726257495582104e-05,-0.00015562982298433781,0.0024988495279103518,5.8538597613733145e-07,6.5942067521973513e-06,-1.0844087228178978e-07,0,0.99994140863418579,-0.00013190328900236636,6.0088200370955747e-06,-2.7256428438704461e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99994552135467529,0,349.60101318359375,-2.1781772375106812e-05,3.2734125852584839e-05,5.4520292906090617e-05,0.66952550411224365,0,-0.00024388692690990865,-0.448264479637146,-0.00032235210528597236,0.119140625,-0.49274951219558716,0,0.00071745732566341758,0.00021451860084198415,264.99166666646488,-0.00049029802903532982,-0.00037078864988870919,267.93695068359375,264.96792602539062,8.0196380615234375,0.052301738411188126,0.085762828588485718,0.00062610034365206957
180,12.517794684663645,1,0.49520048499107361,168.75,7.9999938011169434,1.2775454472091496e-08,1,17307.947265625,1,0.12352404743432999,8.0260477066040039,11.891904950430462,0.00021162837219890207,8.7435488239862025e-05,-1.7540323824505322e-05,1.3223112821578979,-0.32425558567047119,-0.24521879851818085,-0.0020144421141594648,-0.00152342498768121,6.4620361328125,-6.0908962041139603e-05,-0.00018607761012390256,0.014080073684453964,3.1965737434802577e-07,2.5624956379033392e-06,1.5592377167195082e-08,1,0.99964320659637451,-0.00012516838614828885,2.2428384909289889e-06,-2.4829746507748496e-06,3.0319066047668457,0,0,0,1,0,0,0,0,0,1,0,1.1819808483123779,3.585792064666748,350.0057373046875,1.734122633934021e-05,3.9942562580108643e-05,2.2618529328610748e-05,7.3414039611816406,-0.00012569944374263287,-0.00042265711817890406,0.0071254316717386246,1.4742950043000747e-06,6.7575210778159089e-06,-1.5558907762169838e-07,0,0.99989277124404907,-0.00029695680132135749,5.2832247092737816e-06,-2.1175346773816273e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99996185302734375,0,349.60043334960938,-3.1560659408569336e-05,6.6161155700683594e-06,3.8199050322873518e-05,0.60659265518188477,0,-0.00032724341144785285,-0.36795532703399658,-0.000736313930246979,0.0126953125,-0.62610757350921631,0,0.00087545177666470408,0.00036267013638280332,264.98749999969732,-0.00062299263663589954,-0.00047113918117247522,267.9365234375,264.97250366210938,8.0260105133056641,0.088818855583667755,0.079583555459976196,0.00099604192655533552
240,12.530330353869131,1,0.44901913404464722,168.75,7.9999923706054688,2.0919761922755242e-08,1,11164.458984375,1,0.28186383843421936,8.0455913543701172,11.903813836175674,0.00025361991720274091,0.00013560071238316596,-2.0272011170163751e-05,1.3223112821578979,-0.26658666133880615,-0.20160658657550812,-0.002860731678083539,-0.0021634327713400126,5.8580303192138672,-0.00014622858725488186,-0.00029435177566483617,0.026830784976482391,5.5107830121414736e-07,5.7171391745214351e-06,6.1700120568275452e-09,1,0.99946773052215576,-0.00014812318840995431,5.1660604185599368e-06,-5.7640686463855673e-06,2.7421219348907471,0,0,0,1,0,0,0,0,0,1,0,1.0656900405883789,2.9241299629211426,350.00445556640625,1.4089047908782959e-05,2.8371810913085938e-05,1.427909592166543e-05,7.0232152938842773,-0.00035331514663994312,-0.00075854803435504436,0.0141099002212286,2.9880789043090772e-06,8.6284926510415971e-06,-1.8125865608453751e-07,0,0.99988174438476562,-0.00040523221832700074,5.6404137467325199e-06,-2.1085140815557679e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99997496604919434,0,349.59951782226562,-3.7267804145812988e-05,-1.2189149856567383e-05,2.5073808501474559e-05,0.54870539903640747,0,-0.00041148095624521375,-0.30108055472373962,-0.0012536512222141027,0,-0.72361606359481812,0,0.0010492469882592559,0.00056088087148964405,264.98333333292976,-0.00072001595981419086,-0.0005445132264867425,267.93603515625,264.97659301757812,8.0455255508422852,0.12749277055263519,0.12008106708526611,0.0014398540370166302
300,12.557508703745539,1,0.41171154379844666,168.75,7.9999904632568359,2.7133697955150637e-08,1,7790.7392578125,1,0.53271114826202393,8.0502042770385742,11.929633268558261,0.00031466054497286677,0.00019441777840256691,-2.2394455299945548e-05,1.3223112821578979,-0.22411021590232849,-0.16948370635509491,-0.0036665645893663168,-0.0027728453278541565,5.3271069526672363,-0.00025507574900984764,-0.0004420415498316288,0.042767174541950226,5.8878322306554765e-07,6.1835007727495395e-06,9.720679372549057e-09,1,0.99918097257614136,-0.00018696612096391618,5.5947198234207463e-06,-6.9238662945281249e-06,2.4866981506347656,0,0,0,1,0,0,0,0,0,1,0,1.0183025598526001,2.5343191623687744,350.0029296875,1.4126300811767578e-05,2.2418797016143799e-05,8.274627361970488e-06,6.7290239334106445,-0.0006700360681861639,-0.0012053055688738823,0.023173417896032333,3.0170576792443171e-06,1.0357717656006571e-05,-1.9592698663473129e-07,0,0.99987149238586426,-0.00053526932606473565,7.3406545197940432e-06,-2.638799742271658e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99998283386230469,0,349.59844970703125,-4.240870475769043e-05,-2.5197863578796387e-05,1.7150621715700254e-05,0.49773129820823669,0,-0.00048629846423864365,-0.24774464964866638,-0.0018189831171184778,0,-0.79937738180160522,0,0.0013019056059420109,0.00080424407497048378,264.9791666661622,-0.00079540035221725702,-0.000601522799115628,267.93560791015625,264.9796142578125,8.0501251220703125,0.19691124558448792,0.17749948799610138,0.0019997500348836184
360,12.623786390795274,1,0.38255408406257629,168.75,7.9999890327453613,2.6030001265553437e-08,1,5781.93212890625,1,1.008618950843811,8.1104936599731445,11.99259707125551,0.00036525115137919784,0.00026214390527456999,-2.4207256501540542e-05,1.3223112821578979,-0.1934666633605957,-0.14630946516990662,-0.0044191004708409309,-0.0033419516403228045,4.8813686370849609,-0.0003361852141097188,-0.00072973791975528002,0.061074323952198029,4.0699342207517475e-07,1.530543522676453e-05,6.1409082263708115e-09,1,0.99803906679153442,-0.00039355331682600081,1.4898432709742337e-05,-1.9518629414960742e-05,2.2664361000061035,0,0,0,1,0,0,0,0,0,1,0,1.006638765335083,2.2858808040618896,350.001220703125,1.0244548320770264e-05,1.4275312423706055e-05,3.9952533370524179e-06,6.4646406173706055,-0.00085842236876487732,-0.0019850265234708786,0.03403107076883316,2.304335794178769e-06,-1.6386900824727491e-05,-2.0454172044992447e-07,0,0.99976831674575806,-0.0011266034562140703,-1.8691251170821488e-05,1.3048802429693751e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99998831748962402,0,349.59732055664062,-5.124509334564209e-05,-3.9622187614440918e-05,1.1679854651447386e-05,0.4541657567024231,0,-0.00055060605518519878,-0.2062818855047226,-0.0023951795883476734,0,-0.86408591270446777,0,0.0015113702975213528,0.0010845343349501491,264.97499999939464,-0.00085978698916733265,-0.00065021525369957089,267.93508911132812,264.98208618164062,8.1103897094726562,0.3402169942855835,0.22379700839519501,0.0050655817613005638
420,12.741150855195981,1,0.36194401979446411,168.75,7.9999861717224121,4.3504844171593504e-08,1,4542.8408203125,1,1.7970508337020874,8.1666269302368164,12.104093312436181,0.00045539261191152036,0.00033384028938598931,-2.609376133477781e-05,1.3223112821578979,-0.17315348982810974,-0.13094760477542877,-0.0050591477192938328,-0.0038259883876889944,4.5308475494384766,-0.00032109103631228209,-0.0012659719213843346,0.079972349107265472,-1.5222649381030351e-06,3.8962061807978898e-05,3.9144651964306831e-09,1,0.99467206001281738,-0.00094488111790269613,4.0484323108103126e-05,-5.6426295486744493e-05,2.0808351039886475,0,0,0,1,0,0,0,0,0,1,0,0.99897533655166626,2.0897669792175293,349.9993896484375,6.1616301536560059e-06,5.8338046073913574e-06,-3.4931190384668298e-07,6.2249078750610352,-0.00065236072987318039,-0.0035264557227492332,0.046526677906513214,5.467463779496029e-06,0.00015849356714170426,-2.0227162167429924e-07,0,0.99949103593826294,-0.0028740949928760529,0.00015302610700018704,-3.5140968975611031e-05,0,0,0,0,1,0,0,0,0,0,0,0,0.999991774559021,0,349.59613037109375,-6.0707330703735352e-05,-5.2511692047119141e-05,8.1981443145195954e-06,0.41841030120849609,0,-0.00060816085897386074,-0.17508713901042938,-0.0029468159191310406,0,-0.93142527341842651,0,0.0018846663879230618,0.0013813299592584372,264.97083333262708,-0.00092679134104400873,-0.00070088740903884172,267.93463134765625,264.98394775390625,8.1665725708007812,0.47898072004318237,0.56369435787200928,0.012345887720584869
480,55.070819354061676,1,0.35099446773529053,168.75,7.9999804496765137,-3.6043681461706001e-07,1,3816.137451171875,1,4.6850447654724121,8.4248580932617188,52.317278386358588,0.00056001020129770041,0.00039938979898579419,-2.8328058760962449e-05,1.3223112821578979,-0.16280761361122131,-0.12312351912260056,-0.0056300288997590542,-0.004257718101143837,4.2838559150695801,-0.00029120990075170994,-0.0029828483238816261,0.098315060138702393,2.7491805667523295e-06,3.2252861274173483e-05,-1.1641532182693481e-10,1,0.9828532338142395,-0.0026916395872831345,2.9503709811251611e-05,-8.8790940935723484e-05,1.9210295677185059,0,0,0,1,0,0,0,0,0,1,0,0.99181818962097168,1.9387385845184326,349.9974365234375,-3.8743019104003906e-07,-5.4538249969482422e-06,-5.1449642342049628e-06,6.0048513412475586,-0.00053891725838184357,-0.010359855368733406,0.060539934784173965,3.5457458579912782e-05,5.1839786465279758e-05,-2.0384322851896286e-07,0,0.99847972393035889,-0.0098209371790289879,1.6382284229621291e-05,-3.48190005752258e-05,0,0,0,0,1,0,0,0,0,0,0,0,1.0000156164169312,0,349.59500122070312,-6.9797039031982422e-05,-8.5294246673583984e-05,-1.5597246601828374e-05,0.39099901914596558,0,-0.00066445604898035526,-0.15289893746376038,-0.0034538037143647671,0,-1.0111792087554932,0,0.0023180842399597168,0.0016527543775737286,264.96666666585952,-0.0010061485227197409,-0.00076090142829343677,267.9342041015625,264.98422241210938,8.4234504699707031,0.84684336185455322,0.87636065483093262,0.042020171880722046
540,64.098888664360686,1,0.35141593217849731,343.75,7.9999723434448242,1.0977866082839682e-07,1,3432.40625,1,10.253249168395996,8.5122051239013672,60.893944231142655,0.00064735603518784046,0.00044702360173687339,-3.1608633435098454e-05,1.3223112821578979,-0.16318045556545258,-0.12340547889471054,-0.006152324378490448,-0.004652705043554306,4.1530685424804688,-0.00081578176468610764,-0.0077889235690236092,0.11555106937885284,-2.5713816285133362e-06,0.00031511689303442836,2.7939677238464355e-09,1,0.9512019157409668,-0.0069731408730149269,0.00031768839107826352,-0.00051462725969031453,1.7732448577880859,0,0,0,1,0,0,0,0,0,1,0,0.95862597227096558,1.7878304719924927,349.99557495117188,-6.8545341491699219e-06,-3.6716461181640625e-05,-2.9872870072722435e-05,5.8105525970458984,-0.0016788505017757416,-0.027638843283057213,0.077137991786003113,-3.9332662709057331e-06,-0.00076270359568297863,-2.0302832126617432e-07,0,0.99634635448455811,-0.025959987193346024,-0.00075877050403505564,1.0471230780240148e-05,0,0,0,0,1,0,0,0,0,0,0,0,1.0001060962677002,0,349.59393310546875,-7.6770782470703125e-05,-0.00018298625946044922,-0.00010622647096170112,0.37308424711227417,0,-0.00072887795977294445,-0.13922367990016937,-0.0039157122373580933,0,-1.1282804012298584,0,0.0026800588238984346,0.0018500440055504441,264.96249999909196,-0.0011226671049371362,-0.00084901874652132392,267.93374633789062,264.98394775390625,8.5055561065673828,1.1899892091751099,0.83424603939056396,0.089433722198009491
