time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s,source_times_s
28800,6.25,buoyancy_mean,0.0029195303795859218,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,18.75,buoyancy_mean,0.0065558450296521187,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,31.25,buoyancy_mean,0.0096614724025130272,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,43.75,buoyancy_mean,0.013095775619149208,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,56.25,buoyancy_mean,0.015472716186195612,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,68.75,buoyancy_mean,0.017825412563979626,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,81.25,buoyancy_mean,0.020087964832782745,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,93.75,buoyancy_mean,0.022446772083640099,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,106.25,buoyancy_mean,0.024858547374606133,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,118.75,buoyancy_mean,0.027343668974936008,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,131.25,buoyancy_mean,0.029961146414279938,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,143.75,buoyancy_mean,0.032988375052809715,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,156.25,buoyancy_mean,0.036531180143356323,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,168.75,buoyancy_mean,0.0407550148665905,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,181.25,buoyancy_mean,0.045937776565551758,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,193.75,buoyancy_mean,0.052608761936426163,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,206.25,buoyancy_mean,0.062249736860394478,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,218.75,buoyancy_mean,0.076053183525800705,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,231.25,buoyancy_mean,0.090721104294061661,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,243.75,buoyancy_mean,0.10230954363942146,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,256.25,buoyancy_mean,0.10993495956063271,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,268.75,buoyancy_mean,0.1147933155298233,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,281.25,buoyancy_mean,0.11850826814770699,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,293.75,buoyancy_mean,0.12243384495377541,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,306.25,buoyancy_mean,0.12709689885377884,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
