time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.5,1,0.77147060632705688,6.25,8,0,1,173309.359375,1,5.0487097934144756e-27,8,11.875,0.00018174079013988376,8.6545405793003738e-06,-6.6233260440640152e-06,1.3223112821578979,-0.78699588775634766,-0.59516686201095581,0,0,0.4462890625,-0.23642179369926453,0,0.00075175828533247113,0.00020818470511585474,265,-0.00023524556308984756,-0.00017790483252611011,267.9375,264.9500732421875,8,0,1.3249705261841882e-06,3.2311742677852644e-27
60,12.507092002528617,1,0.56839519739151001,306.25,8,3.9372594073938671e-10,1,45190.41796875,1,0.0093469945713877678,8.0486030578613281,11.881737402402186,0.00024201969790738076,3.3445139706600457e-05,-1.015885663946392e-05,1.3223112821578979,-0.42720270156860352,-0.32307273149490356,-0.00063665793277323246,-0.00048147357301786542,0.32421875,-0.36262372136116028,0,0.0010012178681790829,0.000212373401154764,264.99583333323244,-0.00036081962753087282,-0.00027287041302770376,267.93746948242188,264.95834350585938,8.0485391616821289,0.028259512037038803,0.04805036261677742,0.00027252771542407572
120,12.546171961863687,1,0.45010462403297424,343.75,7.9999966621398926,1.7400915153231722e-09,1,19090.41796875,1,0.079344257712364197,8.2031679153442383,11.918863363770502,0.00033187179360538721,7.9559198638889939e-05,-1.1941668162762653e-05,1.3223112821578979,-0.26788783073425293,-0.20259059965610504,-0.0015894877724349499,-0.0012020526919513941,0.19921875,-0.42626175284385681,0,0.0013731699436903,0.00037206197157502174,264.99166666646488,-0.00042414103518240154,-0.00032075733179226518,267.93701171875,264.96224975585938,8.2031345367431641,0.074060127139091492,0.083063140511512756,0.00081684824544936419
180,12.6796242814893,1,0.37310090661048889,168.75,7.9999947547912598,1.1357322193816799e-08,1,10097.4091796875,1,0.32220089435577393,8.3853635787963867,12.045643067414835,0.00047246515168808401,0.00015193055151030421,-1.2859053640568163e-05,1.3223112821578979,-0.1840551346540451,-0.13919198513031006,-0.0024461699649691582,-0.0018499199068173766,0.0791015625,-0.45900812745094299,0,0.0019553769379854202,0.00064157508313655853,264.98749999969732,-0.00045672449050471187,-0.00034539861371740699,267.93655395507812,264.96493530273438,8.3853340148925781,0.10017479956150055,0.11880481243133545,0.0014904413837939501
240,12.962043306666471,1,0.31961402297019958,168.75,7.9999923706054688,1.7623294823465585e-08,1,6061.2509765625,1,0.84438204765319824,8.6623096466064453,12.313941141333148,0.00062766316113993526,0.00025576533516868949,-1.346651424682932e-05,1.3223112821578979,-0.13504078984260559,-0.10212481021881104,-0.003180480794981122,-0.0024052436929196119,0.0078125,-0.48069164156913757,0,0.0025984449312090874,0.0010588469449430704,264.98333333292976,-0.00047830014955252409,-0.00036171523970551789,267.93606567382812,264.96871948242188,8.6620864868164062,0.13404695689678192,0.14480558037757874,0.0021314756013453007
300,27.742814938258427,1,0.28104496002197266,168.75,7.9999904632568359,2.6651751028339277e-08,1,4003.904541015625,1,1.7341116666793823,8.9128351211547852,26.355674191345503,0.00095188437262549996,0.00039811551687307656,-1.3860652870789636e-05,1.3223112821578979,-0.10437537729740143,-0.078934043645858765,-0.003797394223511219,-0.0028717853128910065,0,-0.49476054310798645,0,0.0039429757744073868,0.0016476188320666552,264.9791666661622,-0.00049229903379455209,-0.00037230193265713751,267.93560791015625,264.96987915039062,8.9122810363769531,0.19331258535385132,0.15675756335258484,0.0025767607148736715
360,32.943318660896601,1,0.25213822722434998,168.75,7.9999880790710449,3.6559466565222465e-08,1,2821.980712890625,1,2.7074384689331055,9.0848054885864258,31.296152727851769,0.0013589814770966768,0.00058632245054468513,-1.420044918631902e-05,1.3223112821578979,-0.083952456712722778,-0.063489176332950592,-0.0043331384658813477,-0.0032769427634775639,0,-0.50688964128494263,0,0.0056334896944463253,0.0024274371098726988,264.97499999939464,-0.00050436781020835042,-0.00038142895209603012,267.93515014648438,264.97280883789062,9.0845851898193359,0.33397001028060913,0.21557031571865082,0.0037356140092015266
420,36.252621984347691,1,0.22950486838817596,168.75,7.9999856948852539,5.2498855040994385e-08,1,2067.70361328125,1,3.2106199264526367,9.2371187210083008,34.439990885130307,0.0017625736072659492,0.00082073220983147621,-1.4615960935771e-05,1.3223112821578979,-0.069486677646636963,-0.052549410611391068,-0.0047585386782884598,-0.0035986523143947124,0,-0.5217214822769165,0,0.0073119443841278553,0.0033995744306594133,264.97083333262708,-0.00051912583876401186,-0.00039258974720723927,267.93472290039062,264.97442626953125,9.2366342544555664,0.79555124044418335,0.28523856401443481,0.0064969724044203758
480,38.144984192050615,1,0.21893247961997986,168.75,7.9999833106994629,7.3341354323019914e-08,1,1688.3538818359375,1,5.9309558868408203,9.4107303619384766,36.237734982448082,0.014505752362310886,0.0011340668424963951,-1.5538429579464719e-05,1.3223112821578979,-0.063168317079544067,-0.047771140933036804,-0.0051790280267596245,-0.0039166482165455818,0,-0.55464935302734375,0,0.061702430248260498,0.0047035915777087212,264.96666666585952,-0.00055188988335430622,-0.00041736758430488408,267.93435668945312,264.97793579101562,9.4103145599365234,1.2193846702575684,0.42169958353042603,0.014916347339749336
540,43.569581687716948,1,0.24467417597770691,168.75,7.9999799728393555,9.3083379226754914e-08,1,1865.50830078125,1,19.5650634765625,9.6557483673095703,41.391102603331099,0.10141962766647339,0.0020167813636362553,-1.9629407688626088e-05,1.3223112821578979,-0.078939422965049744,-0.059698063880205154,-0.0059155281633138657,-0.004473627544939518,0,-0.70067811012268066,0,0.55352103710174561,0.0087288068607449532,264.96249999909196,-0.00069719215389341116,-0.00052725267596542835,267.93392944335938,264.9727783203125,9.6535892486572266,2.7907814979553223,1.6022610664367676,0.10473081469535828
