time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_resolved_flux,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_resolved_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.5,1,0.77147060632705688,6.25,8,0,1,173309.359375,1,5.0487097934144756e-27,8,11.875,0.00018174079013988376,8.6545405793003738e-06,-6.6233260440640152e-06,1.3223112821578979,-0.78699588775634766,-0.59516686201095581,0,0,8,2.2182240400070441e-07,2.2182240400070441e-07,0,0,0,2.7727800500088051e-08,1,1,0,0,0,3.8573527336120605,0,0,0,1,0,0,0,0,0,1,0,1,3.8573527336120605,350.00762939453125,9.7049414762295783e-06,9.7049414762295783e-06,0,8,6.7548819515650393e-07,6.7548819515650393e-07,0,0,0,8.4436024394562992e-08,1,1,0,0,0,3.8573527336120605,0,0,0,1,0,0,0,0,0,1,0,1,3.8573527336120605,349.600830078125,2.951890928670764e-05,2.951890928670764e-05,0,0.77147054672241211,0,-0.00017790481797419488,-0.59516680240631104,0,0.4462890625,-0.23642179369926453,0,0.00075175828533247113,0.00020818470511585474,265,-0.00023524556308984756,-0.00017790483252611011,267.9375,264.9500732421875,8,0,1.3249705261841882e-06,3.2311742677852644e-27
60,36.900770652815346,1,0.63542479276657104,306.25,8,3.4722802411124576e-10,1,68140.8046875,1,0.0042845318093895912,8.0076475143432617,35.055732120174575,0.00012722621613647789,2.2035423171473667e-05,-9.4129381977836601e-06,1.3223112821578979,-0.53390246629714966,-0.40376457571983337,-0.00040624500252306461,-0.00030722343944944441,7.893681526184082,1.0927760740742087e-07,-2.3701286409050226e-06,0.00028309031040407717,2.5376272194677085e-09,3.2890639545257727e-08,2.279602995258756e-08,1,0.9999956488609314,-2.4794371711323038e-06,3.0353000113336748e-08,-3.0440844511758769e-08,3.784055233001709,0,0,0,1,0,0,0,0,0,1,0,0.99988025426864624,3.7836179733276367,350.007568359375,9.8259188234806061e-06,1.7428072169423103e-05,7.6032411016058177e-06,7.9658069610595703,2.3088068701326847e-07,-3.1647214200347662e-06,0.00013081372890155762,5.3006989908510604e-09,7.1899648901307955e-08,4.0357917896471918e-08,1,0.99999409914016724,-3.3955102480831556e-06,6.6598950354546105e-08,-6.6638136786423274e-08,3.7840495109558105,0,0,0,1,0,0,0,0,0,1,0,1.0027649402618408,3.7945349216461182,349.6009521484375,1.6624107956886292e-05,2.8485897928476334e-05,1.1861446182592772e-05,0.75681436061859131,0,-0.00018086316413246095,-0.57276809215545654,-2.4307222702191211e-05,0.2646484375,-0.33599793910980225,0,0.00052621634677052498,0.00011800059291999787,264.99583333323244,-0.0003343262942507863,-0.0002528347831685096,267.93743896484375,264.95846557617188,8.0076465606689453,0.016890212893486023,0.044288665056228638,0.00019761813746299595
120,37.666494366890227,1,0.57783854007720947,343.75,7.9999985694885254,8.8218160554376368e-10,1,32899.7734375,1,0.022263741120696068,8.0105390548706055,35.783169648545716,0.0001149591407738626,4.5795160986017436e-05,-1.4661102795798797e-05,1.3223112821578979,-0.44151514768600464,-0.33389651775360107,-0.00099786382634192705,-0.00075463607208803296,7.6696872711181641,-1.1971133062615991e-06,-1.975655322894454e-05,0.0017013032920658588,1.1098066465820011e-08,2.7405457103668596e-07,2.2535459720529616e-08,1,0.99996483325958252,-1.8559472664492205e-05,2.6295657562513952e-07,-2.665124441136868e-07,3.6567349433898926,0,0,0,1,0,0,0,0,0,1,0,2.0302867889404297,7.4259109497070312,350.00732421875,1.1884607374668121e-05,2.4397857487201691e-05,1.2506538041634485e-05,7.8374180793762207,-2.5500776246190071e-06,-4.32237284258008e-05,0.0011778697371482849,2.6232498839817708e-08,5.1410870582913049e-07,-6.1991158872842789e-09,1,0.99992352724075317,-4.0673759940546006e-05,4.8787649120640708e-07,-4.9556444992049364e-07,3.6565835475921631,0,0,0,1,0,0,0,0,0,1,0,3.2387838363647461,11.846889495849609,349.6009521484375,4.0028244256973267e-06,2.695620059967041e-05,2.2959746274864301e-05,0.73137247562408447,0,-0.00020752023556269705,-0.53490573167800903,-0.00011717344750650227,0.0537109375,-0.52333283424377441,0,0.0004754702968057245,0.00019159616203978658,264.99166666646488,-0.00052072916878387332,-0.00039380227099172771,267.93695068359375,264.96841430664062,8.0105323791503906,0.038513414561748505,0.061130188405513763,0.00042255246080458164
180,37.857187255301369,1,0.53578442335128784,343.75,7.9999957084655762,4.2727656968111205e-09,1,19983.96484375,1,0.075297430157661438,8.0152301788330078,35.964327892536296,0.00013473951548803598,7.5469135481398553e-05,-1.9241042537032627e-05,1.3223112821578979,-0.37958550453186035,-0.2870621383190155,-0.0016742178704589605,-0.0012661298969760537,7.3916053771972656,-6.8678637035191059e-06,-5.0389469834044576e-05,0.004672415554523468,2.0173274606349878e-08,6.2837995074005448e-07,2.1911546355113387e-08,1,0.9999091625213623,-4.3521446059457958e-05,6.0820684666396119e-07,-6.2999890815262916e-07,3.5132412910461426,0,0,0,1,0,0,0,0,0,1,0,1.0115793943405151,3.5542798042297363,350.0068359375,1.3684853911399841e-05,2.6497989892959595e-05,1.282840094063431e-05,7.6340432167053223,-1.528346911072731e-05,-0.00012837379472330213,0.0038450108841061592,5.0732040790535393e-08,1.4807312709308462e-06,-4.530011210590601e-08,1,0.99976813793182373,-0.00011309089313726872,1.4299987469712505e-06,-1.4892548279021867e-06,3.5127463340759277,0,0,0,1,0,0,0,0,0,1,0,1.0303616523742676,3.6202907562255859,349.60076904296875,-5.5581331253051758e-06,1.897662878036499e-05,2.4526430934201926e-05,0.70271116495132446,0,-0.00025327442563138902,-0.4938029944896698,-0.00028060516342520714,0,-0.68681526184082031,0,0.00055729597806930542,0.00031212333124130964,264.98749999969732,-0.00068339827703312039,-0.0005168210482224822,267.93646240234375,264.97390747070312,8.0151844024658203,0.072458237409591675,0.069227069616317749,0.00052253803005442023
240,37.978068951190281,1,0.50065183639526367,168.75,7.9999923706054688,2.1866092936306813e-08,1,13598.4677734375,1,0.18190634250640869,8.032526969909668,36.079165503630762,0.00016069815319497138,0.00011095574154751375,-2.307052091055084e-05,1.3223112821578979,-0.33143156766891479,-0.25064563751220703,-0.0024091631639748812,-0.0018219334306195378,7.0866727828979492,-2.0535604562610388e-05,-8.7751715909689665e-05,0.0094127766788005829,2.8826491416111821e-08,9.3685014235234121e-07,1.754233380779624e-08,1,0.9998430609703064,-6.7216140450909734e-05,9.0802370777964825e-07,-9.7364249995735008e-07,3.3637685775756836,0,0,0,1,0,0,0,0,0,1,0,1.0152908563613892,3.4157824516296387,350.0062255859375,1.3595446944236755e-05,2.5017186999320984e-05,1.1425821867305785e-05,7.3825807571411133,-4.7978945076465607e-05,-0.00023215543478727341,0.0084590241312980652,8.2613382801355328e-08,2.7307512482366292e-06,-7.4534909799695015e-08,1,0.99958282709121704,-0.00018417675164528191,2.6481384338694625e-06,-2.8401805138855707e-06,3.3628964424133301,0,0,0,1,0,0,0,0,0,1,0,1.0271327495574951,3.4555416107177734,349.6004638671875,-1.2353062629699707e-05,8.8661909103393555e-06,2.1232586732367054e-05,0.67285645008087158,0,-0.00031107553513720632,-0.45273593068122864,-0.00051173492101952434,0,-0.8235098123550415,0,0.0006647086120210588,0.00045891565969213843,264.98333333292976,-0.00081941275857388973,-0.00061968219233676791,267.93594360351562,264.97808837890625,8.0323562622070312,0.10310211777687073,0.08049502968788147,0.00072246539639309049
300,38.130015501219454,1,0.47025826573371887,168.75,7.9999904632568359,3.2593373333611453e-08,1,9868.5419921875,1,0.35998564958572388,8.0569658279418945,36.223514726158477,0.00020243349717929959,0.00015292782336473465,-2.634488555486314e-05,1.3223112821578979,-0.2924024760723114,-0.22112983465194702,-0.0031706709414720535,-0.0023978250101208687,6.771061897277832,-4.3707957956939936e-05,-0.00012956740101799369,0.01601119339466095,3.8179223338374868e-08,1.8227754026156617e-06,1.5221303328871727e-08,1,0.99977302551269531,-8.5860032413620502e-05,1.7845959519036114e-06,-1.9225199139327742e-06,3.213341236114502,0,0,0,1,0,0,0,0,0,1,0,1.0081121921539307,3.2402124404907227,350.00543212890625,1.3422220945358276e-05,2.3264437913894653e-05,9.7939337138086557e-06,7.1038284301757812,-0.00010560895316302776,-0.00035335763823240995,0.01512945257127285,1.3281987776281312e-07,5.4425954658654518e-06,-1.0119401849806309e-07,1,0.99937474727630615,-0.00024774944176897407,5.3097746786079369e-06,-5.7443403420620598e-06,3.212071418762207,0,0,0,1,0,0,0,0,0,1,0,1.0278619527816772,3.303469181060791,349.5999755859375,-1.9632279872894287e-05,-2.078711986541748e-06,1.7545547962072305e-05,0.64280796051025391,0,-0.00037561901262961328,-0.41320240497589111,-0.00080396083649247885,0,-0.94038927555084229,0,0.00083741103298962116,0.00063255964778363705,264.9791666661622,-0.000935710733756423,-0.00070763274561613798,267.93545532226562,264.98135375976562,8.0569362640380859,0.13580507040023804,0.13809412717819214,0.0011931101325899363
360,38.464456137678702,1,0.44375556707382202,168.75,7.9999885559082031,4.6685112664590633e-08,1,7510.81640625,1,0.68313372135162354,8.07720947265625,36.541233330794768,0.0002530958445277065,0.00020097126252949238,-2.9086018912494183e-05,1.3223112821578979,-0.26035857200622559,-0.19689658284187317,-0.0039281565696001053,-0.0029706745408475399,6.4556684494018555,-7.361255120486021e-05,-0.00017280626343563199,0.024439416825771332,3.5992798075312749e-08,3.8358571146090981e-06,1.2980308383703232e-08,1,0.99970203638076782,-9.9194119684398174e-05,3.7998665902705397e-06,-4.0354270822717808e-06,3.0650980472564697,0,0,0,1,0,0,0,0,0,1,0,1.0096344947814941,3.0957632064819336,350.00445556640625,1.2520700693130493e-05,2.0947307348251343e-05,8.3407576312310994e-06,6.8135013580322266,-0.00018000369891524315,-0.00048851873725652695,0.023777198046445847,1.4401257431018166e-07,1.615457767911721e-05,-1.2191594578325748e-07,1,0.99913191795349121,-0.0003085157077293843,1.6010566469049081e-05,-1.6840102034620941e-05,3.0633707046508789,0,0,0,1,0,0,0,0,0,1,0,1.0274676084518433,3.150113582611084,349.59930419921875,-2.644956111907959e-05,-1.2062489986419678e-05,1.4391182958206628e-05,0.61319178342819214,0,-0.00044299795990809798,-0.37600499391555786,-0.0011476789368316531,0,-1.0382349491119385,0,0.001047073514200747,0.00083135353634133935,264.97499999939464,-0.0010330695658922195,-0.00078126048902049661,267.93496704101562,264.982421875,8.0770988464355469,0.22824010252952576,0.23752054572105408,0.0031603863462805748
420,56.608678857882531,1,0.42117977142333984,168.75,7.9999856948852539,5.1730332017996261e-08,1,5922.01513671875,1,1.690129280090332,8.2041444778442383,53.778244914988399,0.00031177490018308163,0.00025497667957097292,-3.1540821510134265e-05,1.3223112821578979,-0.23452159762382507,-0.17735733091831207,-0.0046635628677904606,-0.0035268268547952175,6.1490621566772461,-9.7348063718527555e-05,-0.00021101871971040964,0.034553267061710358,-5.5526470532640815e-08,-1.0450830814079382e-06,9.6770236268639565e-09,1,0.99962151050567627,-0.00011367093975422904,-9.8955433713854291e-07,6.1834771258872934e-07,2.9213056564331055,0,0,0,1,0,0,0,0,0,1,0,1.0807263851165771,3.1590425968170166,350.0032958984375,1.023709774017334e-05,1.7791986465454102e-05,7.4847084761131555e-06,6.5262660980224609,-0.00023098429664969444,-0.00068619928788393736,0.03414548933506012,-4.8285619413945824e-07,-1.2649452401092276e-06,-1.3830140233039856e-07,1,0.99860626459121704,-0.00045521702850237489,-7.8208631748566404e-07,-1.0351213859394193e-06,2.9183616638183594,0,0,0,1,0,0,0,0,0,1,0,1.0729880332946777,3.1360654830932617,349.5985107421875,-3.4302473068237305e-05,-2.1882355213165283e-05,1.2430567949195392e-05,0.58446907997131348,0,-0.00051067204913124442,-0.34160521626472473,-0.0015312549658119678,0,-1.1258598566055298,0,0.0012899625580757856,0.0010548597201704979,264.97083333262708,-0.0011202585883438587,-0.0008471973123960197,267.93450927734375,264.98675537109375,8.2041244506835938,0.38891899585723877,0.51104474067687988,0.014203727245330811
480,71.231818694147535,1,0.40411484241485596,343.75,7.9999785423278809,7.235738763711197e-08,1,4861.08056640625,1,4.953066349029541,8.3751850128173828,67.670227759440152,0.00039110903162509203,0.00031123246299102902,-3.3940759749384597e-05,1.3223112821578979,-0.21587759256362915,-0.16325777769088745,-0.0053983340039849281,-0.0040824986062943935,5.8610639572143555,-9.0220186393707991e-05,-0.00027326424606144428,0.046235121786594391,-2.2300400814856403e-07,-1.5846395399421453e-05,8.7311491370201111e-09,1,0.99937748908996582,-0.00018304424884263426,-1.5623394574504346e-05,1.4686058420920745e-05,2.783966064453125,0,0,0,1,0,0,0,0,0,1,0,1.0291963815689087,2.8670902252197266,350.00201416015625,7.066875696182251e-06,1.4483928680419922e-05,7.3316909947607201e-06,6.2613487243652344,-0.00020025717094540596,-0.0014111421769484878,0.046003259718418121,-1.4018660294823349e-06,-0.0001164112618425861,-1.4803663361817598e-07,1,0.99607747793197632,-0.0012108860537409782,-0.00011500938853714615,0.00010778200521599501,2.7747547626495361,0,0,0,1,0,0,0,0,0,1,0,1.0310323238372803,2.872133731842041,349.59756469726562,-4.4107437133789062e-05,-3.3922493457794189e-05,9.9487124316510744e-06,0.55713105201721191,0,-0.00057771091815084219,-0.31039541959762573,-0.0019459262257441878,0,-1.2115265130996704,0,0.0016184394480660558,0.0012877262197434902,264.96666666585952,-0.0012054990511387587,-0.00091166055062785745,267.93408203125,264.9869384765625,8.3750686645507812,0.90768730640411377,0.75900876522064209,0.055192857980728149
540,84.001812376405539,1,0.39498913288116455,343.75,7.9999737739562988,9.8546571791757742e-08,1,4167.91552734375,1,10.749590873718262,8.4708051681518555,79.801721757585256,0.00047527809510938823,0.00036473065847530961,-3.6963792808819562e-05,1.3223112821578979,-0.20620900392532349,-0.15594588220119476,-0.0062027466483414173,-0.0046908371150493622,5.6049566268920898,-9.4163813628256321e-05,-0.00058625434758141637,0.059295009821653366,6.663503882009536e-07,-6.7782129917759448e-05,9.9389581009745598e-09,1,0.99823844432830811,-0.00049209047574549913,-6.8448498495854437e-05,6.4649924752302468e-05,2.6548993587493896,0,0,0,1,0,0,0,0,0,1,0,1.0505163669586182,2.7943720817565918,350.00067138671875,3.3900141716003418e-06,9.7230076789855957e-06,6.2651074586028699e-06,6.0399560928344727,-0.00024844752624630928,-0.0037209077272564173,0.058988995850086212,3.17796366289258e-06,-0.00054063816787675023,-1.5553086996078491e-07,1,0.98774361610412598,-0.0034724606666713953,-0.00054381618974730372,0.00051563768647611141,2.6269156932830811,0,0,0,1,0,0,0,0,0,1,0,1.0494556427001953,2.7931451797485352,349.59658813476562,-5.486607551574707e-05,-5.8844685554504395e-05,-4.1495227378618438e-06,0.53191173076629639,0,-0.00064565858338028193,-0.28292813897132874,-0.0023885918781161308,0,-1.3194347620010376,0,0.001967024989426136,0.0015092265093699098,264.96249999909196,-0.0013128704158589244,-0.00099286029580980539,267.93365478515625,264.98568725585938,8.4676876068115234,1.2553775310516357,1.105411171913147,0.11862550675868988
