time_s,z_m,variable,value,location
28800.0,6.25,buoyancy_mean,0.002972301619593054,Center
28800.0,18.75,buoyancy_mean,0.009989906568080187,Center
28800.0,31.25,buoyancy_mean,0.0110895992256701,Center
28800.0,43.75,buoyancy_mean,0.012950440868735313,Center
28800.0,56.25,buoyancy_mean,0.014961113687604666,Center
28800.0,68.75,buoyancy_mean,0.01720606442540884,Center
28800.0,81.25,buoyancy_mean,0.01939127128571272,Center
28800.0,93.75,buoyancy_mean,0.021571803838014603,Center
28800.0,106.25,buoyancy_mean,0.0239705853164196,Center
28800.0,118.75,buoyancy_mean,0.026472263038158417,Center
28800.0,131.25,buoyancy_mean,0.02916716504842043,Center
28800.0,143.75,buoyancy_mean,0.03235760144889355,Center
28800.0,156.25,buoyancy_mean,0.03638734482228756,Center
28800.0,168.75,buoyancy_mean,0.04141136817634106,Center
28800.0,181.25,buoyancy_mean,0.04810743406414986,Center
28800.0,193.75,buoyancy_mean,0.05712445080280304,Center
28800.0,206.25,buoyancy_mean,0.06836862117052078,Center
28800.0,218.75,buoyancy_mean,0.08094809949398041,Center
28800.0,231.25,buoyancy_mean,0.09306696057319641,Center
28800.0,243.75,buoyancy_mean,0.1031699888408184,Center
28800.0,256.25,buoyancy_mean,0.11027570441365242,Center
28800.0,268.75,buoyancy_mean,0.11480114609003067,Center
28800.0,281.25,buoyancy_mean,0.11838412657380104,Center
28800.0,293.75,buoyancy_mean,0.12242672219872475,Center
28800.0,306.25,buoyancy_mean,0.12717632204294205,Center
28800.0,318.75,buoyancy_mean,0.13210396468639374,Center
28800.0,331.25,buoyancy_mean,0.13690895587205887,Center
28800.0,343.75,buoyancy_mean,0.14174603670835495,Center
28800.0,356.25,buoyancy_mean,0.14661328494548798,Center
28800.0,368.75,buoyancy_mean,0.15084632486104965,Center
28800.0,381.25,buoyancy_mean,0.15359781682491302,Center
28800.0,393.75,buoyancy_mean,0.1554359644651413,Center
28800.0,0.0,density_at_w_faces,1.322311282157898,Face
28800.0,12.5,density_at_w_faces,1.3207802772521973,Face
28800.0,25.0,density_at_w_faces,1.3192499876022339,Face
28800.0,37.5,density_at_w_faces,1.317720651626587,Face
28800.0,50.0,density_at_w_faces,1.316192626953125,Face
28800.0,62.5,density_at_w_faces,1.3146657943725586,Face
28800.0,75.0,density_at_w_faces,1.313139796257019,Face
28800.0,87.5,density_at_w_faces,1.3116148710250854,Face
28800.0,100.0,density_at_w_faces,1.3100910186767578,Face
28800.0,112.5,density_at_w_faces,1.3085682392120361,Face
28800.0,125.0,density_at_w_faces,1.30704665184021,Face
28800.0,137.5,density_at_w_faces,1.3055260181427002,Face
28800.0,150.0,density_at_w_faces,1.3040063381195068,Face
28800.0,162.5,density_at_w_faces,1.302487850189209,Face
28800.0,175.0,density_at_w_faces,1.3009703159332275,Face
28800.0,187.5,density_at_w_faces,1.2994539737701416,Face
28800.0,200.0,density_at_w_faces,1.297938585281372,Face
28800.0,212.5,density_at_w_faces,1.2964246273040771,Face
28800.0,225.0,density_at_w_faces,1.2949113845825195,Face
28800.0,237.5,density_at_w_faces,1.2933990955352783,Face
28800.0,250.0,density_at_w_faces,1.2918879985809326,Face
28800.0,262.5,density_at_w_faces,1.2903778553009033,Face
28800.0,275.0,density_at_w_faces,1.288869023323059,Face
28800.0,287.5,density_at_w_faces,1.2873611450195312,Face
28800.0,300.0,density_at_w_faces,1.2858543395996094,Face
28800.0,312.5,density_at_w_faces,1.284348487854004,Face
28800.0,325.0,density_at_w_faces,1.282843828201294,Face
28800.0,337.5,density_at_w_faces,1.2813401222229004,Face
28800.0,350.0,density_at_w_faces,1.2798376083374023,Face
28800.0,362.5,density_at_w_faces,1.2783358097076416,Face
28800.0,375.0,density_at_w_faces,1.2768354415893555,Face
28800.0,387.5,density_at_w_faces,1.2753361463546753,Face
28800.0,400.0,density_at_w_faces,1.2745866775512695,Face
28800.0,6.25,density_mean,1.3215456008911133,Center
28800.0,18.75,density_mean,1.3200148344039917,Center
28800.0,31.25,density_mean,1.318485140800476,Center
28800.0,43.75,density_mean,1.3169564008712769,Center
28800.0,56.25,density_mean,1.3154289722442627,Center
28800.0,68.75,density_mean,1.313902497291565,Center
28800.0,81.25,density_mean,1.3123770952224731,Center
28800.0,93.75,density_mean,1.3108526468276978,Center
28800.0,106.25,density_mean,1.3093292713165283,Center
28800.0,118.75,density_mean,1.307807207107544,Center
28800.0,131.25,density_mean,1.306286096572876,Center
28800.0,143.75,density_mean,1.3047659397125244,Center
28800.0,156.25,density_mean,1.3032468557357788,Center
28800.0,168.75,density_mean,1.3017289638519287,Center
28800.0,181.25,density_mean,1.3002119064331055,Center
28800.0,193.75,density_mean,1.2986960411071777,Center
28800.0,206.25,density_mean,1.297181248664856,Center
