time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.5,1,0.771470606327,6.25,8,0,1,173309.359375,1,5.04870979341e-27,8,11.875,0.00018174079014,8.6545405793e-06,-6.62332604406e-06,1.32231128216,-0.786995887756,-0.595166862011,0,0,0.4462890625,-0.236421793699,0,0.000751758285332,0.000208184705116,265,-0.00023524556309,-0.000177904832526,267.9375,264.950073242,8,0,1.32497052618e-06,3.23117426779e-27
60,12.5061569589,1,0.704333484173,306.25,8,3.14713588523e-10,1,111135.453125,1,0.0126391593367,8.05850696564,11.880849111,0.000385516032111,4.29692299804e-05,-7.85999691288e-06,1.32231128216,-0.655979633331,-0.496085643768,-0.000184062068001,-0.000139197232784,0.33984375,-0.280565142632,0,0.00159527803771,0.000313629920129,264.995833333,-0.000279169296846,-0.000211122227483,267.937469482,264.957733154,8.05848121643,0.0349713154137,0.0472290068865,0.000270340009592
120,12.5410268524,1,0.566059648991,331.25,7.99999713898,1.62180013863e-09,1,46996.8164062,1,0.144609004259,8.25312232971,11.9139755098,0.00105331710074,0.000168212733115,-9.64846276474e-06,1.32231128216,-0.423698604107,-0.320422738791,-0.000947658845689,-0.000716668495443,0.28125,-0.344405025244,0,0.00436395267025,0.000913963420317,264.991666666,-0.000342691579135,-0.000259161053691,267.937011719,264.962280273,8.25308132172,0.10294573009,0.0851542428136,0.00082411582116
180,12.6847844241,1,0.425532311201,168.75,7.99999332428,1.27536274874e-08,1,18562.2832031,1,0.635670661926,8.48436546326,12.0505452029,0.00263889576308,0.000549523276277,-1.03778220364e-05,1.32231128216,-0.239433676004,-0.181072100997,-0.00188994943164,-0.00142927723937,0.1943359375,-0.370439738035,0,0.0109650306404,0.00254614278674,264.9875,-0.000368596753106,-0.000278751889709,267.936584473,264.96472168,8.48429489136,0.165774822235,0.124791756272,0.00151468277909
240,13.8204671014,1,0.311534374952,168.75,7.99999189377,2.11011936813e-08,1,7448.92919922,1,1.68611347675,8.86083698273,13.1294437463,0.00985721033067,0.00149741990026,-1.01476171039e-05,1.32231128216,-0.128308936954,-0.0970338359475,-0.00259437225759,-0.00196199817583,0.1005859375,-0.362222552299,0,0.0415324531496,0.00638775900006,264.983333333,-0.000360420439392,-0.000272568518994,267.936157227,264.966552734,8.86045455933,0.33191716671,0.147624224424,0.00214144121855
300,32.5678583744,1,0.229744642973,168.75,7.99998950958,3.19392228221e-08,1,3213.74194336,1,3.12378382683,9.10309314728,30.9394654557,0.0800077021122,0.00365503504872,-9.43333270698e-06,1.32231128216,-0.0697312802076,-0.0527343899012,-0.00298243644647,-0.00225547235459,0.01953125,-0.336725890636,0,0.405457735062,0.0154921617359,264.979166666,-0.000335050630383,-0.000253382575465,267.935699463,264.969604492,9.10259246826,0.774585902691,0.176005229354,0.00325695821084
360,39.0949877273,1,0.176894530654,168.75,7.99998664856,4.55730351234e-08,1,1575.72143555,1,7.78910446167,9.12641620636,37.1402383409,0.597926616669,0.00771377468482,-8.78220907907e-06,1.32231128216,-0.0412561446428,-0.0312000252306,-0.00316452537663,-0.00239317724481,0,-0.313483834267,0.001953125,10,0.0560956820846,264.974999999,-0.000311924202833,-0.000235893166973,267.935241699,264.973693848,9.12640953064,2.17843484879,0.672305583954,0.0229116212577
420,60.5195064392,1,0.157933577895,168.75,7.99998188019,7.39457277632e-08,1,1063.38061523,1,44.9638786316,11.3753356934,57.4935311172,0.08254878968,0.00251875212416,-9.26135817281e-06,1.32231128216,-0.0328146219254,-0.0248161088675,-0.00332282553427,-0.00251289200969,0,-0.330587208271,0,0.421836793423,0.010872611776,264.970833333,-0.00032894249307,-0.000248763273703,267.934875488,264.977478027,11.3734617233,4.32340955734,2.20385503769,0.225425869226
480,94.1330137689,1,0.208019405603,343.75,7.99996948242,9.93590347775e-08,1,1536.89147949,1,71.314163208,11.9104146957,89.4263630804,0.0206727981567,0.000754091772251,-1.46422689795e-05,1.32231128216,-0.0570901669562,-0.0431745275855,-0.00383979827166,-0.0029038535431,0,-0.52266061306,0,0.0891070738435,0.00313889305107,264.966666666,-0.000520060304552,-0.000393296417315,267.93460083,264.985626221,11.888885498,3.45544695854,3.04782581329,0.48484057188
540,116.648100555,1,0.30063700676,343.75,7.99996185303,1.43625356941e-07,1,2658.01513672,1,53.0592460632,8.93133449554,110.815695527,0.00355883990414,0.000367593485862,-2.55569993897e-05,1.32231128216,-0.119371727109,-0.0902750566602,-0.00582863390446,-0.00440791342407,0,-0.912265479565,0,0.0148129267618,0.00152180611622,264.962499999,-0.000907726818696,-0.000686469837092,267.934326172,264.986328125,8.92414093018,3.29173898697,2.31518793106,0.354568988085
600,124.564062243,1,0.381681710482,343.75,7.99995279312,2.34454560655e-07,1,3706.06079102,1,41.0390815735,8.56795406342,118.335859131,0.00119788968004,0.000305868743453,-3.75086601707e-05,1.32231128216,-0.192532032728,-0.145602658391,-0.00631401874125,-0.00477498676628,0,-1.3388838768,0,0.00496426178142,0.00126564106904,264.958333332,-0.00133222271688,-0.00100749556441,267.933990479,264.983642578,8.56253242493,2.75819706917,1.7082901001,0.212746024132
660,135.193311006,1,0.432059258223,381.25,7.99993991852,3.19980841823e-07,1,4308.92138672,1,38.1634941101,8.45182609558,128.433645456,0.00151526264381,0.000323377200402,-4.67952013423e-05,1.32231128216,-0.246770367026,-0.186620473862,-0.00597679335624,-0.00451995944604,0,-1.67036998272,0,0.00628312537447,0.0013380657183,264.954166666,-0.00166205968708,-0.00125693529844,267.93371582,264.970306396,8.45156669617,1.92840516567,1.55418217182,0.160111680627
720,139.018540262,1,0.447995215654,381.25,7.99993133545,4.44623026397e-07,1,4323.671875,1,39.3052024841,8.47676944733,132.067613249,0.00125746265985,0.000389246211853,-5.19885143149e-05,1.32231128216,-0.265292584896,-0.200627937913,-0.00709616718814,-0.00536648789421,0,-1.85574710369,0,0.00521168671548,0.00161085836589,264.949999999,-0.00184651452582,-0.00139642949216,267.933563232,264.959564209,8.45370674133,2.07402896881,1.47685408592,0.179342865944
780,158.640426118,1,0.441612631083,381.25,7.99991703033,6.85344105023e-07,1,3994.8996582,1,37.5645370483,8.68976402283,150.708404812,0.00210236641578,0.000474820204545,-5.38962594874e-05,1.32231128216,-0.257756322622,-0.194928631186,-0.00796590652317,-0.00602422934026,0,-1.92384457588,0,0.00872700754553,0.00196534534916,264.945833332,-0.00191427324899,-0.00144767214078,267.933441162,264.955841064,8.67808628082,2.00290632248,1.65922117233,0.13458994031
840,173.646892234,1,0.422862410545,381.25,7.99989271164,1.21210121051e-06,1,3509.31567383,1,38.7212333679,8.56555747986,164.964547622,0.00378574430943,0.000584703637287,-5.38660096936e-05,1.32231128216,-0.23628154397,-0.178688287735,-0.00881535559893,-0.00666662678123,0,-1.92276477814,0,0.0157641042024,0.00242103938945,264.941666665,-0.00191319873556,-0.00144685956184,267.933441162,264.948913574,8.55800628662,2.1055727005,1.31740272045,0.124825634062
900,178.47540401,1,0.403278708458,381.25,7.99985218048,2.31117792282e-06,1,3048.51708984,1,38.4906578064,8.3721036911,169.55163381,0.00381954433396,0.000691936351359,-5.37857486052e-05,1.32231128216,-0.214819058776,-0.162457257509,-0.0100152734667,-0.00757406651974,0,-1.91989982128,0,0.0159058347344,0.00286583043635,264.937499998,-0.00191034807358,-0.00144470378291,267.93371582,264.954711914,8.36350059509,2.39055919647,1.67403066158,0.150816857815
960,189.703671277,1,0.38833796978,381.25,7.99978685379,4.43216595158e-06,1,2658.27758789,1,40.2768135071,8.72472286224,180.218487714,0.0209318939596,0.000790371617768,-5.50768709218e-05,1.32231128216,-0.199106991291,-0.150574982166,-0.0110426954925,-0.00835105590522,0,-1.96598684788,0,0.0902754589915,0.00327941519208,264.933333332,-0.00195620581508,-0.00147938379087,267.933837891,264.947875977,8.50330543518,2.16607260704,1.61418890953,0.195061072707
