time_s,z_m,variable,value,location
32400.0,6.25,buoyancy_mean,-0.0058775406796485186,Center
32400.0,18.75,buoyancy_mean,-0.0022797370911575854,Center
32400.0,31.25,buoyancy_mean,0.001739407714921981,Center
32400.0,43.75,buoyancy_mean,0.004549481032881886,Center
32400.0,56.25,buoyancy_mean,0.007227374007925391,Center
32400.0,68.75,buoyancy_mean,0.009918586583808064,Center
32400.0,81.25,buoyancy_mean,0.012496900279074907,Center
32400.0,93.75,buoyancy_mean,0.015161582734435797,Center
32400.0,106.25,buoyancy_mean,0.0176833625882864,Center
32400.0,118.75,buoyancy_mean,0.0201862920075655,Center
32400.0,131.25,buoyancy_mean,0.023013493046164513,Center
32400.0,143.75,buoyancy_mean,0.026066879741847515,Center
32400.0,156.25,buoyancy_mean,0.029593797400593758,Center
32400.0,168.75,buoyancy_mean,0.0336783193051815,Center
32400.0,181.25,buoyancy_mean,0.03899623453617096,Center
32400.0,193.75,buoyancy_mean,0.04657662846148014,Center
32400.0,206.25,buoyancy_mean,0.05677754431962967,Center
32400.0,218.75,buoyancy_mean,0.07016097009181976,Center
32400.0,231.25,buoyancy_mean,0.08528875559568405,Center
32400.0,243.75,buoyancy_mean,0.09858522564172745,Center
32400.0,256.25,buoyancy_mean,0.10818791761994362,Center
32400.0,268.75,buoyancy_mean,0.11435531824827194,Center
32400.0,281.25,buoyancy_mean,0.118352510035038,Center
32400.0,293.75,buoyancy_mean,0.12195496261119843,Center
32400.0,306.25,buoyancy_mean,0.12642188370227814,Center
32400.0,318.75,buoyancy_mean,0.13151533156633377,Center
32400.0,331.25,buoyancy_mean,0.13651353120803833,Center
32400.0,343.75,buoyancy_mean,0.14138881117105484,Center
32400.0,356.25,buoyancy_mean,0.1462172269821167,Center
32400.0,368.75,buoyancy_mean,0.15034645795822144,Center
32400.0,381.25,buoyancy_mean,0.15290789306163788,Center
32400.0,393.75,buoyancy_mean,0.1545901745557785,Center
32400.0,0.0,density_at_w_faces,1.322311282157898,Face
32400.0,12.5,density_at_w_faces,1.3207802772521973,Face
32400.0,25.0,density_at_w_faces,1.3192499876022339,Face
32400.0,37.5,density_at_w_faces,1.317720651626587,Face
32400.0,50.0,density_at_w_faces,1.316192626953125,Face
32400.0,62.5,density_at_w_faces,1.3146657943725586,Face
32400.0,75.0,density_at_w_faces,1.313139796257019,Face
32400.0,87.5,density_at_w_faces,1.3116148710250854,Face
32400.0,100.0,density_at_w_faces,1.3100910186767578,Face
32400.0,112.5,density_at_w_faces,1.3085682392120361,Face
32400.0,125.0,density_at_w_faces,1.30704665184021,Face
32400.0,137.5,density_at_w_faces,1.3055260181427002,Face
32400.0,150.0,density_at_w_faces,1.3040063381195068,Face
32400.0,162.5,density_at_w_faces,1.302487850189209,Face
32400.0,175.0,density_at_w_faces,1.3009703159332275,Face
32400.0,187.5,density_at_w_faces,1.2994539737701416,Face
32400.0,200.0,density_at_w_faces,1.297938585281372,Face
32400.0,212.5,density_at_w_faces,1.2964246273040771,Face
32400.0,225.0,density_at_w_faces,1.2949113845825195,Face
32400.0,237.5,density_at_w_faces,1.2933990955352783,Face
32400.0,250.0,density_at_w_faces,1.2918879985809326,Face
32400.0,262.5,density_at_w_faces,1.2903778553009033,Face
32400.0,275.0,density_at_w_faces,1.288869023323059,Face
32400.0,287.5,density_at_w_faces,1.2873611450195312,Face
32400.0,300.0,density_at_w_faces,1.2858543395996094,Face
32400.0,312.5,density_at_w_faces,1.284348487854004,Face
32400.0,325.0,density_at_w_faces,1.282843828201294,Face
32400.0,337.5,density_at_w_faces,1.2813401222229004,Face
32400.0,350.0,density_at_w_faces,1.2798376083374023,Face
32400.0,362.5,density_at_w_faces,1.2783358097076416,Face
32400.0,375.0,density_at_w_faces,1.2768354415893555,Face
32400.0,387.5,density_at_w_faces,1.2753361463546753,Face
32400.0,400.0,density_at_w_faces,1.2745866775512695,Face
32400.0,6.25,density_mean,1.3215456008911133,Center
32400.0,18.75,density_mean,1.3200148344039917,Center
32400.0,31.25,density_mean,1.318485140800476,Center
32400.0,43.75,density_mean,1.3169564008712769,Center
32400.0,56.25,density_mean,1.3154289722442627,Center
32400.0,68.75,density_mean,1.313902497291565,Center
32400.0,81.25,density_mean,1.3123770952224731,Center
32400.0,93.75,density_mean,1.3108526468276978,Center
32400.0,106.25,density_mean,1.3093292713165283,Center
32400.0,118.75,density_mean,1.307807207107544,Center
32400.0,131.25,density_mean,1.306286096572876,Center
32400.0,143.75,density_mean,1.3047659397125244,Center
