time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_momentum_deficit_zero_fraction,surface_layer_face1_momentum_valid_zero_deficit_fraction,surface_layer_face1_numerical_u_correction,surface_layer_face1_numerical_v_correction,surface_layer_face1_reconstructed_u_flux,surface_layer_face1_reconstructed_v_flux,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_scheme_u_flux,surface_layer_face1_scheme_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_viscosity_zero_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_numerical_correction,surface_layer_face1_ρqᵛ_reconstructed_flux,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρqᵛ_scheme_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_deficit_zero_fraction,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_diffusivity_zero_fraction,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_numerical_correction,surface_layer_face1_ρθ_reconstructed_flux,surface_layer_face1_ρθ_resolved_flux,surface_layer_face1_ρθ_scheme_flux,surface_layer_face1_ρθ_valid_zero_deficit_fraction,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_numerical_u_correction,surface_layer_face2_numerical_v_correction,surface_layer_face2_reconstructed_u_flux,surface_layer_face2_reconstructed_v_flux,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_scheme_u_flux,surface_layer_face2_scheme_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_numerical_correction,surface_layer_face2_ρqᵛ_reconstructed_flux,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρqᵛ_scheme_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_numerical_correction,surface_layer_face2_ρθ_reconstructed_flux,surface_layer_face2_ρθ_resolved_flux,surface_layer_face2_ρθ_scheme_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.5,1,0.771470606327,6.25,8,0,1,173309.359375,1,5.04870979341e-27,8,11.875,0.00018174079014,8.6545405793e-06,-6.62332604406e-06,1.32231128216,-0.786995887756,-0.595166862011,0,0,8,2.21822404001e-07,2.21822404001e-07,0,0,0,2.77278005001e-08,0,1,0,0,-2.84217094304e-14,0,-2.84217094304e-14,0,0,0,2.21822375579e-07,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,265.000671387,7.34788545742e-06,7.34788545742e-06,2.33086770371e-13,2.33086770371e-13,0,7.34788545742e-06,0,8,6.75488195157e-07,6.75488195157e-07,0,0,0,8.44360243946e-08,0,1,0,0,0,0,0,0,6.75488195157e-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,264.999694824,2.23755232582e-05,2.23755232582e-05,-2.4785187791e-11,-2.4785187791e-11,0,2.23754977924e-05,0,0,0,0,0,0.4462890625,-0.236421793699,0,0.000751758285332,0.000208184705116,265,-0.00023524556309,-0.000177904832526,267.9375,264.950073242,8,0,1.32497052618e-06,3.23117426779e-27
60,24.7541636287,1,0.712814033031,281.25,8,2.77850631392e-10,1,120994.203125,1,0.0087968762964,8.00924777985,23.5164554473,0.000245262519456,3.08335693262e-05,-7.48348975321e-06,1.32231128216,-0.671871423721,-0.508103847504,-0.000152802094817,-0.000115556824312,7.86850786209,-6.68660504743e-08,-8.00515408628e-06,0.000375982461264,9.13406417169e-09,1.02984785144e-08,2.27973941946e-08,1,0.999918103218,0,0,-3.13629755055e-07,-1.2553712736e-08,-8.25190272735e-06,-1.13892895115e-08,-7.93826984591e-06,1.16442322451e-09,-8.31874785945e-06,-2.25522001074e-09,1.10070317305e-08,1.59389400482,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.01759362221,0.009765625,1.62206792831,0.009765625,265.000610352,8.49785283208e-06,1.70015264302e-05,2.82669339324e-11,8.50409560371e-06,8.50406649988e-06,1.70015264302e-05,0.009765625,7.98381757736,1.37035385706e-07,-5.40706969332e-06,6.63049722789e-05,1.5945502696e-08,1.32682245635e-07,3.70582711184e-08,0,0.999991893768,-7.4569528806e-05,3.00204362702e-07,-8.01135756774e-05,4.16941105641e-07,-5.54405369257e-06,1.16736721623e-07,-7.99766130513e-05,4.32886594126e-07,-4.28703401667e-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999987959862,0,264.999725342,1.24629586935e-05,2.45831906796e-05,-9.21029368328e-08,1.20283857541e-05,1.21204884636e-05,2.44937837124e-05,0.318804770708,0,-3.39334728778e-05,-0.101636491716,-6.28792804491e-06,0.3427734375,-0.267125606537,0,0.00101465592161,0.000204047450097,264.995833333,-0.00026579661062,-0.000201009112061,267.937469482,264.958374023,8.00918865204,0.0261928737164,0.0475728213787,0.000267089373665
120,25.3173423074,1,0.618002474308,56.25,7.99999856949,2.60183560385e-06,1,62185.6445312,1,0.0671526044607,8.01781368256,24.051475192,0.000235347411945,7.17885704944e-05,-9.48900196818e-06,1.32231128216,-0.505025982857,-0.381926685572,-0.000684001948684,-0.000517277570907,7.54184103012,-6.12161238678e-06,-6.54803588986e-05,0.00266090082005,6.89868571158e-08,1.65356163961e-06,1.75896275323e-08,1,0.999621808529,0,0,-1.04943023871e-06,5.14298960752e-07,-6.04080014455e-05,2.09887366509e-06,-5.93585646129e-05,1.58457453381e-06,-6.65297848172e-05,2.16786020246e-06,-2.11591213883e-06,2.01881408691,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.07113349438,0.005859375,2.16328811646,0.005859375,265.000366211,9.26293432713e-06,2.14846804738e-05,-1.19752499583e-10,1.22213150462e-05,1.22214332805e-05,2.14818865061e-05,0.005859375,7.88534927368,-5.91634307057e-06,-8.16765241325e-05,0.000898455677088,1.44906636024e-07,3.70390625903e-06,-7.47968442738e-09,0,0.999873101711,-0.00070208881516,9.40515201364e-06,-0.000777849345468,1.29641530293e-05,-7.57604866521e-05,3.55899965143e-06,-0.000783765455708,1.31090582727e-05,-2.1613991521e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999978482723,0,264.999725342,5.11296093464e-06,2.77180224657e-05,-1.10809969556e-06,2.14808569581e-05,2.25889580179e-05,2.66041606665e-05,0.403913974762,0,-6.88306026859e-05,-0.163146525621,-6.08853515587e-05,0.1162109375,-0.338713020086,0,0.000973608053755,0.000313488650136,264.991666666,-0.000337027886417,-0.000254877872067,267.936950684,264.968414307,8.01780509949,0.0699268504977,0.0821081548929,0.000634473282844
180,25.4087905305,1,0.535744428635,343.75,7.99999427795,5.09763609102e-09,1,31430.8144531,1,0.219844833016,8.03091621399,24.138351004,0.000284028268652,0.000131840075483,-1.2230869288e-05,1.32231128216,-0.379529953003,-0.287020117044,-0.00140296854079,-0.00106099713594,7.11091995239,-3.30403563567e-05,-0.000172346073668,0.0078784506768,1.50650521391e-07,2.72091847364e-06,1.53959263116e-08,1,0.999230742455,0,0,-1.60075035183e-06,1.03633919935e-06,-0.000140906544402,3.60660646948e-06,-0.000139305804623,2.57026795225e-06,-0.000173946697032,3.75725676349e-06,-3.7122467802e-06,2.19695568085,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.04064583778,0.0107421875,2.28814601898,0.0107421875,265.000061035,1.06748193502e-05,2.26944684982e-05,2.2834054092e-11,1.20084514492e-05,1.20084278024e-05,2.26981937885e-05,0.0107421875,7.70253944397,-4.11113724113e-05,-0.000264394329861,0.00337767321616,4.3818516815e-07,5.62522291148e-06,-4.50236257166e-08,0,0.99948233366,-0.0024563036859,4.13661691709e-05,-0.00267958710901,4.65532066301e-05,-0.000223283714149,5.18703745911e-06,-0.00272069778293,4.69913939014e-05,-9.51031324803e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999981760979,0,264.999572754,-5.58793544769e-08,2.00644135475e-05,-1.8524585812e-06,1.82364274224e-05,2.0088886231e-05,1.8198043108e-05,0.439720481634,0,-0.000109356726171,-0.193354353309,-0.000194214022486,0.0048828125,-0.436584889889,0,0.00117510568816,0.000545395654626,264.9875,-0.000434412824688,-0.000328525376972,267.93649292,264.972229004,8.030834198,0.114739179611,0.0888342112303,0.00107897690032
240,25.5036197972,1,0.470039337873,168.75,7.99999237061,2.00150420682e-08,1,17296.2148438,1,0.491789072752,8.04447937012,24.2284388073,0.000364620471373,0.000210106401937,-1.50103751366e-05,1.32231128216,-0.292139172554,-0.220930710435,-0.00220231059939,-0.00166550092399,6.64008331299,-8.87844944373e-05,-0.00031105754897,0.0163613967597,2.25742496696e-07,5.04860236106e-06,1.3125827536e-08,1,0.998785257339,0,0,-2.64426125796e-06,1.34687229547e-06,-0.000224917283049,6.16973193246e-06,-0.000222273054533,4.82285940961e-06,-0.000313701690175,6.39547397441e-06,-6.50930041957e-06,2.25410032272,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.08052253723,0.0146484375,2.43904352188,0.0146484375,264.999633789,1.11740082502e-05,2.15657055378e-05,-1.08637036866e-10,1.03918227978e-05,1.03919319372e-05,2.15619802475e-05,0.0146484375,7.47103214264,-0.000139334006235,-0.000536751118489,0.00782840698957,9.27790324567e-07,9.15347936825e-06,-7.6528522186e-08,0,0.99876666069,-0.00566649902612,0.000108801403258,-0.00606391578913,0.000117027084343,-0.000397416471969,8.22569109005e-06,-0.00620325095952,0.000117954878078,-2.62787252723e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999984741211,0,264.999328613,-5.07384538651e-06,1.15633010864e-05,-1.37543747769e-06,1.52421216626e-05,1.6617559595e-05,1.01625919342e-05,0.451343387365,0,-0.000156241003424,-0.203712135553,-0.000409314467106,0,-0.535800218582,0,0.00150876666885,0.000869174604304,264.983333333,-0.000533134560101,-0.000403183861636,267.936035156,264.976745605,8.04428482056,0.192152231932,0.122167125344,0.00147862941958
300,25.9152479191,1,0.417899936438,168.75,7.99999094009,2.46166393936e-08,1,10428.5390625,1,1.10121512413,8.06306362152,24.6194855232,0.000458551541669,0.000303650129354,-1.7495785869e-05,1.32231128216,-0.230909124017,-0.174625396729,-0.00302281952463,-0.00228601205163,6.17110586166,-0.000166607787833,-0.000574480916839,0.0279281288385,1.83934162123e-07,1.36818389365e-05,9.44419298321e-09,1,0.997737169266,0,0,-7.63922707847e-06,1.27808721118e-06,-0.000415512011386,1.47759865285e-05,-0.000407872837968,1.3497902728e-05,-0.000582119915634,1.49599236465e-05,-1.59545488714e-05,2.24351882935,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.09826254845,0.013671875,2.46894216537,0.013671875,264.999084473,1.01141631603e-05,1.95577740669e-05,-2.09207456914e-10,9.41416510614e-06,9.41437428992e-06,1.95577740669e-05,0.013671875,7.21864318848,-0.000300401821733,-0.00107220374048,0.0142877455801,1.30852185976e-06,1.86355573533e-05,-1.02736521512e-07,0,0.997547507286,-0.0113726258278,0.000253543723375,-0.0121444268152,0.000270870805252,-0.000771801511291,1.7327034584e-05,-0.0124448295683,0.00027217931347,-6.31676666671e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999986052513,0,264.99899292,-1.08182430267e-05,4.20212745667e-06,-1.03589263745e-06,1.39440344356e-05,1.4979928892e-05,3.1590461731e-06,0.449674636126,0,-0.000207448625588,-0.202211081982,-0.000697411131114,0,-0.624517798424,0,0.00189775356557,0.0012563590426,264.979166666,-0.000621410727035,-0.000469942839118,267.935516357,264.979125977,8.06247711182,0.355778098106,0.189468622208,0.00299558602273
360,36.8279271406,1,0.379613161087,168.75,7.99998807907,3.38759988949e-08,1,6951.484375,1,2.51482224464,8.14464092255,34.9865307836,0.000624460342806,0.000394210102968,-1.96737073566e-05,1.32231128216,-0.190515503287,-0.144077643752,-0.00378984073177,-0.00286607304588,5.73837375641,-0.000235735438764,-0.0014592173975,0.0417710207403,-9.45146439335e-07,1.77623151103e-05,6.21366780251e-09,1,0.99323785305,0,0,-3.45767330145e-05,1.03627689896e-06,-0.0012580587063,1.97437548195e-05,-0.00122348184232,1.87074765563e-05,-0.00149379391223,1.87986115634e-05,-2.61713794316e-05,2.18835639954,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.15978002548,0.0126953125,2.55555391312,0.0126953125,264.998443604,8.57189297676e-06,1.62459909916e-05,2.45217179895e-10,7.65538698033e-06,7.65514232626e-06,1.62459909916e-05,0.0126953125,6.95937347412,-0.000393210793845,-0.00254102610052,0.0227459874004,1.5020173123e-06,0.000112729656394,-1.24156940728e-07,0,0.994875013828,-0.0242502354085,0.000616908306256,-0.0263980515301,0.000728135986719,-0.00214781612158,0.000111227636808,-0.0267912633717,0.000729637977201,-0.000168890692294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.99999153614,0,264.998596191,-1.82688236237e-05,-6.34789466858e-06,-3.44393833984e-06,8.43173893372e-06,1.18756779557e-05,-9.81986522675e-06,0.440588742495,0,-0.000260588945821,-0.194126427174,-0.00104314705823,0,-0.702259421349,0,0.002585160546,0.00163132720627,264.974999999,-0.000698765565176,-0.00052844255697,267.935089111,264.981750488,8.14446258545,0.618860721588,0.349108219147,0.0124938879162
420,51.7030987234,1,0.355354636908,168.75,7.99998426437,1.3969501822e-07,1,5083.77832031,1,6.9034318924,8.32838153839,49.1179437873,0.000801861227956,0.000454873719718,-2.20668007387e-05,1.32231128216,-0.166915163398,-0.126229852438,-0.00455792807043,-0.00344694033265,5.37592506409,-0.000210450263694,-0.00377774098888,0.0568391829729,-3.73653529095e-06,-0.000184823569725,5.3842086345e-09,1,0.979729712009,0,0,-0.000110095061245,3.6315750549e-06,-0.00367738655768,-0.000177455469384,-0.00356729142368,-0.000181087103556,-0.00388783682138,-0.000181191950105,0.0001491693547,2.09668087959,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.12029290199,0.015625,2.39740943909,0.015625,264.997680664,5.97909092903e-06,8.38190317154e-06,2.15665041381e-09,2.40757458414e-06,2.40541771745e-06,8.37072730064e-06,0.015625,6.69756984711,-0.000265185139142,-0.00807124562562,0.0330530777574,-2.73094883596e-06,-6.90173765179e-05,-1.40586053021e-07,0,0.99070417881,-0.0428855605423,0.00132882455364,-0.0506916195154,0.00126253813505,-0.00780606083572,-6.6286418587e-05,-0.05095680058,0.0012598070316,-0.00030422990676,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00000786781,0,264.998077393,-2.96346843243e-05,-2.65091657639e-05,-1.10213968583e-05,-7.92207993072e-06,3.09931692755e-06,-3.75509262085e-05,0.427971482277,0,-0.00031503426726,-0.183171644807,-0.00143106549513,0,-0.787681698799,0,0.00332063017413,0.00188259908464,264.970833333,-0.000783762894571,-0.000592721917201,267.934661865,264.98626709,8.32805252075,1.04411911964,0.685590386391,0.057316083461
480,66.6552732148,1,0.347059130669,343.75,7.99997615814,8.24644175168e-08,1,4146.22070312,1,16.9115600586,8.49059391022,63.322509554,0.000845609756652,0.000468495069072,-2.52056561294e-05,1.32231128216,-0.159182965755,-0.120382368565,-0.00533867208287,-0.00403737928718,5.10470914841,-0.000185652752407,-0.00881122518331,0.071523308754,-1.60601484822e-05,-0.000183983065654,5.70435076952e-09,1,0.948398292065,0,0,-0.000258641433902,2.65127164312e-05,-0.0088842138648,-0.000141410331707,-0.00862557254732,-0.000167923048139,-0.00906986743212,-0.000157470465638,4.45152982138e-05,1.96730589867,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.974566161633,0.0087890625,2.02141904831,0.0087890625,264.996887207,3.53157520294e-06,-9.11951065063e-06,2.02608840816e-09,-1.28034971567e-05,-1.28055226014e-05,-9.13441181183e-06,0.0087890625,6.44752407074,-0.000278646824881,-0.0233686007559,0.0443197861314,-3.1858580769e-05,0.000370448629837,-1.52387656271e-07,0,0.986466646194,-0.0554476603866,0.00231595616788,-0.0785376131535,0.00271826284006,-0.0230899527669,0.000402307021432,-0.0788162574172,0.00268640439026,-0.000612107804045,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0000565052,0,264.997619629,-3.75360250473e-05,-6.93053007126e-05,-2.47143634624e-05,-5.64412111999e-05,-3.17268422805e-05,-9.40263271332e-05,0.414873480797,0,-0.000372896436602,-0.172131866217,-0.0018574022688,0,-0.899724125862,0,0.00350209907629,0.00193904014304,264.966666666,-0.000895247911103,-0.000677032629028,267.934234619,264.987976074,8.48955345154,1.76970541477,1.08193719387,0.124544851482
540,90.0661849372,1,0.352157026529,343.75,7.99997091293,1.12910541361e-07,1,3721.60546875,1,29.6959037781,8.63987541199,85.5628756903,0.000945046485867,0.000475491920952,-2.93372049782e-05,1.32231128216,-0.16386975348,-0.123926758766,-0.00616988958791,-0.0046659889631,4.92710781097,-0.000473960535601,-0.0153441559523,0.0859695896506,-4.1991690523e-05,-0.000464410055429,5.47152012587e-09,1,0.905817806721,0,0,-0.00042157137068,2.96623111353e-05,-0.0152917671949,-0.000392755959183,-0.0148701956496,-0.000422418583184,-0.0157657265663,-0.000434747664258,0.000174115644768,1.82859563828,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.894590914249,0.005859375,1.80580735207,0.005859375,264.99609375,3.71038913727e-06,-3.59714031219e-05,1.07252706716e-10,-3.98975025746e-05,-3.9897608076e-05,-3.60012054443e-05,0.005859375,6.24423551559,-0.000978470314294,-0.0443976670504,0.0561990700662,-9.06482746359e-05,-0.000497002329212,-1.58324837685e-07,0,0.982459783554,-0.064224101603,0.00299810641445,-0.107643291354,0.00259175221436,-0.0434191972017,-0.00040635408368,-0.108621776104,0.00250110402703,-0.000668026157655,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00013566017,0,264.997161865,-4.15742397308e-05,-0.000134021043777,-4.33008644904e-05,-0.000135762689752,-9.24618216231e-05,-0.000177323818207,0.403677225113,0,-0.000438019400463,-0.162964195013,-0.00231257313862,0,-1.04720115662,0,0.00391460396349,0.0019680771511,264.962499999,-0.0010419911705,-0.000788007455412,267.933807373,264.986724854,8.63578510284,1.82673704624,1.65422415733,0.18961443007
