time_s,z_m,variable,value,location
32400.0,6.25,buoyancy_mean,-0.0053571335738524795,Center
32400.0,18.75,buoyancy_mean,0.0031924754148349166,Center
32400.0,31.25,buoyancy_mean,0.004814423155039549,Center
32400.0,43.75,buoyancy_mean,0.0071855096612125635,Center
32400.0,56.25,buoyancy_mean,0.009475084720179439,Center
32400.0,68.75,buoyancy_mean,0.01175984414294362,Center
32400.0,81.25,buoyancy_mean,0.014016528613865376,Center
32400.0,93.75,buoyancy_mean,0.016162440180778503,Center
32400.0,106.25,buoyancy_mean,0.018470083363354206,Center
32400.0,118.75,buoyancy_mean,0.021006290800869465,Center
32400.0,131.25,buoyancy_mean,0.02385290339589119,Center
32400.0,143.75,buoyancy_mean,0.02716519869863987,Center
32400.0,156.25,buoyancy_mean,0.03086875844746828,Center
32400.0,168.75,buoyancy_mean,0.0351431742310524,Center
32400.0,181.25,buoyancy_mean,0.04058783873915672,Center
32400.0,193.75,buoyancy_mean,0.04864954389631748,Center
32400.0,206.25,buoyancy_mean,0.06118280999362469,Center
32400.0,218.75,buoyancy_mean,0.0765749141573906,Center
32400.0,231.25,buoyancy_mean,0.09056200087070465,Center
32400.0,243.75,buoyancy_mean,0.10122944414615631,Center
32400.0,256.25,buoyancy_mean,0.10899621620774269,Center
32400.0,268.75,buoyancy_mean,0.11434216424822807,Center
32400.0,281.25,buoyancy_mean,0.11818496137857437,Center
32400.0,293.75,buoyancy_mean,0.12192046269774437,Center
32400.0,306.25,buoyancy_mean,0.12643921375274658,Center
32400.0,318.75,buoyancy_mean,0.13149596750736237,Center
32400.0,331.25,buoyancy_mean,0.13650760799646378,Center
32400.0,343.75,buoyancy_mean,0.14142798632383347,Center
32400.0,356.25,buoyancy_mean,0.14623111486434937,Center
32400.0,368.75,buoyancy_mean,0.15026747435331345,Center
32400.0,381.25,buoyancy_mean,0.15282637625932693,Center
32400.0,393.75,buoyancy_mean,0.15456169098615646,Center
32400.0,0.0,density_at_w_faces,1.322311282157898,Face
32400.0,12.5,density_at_w_faces,1.3207802772521973,Face
32400.0,25.0,density_at_w_faces,1.3192499876022339,Face
32400.0,37.5,density_at_w_faces,1.317720651626587,Face
32400.0,50.0,density_at_w_faces,1.316192626953125,Face
32400.0,62.5,density_at_w_faces,1.3146657943725586,Face
32400.0,75.0,density_at_w_faces,1.313139796257019,Face
32400.0,87.5,density_at_w_faces,1.3116148710250854,Face
32400.0,100.0,density_at_w_faces,1.3100910186767578,Face
32400.0,112.5,density_at_w_faces,1.3085682392120361,Face
32400.0,125.0,density_at_w_faces,1.30704665184021,Face
32400.0,137.5,density_at_w_faces,1.3055260181427002,Face
32400.0,150.0,density_at_w_faces,1.3040063381195068,Face
32400.0,162.5,density_at_w_faces,1.302487850189209,Face
32400.0,175.0,density_at_w_faces,1.3009703159332275,Face
32400.0,187.5,density_at_w_faces,1.2994539737701416,Face
32400.0,200.0,density_at_w_faces,1.297938585281372,Face
32400.0,212.5,density_at_w_faces,1.2964246273040771,Face
32400.0,225.0,density_at_w_faces,1.2949113845825195,Face
32400.0,237.5,density_at_w_faces,1.2933990955352783,Face
32400.0,250.0,density_at_w_faces,1.2918879985809326,Face
32400.0,262.5,density_at_w_faces,1.2903778553009033,Face
32400.0,275.0,density_at_w_faces,1.288869023323059,Face
32400.0,287.5,density_at_w_faces,1.2873611450195312,Face
32400.0,300.0,density_at_w_faces,1.2858543395996094,Face
32400.0,312.5,density_at_w_faces,1.284348487854004,Face
32400.0,325.0,density_at_w_faces,1.282843828201294,Face
32400.0,337.5,density_at_w_faces,1.2813401222229004,Face
32400.0,350.0,density_at_w_faces,1.2798376083374023,Face
32400.0,362.5,density_at_w_faces,1.2783358097076416,Face
32400.0,375.0,density_at_w_faces,1.2768354415893555,Face
32400.0,387.5,density_at_w_faces,1.2753361463546753,Face
32400.0,400.0,density_at_w_faces,1.2745866775512695,Face
32400.0,6.25,density_mean,1.3215456008911133,Center
32400.0,18.75,density_mean,1.3200148344039917,Center
32400.0,31.25,density_mean,1.318485140800476,Center
32400.0,43.75,density_mean,1.3169564008712769,Center
32400.0,56.25,density_mean,1.3154289722442627,Center
32400.0,68.75,density_mean,1.313902497291565,Center
32400.0,81.25,density_mean,1.3123770952224731,Center
32400.0,93.75,density_mean,1.3108526468276978,Center
32400.0,106.25,density_mean,1.3093292713165283,Center
32400.0,118.75,density_mean,1.307807207107544,Center
32400.0,131.25,density_mean,1.306286096572876,Center
32400.0,143.75,density_mean,1.3047659397125244,Center
32400.0,156.25,density_mean,1.3032468557357788,Center
32400.0,168.75,density_mean,1.3017289638519287,Center
32400.0,181.25,density_mean,1.3002119064331055,Center
32400.0,193.75,density_mean,1.2986960411071777,Center
32400.0,206.25,density_mean,1.297181248664856,Center
32400.0,218.75,density_mean,1.2956677675247192,Center
32400.0,231.25,density_mean,1.2941550016403198,Center
32400.0,243.75,density_mean,1.2926433086395264,Center
32400.0,256.25,density_mean,1.2911326885223389,Center
32400.0,268.75,density_mean,1.2896231412887573,Center
32400.0,281.25,density_mean,1.2881149053573608,Center
32400.0,293.75,density_mean,1.2866075038909912,Center
32400.0,306.25,density_mean,1.2851011753082275,Center
32400.0,318.75,density_mean,1.2835958003997803,Center
32400.0,331.25,density_mean,1.282091736793518,Center
32400.0,343.75,density_mean,1.2805886268615723,Center
32400.0,356.25,density_mean,1.2790864706039429,Center
32400.0,368.75,density_mean,1.2775853872299194,Center
32400.0,381.25,density_mean,1.276085615158081,Center
32400.0,393.75,density_mean,1.2745866775512695,Center
32400.0,0.0,density_weighted_pressure_tke_flux,0.0,Face
32400.0,12.5,density_weighted_pressure_tke_flux,-0.009321294724941254,Face
32400.0,25.0,density_weighted_pressure_tke_flux,-0.00011553076910786331,Face
32400.0,37.5,density_weighted_pressure_tke_flux,-0.005935602821409702,Face
32400.0,50.0,density_weighted_pressure_tke_flux,-0.0060346105601638556,Face
