time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_momentum_deficit_zero_fraction,surface_layer_face1_momentum_stability_function,surface_layer_face1_momentum_valid_zero_deficit_fraction,surface_layer_face1_numerical_u_correction,surface_layer_face1_numerical_v_correction,surface_layer_face1_reconstructed_u_flux,surface_layer_face1_reconstructed_v_flux,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_scalar_stability_function,surface_layer_face1_scheme_u_flux,surface_layer_face1_scheme_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_viscosity_zero_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_numerical_correction,surface_layer_face1_ρqᵛ_reconstructed_flux,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρqᵛ_scheme_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_deficit_zero_fraction,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_diffusivity_zero_fraction,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_numerical_correction,surface_layer_face1_ρθ_reconstructed_flux,surface_layer_face1_ρθ_resolved_flux,surface_layer_face1_ρθ_scheme_flux,surface_layer_face1_ρθ_valid_zero_deficit_fraction,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_numerical_u_correction,surface_layer_face2_numerical_v_correction,surface_layer_face2_reconstructed_u_flux,surface_layer_face2_reconstructed_v_flux,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_scheme_u_flux,surface_layer_face2_scheme_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_numerical_correction,surface_layer_face2_ρqᵛ_reconstructed_flux,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρqᵛ_scheme_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_numerical_correction,surface_layer_face2_ρθ_reconstructed_flux,surface_layer_face2_ρθ_resolved_flux,surface_layer_face2_ρθ_scheme_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_layer_inverse_obukhov_length,surface_layer_neutral_column_fraction,surface_layer_stable_column_fraction,surface_layer_upward_flux_column_fraction,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.5,1,0.771470606327,6.25,8,0,1,173309.359375,1,5.04870979341e-27,8,11.875,0.00018174079014,8.6545405793e-06,-6.62332604406e-06,1.32231128216,-0.786995887756,-0.595166862011,0,0,8,2.21822404001e-07,2.21822404001e-07,0,0,0,2.77278005001e-08,0,1,0,1,0,-2.84217094304e-14,0,-2.84217094304e-14,0,0,0,1,2.21822375579e-07,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,265.000671387,7.34788545742e-06,7.34788545742e-06,2.33086770371e-13,2.33086770371e-13,0,7.34788545742e-06,0,8,6.75488195157e-07,6.75488195157e-07,0,0,0,8.44360243946e-08,0,1,0,0,0,0,0,0,6.75488195157e-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,264.999694824,2.23755232582e-05,2.23755232582e-05,-2.4785187791e-11,-2.4785187791e-11,0,2.23754977924e-05,0,0,0,0,0,0,1,0,0,0.4462890625,-0.236421793699,0,0.000751758285332,0.000208184705116,265,-0.00023524556309,-0.000177904832526,267.9375,264.950073242,8,0,1.32497052618e-06,3.23117426779e-27
60,24.7439994895,1,0.712660551071,306.25,8,2.87570856017e-10,1,120754.773438,1,0.00891604833305,8.0092716217,23.506799515,0.000246979267104,3.1005944038e-05,-7.49348419049e-06,1.32231128216,-0.671582102776,-0.507885038853,-0.000153348664753,-0.000115970171464,7.86851501465,-7.84202711657e-08,-8.09726770967e-06,0.000375965842977,9.08707153968e-09,7.71548513967e-09,2.18515197048e-08,1,0.999917089939,0,1.01569139957,0,-3.16073624163e-07,-1.43111691386e-08,-8.33491139929e-06,-1.5682772414e-08,-8.01884016255e-06,-1.37157485369e-09,1.02549850941,-8.41332075652e-06,-6.59568399897e-09,1.52997898795e-08,1.5696965456,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.01738750935,0.009765625,1.5819439888,0.009765625,265.000610352,8.43545421958e-06,1.67896505445e-05,1.27226701396e-11,8.35431274027e-06,8.35429818835e-06,1.67905818671e-05,0.009765625,7.98411941528,1.726730261e-07,-5.31304976903e-06,6.51182926958e-05,1.59985429349e-08,1.29984471187e-07,4.03306330554e-08,0,0.999991953373,-7.33735141694e-05,2.94822712021e-07,-7.88593024481e-05,4.08808745078e-07,-5.48579373572e-06,1.13985905159e-07,-7.86866003182e-05,4.24807183208e-07,-4.20298533754e-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999987900257,0,264.999725342,1.33379362524e-05,2.55038030446e-05,-1.01224259197e-07,1.20664572023e-05,1.21676821436e-05,2.54060141742e-05,0.318784326315,0,-3.39601901942e-05,-0.10162346065,-6.3079460233e-06,1.56566347869e-05,0,0.5615234375,0.4384765625,0.3369140625,-0.267482370138,0,0.0010217577219,0.000205746968277,264.995833333,-0.000266151619144,-0.000201277580345,267.937469482,264.958435059,8.0092124939,0.0261743329465,0.0476297177374,0.000267197930953
120,25.3192472566,1,0.617566466331,56.25,7.99999856949,2.62817093244e-06,1,62097.171875,1,0.06729503721,8.01786899567,24.0532848938,0.000236886757193,7.18741648598e-05,-9.48242177401e-06,1.32231128216,-0.504313647747,-0.381388008595,-0.000686069135554,-0.000518840854056,7.54194736481,-6.18686317466e-06,-6.5853993874e-05,0.00266039324924,6.8665272579e-08,1.63506206263e-06,1.76551111508e-08,1,0.999619007111,0,1.01091265678,0,-1.05048115984e-06,5.14760017722e-07,-6.07177098573e-05,2.08115739042e-06,-5.96672398387e-05,1.56639703164e-06,1.01773309708,-6.69045257382e-05,2.14982219404e-06,-2.09826589526e-06,1.99683225155,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.02635991573,0.0068359375,2.0366537571,0.0068359375,265.000366211,9.65595245361e-06,2.15135514736e-05,-2.40351957087e-11,1.18537973322e-05,1.18538218885e-05,2.15144827962e-05,0.0068359375,7.88643836975,-5.79649349675e-06,-8.1225996837e-05,0.000891103118192,1.46060102679e-07,3.68139990314e-06,-7.4360286817e-09,0,0.999874353409,-0.000695214606822,9.33718365559e-06,-0.000770644459408,1.28725241666e-05,-7.54298307584e-05,3.53533960151e-06,-0.000776440952905,1.30185835587e-05,-2.14504825635e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999978423119,0,264.999694824,5.12786209583e-06,2.79024243355e-05,-1.12618818093e-06,2.16337575694e-05,2.27599448408e-05,2.67848372459e-05,0.403808772564,0,-6.88705476932e-05,-0.1630615592,-6.10932256677e-05,1.5617470126e-05,0,0.5771484375,0.4228515625,0.1181640625,-0.338478147984,0,0.000979974749498,0.000314587290632,264.991666666,-0.000336794182658,-0.000254701124504,267.936981201,264.968383789,8.0178604126,0.0698335766792,0.081966586411,0.000635174161289
180,25.4120070111,1,0.535266757011,168.75,7.99999427795,1.22477192832e-08,1,31401.9667969,1,0.220541939139,8.03189182281,24.1414066606,0.000289611110929,0.000131898850668,-1.22093897517e-05,1.32231128216,-0.378853499889,-0.286508560181,-0.00140480254777,-0.00106238410808,7.11130428314,-3.33685602527e-05,-0.000173810083652,0.00787524878979,1.48967728819e-07,2.64580467046e-06,1.4275428839e-08,1,0.999222159386,0,1.00947952271,0,-1.61143134392e-06,1.05661433736e-06,-0.000142052827869,3.553451279e-06,-0.000140441421536,2.49683716902e-06,1.0154042244,-0.00017542153364,3.7024192352e-06,-3.66016729458e-06,2.1756401062,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.04644680023,0.009765625,2.26606273651,0.009765625,265.000061035,1.08107924461e-05,2.24523246288e-05,-5.29706521701e-11,1.16346491268e-05,1.16347018775e-05,2.24560499191e-05,0.009765625,7.70427179337,-4.07869229093e-05,-0.000264332280494,0.00336285657249,4.43917201665e-07,5.63769799555e-06,-4.4223270379e-08,0,0.999486446381,-0.00243704719469,4.15014073951e-05,-0.00266059255227,4.66951933049e-05,-0.000223545415793,5.19378090758e-06,-0.00270137982443,4.71391031169e-05,-9.5275354397e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999981582165,0,264.999603271,1.82539224625e-07,2.04555690289e-05,-1.88233116205e-06,1.83827833098e-05,2.02651153813e-05,1.85668468475e-05,0.439528346062,0,-0.00010931257566,-0.193185478449,-0.000194676045794,1.92365387193e-05,0,0.6015625,0.3984375,0.0068359375,-0.435818135738,0,0.00119822251145,0.000545695074834,264.9875,-0.000433649896877,-0.000327948422637,267.93649292,264.97253418,8.0318069458,0.11448200047,0.0886185914278,0.00107974896673
240,25.5055513621,1,0.469686686993,168.75,7.99999237061,2.0003218637e-08,1,17288.5390625,1,0.49160027504,8.04366397858,24.230273794,0.00036647185334,0.000210091180634,-1.49832658281e-05,1.32231128216,-0.291700929403,-0.220599293709,-0.00220255739987,-0.00166568753775,6.64089393616,-8.96733836271e-05,-0.000313884112984,0.0163515564054,2.37935637415e-07,4.93947391078e-06,1.18016032502e-08,1,0.998770952225,0,1.00934195518,0,-2.67261611953e-06,1.35794948619e-06,-0.000226883130381,6.05948707744e-06,-0.000224210612942,4.70153736387e-06,1.01518058777,-0.000316556775942,6.29742407909e-06,-6.40321877654e-06,2.23231101036,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.09705293179,0.013671875,2.44095754623,0.013671875,264.999603271,1.12317502499e-05,2.13086605072e-05,-2.4304852575e-10,1.00559482235e-05,1.0056190149e-05,2.12993472815e-05,0.013671875,7.47318935394,-0.000139001756907,-0.000536995125003,0.00780712859705,9.46878799368e-07,8.97117752174e-06,-7.5830030255e-08,0,0.998771369457,-0.00564931333065,0.000109164888272,-0.00604730658233,0.000117189178127,-0.000397993338993,8.02429713076e-06,-0.00618630973622,0.000118136056699,-2.62825396931e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999984622002,0,264.999359131,-4.85777854919e-06,1.18836760521e-05,-1.41117243402e-06,1.53468190547e-05,1.67579928529e-05,1.05127692223e-05,0.451105803251,0,-0.000156077498104,-0.203497812152,-0.000409836997278,2.54250880971e-05,0,0.64453125,0.35546875,0,-0.534832537174,0,0.00151642470155,0.000869112031069,264.983333333,-0.000532171688974,-0.000402455683798,267.936035156,264.976867676,8.04348182678,0.187662601471,0.121075190604,0.00147610716522
300,25.9121336611,1,0.417701452971,168.75,7.99999046326,2.4364823048e-08,1,10427.7988281,1,1.09591805935,8.06319141388,24.616526978,0.000455445668194,0.000303415989038,-1.74721099029e-05,1.32231128216,-0.230689808726,-0.174459531903,-0.00302148447372,-0.00228500249796,6.17240047455,-0.000168489408679,-0.000575952231884,0.0279071740806,1.92608922589e-07,1.32039422169e-05,7.84348230809e-09,1,0.997732639313,0,1.01011514664,0,-7.6076712503e-06,1.32669276809e-06,-0.000415070535382,1.43380239024e-05,-0.000407462881412,1.3011333067e-05,1.01643705368,-0.000583560205996,1.45306321429e-05,-1.5514649931e-05,2.22012042999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.08240151405,0.013671875,2.39532613754,0.013671875,264.999084473,1.01029872894e-05,1.92299485207e-05,3.49152651236e-11,9.10849303182e-06,9.10845665203e-06,1.92150473595e-05,0.013671875,7.22110843658,-0.000301111023873,-0.00106978288386,0.0142603479326,1.34909350891e-06,1.76492940227e-05,-1.00611941889e-07,0,0.997554957867,-0.0113518889993,0.000253885809798,-0.0121205616742,0.000270185992122,-0.000768671510741,1.63001986948e-05,-0.0124216722324,0.000271535129286,-6.29601054243e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999985933304,0,264.99899292,-1.01923942566e-05,4.92483377457e-06,-1.08435301627e-06,1.39881121868e-05,1.50724645209e-05,3.84449958801e-06,0.449431121349,0,-0.000207190780202,-0.201992318034,-0.000697751762345,3.41389422829e-05,0,0.7119140625,0.2880859375,0,-0.623672664165,0,0.00188491155859,0.0012553895358,264.979166666,-0.000620569800958,-0.000469306891318,267.93560791,264.979064941,8.06262969971,0.34704130888,0.186104476452,0.00295548327267
360,36.6483251696,1,0.379504442215,168.75,7.99998807907,3.32357146249e-08,1,6953.92089844,1,2.48086309433,8.1403465271,34.8159089111,0.000614764401689,0.000394046481233,-1.96499240701e-05,1.32231128216,-0.190406382084,-0.143995121121,-0.00378809077665,-0.0028647496365,5.73996305466,-0.000239467248321,-0.00144988240208,0.041750960052,-9.30191163206e-07,1.87357945833e-05,7.75617081672e-09,1,0.993295192719,0,1.01179885864,0,-3.41568302247e-05,1.16816727314e-06,-0.00124457199126,2.08341516554e-05,-0.00121041515376,1.96659893845e-05,1.01917314529,-0.00148403958883,1.99039568543e-05,-2.71855678875e-05,2.16214060783,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.14328682423,0.0107421875,2.47610473633,0.0107421875,264.998443604,9.34302806854e-06,1.6812235117e-05,6.27974894307e-10,7.49306082071e-06,7.49243326936e-06,1.68085098267e-05,0.0107421875,6.96212625504,-0.000394792761654,-0.0025154738687,0.0227087773383,1.62881906363e-06,0.000103760830825,-1.22672645375e-07,0,0.994916915894,-0.024087626487,0.000619013444521,-0.0262083075941,0.000721145479474,-0.00212068110704,0.000102132013126,-0.026603102684,0.00072277430445,-0.00016720808344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999991238117,0,264.998565674,-1.78962945938e-05,-5.72949647903e-06,-3.31359251504e-06,8.80340849108e-06,1.21170014609e-05,-9.07480716705e-06,0.440361917019,0,-0.000260265049292,-0.193926885724,-0.00104319560342,4.55767476524e-05,0,0.796875,0.203125,0,-0.701410472393,0,0.00254497118294,0.00163064908702,264.974999999,-0.0006979208556,-0.000527803727891,267.935089111,264.981506348,8.14019298553,0.640473425388,0.352179169655,0.0122911129147
420,51.6366343662,1,0.355213880539,168.75,7.9999833107,1.13297808468e-07,1,5084.97900391,1,6.83023166656,8.33276462555,49.0548026479,0.000823896669317,0.000454848224763,-2.20353813347e-05,1.32231128216,-0.166783034801,-0.126129940152,-0.0045517636463,-0.00344227836467,5.37733888626,-0.000214906176552,-0.00381323578767,0.0568181350827,-2.65724156634e-06,-0.00015307344438,5.54427970201e-09,1,0.979526698589,0,1.01457929611,0,-0.000111654429929,5.89696173847e-06,-0.00370998471044,-0.000144519173773,-0.00359833007678,-0.000150416162796,1.02369117737,-0.00392489042133,-0.000147176499013,0.000115971022751,2.06537032127,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.14914178848,0.015625,2.40891718864,0.015625,264.997680664,6.24731183052e-06,8.70600342751e-06,4.36067237874e-10,2.45966134571e-06,2.459225243e-06,8.70227813721e-06,0.015625,6.70061349869,-0.000265945796855,-0.00800243671983,0.033041536808,-2.2159092623e-06,-6.5528365667e-05,-1.38898030855e-07,0,0.990777790546,-0.0426040142775,0.00132012390532,-0.0503405071795,0.00125681143254,-0.0077364910394,-6.33125018794e-05,-0.0506064519286,0.00125459546689,-0.000302292231936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00000679493,0,264.998077393,-2.92807817459e-05,-2.55294144154e-05,-1.05488416011e-05,-6.7944051807e-06,3.75443732992e-06,-3.60421836376e-05,0.427761852741,0,-0.000314642617013,-0.182992622256,-0.00143067725003,6.00847306487e-05,0,0.91796875,0.08203125,0,-0.786560177803,0,0.00341203436255,0.00188249489293,264.970833333,-0.000782646937296,-0.000591877964325,267.934631348,264.985900879,8.33266830444,1.03234291077,0.665178894997,0.0559126064181
480,66.2553636163,1,0.34691748023,343.75,7.99997520447,8.30355304515e-08,1,4147.51025391,1,17.0304069519,8.47938632965,62.9425954355,0.000841803732328,0.000467947917059,-2.51669771387e-05,1.32231128216,-0.159052938223,-0.120284035802,-0.00533699244261,-0.00403610896319,5.1063337326,-0.000201145885512,-0.00919286627322,0.0719524919987,-1.5862771761e-05,-3.30014154315e-05,5.23868948221e-09,1,0.946191251278,0,1.01872205734,0,-0.000264451431576,2.39948931267e-05,-0.00925617106259,6.856280379e-06,-0.00899172015488,-1.71386054717e-05,1.03042340279,-0.00945731904358,-9.00647137314e-06,-0.000107787491288,1.92583727837,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.97968006134,0.005859375,1.97264111042,0.005859375,264.996887207,3.36021184921e-06,-1.03116035461e-05,-4.30863345002e-10,-1.37991255542e-05,-1.37986953632e-05,-1.03414058685e-05,0.005859375,6.45048952103,-0.000295374076813,-0.023701518774,0.0446430444717,-3.4461983887e-05,1.70264975168e-05,-1.47905666381e-07,0,0.986440837383,-0.0553653091192,0.00228391122073,-0.0787714570761,0.0023353996221,-0.0234061442316,5.14886341989e-05,-0.0790668278933,0.00230093766004,-0.000545153743587,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00005698204,0,264.997619629,-3.62545251846e-05,-6.89923763275e-05,-2.42572241405e-05,-5.69853364141e-05,-3.27281159116e-05,-9.32365655899e-05,0.414670228958,0,-0.000372393376892,-0.171963617206,-0.00185600609984,7.80080736149e-05,0,0.998046875,0.001953125,0,-0.898343503475,0,0.00348630966619,0.00193677586503,264.966666666,-0.000893874152098,-0.000675993738696,267.934204102,264.987976074,8.47730636597,1.810972929,1.16639518738,0.124867126346
540,89.1707103258,1,0.352655470371,343.75,7.9999704361,1.12842336364e-07,1,3734.73632812,1,30.3579406738,8.69836235046,84.7121748095,0.00103682931513,0.000471220904728,-2.93583689199e-05,1.32231128216,-0.164332926273,-0.124277032912,-0.00621542148292,-0.00470042228699,4.93058872223,-0.000600797357038,-0.016770331189,0.0872799605131,-5.05323441757e-05,-0.000368491979316,4.65661287308e-09,1,0.897603034973,0,1.02385246754,0,-0.000437553477241,-4.17610135628e-06,-0.0166070871055,-0.000322135165334,-0.0161695331335,-0.000317959813401,1.03876018524,-0.0172078870237,-0.00037266779691,8.63356981426e-05,1.76926040649,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.891301751137,0.0048828125,1.73055791855,0.0048828125,264.996124268,2.29477882385e-06,-3.75509262085e-05,-1.56383617167e-09,-4.00788703701e-05,-4.00773060392e-05,-3.75807285309e-05,0.0048828125,6.24662399292,-0.00112808914855,-0.0462903119624,0.0569996908307,-0.000122238285257,-0.00098045123741,-1.53435394168e-07,0,0.982335686684,-0.063310533762,0.00306464126334,-0.108472764492,0.00220642844215,-0.0451622307301,-0.000858213112224,-0.10960084945,0.00208419002593,-0.000603539054282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00013446808,0,264.997131348,-4.06801700592e-05,-0.000133872032166,-4.11824148614e-05,-0.000134432935738,-9.32505208766e-05,-0.000175178050995,0.403527975082,0,-0.000437564478489,-0.162844434381,-0.0023128897883,9.93850335362e-05,0,1,0,0,-1.04795658588,0,0.00429552001879,0.00195038318634,264.962499999,-0.00104274286423,-0.000788575969636,267.933868408,264.986785889,8.68922042847,1.9368789196,1.6633234024,0.194060191512
