time_s,stable_fraction,neutral_fraction,upward_fraction,mean_inverse_length,median_stable_L,mean_zeta,max_zeta,mean_phi_m,mean_phi_h,mean_inverse_phi_m,mean_inverse_phi_h
0,0,1,0,0,NaN,0,0,1,1,1,1
600,1,0,0,0.0001235504085,8006.320253,0.001544380106,0.00242607166,1.0296521,1.04818466,0.9712476555,0.954145126
1200,1,0,0,0.0003506762581,2793.591407,0.004383453226,0.004850958067,1.084162306,1.136763744,0.9223933921,0.8797413678
1800,1,0,0,0.0007898599168,1281.52526,0.00987324896,0.01140230161,1.18956639,1.308045377,0.8406987036,0.7646107898
2400,1,0,0,0.001395458031,716.818906,0.01744322539,0.0188661259,1.334909948,1.544228647,0.7491584205,0.6476479173
3000,1,0,0,0.002043674741,490.4523554,0.02554593426,0.0289631862,1.490481958,1.797033168,0.6711070741,0.556748565
3600,1,0,0,0.002660244273,377.4869218,0.03325305341,0.03656218178,1.638458649,2.037495296,0.6104332303,0.490940684
4200,1,0,0,0.003177506502,315.7094426,0.03971883127,0.04402017803,1.762601585,2.23922757,0.5674583629,0.4467307246
4800,1,0,0,0.004074962632,246.0361976,0.0509370329,0.05600032746,1.977991079,2.589235471,0.505630095,0.3862926909
5400,1,0,0,0.005019602528,199.7254751,0.0627450316,0.0683570921,2.20470465,2.957645031,0.4536733252,0.3382136994
6000,1,0,0,0.00573193261,175.0887852,0.07164915762,0.07929628482,2.375663868,3.235453771,0.4210851672,0.309232537
6600,1,0,0,0.006009307488,166.0660904,0.0751163436,0.08197936113,2.442233845,3.343629975,0.4095904045,0.2992091235
7200,1,0,0,0.006067651337,164.2262148,0.07584564171,0.09042135789,2.45623636,3.366384075,0.4076912204,0.2976326674
7800,1,0,0,0.006380357135,157.3268149,0.07975446419,0.08959336556,2.531285756,3.488339342,0.3952234076,0.28683795
8400,1,0,0,0.006613010758,151.3226868,0.08266263448,0.09100608295,2.587122629,3.57907426,0.3866909447,0.2795625142
9000,1,0,0,0.006691293146,149.6215847,0.08364116433,0.0921982748,2.605910402,3.609604388,0.3839461674,0.2772406674
9600,1,0,0,0.006709401607,149.032966,0.08386752009,0.09412284708,2.610256436,3.616666691,0.3833379656,0.2767297905
10200,1,0,0,0.006727356586,149.256409,0.08409195732,0.09583596839,2.614565624,3.623669131,0.3826942457,0.2761828494
10800,1,0,0,0.006711271616,149.5298459,0.08389089519,0.09601691272,2.610705232,3.617395995,0.3833176862,0.276718858
11400,1,0,0,0.006797357747,147.1446425,0.08496697184,0.09748341981,2.631365906,3.650969588,0.3801744613,0.274041819
12000,1,0,0,0.006603287057,152.0783352,0.08254108822,0.09462425951,2.584788935,3.575282013,0.3872340008,0.2800526115
12600,1,0,0,0.006612237148,151.2566797,0.08265296435,0.0920552935,2.586936959,3.578772551,0.3867073824,0.2795747343
13200,1,0,0,0.006419211477,156.5809353,0.08024014346,0.0963090919,2.540610797,3.503492539,0.3938457694,0.2856699825
13800,1,0,0,0.006522818964,154.6837806,0.08153523705,0.09599832701,2.56547659,3.543899455,0.3902492307,0.282633101
