time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s
0.0,6.25,buoyancy_mean,0.0556163341,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,18.75,buoyancy_mean,0.0554887727,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,31.25,buoyancy_mean,0.0555450767,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,43.75,buoyancy_mean,0.0555274151,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,56.25,buoyancy_mean,0.0555286705,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,68.75,buoyancy_mean,0.0555292554,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,81.25,buoyancy_mean,0.0555286743,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,93.75,buoyancy_mean,0.0555280857,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,106.25,buoyancy_mean,0.0578289703,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,118.75,buoyancy_mean,0.0624254644,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,131.25,buoyancy_mean,0.0670178682,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,143.75,buoyancy_mean,0.0716061741,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,156.25,buoyancy_mean,0.0761886388,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,168.75,buoyancy_mean,0.0807687566,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,181.25,buoyancy_mean,0.08534538,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,193.75,buoyancy_mean,0.0899161473,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,206.25,buoyancy_mean,0.0944816545,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,218.75,buoyancy_mean,0.099043645,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,231.25,buoyancy_mean,0.10360156,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,243.75,buoyancy_mean,0.108155958,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,256.25,buoyancy_mean,0.11270567,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,268.75,buoyancy_mean,0.117250718,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,281.25,buoyancy_mean,0.121791668,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,293.75,buoyancy_mean,0.126328513,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,306.25,buoyancy_mean,0.130860686,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,318.75,buoyancy_mean,0.135389954,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,331.25,buoyancy_mean,0.139913931,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,343.75,buoyancy_mean,0.144433245,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,356.25,buoyancy_mean,0.14894788,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,368.75,buoyancy_mean,0.153459013,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,381.25,buoyancy_mean,0.157968387,Center,m s^-2,instantaneous_initial,0.0,0.0
0.0,393.75,buoyancy_mean,0.162470743,Center,m s^-2,instantaneous_initial,0.0,0.0
1800.0,6.25,buoyancy_mean,0.0544959791,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,18.75,buoyancy_mean,0.0549935326,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,31.25,buoyancy_mean,0.0552638434,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,43.75,buoyancy_mean,0.0554152764,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,56.25,buoyancy_mean,0.055504445,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,68.75,buoyancy_mean,0.0555181354,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,81.25,buoyancy_mean,0.0555137955,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,93.75,buoyancy_mean,0.0555168018,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,106.25,buoyancy_mean,0.0577611551,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,118.75,buoyancy_mean,0.0623803511,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,131.25,buoyancy_mean,0.0669902563,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,143.75,buoyancy_mean,0.0715797096,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,156.25,buoyancy_mean,0.0761628374,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,168.75,buoyancy_mean,0.0807460472,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,181.25,buoyancy_mean,0.0853205621,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,193.75,buoyancy_mean,0.0898958221,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,206.25,buoyancy_mean,0.09443371,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,218.75,buoyancy_mean,0.0990270302,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,231.25,buoyancy_mean,0.103585109,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,243.75,buoyancy_mean,0.108154558,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,256.25,buoyancy_mean,0.112696201,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,268.75,buoyancy_mean,0.117247157,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,281.25,buoyancy_mean,0.121788815,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,293.75,buoyancy_mean,0.126305059,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,306.25,buoyancy_mean,0.130840719,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,318.75,buoyancy_mean,0.135388106,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,331.25,buoyancy_mean,0.13991341,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,343.75,buoyancy_mean,0.144433245,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,356.25,buoyancy_mean,0.148942769,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,368.75,buoyancy_mean,0.153459489,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,381.25,buoyancy_mean,0.157967374,Center,m s^-2,preceding_1800s_average,0.0,1800.0
1800.0,393.75,buoyancy_mean,0.16238825,Center,m s^-2,preceding_1800s_average,0.0,1800.0
3600.0,6.25,buoyancy_mean,0.0517436676,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,18.75,buoyancy_mean,0.053210739,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,31.25,buoyancy_mean,0.0541153885,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,43.75,buoyancy_mean,0.0547078848,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,56.25,buoyancy_mean,0.0550880097,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,68.75,buoyancy_mean,0.0553197786,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,81.25,buoyancy_mean,0.0554458871,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,93.75,buoyancy_mean,0.0555479154,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,106.25,buoyancy_mean,0.057516899,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,118.75,buoyancy_mean,0.0622671694,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,131.25,buoyancy_mean,0.0669064671,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,143.75,buoyancy_mean,0.0714886934,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,156.25,buoyancy_mean,0.0760726631,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,168.75,buoyancy_mean,0.0806569904,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,181.25,buoyancy_mean,0.0852315575,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,193.75,buoyancy_mean,0.0898172259,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,206.25,buoyancy_mean,0.0942728147,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,218.75,buoyancy_mean,0.0989540517,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,231.25,buoyancy_mean,0.103522308,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
3600.0,243.75,buoyancy_mean,0.108158819,Center,m s^-2,preceding_1800s_average,1800.0,3600.0
