time_s,z_m,variable,value,location
28800.0,1.5625,buoyancy_mean,-0.004442879348061979,Center
28800.0,4.6875,buoyancy_mean,0.001074371044524014,Center
28800.0,7.8125,buoyancy_mean,0.001720218249829486,Center
28800.0,10.9375,buoyancy_mean,0.002642040024511516,Center
28800.0,14.0625,buoyancy_mean,0.0034408830106258392,Center
28800.0,17.1875,buoyancy_mean,0.004168077954091132,Center
28800.0,20.3125,buoyancy_mean,0.004807077464647591,Center
28800.0,23.4375,buoyancy_mean,0.005409186356700957,Center
28800.0,26.5625,buoyancy_mean,0.005976383574306965,Center
28800.0,29.6875,buoyancy_mean,0.006511430721729994,Center
28800.0,32.8125,buoyancy_mean,0.007027226500213146,Center
28800.0,35.9375,buoyancy_mean,0.007535747718065977,Center
28800.0,39.0625,buoyancy_mean,0.008035317528992891,Center
28800.0,42.1875,buoyancy_mean,0.00853063422255218,Center
28800.0,45.3125,buoyancy_mean,0.00902165356092155,Center
28800.0,48.4375,buoyancy_mean,0.009505111956968904,Center
28800.0,51.5625,buoyancy_mean,0.009984991513192654,Center
28800.0,54.6875,buoyancy_mean,0.01046591717749834,Center
28800.0,57.8125,buoyancy_mean,0.010940721724182367,Center
28800.0,60.9375,buoyancy_mean,0.011412607040256262,Center
28800.0,64.0625,buoyancy_mean,0.011878987774252892,Center
28800.0,67.1875,buoyancy_mean,0.012340697925537825,Center
28800.0,70.3125,buoyancy_mean,0.012807570397853851,Center
28800.0,73.4375,buoyancy_mean,0.013291369192302227,Center
28800.0,76.5625,buoyancy_mean,0.013771560043096542,Center
28800.0,79.6875,buoyancy_mean,0.014256943948566914,Center
28800.0,82.8125,buoyancy_mean,0.014740478247404099,Center
28800.0,85.9375,buoyancy_mean,0.015226028859615326,Center
28800.0,89.0625,buoyancy_mean,0.015711958520114422,Center
28800.0,92.1875,buoyancy_mean,0.01619141735136509,Center
28800.0,95.3125,buoyancy_mean,0.016684325877577066,Center
28800.0,98.4375,buoyancy_mean,0.017187901306897402,Center
28800.0,101.5625,buoyancy_mean,0.017707853578031063,Center
28800.0,104.6875,buoyancy_mean,0.018230745568871498,Center
28800.0,107.8125,buoyancy_mean,0.018765747547149658,Center
28800.0,110.9375,buoyancy_mean,0.01930925715714693,Center
28800.0,114.0625,buoyancy_mean,0.019863311201334,Center
28800.0,117.1875,buoyancy_mean,0.020434477366507053,Center
28800.0,120.3125,buoyancy_mean,0.02102260012179613,Center
28800.0,123.4375,buoyancy_mean,0.021632219664752483,Center
28800.0,126.5625,buoyancy_mean,0.022268865257501602,Center
28800.0,129.6875,buoyancy_mean,0.022923589684069157,Center
28800.0,132.8125,buoyancy_mean,0.023602275177836418,Center
28800.0,135.9375,buoyancy_mean,0.024309716187417507,Center
28800.0,139.0625,buoyancy_mean,0.025045135989785194,Center
28800.0,142.1875,buoyancy_mean,0.02582059893757105,Center
