time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,6.25,1,0.926940023899,3.125,8,0,1,210053.421875,1,5.95226367868e-26,8,5.9375,9.08703950699e-05,4.32727028965e-06,-9.47905755311e-06,1.32231128216,-1.13615334034,-0.859217762947,0,0,0.4462890625,-0.338358044624,0,0.000312824937282,8.66349000717e-05,265,-0.00033667468233,-0.000254610757111,267.96875,264.950073242,8,0,1.08278118205e-06,1.29246970711e-26
60,6.25603029886,1,0.708900332451,290.625,8.00000190735,-1.02012598369e-09,1,110056.257812,1,0.0655960813165,8.26352977753,5.94322878391,0.00864264927804,0.000473813444842,-8.09246466815e-06,1.32231128216,-0.664513707161,-0.502539515495,-0.000604547851253,-0.000457190268207,0.42431640625,-0.288863182068,0,0.0302379131317,0.00393660599366,264.995833333,-0.000287426053546,-0.000217366410652,267.967010498,264.943664551,8.26350975037,0.0872464552522,0.0775935053825,0.00066829402931
120,6.31573489051,1,0.348739087582,46.875,8.00003814697,1.59582887136e-05,1,19966.7832031,1,0.441875487566,8.61503219604,5.99994814598,0.00536620104685,0.00025385824847,-5.31047999175e-06,1.32231128216,-0.160809159279,-0.12161218375,-0.00169534946326,-0.00128211069386,0.3701171875,-0.189559310675,0,0.018655449152,0.00151836138684,264.991666666,-0.000188616235391,-0.000142641321872,267.965576172,264.942810059,8.61489200592,0.367663711309,0.147918075323,0.00198952015489
180,19.6876915873,1,0.0850022360682,53.125,8.00007724762,3.69344411411e-06,1,851.276245117,1,2.21617412567,9.31123256683,18.703307008,0.0104178236797,0.000232801961829,-1.8036844267e-06,1.32231128216,-0.00950255431235,-0.00718632154167,-0.000992088462226,-0.000750268460251,0.266357421875,-0.0643831044436,0,0.0365779213607,0.0011234942358,264.9875,-6.40627913526e-05,-4.84475858684e-05,267.96472168,264.944732666,9.31081771851,1.24932038784,0.371505200863,0.00461653526872
240,59.1268281834,1,0.0337417535484,59.375,8.00015544891,-2.06893651011e-06,1,52.2903785706,1,78.6184616089,11.8431625366,56.1704867743,0.0332498326898,0.000229231096455,-1.83662791642e-06,1.32231128216,-0.000150034669787,-0.000113463953312,-0.00149796425831,-0.00113283784594,0.00537109375,-0.0655590295792,0,0.122823499143,0.000794616527855,264.983333333,-6.52328672004e-05,-4.93324587296e-05,267.964202881,264.966125488,11.8423290253,7.37246131897,5.50038719177,1.20782196522
300,103.985667705,1,0.237356930971,284.375,7.9999704361,5.16081044566e-08,1,3594.34521484,1,33.1501502991,8.91278648376,98.7863843202,0.000352272065356,6.2897677708e-05,-9.30092119233e-06,1.32231128216,-0.0744009912014,-0.0562658682466,-0.00377675611526,-0.00285617774352,0,-0.33199942112,0,0.00121330004185,0.000216524786083,264.979166666,-0.000330347684212,-0.000249825970968,267.963684082,264.981750488,8.89867401123,2.67804908752,2.48261117935,0.317844331264
360,90.1734927964,1,0.40326744318,284.375,7.99995994568,1.08185389536e-07,1,7928.25537109,1,24.006483078,8.70810985565,85.6648181566,0.000637710851151,7.36820657039e-05,-2.06795884878e-05,1.32231128216,-0.21491651237,-0.162530958652,-0.00729843880981,-0.00551945576444,0,-0.73816460371,0,0.00219754455611,0.000253652193351,264.974999999,-0.000734492146876,-0.000555460865144,267.963043213,264.964508057,8.70676803589,2.08859157562,2.15389156342,0.173452377319
420,97.8787348963,1,0.462589025497,284.375,7.99994277954,2.70629357146e-07,1,8819.03222656,1,23.6564483643,8.81156730652,92.9847981515,0.000599236984272,0.000118227617349,-2.8061123885e-05,1.32231128216,-0.282846659422,-0.213903233409,-0.00799287296832,-0.00604462297633,0,-1.00165104866,0,0.00206481385976,0.000407040468417,264.970833333,-0.00099666765891,-0.00075373146683,267.962432861,264.967346191,8.81052017212,2.18091487885,1.36654555798,0.150921046734
480,102.848592496,1,0.451816320419,340.625,7.9999256134,3.08928662207e-07,1,7410.12695312,1,27.0940551758,9.03083705902,97.7061628708,0.00474131479859,0.000204396506888,-3.11171679641e-05,1.32231128216,-0.269857794046,-0.20408038795,-0.00641216756776,-0.00484921177849,0,-1.11073744297,0,0.016463438049,0.000704007339664,264.966666666,-0.00110521144234,-0.00083581788931,267.96182251,264.965545654,9.01385116577,2.37781882286,1.83203697205,0.201851710677
540,111.525519163,1,0.428873687983,340.625,7.9999089241,4.88974478685e-07,1,5878.35253906,1,27.4991493225,8.44278335571,105.949243205,0.00759299052879,0.000261078297626,-3.35484583047e-05,1.32231128216,-0.243136048317,-0.183872014284,-0.00624436605722,-0.00472231162712,0,-1.19752311707,0,0.0265107098967,0.000899547128938,264.962499999,-0.00119156530127,-0.000901123159565,267.961181641,264.965423584,8.43605804443,2.57580423355,1.96696615219,0.193486571312
600,116.662741896,1,0.412609696388,384.375,7.99989032745,5.41891665762e-07,1,4819.86962891,1,29.9286594391,8.52434825897,110.829604802,0.0129048051313,0.000295493635349,-3.64353581972e-05,1.32231128216,-0.225031197071,-0.17018020153,-0.00629464536905,-0.0047603356652,0,-1.3005720377,0,0.0455398485065,0.00101859029382,264.958333332,-0.00129410147201,-0.000978666241281,267.960479736,264.967254639,8.51258945465,2.59756684303,2.09407663345,0.211368560791
660,118.988988172,1,0.407995641232,390.625,7.99987840652,6.92823334703e-07,1,4216.62597656,1,30.7816905975,8.49567222595,113.039538764,0.00953328795731,0.000288971205009,-4.02662772103e-05,1.32231128216,-0.220039084554,-0.166404902935,-0.00568584632128,-0.00429993029684,0,-1.43731796741,0,0.0334129966795,0.000995555776171,264.954166666,-0.00143016711809,-0.00108156609349,267.95980835,264.961608887,8.48400402069,2.53019785881,2.00249218941,0.177703678608
720,118.558188562,1,0.403906285763,390.625,7.99986553192,8.78017317518e-07,1,3788.57958984,1,32.134803772,8.51963424683,112.630279134,0.00663121044636,0.000317017984344,-4.34815847257e-05,1.32231128216,-0.215684428811,-0.163111686707,-0.00403993576765,-0.00305520789698,0,-1.55208933353,0,0.023109389469,0.00109219702426,264.949999999,-0.001544367522,-0.0011679304298,267.95916748,264.959442139,8.51190280914,2.71063923836,1.89567756653,0.173611909151
780,110.51731103,1,0.397948175669,390.625,7.99985361099,1.09374923341e-06,1,3408.03344727,1,31.8808269501,8.2726726532,104.991445479,0.0106463199481,0.000377858435968,-4.6229124564e-05,1.32231128216,-0.209368363023,-0.158335149288,-0.00390961207449,-0.00295665021986,0,-1.65016376972,0,0.0373973883688,0.0013027099194,264.945833332,-0.00164195394609,-0.00124173029326,267.958526611,264.954498291,8.26868438721,2.45298051834,1.67000114918,0.167702659965
