time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_momentum_deficit_zero_fraction,surface_layer_face1_momentum_stability_function,surface_layer_face1_momentum_valid_zero_deficit_fraction,surface_layer_face1_numerical_u_correction,surface_layer_face1_numerical_v_correction,surface_layer_face1_reconstructed_u_flux,surface_layer_face1_reconstructed_v_flux,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_scalar_stability_function,surface_layer_face1_scheme_u_flux,surface_layer_face1_scheme_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_viscosity_zero_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_numerical_correction,surface_layer_face1_ρqᵛ_reconstructed_flux,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρqᵛ_scheme_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_deficit_zero_fraction,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_diffusivity_zero_fraction,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_numerical_correction,surface_layer_face1_ρθ_reconstructed_flux,surface_layer_face1_ρθ_resolved_flux,surface_layer_face1_ρθ_scheme_flux,surface_layer_face1_ρθ_valid_zero_deficit_fraction,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_numerical_u_correction,surface_layer_face2_numerical_v_correction,surface_layer_face2_reconstructed_u_flux,surface_layer_face2_reconstructed_v_flux,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_scheme_u_flux,surface_layer_face2_scheme_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_numerical_correction,surface_layer_face2_ρqᵛ_reconstructed_flux,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρqᵛ_scheme_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_numerical_correction,surface_layer_face2_ρθ_reconstructed_flux,surface_layer_face2_ρθ_resolved_flux,surface_layer_face2_ρθ_scheme_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_layer_inverse_obukhov_length,surface_layer_neutral_column_fraction,surface_layer_stable_column_fraction,surface_layer_upward_flux_column_fraction,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,6.25,1,0.926940023899,3.125,8,0,1,210053.421875,1,5.95226367868e-26,8,5.9375,9.08703950699e-05,4.32727028965e-06,-9.47905755311e-06,1.32231128216,-1.13615334034,-0.859217762947,0,0,8,1.74578258338e-06,1.74578258338e-06,0,0,0,2.18222822923e-07,0,1,0,1,0,-1.13686837722e-13,0,-1.13686837722e-13,0,0,0,1,1.74578258338e-06,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,265.002380371,5.7829565776e-05,5.7829565776e-05,8.37716940087e-13,8.37716940087e-13,0,5.7829565776e-05,0,8,2.53235907621e-06,2.53235907621e-06,0,0,0,3.16544884527e-07,0,1,0,0,0,0,0,0,2.53235907621e-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,265.000640869,8.38846026454e-05,8.38846026454e-05,5.44457035012e-10,5.44457035012e-10,0,8.38851410663e-05,0,0,0,0,0,0,1,0,0,0.4462890625,-0.338358044624,0,0.000312824937282,8.66349000717e-05,265,-0.00033667468233,-0.000254610757111,267.96875,264.950073242,8,0,1.08278118205e-06,1.29246970711e-26
60,12.6437193658,1,0.758142590523,28.125,8.00000190735,-9.06167997528e-07,1,120551.3125,1,0.0378979071975,8.02433776855,12.0115333975,0.000418754963903,4.94864216307e-05,-9.03692671272e-06,1.32231128216,-0.760038256645,-0.574780106544,-0.000446568359621,-0.000337718025548,7.64061880112,5.39483153261e-07,-1.86545075849e-05,0.001027765451,5.57763968345e-09,1.30978264679e-07,1.79950347956e-07,1,0.999852895737,0,1.00355279446,0,-1.60498615287e-07,8.24454815529e-09,-1.93544801732e-05,1.33645187361e-07,-1.91939780052e-05,1.25400589468e-07,1.0057734251,-1.88149751921e-05,1.3922283415e-07,-1.35246168043e-07,0.911084055901,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.03288280964,0.003662109375,0.939196765423,0.003662109375,265.002197266,4.89426311105e-05,5.56001905352e-05,1.08033035642e-11,6.65999959892e-06,6.65998868499e-06,5.55997248739e-05,0.003662109375,7.91854858398,1.51983840624e-06,-2.10356301977e-05,0.000319010927342,1.82543580252e-08,1.45322303524e-07,2.98630766338e-07,0,0.999954521656,-0.000317723286571,2.04792445402e-06,-0.000340278784279,2.17499245991e-06,-2.25554940698e-05,1.27067977473e-07,-0.000338758924045,2.19324692807e-06,-2.97658971249e-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.99998819828,0,265.000549316,8.16690735519e-05,9.20111779124e-05,1.50421317358e-06,1.18473626571e-05,1.03431484604e-05,9.35127027333e-05,0.365773558617,0,-4.49514191132e-05,-0.133790314198,-1.99366386369e-05,1.37137030833e-05,0,0.562744140625,0.437255859375,0.3349609375,-0.32257604599,0,0.00144244381227,0.000265478680376,264.995833333,-0.000320971186738,-0.000242734968197,267.967041016,264.943939209,8.0243062973,0.0714094415307,0.075231730938,0.000647296896204
120,12.8372038476,1,0.540845751762,46.875,8.00004673004,1.46260190377e-05,1,42940.6367188,1,0.451651602983,8.07846069336,12.1953436552,0.000843990419526,0.000218497531023,-9.21068112802e-06,1.32231128216,-0.386791825294,-0.292511940002,-0.00150461448357,-0.00113786710426,6.85460615158,-1.48844555952e-05,-0.000184507094673,0.0067050261423,2.77109535318e-08,1.93123219105e-06,1.48620529217e-07,1,0.999025344849,0,1.00287652016,0,-3.9150027078e-06,4.16943635173e-09,-0.000173537700903,1.90769105757e-06,-0.000169622682733,1.90352079699e-06,1.00467443466,-0.000188422141946,1.93540154214e-06,-2.02520732273e-06,1.07097387314,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0087788105,0.0029296875,1.07947051525,0.0029296875,265.001647949,4.19169664383e-05,4.99654561281e-05,5.13508333078e-11,8.05062518339e-06,8.05057425168e-06,4.99649904668e-05,0.0029296875,7.57940006256,-2.30681907851e-05,-0.000297395890811,0.00308497715741,1.19020100442e-07,2.08155552173e-06,2.84004272544e-07,0,0.999037027359,-0.00493546761572,5.31550431333e-05,-0.00520979473367,5.51175835426e-05,-0.000274327670923,1.96253586182e-06,-0.00523286312819,5.52366000193e-05,-1.09760148916e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.99997907877,0,265.000030518,8.10129567981e-05,9.39131714404e-05,8.00417910796e-06,2.09120989894e-05,1.29079217004e-05,0.000101915095001,0.43002513051,0,-8.11598147266e-05,-0.184921875596,-0.000151320709847,1.52956690727e-05,0,0.57421875,0.42578125,0.083984375,-0.328778266907,0,0.00290946452878,0.000772089289967,264.991666666,-0.000327142566675,-0.000247402087552,267.965698242,264.94418335,8.07843017578,0.577424585819,0.229352235794,0.00249709445052
180,32.3875006085,1,0.392870426178,46.875,8.00030994415,7.13540212018e-05,1,16465.0957031,1,14.9848613739,8.82512283325,30.768125578,0.00564071675763,0.000294015277177,-9.20711863728e-06,1.32231128216,-0.204081594944,-0.154337033629,-0.0023402387742,-0.00176980928518,6.04974889755,-0.00022214098135,-0.00611194781959,0.0163460299373,2.58221280092e-06,0.000376622192562,1.21141056297e-07,1,0.967680156231,0,1.00284993649,0,-0.00017226721684,1.20296917885e-05,-0.00606207363307,0.000386069732485,-0.00588980643079,0.000374040013412,1.00463116169,-0.00628421502188,0.000388651882531,-0.0003982289345,1.04986143112,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.03747999668,0.01171875,1.12392544746,0.01171875,265.000793457,3.77194955945e-05,5.04236668348e-05,-9.50274969824e-10,1.27356952362e-05,1.27366456582e-05,5.04292547703e-05,0.01171875,7.10491800308,-0.000346859509591,-0.0132008753717,0.00948770809919,8.22502170195e-06,0.00126760359854,2.69581505563e-07,0,0.990423679352,-0.0377429649234,0.000347745750332,-0.050596985966,0.00160712446086,-0.012854016386,0.00125937873963,-0.0509438440204,0.00161534943618,-0.000324250024278,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.99994122982,0,264.999206543,7.64243304729e-05,0.000101229175925,3.40369733749e-05,5.88203874941e-05,2.47834104812e-05,0.000135274603963,0.435126006603,0,-0.00011126435129,-0.189337044954,-0.000398442323785,2.02493465622e-05,0,0.591552734375,0.408447265625,0.007568359375,-0.328651130199,0,0.0196201037616,0.0010137213394,264.9875,-0.000327016052324,-0.000247306394158,267.964996338,264.952514648,8.81772136688,2.54434728622,1.43048131466,0.223555356264
240,66.9401400539,1,0.37319406867,90.625,7.99999570847,2.38276106757e-06,1,11497.1103516,1,52.106098175,9.06492424011,63.5931330512,0.000546199211385,9.92573768599e-05,-1.13020041681e-05,1.32231128216,-0.184150725603,-0.139264270663,-0.00215651234612,-0.00163086585235,5.58720779419,-0.000595230259933,-0.0284218117595,0.0215217508376,-2.81876564259e-05,0.000771272869315,9.93022695184e-08,1,0.841338813305,0.000244140625,1.00299632549,0.000244140625,-0.000510349287651,3.31159244524e-05,-0.0283369272947,0.000832576130051,-0.027826577425,0.000799460336566,1.00486898422,-0.0289321579039,0.000804388488177,-0.000929587287828,0.890992879868,0,0.000244140625,0,0,1,0,0,0,0,0,0,0,0,1,0,1.18707156181,0.06201171875,1.25636100769,0.06201171875,264.999694824,3.4898519516e-05,3.73795628548e-05,-2.50028864279e-09,2.35561651607e-06,2.35811830862e-06,3.73795628548e-05,0.06201171875,6.69270372391,-0.00120377494022,-0.0681874901056,0.021402105689,-1.33153153001e-05,0.00111393118277,2.50991433859e-07,0,0.978067398071,-0.0549457073212,-0.00130327383522,-0.121929429471,-0.000176026951522,-0.0669837146997,0.00112724630162,-0.123133197427,-0.000189342536032,-5.3489144193e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999966561794,0,264.998443604,8.2716345787e-05,9.06139612198e-05,2.57516185229e-05,3.34570322593e-05,7.70541737438e-06,0.000116392970085,0.424478054047,0,-0.000139758834848,-0.180192470551,-0.000617468962446,2.74299818557e-05,0,0.61669921875,0.38330078125,0,-0.403428733349,0,0.00188188150059,0.000341732578818,264.983333333,-0.000401421624701,-0.000303575739963,267.964355469,264.972045898,8.96732139587,3.2210521698,2.78522825241,0.485528945923
300,112.786014047,1,0.427435547113,284.375,7.99997234344,3.34199548035e-08,1,11359.1660156,1,56.7955551147,9.01878356934,107.146713345,0.000481724680867,8.28126794659e-05,-1.71872125065e-05,1.32231128216,-0.241551846266,-0.182673960924,-0.00416879309341,-0.00315265636891,5.42654180527,-0.00131673691794,-0.0456050634384,0.0394131056964,3.28230889863e-05,0.00269500585273,8.22474248707e-08,1,0.74232250452,0.001708984375,1.00314390659,0.001708984375,-0.000734251341783,-1.06484476419e-05,-0.0450225770473,0.00265153450891,-0.0442883223295,0.0026621830184,1.00510883331,-0.0463393181562,0.0026843578089,-0.0029111597687,0.778429150581,0,0.001708984375,0,0,1,0,0,0,0,0,0,0,0,1,0,1.20322477818,0.106689453125,1.26447081566,0.106689453125,264.998474121,2.63303518295e-05,-6.80983066559e-06,-3.03839753357e-09,-3.34712349286e-05,-3.34681899403e-05,-6.88433647156e-06,0.106689453125,6.49184131622,-0.00329915527254,-0.104509785771,0.0441609174013,8.31425713841e-05,0.00350656197406,2.33529135585e-07,0,0.972291171551,-0.0566106438637,-0.000845715985633,-0.157821267843,0.00257770391181,-0.10121063143,0.00342342024669,-0.161120414734,0.00266084657051,-0.000605433306191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00004029274,0,264.997894287,5.70714473724e-05,4.76837158203e-06,1.25198112073e-05,-4.03794365411e-05,-5.28992532054e-05,1.72257423401e-05,0.419951915741,0,-0.000182711475645,-0.176392942667,-0.000973438844085,3.69111039618e-05,0,0.663818359375,0.336181640625,0,-0.613503098488,0,0.00165955396369,0.000285093614366,264.979166666,-0.00061045086477,-0.000461654446553,267.963775635,264.98651123,9.01240158081,2.38330459595,2.77670288086,0.397942632437
360,120.354433716,1,0.477541178465,284.375,7.99995851517,5.48573666492e-08,1,10797.203125,1,47.0365180969,8.89589118958,114.33671203,0.00034488728852,0.000100963472505,-2.52151330642e-05,1.32231128216,-0.301525145769,-0.228028863668,-0.00364958681166,-0.00276000588201,5.36487102509,-0.00200095539913,-0.0549173727632,0.0427917465568,6.0362071963e-07,0.00268131587654,6.76955096424e-08,1,0.701509416103,0,1.00333499908,0,-0.000842876615934,-3.24050997733e-05,-0.0537592954934,0.00264830701053,-0.0529164224863,0.00268071237952,1.00541937351,-0.0557602494955,0.00264891120605,-0.00301894848235,0.74804854393,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.52891778946,0.148681640625,1.63041067123,0.148681640625,264.997375488,1.48415565491e-05,-4.62234020233e-05,-3.18914539221e-09,-6.03510052315e-05,-6.03478147241e-05,-4.62234020233e-05,0.148681640625,6.36665821075,-0.0052489284426,-0.117010369897,0.0546919964254,-0.000112930392788,0.00260250899009,2.22353264689e-07,0,0.970446884632,-0.0517114922404,-0.00158668984659,-0.163472935557,0.00112875027116,-0.111761443317,0.00271544000134,-0.168721854687,0.0010158191435,-0.000407767045544,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00009632111,0,264.997558594,3.11732292175e-05,-5.94854354858e-05,-4.64390723209e-06,-9.63343991316e-05,-9.16904828046e-05,-6.3955783844e-05,0.42673766613,0,-0.000253576989053,-0.182175308466,-0.00130673544481,4.87011566292e-05,0,0.73876953125,0.26123046875,0,-0.900062382221,0,0.00118784687947,0.000347590190358,264.974999999,-0.000895584467798,-0.000677287171129,267.963195801,264.955993652,8.86375331879,2.08140659332,2.4538333416,0.25859734416
420,132.199137804,1,0.492198199034,340.625,7.99993991852,1.86566964544e-07,1,9313.1484375,1,39.9900588989,8.83472156525,125.589180914,0.000392478599679,0.000136078640935,-3.20083709084e-05,1.32231128216,-0.320310235023,-0.242235124111,-0.00450256746262,-0.00340507365763,5.27878379822,-0.00235416041687,-0.0596076771617,0.0498689860106,2.21313603106e-05,0.00263897143304,5.47152012587e-08,1,0.693564414978,0,1.00375747681,0,-0.000960390141699,-2.0998682885e-05,-0.0582139045,0.00259584141895,-0.0572535134852,0.00261683994904,1.00610601902,-0.0605680644512,0.00261797290295,-0.00303357001394,0.759828209877,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.13717651367,0.1494140625,2.3297290802,0.1494140625,264.996276855,8.13603401184e-06,-8.03470611572e-05,-2.42654696336e-09,-8.66757181939e-05,-8.66733025759e-05,-8.03768634796e-05,0.1494140625,6.24656248093,-0.00610803067684,-0.121254332364,0.0619156137109,7.1379574365e-05,0.00296631618403,2.13738530874e-07,0,0.968902111053,-0.0480903461576,-0.00109541299753,-0.163236647844,0.00179952394683,-0.115146301687,0.00289493706077,-0.16934466362,0.00187090341933,-0.000611606927123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00016105175,0,264.997192383,2.4139881134e-05,-0.000113785266876,-2.23457955144e-05,-0.000161079020472,-0.000138733230415,-0.000136137008667,0.438437104225,0,-0.000348608969944,-0.192356199026,-0.00165242701769,6.16197285126e-05,0,0.89501953125,0.10498046875,0,-1.14254915714,0,0.00135187222622,0.000468513113447,264.970833333,-0.00113686488476,-0.000859755848069,267.962615967,264.93637085,8.82716751099,2.04291057587,1.85196506977,0.197774887085
480,130.455944966,1,0.478754371405,353.125,7.99991893768,2.4388165798e-07,1,7647.36669922,1,36.0070419312,8.53607940674,123.933147718,0.000744150020182,0.000177676585736,-3.58728866559e-05,1.32231128216,-0.303025245667,-0.229163318872,-0.00583135336637,-0.00440997024998,5.14160394669,-0.00197063945234,-0.0613705143332,0.0615105219185,3.94017151848e-05,0.00154999701772,4.5052729547e-08,1,0.694721221924,0,1.00451183319,0,-0.00104780727997,-3.73101502191e-05,-0.0604476779699,0.00147328525782,-0.059399869293,0.00151059508789,1.00733184814,-0.0624183155596,0.00151268660557,-0.00202137278393,0.776066064835,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.694223880768,0.091064453125,0.771860599518,0.091064453125,264.9949646,7.97212123871e-06,-0.000110730528831,-1.51847212582e-09,-0.000116970171803,-0.000116968658403,-0.000110775232315,0.091064453125,6.10323905945,-0.00484180171043,-0.120941527188,0.0747428238392,0.000123633886687,0.000726718746591,2.06520780921e-07,0,0.967664062977,-0.0467451885343,-0.00102857220918,-0.162844926119,-0.000425487291068,-0.116099730134,0.00060308520915,-0.167686730623,-0.000301853055134,-0.000248285272392,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00023198128,0,264.996582031,3.12030315399e-05,-0.000160694122314,-3.81329300581e-05,-0.000232075617532,-0.000193942687474,-0.000198930501938,0.447468191385,0,-0.0004520759976,-0.200407996774,-0.00204206560738,7.51982879592e-05,0,1,0,0,-1.28049445152,0,0.00256483186968,0.0006117913872,264.966666666,-0.00127412378788,-0.000963558151852,267.961975098,264.966033936,8.52196311951,1.86981749535,1.64010810852,0.173828884959
540,122.750732449,1,0.455226838589,390.625,7.99990701675,4.12400623873e-07,1,6233.42773438,1,33.1683731079,8.77150535583,116.613195827,0.00138521078043,0.000220478046685,-3.78352488042e-05,1.32231128216,-0.273945242167,-0.207171529531,-0.00658970605582,-0.0049834754318,4.97064590454,-0.00199764408171,-0.0615219548345,0.0729164406657,7.66941084294e-05,0.00210333731957,3.74275259674e-08,1,0.698564887047,0,1.00536715984,0,-0.00108864484355,-2.12192899198e-05,-0.060612950474,0.00200542388484,-0.0595243051648,0.00202664313838,1.00872159004,-0.0626105964184,0.00208211760037,-0.00271246628836,0.785852789879,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.704432964325,0.018798828125,0.788828372955,0.018798828125,264.993530273,6.39259815216e-06,-0.000139728188515,-1.59073842987e-09,-0.000144832389196,-0.00014483081759,-0.000139728188515,0.018798828125,5.93295383453,-0.00460788141936,-0.11983140558,0.0891071334481,0.000373504648451,0.00202861661091,2.02446244657e-07,0,0.967306137085,-0.0467544347048,-0.00118839403149,-0.161977976561,0.000466717872769,-0.115223534405,0.00165511167143,-0.166585832834,0.000840222346596,-0.000492384890094,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00029563904,0,264.995727539,3.58819961548e-05,-0.000203043222427,-5.41411573067e-05,-0.000295751320664,-0.000241610163357,-0.000257253646851,0.450983583927,0,-0.000550187658519,-0.203582823277,-0.00255826837383,8.94520562724e-05,0,1,0,0,-1.35054171085,0,0.00477992091328,0.000759249436669,264.962499999,-0.00134382257238,-0.00101626792457,267.961334229,264.949523926,8.76292419434,1.73742580414,1.63596987724,0.162405669689
