time_s,stable_fraction,neutral_fraction,upward_fraction,mean_inverse_length,median_stable_L,mean_zeta,max_zeta,mean_phi_m,mean_phi_h,mean_inverse_phi_m,mean_inverse_phi_h
0,0,1,0,0,NaN,0,0,1,1,1,1
600,1,0,0,0.0001076563448,9104.803863,0.000672852155,0.001046094894,1.006459381,1.010496495,0.9935841234,0.9896178819
1200,1,0,0,0.0003519690723,2868.595605,0.002199806702,0.002725921149,1.021118145,1.034316986,0.9793201668,0.9668255567
1800,1,0,0,0.000807660677,1241.991547,0.005047879232,0.005745835733,1.048459643,1.078746919,0.9537836813,0.9270100353
2400,1,0,0,0.001392827598,718.6557633,0.008705172487,0.009610318375,1.08356966,1.135800694,0.922882446,0.8804518517
3000,1,0,0,0.00202133935,496.7888685,0.01263337094,0.01427886309,1.121280365,1.197080591,0.8918588785,0.8354117783
3600,1,0,0,0.002737605072,369.0093619,0.0171100317,0.0201492323,1.164256314,1.2669165,0.8589626928,0.7894106336
4200,1,0,0,0.003306393241,303.6227757,0.02066495776,0.02289225667,1.198383604,1.322373349,0.8344905635,0.7562813057
4800,1,0,0,0.004048896123,248.4877742,0.02530560077,0.02967884939,1.242933777,1.394767382,0.8046364008,0.7171301267
5400,1,0,0,0.004723525845,211.4652921,0.02952203653,0.03435077087,1.28341156,1.460543781,0.7792524189,0.6848182835
6000,1,0,0,0.004997017072,200.1786985,0.0312313567,0.03598624025,1.299821038,1.487209177,0.7694100073,0.6725296177
6600,1,0,0,0.00550615997,182.3784357,0.03441349981,0.03885148035,1.330369617,1.536850609,0.7517744525,0.6508588525
7200,1,0,0,0.005883624433,170.9905018,0.03677265271,0.0419550488,1.353017485,1.573653396,0.7391498899,0.6355662973
7800,1,0,0,0.006023146001,166.4023308,0.03764466251,0.04125026462,1.36138878,1.587256749,0.7346016345,0.6301137105
8400,1,0,0,0.006193069554,161.3498135,0.03870668471,0.04539088695,1.371584193,1.603824297,0.729205766,0.6237109342
9000,1,0,0,0.006328527716,157.8917797,0.03955329823,0.04608311574,1.379711683,1.617031467,0.7248602705,0.618533881
9600,1,0,0,0.006124991376,162.305974,0.0382811961,0.04339556326,1.367499502,1.597186674,0.7314019653,0.6263337763
10200,1,0,0,0.006269933476,159.9432682,0.03918708423,0.0459756382,1.376196027,1.611318528,0.726723005,0.6207450466
10800,1,0,0,0.006535200482,153.6954297,0.04084500301,0.04700759891,1.392112049,1.637182063,0.7184146083,0.6109379797
11400,1,0,0,0.006347174516,157.7889922,0.03966984072,0.04656983947,1.38083049,1.618849531,0.7243140185,0.6179063918
12000,1,0,0,0.006247475048,160.0985729,0.03904671905,0.04599961394,1.374848522,1.609128832,0.7274405756,0.6215986409
12600,1,0,0,0.006325946468,157.4882107,0.03953716542,0.04518169735,1.379556807,1.616779794,0.724938609,0.6186253204
13200,1,0,0,0.006180417896,162.2855211,0.03862761185,0.04543928953,1.370825093,1.602590759,0.729563772,0.6241151151
13800,1,0,0,0.006137003052,163.0484985,0.03835626907,0.04337260616,1.368220203,1.598357812,0.7309423724,0.6257511617
14400,1,0,0,0.006170059422,161.2691455,0.03856287139,0.04423423379,1.370203585,1.601580809,0.7298968397,0.6245126718
15000,1,0,0,0.006162335091,163.5967495,0.03851459432,0.04704534949,1.369740125,1.600827685,0.7301886998,0.6248801435
15600,1,0,0,0.006094873848,164.6116548,0.03809296155,0.04323225876,1.36569245,1.594250215,0.732290664,0.6273559622
16200,1,0,0,0.005985357142,167.2297998,0.03740848214,0.04495827889,1.359121449,1.583572336,0.7358484583,0.6316154901
16800,1,0,0,0.005954855096,167.6765451,0.03721784435,0.04325159825,1.357291325,1.580598387,0.7368609326,0.6328381215
17400,1,0,0,0.005939396696,168.2968649,0.03712122935,0.04218145332,1.356363821,1.579091192,0.7373290188,0.6333824119
18000,1,0,0,0.006050054926,166.0473047,0.03781284329,0.04247781762,1.363003315,1.589880369,0.7337468724,0.6290993557
18600,1,0,0,0.005843422781,171.0326707,0.03652139238,0.04058099003,1.350605387,1.569733736,0.7404593827,0.637135923
19200,1,0,0,0.006107849836,163.9995615,0.03817406147,0.04214810615,1.36647101,1.595515373,0.7318441742,0.6268099065
19800,1,0,0,0.006019428671,166.2367108,0.03762142919,0.04260364221,1.361165739,1.58689431,0.7347083691,0.6302349244
20400,1,0,0,0.006186153656,160.9582925,0.03866346035,0.04281950532,1.371169239,1.603149995,0.7293653708,0.6238724441
21000,1,0,0,0.006124183315,163.7920828,0.03827614572,0.0429042615,1.367451018,1.597107887,0.7313815065,0.6262873034
21600,1,0,0,0.006183143459,161.0775505,0.03864464662,0.04349372757,1.370988627,1.602856502,0.7294769725,0.6240123615
22200,1,0,0,0.006318759621,158.8561831,0.03949224763,0.04502616066,1.379125597,1.616079079,0.7251719786,0.6189043395
22800,1,0,0,0.00627640356,159.8188617,0.03922752225,0.04573657061,1.376584234,1.611949362,0.7265399668,0.6205380922
23400,1,0,0,0.006357888707,157.6708999,0.03973680442,0.04543881805,1.381473342,1.619894164,0.7239113955,0.617400456
24000,1,0,0,0.006356546915,157.1672737,0.03972841822,0.04399946192,1.381392835,1.619763339,0.723968039,0.6174741458
