time_s,z_m,variable,value,location
28800.0,6.25,buoyancy_mean,0.0025153594542643987,Center
28800.0,18.75,buoyancy_mean,0.005902036442421377,Center
28800.0,31.25,buoyancy_mean,0.009906514082103968,Center
28800.0,43.75,buoyancy_mean,0.012671926990151405,Center
28800.0,56.25,buoyancy_mean,0.015220923814922571,Center
28800.0,68.75,buoyancy_mean,0.017613093368709087,Center
28800.0,81.25,buoyancy_mean,0.020060405135154724,Center
28800.0,93.75,buoyancy_mean,0.022474588826298714,Center
28800.0,106.25,buoyancy_mean,0.024890617467463017,Center
28800.0,118.75,buoyancy_mean,0.02745905239135027,Center
28800.0,131.25,buoyancy_mean,0.030212500132620335,Center
28800.0,143.75,buoyancy_mean,0.033379727974534035,Center
28800.0,156.25,buoyancy_mean,0.03719642758369446,Center
28800.0,168.75,buoyancy_mean,0.04183719865977764,Center
28800.0,181.25,buoyancy_mean,0.04745745100080967,Center
28800.0,193.75,buoyancy_mean,0.05420401692390442,Center
28800.0,206.25,buoyancy_mean,0.0640375092625618,Center
28800.0,218.75,buoyancy_mean,0.07791857048869133,Center
28800.0,231.25,buoyancy_mean,0.09191600605845451,Center
28800.0,243.75,buoyancy_mean,0.10285654291510582,Center
28800.0,256.25,buoyancy_mean,0.11020879074931145,Center
28800.0,268.75,buoyancy_mean,0.11484649404883385,Center
28800.0,281.25,buoyancy_mean,0.1184312291443348,Center
28800.0,293.75,buoyancy_mean,0.12239767238497734,Center
28800.0,306.25,buoyancy_mean,0.1271320953965187,Center
28800.0,318.75,buoyancy_mean,0.13212475180625916,Center
28800.0,331.25,buoyancy_mean,0.13694802671670914,Center
28800.0,343.75,buoyancy_mean,0.14173190295696259,Center
28800.0,356.25,buoyancy_mean,0.14658209681510925,Center
28800.0,368.75,buoyancy_mean,0.15087075531482697,Center
28800.0,381.25,buoyancy_mean,0.1536049172282219,Center
28800.0,393.75,buoyancy_mean,0.15541458129882812,Center
28800.0,0.0,density_at_w_faces,1.322311282157898,Face
28800.0,12.5,density_at_w_faces,1.3207802772521973,Face
28800.0,25.0,density_at_w_faces,1.3192499876022339,Face
28800.0,37.5,density_at_w_faces,1.317720651626587,Face
28800.0,50.0,density_at_w_faces,1.316192626953125,Face
28800.0,62.5,density_at_w_faces,1.3146657943725586,Face
28800.0,75.0,density_at_w_faces,1.313139796257019,Face
28800.0,87.5,density_at_w_faces,1.3116148710250854,Face
28800.0,100.0,density_at_w_faces,1.3100910186767578,Face
28800.0,112.5,density_at_w_faces,1.3085682392120361,Face
28800.0,125.0,density_at_w_faces,1.30704665184021,Face
28800.0,137.5,density_at_w_faces,1.3055260181427002,Face
28800.0,150.0,density_at_w_faces,1.3040063381195068,Face
28800.0,162.5,density_at_w_faces,1.302487850189209,Face
28800.0,175.0,density_at_w_faces,1.3009703159332275,Face
28800.0,187.5,density_at_w_faces,1.2994539737701416,Face
28800.0,200.0,density_at_w_faces,1.297938585281372,Face
28800.0,212.5,density_at_w_faces,1.2964246273040771,Face
28800.0,225.0,density_at_w_faces,1.2949113845825195,Face
28800.0,237.5,density_at_w_faces,1.2933990955352783,Face
28800.0,250.0,density_at_w_faces,1.2918879985809326,Face
28800.0,262.5,density_at_w_faces,1.2903778553009033,Face
28800.0,275.0,density_at_w_faces,1.288869023323059,Face
28800.0,287.5,density_at_w_faces,1.2873611450195312,Face
28800.0,300.0,density_at_w_faces,1.2858543395996094,Face
28800.0,312.5,density_at_w_faces,1.284348487854004,Face
28800.0,325.0,density_at_w_faces,1.282843828201294,Face
28800.0,337.5,density_at_w_faces,1.2813401222229004,Face
28800.0,350.0,density_at_w_faces,1.2798376083374023,Face
28800.0,362.5,density_at_w_faces,1.2783358097076416,Face
28800.0,375.0,density_at_w_faces,1.2768354415893555,Face
28800.0,387.5,density_at_w_faces,1.2753361463546753,Face
28800.0,400.0,density_at_w_faces,1.2745866775512695,Face
28800.0,6.25,density_mean,1.3215456008911133,Center
28800.0,18.75,density_mean,1.3200148344039917,Center
28800.0,31.25,density_mean,1.318485140800476,Center
28800.0,43.75,density_mean,1.3169564008712769,Center
28800.0,56.25,density_mean,1.3154289722442627,Center
28800.0,68.75,density_mean,1.313902497291565,Center
28800.0,81.25,density_mean,1.3123770952224731,Center
28800.0,93.75,density_mean,1.3108526468276978,Center
28800.0,106.25,density_mean,1.3093292713165283,Center
28800.0,118.75,density_mean,1.307807207107544,Center
28800.0,131.25,density_mean,1.306286096572876,Center
28800.0,143.75,density_mean,1.3047659397125244,Center
28800.0,156.25,density_mean,1.3032468557357788,Center
28800.0,168.75,density_mean,1.3017289638519287,Center
28800.0,181.25,density_mean,1.3002119064331055,Center
28800.0,193.75,density_mean,1.2986960411071777,Center
28800.0,206.25,density_mean,1.297181248664856,Center
28800.0,218.75,density_mean,1.2956677675247192,Center
28800.0,231.25,density_mean,1.2941550016403198,Center
28800.0,243.75,density_mean,1.2926433086395264,Center
28800.0,256.25,density_mean,1.2911326885223389,Center
28800.0,268.75,density_mean,1.2896231412887573,Center
28800.0,281.25,density_mean,1.2881149053573608,Center
28800.0,293.75,density_mean,1.2866075038909912,Center
28800.0,306.25,density_mean,1.2851011753082275,Center
28800.0,318.75,density_mean,1.2835958003997803,Center
28800.0,331.25,density_mean,1.282091736793518,Center
28800.0,343.75,density_mean,1.2805886268615723,Center
28800.0,356.25,density_mean,1.2790864706039429,Center
28800.0,368.75,density_mean,1.2775853872299194,Center
28800.0,381.25,density_mean,1.276085615158081,Center
28800.0,393.75,density_mean,1.2745866775512695,Center
28800.0,0.0,density_weighted_pressure_tke_flux,0.0,Face
28800.0,12.5,density_weighted_pressure_tke_flux,-0.004477137001231313,Face
28800.0,25.0,density_weighted_pressure_tke_flux,-0.00768215861171484,Face
28800.0,37.5,density_weighted_pressure_tke_flux,-0.00481653306633234,Face
28800.0,50.0,density_weighted_pressure_tke_flux,-0.0033951372606679797,Face
28800.0,62.5,density_weighted_pressure_tke_flux,-0.002913568285293877,Face
28800.0,75.0,density_weighted_pressure_tke_flux,-0.0032387651735916734,Face
28800.0,87.5,density_weighted_pressure_tke_flux,-0.003443255671299994,Face
28800.0,100.0,density_weighted_pressure_tke_flux,-0.003024117206223309,Face
28800.0,112.5,density_weighted_pressure_tke_flux,-0.0020295445574447513,Face
28800.0,125.0,density_weighted_pressure_tke_flux,-0.0010667368187569082,Face
28800.0,137.5,density_weighted_pressure_tke_flux,0.0001610854474165535,Face
28800.0,150.0,density_weighted_pressure_tke_flux,0.002036060788668692,Face
28800.0,162.5,density_weighted_pressure_tke_flux,0.0032451777951791883,Face
28800.0,175.0,density_weighted_pressure_tke_flux,0.00372172927018255,Face
28800.0,187.5,density_weighted_pressure_tke_flux,0.0032651600195094943,Face
28800.0,200.0,density_weighted_pressure_tke_flux,0.0024684827076271176,Face
28800.0,212.5,density_weighted_pressure_tke_flux,0.001525157073047012,Face
28800.0,225.0,density_weighted_pressure_tke_flux,0.00100096216192469,Face
28800.0,237.5,density_weighted_pressure_tke_flux,0.0006604804075323045,Face
28800.0,250.0,density_weighted_pressure_tke_flux,0.0004995202034479007,Face
28800.0,262.5,density_weighted_pressure_tke_flux,0.0004485443059820682,Face
28800.0,275.0,density_weighted_pressure_tke_flux,0.00045578181743621826,Face
28800.0,287.5,density_weighted_pressure_tke_flux,0.00047221119166351855,Face
28800.0,300.0,density_weighted_pressure_tke_flux,0.00046496053982991725,Face
28800.0,312.5,density_weighted_pressure_tke_flux,0.0004219902475597337,Face
28800.0,325.0,density_weighted_pressure_tke_flux,0.00034764231531880796,Face
28800.0,337.5,density_weighted_pressure_tke_flux,0.0002581775625003502,Face
28800.0,350.0,density_weighted_pressure_tke_flux,0.000165430799825117,Face
28800.0,362.5,density_weighted_pressure_tke_flux,8.568661723984405e-5,Face
28800.0,375.0,density_weighted_pressure_tke_flux,3.0969652470957953e-5,Face
28800.0,387.5,density_weighted_pressure_tke_flux,3.7851098682040174e-6,Face
28800.0,400.0,density_weighted_pressure_tke_flux,0.0,Face
28800.0,0.0,density_weighted_turbulent_tke_flux,0.0,Face
28800.0,12.5,density_weighted_turbulent_tke_flux,-0.002739346935413778,Face
28800.0,25.0,density_weighted_turbulent_tke_flux,-0.0034110075794160366,Face
28800.0,37.5,density_weighted_turbulent_tke_flux,0.0007603210833622143,Face
28800.0,50.0,density_weighted_turbulent_tke_flux,0.003139581996947527,Face
28800.0,62.5,density_weighted_turbulent_tke_flux,0.004201570409350097,Face
28800.0,75.0,density_weighted_turbulent_tke_flux,0.00583061424549669,Face
28800.0,87.5,density_weighted_turbulent_tke_flux,0.006468598265200853,Face
28800.0,100.0,density_weighted_turbulent_tke_flux,0.005703137489035726,Face
28800.0,112.5,density_weighted_turbulent_tke_flux,0.004956628894433379,Face
28800.0,125.0,density_weighted_turbulent_tke_flux,0.004491630359552801,Face
28800.0,137.5,density_weighted_turbulent_tke_flux,0.00420769932679832,Face
28800.0,150.0,density_weighted_turbulent_tke_flux,0.003354147542268038,Face
28800.0,162.5,density_weighted_turbulent_tke_flux,0.0020588640472851694,Face
28800.0,175.0,density_weighted_turbulent_tke_flux,0.0008119154372252524,Face
28800.0,187.5,density_weighted_turbulent_tke_flux,0.00019799709662038367,Face
28800.0,200.0,density_weighted_turbulent_tke_flux,1.021279240376316e-5,Face
