time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_momentum_deficit_zero_fraction,surface_layer_face1_momentum_valid_zero_deficit_fraction,surface_layer_face1_numerical_u_correction,surface_layer_face1_numerical_v_correction,surface_layer_face1_reconstructed_u_flux,surface_layer_face1_reconstructed_v_flux,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_scheme_u_flux,surface_layer_face1_scheme_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_viscosity_zero_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_numerical_correction,surface_layer_face1_ρqᵛ_reconstructed_flux,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρqᵛ_scheme_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_deficit_zero_fraction,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_diffusivity_zero_fraction,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_numerical_correction,surface_layer_face1_ρθ_reconstructed_flux,surface_layer_face1_ρθ_resolved_flux,surface_layer_face1_ρθ_scheme_flux,surface_layer_face1_ρθ_valid_zero_deficit_fraction,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_numerical_u_correction,surface_layer_face2_numerical_v_correction,surface_layer_face2_reconstructed_u_flux,surface_layer_face2_reconstructed_v_flux,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_scheme_u_flux,surface_layer_face2_scheme_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_numerical_correction,surface_layer_face2_ρqᵛ_reconstructed_flux,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρqᵛ_scheme_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_numerical_correction,surface_layer_face2_ρθ_reconstructed_flux,surface_layer_face2_ρθ_resolved_flux,surface_layer_face2_ρθ_scheme_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.5,1,0.771470606327,6.25,8,0,1,173309.359375,1,5.04870979341e-27,8,11.875,0.00018174079014,8.6545405793e-06,-6.62332604406e-06,1.32231128216,-0.786995887756,-0.595166862011,0,0,8,2.21822404001e-07,2.21822404001e-07,0,0,0,2.77278005001e-08,1,1,0,0,-2.84217094304e-14,0,-2.84217094304e-14,0,0,0,2.21822375579e-07,0,0,3.85735273361,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3.85735273361,0,265.000671387,7.34788545742e-06,7.34788545742e-06,2.33086770371e-13,2.33086770371e-13,0,7.34788545742e-06,0,8,6.75488195157e-07,6.75488195157e-07,0,0,0,8.44360243946e-08,0,1,0,0,0,0,0,0,6.75488195157e-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,264.999694824,2.23755232582e-05,2.23755232582e-05,-2.4785187791e-11,-2.4785187791e-11,0,2.23754977924e-05,0.771470546722,0,-0.000177904817974,-0.595166802406,0,0.4462890625,-0.236421793699,0,0.000751758285332,0.000208184705116,265,-0.00023524556309,-0.000177904832526,267.9375,264.950073242,8,0,1.32497052618e-06,3.23117426779e-27
60,25.0511390346,1,0.629320502281,243.75,8,3.56038754035e-10,1,68725.953125,1,0.00567602459341,8.00987148285,23.7985820829,0.000145610116306,2.18745735765e-05,-9.06639979803e-06,1.32231128216,-0.523693621159,-0.396044135094,-0.000435684924014,-0.000329487404088,7.8854393959,7.01766111888e-08,-3.41326085618e-06,0.000320806226227,4.77263562004e-09,3.77845665867e-08,2.16887201532e-08,1,0.999993562698,0,0,-1.60341443234e-07,1.55085544407e-08,-3.64380230167e-06,4.85204907363e-08,-3.48346156898e-06,3.30119362957e-08,-3.57361568604e-06,5.32931352382e-08,-4.86744120565e-08,3.78261613846,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.00021886826,0.0009765625,3.78346681595,0.0009765625,265.000579834,7.37234950066e-06,1.39877665788e-05,-7.87435394667e-11,6.61518060951e-06,6.61525928081e-06,1.39868352562e-05,0.0009765625,7.96775341034,1.88345438801e-07,-4.2079918785e-06,0.000120885866636,1.1429972524e-08,1.51278101157e-07,3.83115548175e-08,0,0.999922335148,-0.00013136776397,6.19903062216e-07,-0.000135764203151,7.5975128766e-07,-4.39644327344e-06,1.3984815439e-07,-0.000135575828608,7.71181191794e-07,-4.38265828961e-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999989449978,0,264.999755859,1.23521313071e-05,2.28546559811e-05,2.75625211543e-08,1.05301205622e-05,1.05025574157e-05,2.28825956583e-05,0.756528019905,0,-0.000179889713763,-0.572334647179,-2.53299567703e-05,0.306640625,-0.323628097773,0,0.000602265936323,0.000129570733407,264.995833333,-0.000322017993312,-0.000243526621489,267.937469482,264.958312988,8.00982475281,0.0207428075373,0.0464509613812,0.000256493105553
120,25.1545138494,1,0.554609656334,343.75,7.99999809265,1.11433018368e-09,1,30741.1328125,1,0.0366909094155,8.01954555511,23.8967881569,0.000174401749973,4.91738865094e-05,-1.38733830681e-05,1.32231128216,-0.406730473042,-0.307590574026,-0.00117292010691,-0.000887022702955,7.61837911606,-2.17785418499e-06,-3.31943010679e-05,0.00213500950485,3.15594412825e-08,7.53539950438e-07,2.03071977012e-08,1,0.999939262867,0,0,-8.19959950604e-07,1.94697562961e-07,-3.18364800478e-05,9.16678061458e-07,-3.10165232804e-05,7.2198054113e-07,-3.40142432833e-05,9.4823769814e-07,-9.23984600831e-07,3.64452719688,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.01502966881,0.0029296875,3.69954633713,0.0029296875,265.000396729,8.98260623217e-06,1.99805945158e-05,-6.04585340125e-11,1.09992952275e-05,1.09993552542e-05,1.99805945158e-05,0.0029296875,7.8567905426,-3.80713026971e-06,-5.97244361416e-05,0.000998657080345,1.05584526011e-07,2.50453263106e-06,-1.19543983601e-08,0,0.999371826649,-0.00112637854181,9.71295048657e-06,-0.00118229608051,1.21118991956e-05,-5.59174368391e-05,2.39894779952e-06,-0.00118610321078,1.2217483345e-05,-6.59087390886e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999981999397,0,264.999755859,2.53692269325e-06,2.16849148273e-05,-1.12614350201e-06,1.80195675057e-05,1.91457129404e-05,2.05598771572e-05,0.728949368,0,-0.000204083276913,-0.531367242336,-0.000131571345264,0.115234375,-0.495214939117,0,0.000721404445358,0.000214080995647,264.991666666,-0.000492751190905,-0.000372643873561,267.936981201,264.967895508,8.01954460144,0.0517176985741,0.0857733041048,0.00062499998603
180,25.2103688234,1,0.497350305319,343.75,7.99999427795,5.51016343664e-09,1,17408.5761719,1,0.121601589024,8.02479743958,23.9498503823,0.000214157596929,8.69350478752e-05,-1.76670437213e-05,1.32231128216,-0.327077150345,-0.247352614999,-0.0020216316916,-0.00152886216529,7.26944255829,-1.1977594113e-05,-7.92468199506e-05,0.00614619487897,7.67172139149e-08,1.15254056254e-06,1.66292011272e-08,1,0.999854207039,0,0,-1.09591451292e-06,1.52892368988e-07,-6.83651669533e-05,1.22871551866e-06,-6.72692476655e-05,1.07582332021e-06,-8.0342637375e-05,1.305432761e-06,-1.27031239572e-06,3.48071408272,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.01177608967,0.0009765625,3.52228307724,0.0009765625,265,9.34209674597e-06,1.99768692255e-05,-7.95904592232e-11,1.06208990474e-05,1.06209790829e-05,1.99740752578e-05,0.0009765625,7.69268035889,-2.47283605859e-05,-0.000177296635229,0.00308845425025,3.43632791555e-07,3.41328791365e-06,-5.26633812115e-08,0,0.998564362526,-0.00281027378514,3.02120770357e-05,-0.00296284235083,3.32817326125e-05,-0.000152568522026,3.06965512209e-06,-0.002987570595,3.36253651767e-05,-1.71004176082e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999985396862,0,264.999603271,-4.55603003502e-06,1.3180077076e-05,-3.12898782795e-06,1.45951125887e-05,1.77241017809e-05,1.00359320641e-05,0.696242570877,0,-0.000244744675001,-0.484753876925,-0.000329022237565,0.013671875,-0.630630970001,0,0.000885918620043,0.000360654317774,264.9875,-0.000627493485808,-0.000474542932352,267.936553955,264.972045898,8.0247631073,0.0895991772413,0.0793742761016,0.000993473688141
240,25.2803646175,1,0.45144289732,168.75,7.99999237061,1.89740099188e-08,1,11246.9521484,1,0.274159133434,8.0470867157,24.0163463866,0.000258678890532,0.000134612666443,-2.04509560717e-05,1.32231128216,-0.269472539425,-0.203789040446,-0.00288194091991,-0.00217947247438,6.88149547577,-3.41680715792e-05,-0.000133967143483,0.0126130161807,1.43597844726e-07,2.51544156527e-06,1.23036443256e-08,1,0.999753832817,0,0,-1.18655157166e-06,3.0692439168e-07,-0.00010098592611,2.67876862381e-06,-9.97993847704e-05,2.37184485741e-06,-0.000135153881274,2.82236646854e-06,-2.80207109427e-06,3.30590367317,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.02322411537,0.0029296875,3.38356161118,0.0029296875,264.999511719,8.97422432899e-06,1.81626528502e-05,-8.34232544156e-11,9.19284320844e-06,9.19292688195e-06,1.81663781404e-05,0.0029296875,7.49875211716,-8.16849060357e-05,-0.000341624952853,0.00657580886036,7.90763238001e-07,4.5603073886e-06,-8.2392944023e-08,0,0.997868716717,-0.00461707636714,6.58591161482e-05,-0.00487701687962,6.96286588209e-05,-0.000259940279648,3.76954403691e-06,-0.00495870131999,7.04194171703e-05,-3.3395979699e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999987959862,0,264.999298096,-9.74535942078e-06,5.65499067307e-06,-3.40023893841e-06,1.20130516734e-05,1.54132903845e-05,2.25380063057e-06,0.661338448524,0,-0.000293796823826,-0.437368959188,-0.000608806149103,0,-0.730003595352,0,0.00107018614653,0.000556793995202,264.983333333,-0.000726371712517,-0.000549319782294,267.936065674,264.976287842,8.0470123291,0.130799636245,0.119358822703,0.00144011876546
300,25.4260985152,1,0.414132595062,168.75,7.99999046326,2.43075248818e-08,1,7831.70703125,1,0.508701741695,8.05485248566,24.1547935894,0.000321870960761,0.000193413696252,-2.26726260735e-05,1.32231128216,-0.226753771305,-0.171482905746,-0.0037066063378,-0.00280312681571,6.48195981979,-6.84586120769e-05,-0.00020402634982,0.0215115472674,1.90767877939e-07,2.92898084808e-06,8.96397978067e-09,1,0.999615967274,0,0,-1.4208982293e-06,4.12878449652e-07,-0.000136989066959,3.15109264193e-06,-0.000135568145197,2.73821410701e-06,-0.000205447315238,3.34185870088e-06,-3.43540182257e-06,3.12857246399,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0480132103,0.0029296875,3.28043270111,0.0029296875,264.998809814,8.30739736557e-06,1.59107148647e-05,-1.42871922626e-10,7.64187461755e-06,7.64201740822e-06,1.5914440155e-05,0.0029296875,7.29061317444,-0.000180106144398,-0.000563572510146,0.0115194711834,1.13298960969e-06,5.64504171052e-06,-1.07218511403e-07,0,0.997212529182,-0.00673827016726,0.00011846855341,-0.00712173664942,0.000122980622109,-0.000383466714993,4.51205232821e-06,-0.00730184279382,0.000124113605125,-5.49223987036e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999990463257,0,264.998840332,-1.47223472595e-05,-1.65402889252e-06,-3.5098673834e-06,9.53149537963e-06,1.30413636725e-05,-5.16325235367e-06,0.625944018364,0,-0.00034599378705,-0.391807228327,-0.000953399343416,0,-0.809306800365,0,0.00133176404051,0.00080009031808,264.979166666,-0.000805280404165,-0.000608994567301,267.93560791,264.97946167,8.05477333069,0.182756781578,0.182888194919,0.00206710514612
360,25.6635875325,1,0.384718507528,168.75,7.99998903275,2.08636095067e-08,1,5798.59326172,1,0.939051270485,8.1141166687,24.3804081559,0.000368732318748,0.000261317996774,-2.45497230935e-05,1.32231128216,-0.195661842823,-0.147969573736,-0.00447845552117,-0.00338683906011,6.0905418396,-0.000101525220089,-0.000303185544908,0.0326722487807,1.52620941662e-07,6.72360147291e-06,8.0035533756e-09,1,0.999360382557,0,0,-2.62379194282e-06,4.45956402473e-07,-0.000204284195206,7.01693761584e-06,-0.000201660383027,6.57098189549e-06,-0.000305809488054,7.1695603765e-06,-7.73027204559e-06,2.95413255692,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.03289806843,0.001953125,3.05360221863,0.001953125,264.99798584,7.24941492081e-06,1.35861337185e-05,-2.02967712082e-11,6.3362781475e-06,6.33629861113e-06,1.35824084282e-05,0.001953125,7.07793045044,-0.000281939515844,-0.000907787703909,0.0179107878357,1.25263977679e-06,-1.67811049323e-06,-1.26863596961e-07,0,0.996028065681,-0.0107442773879,0.000234106875723,-0.011370126158,0.000231176134548,-0.000625848479103,-2.93075231639e-06,-0.011652065441,0.000232428777963,-9.60308098001e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999994635582,0,264.998321533,-2.06157565117e-05,-9.32812690735e-06,-5.89224509895e-06,5.4086531236e-06,1.1300899132e-05,-1.52140855789e-05,0.591188311577,0,-0.000398521602619,-0.349506050348,-0.00134530302603,0,-0.876310408115,0,0.00152579846326,0.0010811163811,264.974999999,-0.000871950644068,-0.000659414043184,267.935150146,264.982025146,8.11400127411,0.302014052868,0.251335561275,0.00527693703771
420,45.4344529553,1,0.363465249538,168.75,7.99998664856,-9.81346381934e-09,1,4537.75927734,1,1.82586669922,8.20695495605,43.1627303076,0.000482726522023,0.000333905976731,-2.64537502517e-05,1.32231128216,-0.174610361457,-0.132049366832,-0.00515881134197,-0.0039013591595,5.7239780426,-0.000110237335321,-0.00042158953147,0.0455365106463,-1.54821009346e-07,6.20151240582e-06,7.20319803804e-09,1,0.998928785324,0,0,-4.19731259171e-06,2.05172113965e-07,-0.000315549375955,6.56150314171e-06,-0.00031135205063,6.35633386992e-06,-0.000425786536653,6.40668258711e-06,-8.31631587062e-06,2.78701496124,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.04978609085,0.00390625,2.92967581749,0.00390625,264.997009277,6.03869557381e-06,1.10119581223e-05,-4.08771350102e-11,5.00714077134e-06,5.00718215335e-06,1.10194087029e-05,0.00390625,6.86549949646,-0.000310560455546,-0.00160494027659,0.0257142446935,2.0793886506e-06,2.93515768135e-05,-1.39843905345e-07,0,0.994043827057,-0.0178313069046,0.000475091248518,-0.0191256888211,0.000502363429405,-0.00129438028671,2.72721863439e-05,-0.0194362476468,0.000504442839883,-0.000190176157048,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00000178814,0,264.997680664,-2.68518924713e-05,-1.65849924088e-05,-1.21278535516e-05,-1.85582507584e-06,1.02720277937e-05,-2.87145376205e-05,0.557984650135,0,-0.000450630293926,-0.311349958181,-0.00176489306614,0,-0.944275259972,0,0.00199789274484,0.00138160237111,264.970833333,-0.000939577352256,-0.00071055686567,267.934661865,264.983215332,8.20617294312,0.529968619347,0.584948420525,0.0161554403603
480,60.3305578075,1,0.35418972373,81.25,7.99998188019,-3.71825194634e-06,1,3842.96923828,1,5.99240541458,8.49094963074,57.3140299171,0.000590870098677,0.000396682298742,-2.89055315079e-05,1.32231128216,-0.16578528285,-0.125375375152,-0.00573408231139,-0.0043364088051,5.40113639832,-0.000104647362605,-0.000934844370931,0.0592958554626,7.24210622138e-07,6.98121002642e-05,4.80213202536e-09,1,0.996934890747,0,0,-1.47325499711e-05,1.65721166923e-06,-0.000844929600134,7.0745110861e-05,-0.000830197124742,6.90878950991e-05,-0.000949576497078,7.14693305781e-05,-7.78204921517e-05,2.62837457657,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9990234375,0,1.0333943367,0.0078125,2.72251653671,0.0087890625,264.99597168,3.49432229996e-06,7.07805156708e-06,-3.12075504327e-10,3.56813461622e-06,3.5684465729e-06,7.07060098648e-06,0.0078125,6.65683269501,-0.000299433246255,-0.00529686082155,0.035078663379,1.44966288644e-05,0.000158832306624,-1.51398126036e-07,0,0.989843964577,-0.0315011776984,0.000971818750259,-0.0364986024797,0.00111615448259,-0.00499742710963,0.000144335703226,-0.0367980375886,0.00113065110054,-0.00039057363756,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00002515316,0,264.997070312,-3.22014093399e-05,-3.20374965668e-05,-2.52287100011e-05,-2.51005239988e-05,1.28187622295e-07,-5.72502613068e-05,0.527283728123,0,-0.000503495219164,-0.278030633926,-0.00219423254021,0,-1.03179228306,0,0.00244595040567,0.00164154334925,264.966666666,-0.00102665903978,-0.000776412547566,267.934234619,264.983917236,8.49047660828,1.03057682514,1.15262198448,0.0634899958968
540,73.1754030561,1,0.363109409809,343.75,7.99997138977,1.09363263334e-07,1,3598.82836914,1,15.299071312,8.43935871124,69.5166329033,0.000676224764902,0.000428696541348,-3.32576346409e-05,1.32231128216,-0.174229741096,-0.131761521101,-0.00632936228067,-0.00478659011424,5.15174818039,-0.000148775056005,-0.00274062575772,0.0725963637233,3.98958218284e-06,0.000336896860972,4.94765117764e-09,1,0.989454269409,0,0,-5.47133895452e-05,8.79952585819e-06,-0.00264656450599,0.000341706734616,-0.00259185116738,0.000332907278789,-0.00279533886351,0.000345696345903,-0.000370138965081,2.47740149498,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.01057755947,0.015625,2.53000640869,0.015625,264.994842529,5.8114528656e-07,-2.75671482086e-06,-9.6113561554e-10,-3.38905510944e-06,-3.38809263667e-06,-2.74181365967e-06,0.015625,6.46140909195,-0.000457944348454,-0.0171983428299,0.0464188605547,3.74005576305e-05,0.000466810073704,-1.60420313478e-07,0,0.983200371265,-0.0502503067255,0.00173485174309,-0.0669907033443,0.0021642614156,-0.0167403984815,0.000429409556091,-0.0674486532807,0.00220166193321,-0.000718632596545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0001001358,0,264.996398926,-3.71634960175e-05,-8.31484794617e-05,-5.41825065739e-05,-0.000100126424513,-4.59439252154e-05,-0.00013729929924,0.500759243965,0,-0.00056316528935,-0.25076213479,-0.00262678368017,0,-1.18714213371,0,0.00279973587021,0.00177414284553,264.962499999,-0.00118123600259,-0.000893311575055,267.933837891,264.983215332,8.43828868866,1.50797939301,1.34321916103,0.131239980459
