time_s,stable_fraction,neutral_fraction,upward_fraction,mean_inverse_length,median_stable_L,mean_zeta,max_zeta,mean_phi_m,mean_phi_h,mean_inverse_phi_m,mean_inverse_phi_h
0,0,1,0,0,NaN,0,0,1,1,1,1
600,1,0,0,0.0001236003153,8009.795674,0.001545003941,0.002426949686,1.007416022,1.012051032,0.9926416242,0.9881004197
1200,1,0,0,0.0003499903614,2860.237609,0.004374879517,0.00513352461,1.020999421,1.034124061,0.9794343531,0.9670067134
1800,1,0,0,0.0007994761846,1251.417448,0.009993452308,0.0105805193,1.047968575,1.077948932,0.9542284703,0.9276910894
2400,1,0,0,0.001390110065,718.7887834,0.01737637581,0.01841512858,1.083406609,1.135535735,0.9230169563,0.880647247
3000,1,0,0,0.00201580849,494.7474947,0.02519760612,0.0269387936,1.120948515,1.196541333,0.892110982,0.8357624459
3600,1,0,0,0.002670449001,375.2466473,0.03338061251,0.03583731013,1.160226948,1.260368785,0.8619164968,0.793451859
4200,1,0,0,0.003495930371,285.9223603,0.04369912963,0.04807925143,1.209755832,1.34085322,0.8266377304,0.7458415924
4800,1,0,0,0.004271055886,233.7236519,0.05338819857,0.05717622116,1.25626336,1.41642796,0.796034713,0.7060442313
5400,1,0,0,0.004728308369,211.8968687,0.05910385461,0.06522032782,1.283698507,1.461010077,0.7790330437,0.6845187294
6000,1,0,0,0.005419975242,184.3900623,0.06774969052,0.07316304254,1.325198533,1.528447596,0.7546299879,0.6543034814
6600,1,0,0,0.005909039057,169.698577,0.07386298821,0.078652706,1.354542361,1.576131322,0.7382772918,0.634499343
7200,1,0,0,0.006175486018,161.7179212,0.07719357523,0.08280502516,1.370529181,1.602109902,0.7296699137,0.6242177963
7800,1,0,0,0.006232616332,159.5048726,0.07790770415,0.0881452288,1.373956999,1.607680107,0.7280065817,0.6223144397
8400,1,0,0,0.006162801588,162.5259434,0.07703501985,0.08435894269,1.369768116,1.60087317,0.7300782391,0.6247048146
9000,1,0,0,0.006244007099,159.7040666,0.07805008873,0.08514506626,1.374640444,1.608790706,0.7274968544,0.6216407185
9600,1,0,0,0.006536945152,152.6456391,0.0817118144,0.09069170337,1.392216728,1.637352168,0.7183421806,0.6108447519
10200,1,0,0,0.006540492339,153.3326835,0.08175615424,0.09046408231,1.392429561,1.637698018,0.7182116213,0.6106819539
10800,1,0,0,0.006902569219,144.8012075,0.08628211523,0.09473109385,1.414154172,1.673000513,0.7071985256,0.5978273808
11400,1,0,0,0.006832334277,147.028893,0.08540417846,0.09371970082,1.409940074,1.666152609,0.7092988308,0.6002631638
12000,1,0,0,0.006568614306,152.3489862,0.08210767882,0.0935678836,1.39411688,1.64043991,0.7173901949,0.6097387309
12600,1,0,0,0.006404854227,156.5245049,0.08006067783,0.08819496725,1.384291274,1.624473303,0.7224150004,0.6156227448
13200,1,0,0,0.00626950721,159.5984264,0.07836884013,0.08541063289,1.376170452,1.611276968,0.726681273,0.620670297
13800,1,0,0,0.006192404996,162.3927782,0.07740506244,0.08759134798,1.37154432,1.6037595,0.7291908311,0.6236761628
14400,1,0,0,0.006028116005,165.171439,0.07535145006,0.08367780829,1.36168698,1.587741323,0.7344779697,0.6299834781
15000,1,0,0,0.005958061804,168.3964505,0.07447577256,0.08520224947,1.357483725,1.580911038,0.7367141571,0.6326419539
15600,1,0,0,0.006078435044,164.8730795,0.07598043805,0.0830638397,1.364706122,1.59264743,0.732781397,0.6279233507
16200,1,0,0,0.006001326436,167.2073584,0.07501658046,0.08181812009,1.360079607,1.585129343,0.7352777552,0.6309077612
16800,1,0,0,0.006583334668,151.9550466,0.08229168336,0.09276664932,1.3950001,1.641875146,0.716894492,0.6091384604
17400,1,0,0,0.00679823708,147.5144754,0.0849779635,0.09242333472,1.407894245,1.662828133,0.7103099565,0.6014319854
18000,1,0,0,0.006912544624,143.557393,0.0864068078,0.09497476858,1.414752699,1.673973116,0.7069273372,0.5975249068
18600,1,0,0,0.006814044261,147.1492002,0.08517555327,0.09712267201,1.408842676,1.664369334,0.7098287833,0.6008702543
19200,1,0,0,0.006668245138,149.9199418,0.08335306422,0.09647185216,1.400094727,1.650153917,0.7143058727,0.6061144761
19800,1,0,0,0.006661564879,151.2213497,0.08326956099,0.09239245555,1.399693912,1.649502591,0.7144854593,0.6063134381
20400,1,0,0,0.00656709094,152.8915808,0.08208863675,0.09286807617,1.394025477,1.640291383,0.717371348,0.6096871619
21000,1,0,0,0.006278057033,159.4531882,0.07847571292,0.08578040288,1.376683442,1.612110575,0.726413676,0.6203545621
21600,1,0,0,0.006496149843,153.2894416,0.08120187304,0.09148057434,1.389769009,1.633374626,0.7196058386,0.6123299651
22200,1,0,0,0.0067399786,148.4000366,0.0842497325,0.093099894,1.404398734,1.65714793,0.7121174032,0.6035571459
22800,1,0,0,0.006587375025,151.8050874,0.08234218781,0.09180686902,1.395242518,1.64226908,0.7167649644,0.6089843166
23400,1,0,0,0.006624026006,151.0117547,0.08280032507,0.09086407954,1.39744158,1.645842551,0.7156277587,0.6076470106
24000,1,0,0,0.006726571949,149.0694318,0.08408214937,0.09580356418,1.403594339,1.655840783,0.712478848,0.6039585514
24600,1,0,0,0.006839755635,146.5325628,0.08549694544,0.09258204955,1.410385357,1.66687619,0.7090609687,0.599980322
25200,1,0,0,0.006791199576,147.5380182,0.0848899947,0.09473902173,1.407471993,1.662141974,0.710552151,0.6017268891
25800,1,0,0,0.006975992761,144.2277758,0.08719990951,0.09532290278,1.418559586,1.680159312,0.7049732736,0.5952337312
