time_s,q_z100p0m,q_z10p0m,q_z180p0m,q_z200p0m,q_z25p0m,q_z50p0m,theta_z100p0m,theta_z10p0m,theta_z180p0m,theta_z200p0m,theta_z25p0m,theta_z50p0m,u_z100p0m,u_z10p0m,u_z180p0m,u_z200p0m,u_z25p0m,u_z50p0m,v_z100p0m,v_z10p0m,v_z180p0m,v_z200p0m,v_z25p0m,v_z50p0m,w_z100p0m,w_z10p0m,w_z180p0m,w_z200p0m,w_z25p0m,w_z50p0m
0,0.0095083341002464294,0.0098769227042794228,0.0089937495067715645,0.0089312493801116943,0.0097125004976987839,0.0096000004559755325,294.83700561523438,292.11984252929688,296.32760620117188,297.25894165039062,293.11129760742188,293.55169677734375,-9.7068090438842773,-2.7270188331604004,-10.60063648223877,-10.299022674560547,-3.5820305347442627,-6.6131196022033691,1.4032707214355469,-0.85070121288299561,4.9240145683288574,5.3749971389770508,-0.12963996827602386,0.02686956524848938,-3.981113331974484e-05,0.12892426550388336,0.014676976017653942,0.0099583845585584641,-0.47830146551132202,-0.10985902696847916
10,0.0095142079517245293,0.0098792994394898415,0.0089932326227426529,0.0089313220232725143,0.0097072087228298187,0.0096011226996779442,294.7353515625,291.599609375,296.86795043945312,297.08837890625,293.18704223632812,293.25119018554688,-9.6674489974975586,-3.220637321472168,-10.567706108093262,-10.298973083496094,-4.0199184417724609,-6.6027278900146484,1.3647189140319824,0.074966847896575928,4.9291772842407227,5.3704652786254883,-0.053509600460529327,0.39091524481773376,0.08005976676940918,-0.10204042494297028,-0.020137853920459747,0.0024936567060649395,-0.10067412257194519,-0.012811897322535515
20,0.009512254036962986,0.0098733128979802132,0.0089972792193293571,0.0089330608025193214,0.0097279148176312447,0.0096021303907036781,294.66802978515625,292.42117309570312,296.86602783203125,297.25335693359375,292.91845703125,293.60403442382812,-9.6280965805053711,-3.0053031444549561,-10.5635986328125,-10.290380477905273,-4.3012700080871582,-6.3239960670471191,1.4690331220626831,0.1323760449886322,4.9511337280273438,5.3645777702331543,0.19292037189006805,0.37499657273292542,0.019076710566878319,0.053910650312900543,0.054493136703968048,0.029199672862887383,0.19592535495758057,0.08306073397397995
30,0.0095055028796195984,0.0098911821842193604,0.0089932940900325775,0.0089328791946172714,0.0096822334453463554,0.009594423696398735,294.76153564453125,292.1513671875,296.77560424804688,297.284912109375,293.15371704101562,293.395263671875,-9.580810546875,-2.6957061290740967,-10.606072425842285,-10.280046463012695,-4.2965741157531738,-6.6495776176452637,1.5004885196685791,-0.034897718578577042,4.9392199516296387,5.3777279853820801,-0.16342155635356903,0.28255259990692139,0.05413377657532692,-0.072475038468837738,0.0036803074181079865,0.031696189194917679,-0.21868777275085449,-0.1350262463092804
40,0.0095183234661817551,0.0098619172349572182,0.0089912312105298042,0.0089315660297870636,0.0097180977463722229,0.0095947114750742912,294.73416137695312,292.05487060546875,296.73590087890625,297.2213134765625,292.79656982421875,293.515869140625,-9.5081920623779297,-3.0044167041778564,-10.543444633483887,-10.27126407623291,-4.4742488861083984,-6.6066136360168457,1.6090699434280396,-0.23143468797206879,4.9227232933044434,5.3811020851135254,0.12982092797756195,0.36110472679138184,0.060024846345186234,-0.082444466650485992,-0.014162147417664528,0.012302746064960957,0.12098947912454605,-0.059618722647428513
50,0.0095269419252872467,0.0098503250628709793,0.0089981295168399811,0.0089361555874347687,0.009664277546107769,0.0096095921471714973,294.64895629882812,292.28738403320312,296.6142578125,297.37661743164062,293.25753784179688,293.28890991210938,-9.4835615158081055,-3.2154922485351562,-10.583053588867188,-10.297378540039062,-4.7355475425720215,-6.4823675155639648,1.3153396844863892,-0.0062604635022580624,4.9734630584716797,5.4300775527954102,0.05734701082110405,0.38551074266433716,0.05842321366071701,-0.058302842080593109,0.028362387791275978,0.065136559307575226,-0.041434299200773239,-0.061482641845941544
60,0.0095205353572964668,0.0098410956561565399,0.0090066539123654366,0.0089404378086328506,0.0097193298861384392,0.0095926979556679726,294.46966552734375,292.473876953125,296.788818359375,297.19143676757812,293.1436767578125,293.5516357421875,-9.5775918960571289,-2.8518214225769043,-10.509956359863281,-10.266366004943848,-4.0149993896484375,-6.7049927711486816,1.444411039352417,-0.0042336606420576572,4.9097466468811035,5.3440308570861816,0.027192693203687668,0.62850010395050049,0.029406525194644928,0.12925660610198975,0.060905642807483673,0.059580095112323761,0.074175640940666199,-0.02829984575510025
70,0.0094461990520358086,0.0098809832707047462,0.0089847911149263382,0.0089194327592849731,0.0097724916413426399,0.0096128080040216446,294.63558959960938,292.03271484375,296.81149291992188,297.21923828125,292.83096313476562,293.55477905273438,-9.6647958755493164,-2.6643025875091553,-10.442574501037598,-10.201353073120117,-3.7784492969512939,-6.2441110610961914,1.6101655960083008,-0.096372373402118683,4.9901485443115234,5.4279398918151855,0.25627467036247253,0.16458050906658173,-0.17338229715824127,0.083681084215641022,-0.024196557700634003,-0.018631773069500923,0.061591006815433502,0.02089928463101387
80,0.0095260068774223328,0.0099125467240810394,0.0089891673997044563,0.0089317010715603828,0.0097536100074648857,0.0096095670014619827,294.50314331054688,291.81259155273438,296.80615234375,297.205810546875,292.73733520507812,293.60684204101562,-9.8234710693359375,-2.5463075637817383,-10.63001537322998,-10.265207290649414,-3.9895308017730713,-6.3767557144165039,1.3321430683135986,-0.14949126541614532,4.962669849395752,5.3564534187316895,-0.19220207631587982,0.51901954412460327,-0.049437839537858963,0.04437096044421196,-0.011924111284315586,-0.0041459528729319572,0.051717467606067657,0.10192498564720154
90,0.0095062935724854469,0.0099093504250049591,0.0089979339390993118,0.008936174213886261,0.0096919899806380272,0.0096058277413249016,294.683349609375,291.87509155273438,296.90792846679688,297.07211303710938,293.01095581054688,293.53213500976562,-9.5705051422119141,-2.5091993808746338,-10.448328971862793,-10.242079734802246,-4.4816427230834961,-6.7041988372802734,1.455524206161499,0.13090723752975464,5.0586695671081543,5.473505973815918,0.35065710544586182,0.4604545533657074,-0.022371519356966019,-0.082286261022090912,-0.042657654732465744,-0.026361426338553429,-0.042579900473356247,0.023290028795599937
