time_s,q_z100p0m,q_z10p0m,q_z180p0m,q_z200p0m,q_z25p0m,q_z50p0m,theta_z100p0m,theta_z10p0m,theta_z180p0m,theta_z200p0m,theta_z25p0m,theta_z50p0m,u_z100p0m,u_z10p0m,u_z180p0m,u_z200p0m,u_z25p0m,u_z50p0m,v_z100p0m,v_z10p0m,v_z180p0m,v_z200p0m,v_z25p0m,v_z50p0m,w_z100p0m,w_z10p0m,w_z180p0m,w_z200p0m,w_z25p0m,w_z50p0m
0,0.0095083341002464294,0.0098769227042794228,0.0089937495067715645,0.0089312493801116943,0.0097125004976987839,0.0096000004559755325,294.83700561523438,292.11984252929688,296.32760620117188,297.25894165039062,293.11129760742188,293.55169677734375,-9.7068090438842773,-2.7270188331604004,-10.60063648223877,-10.299022674560547,-3.5820305347442627,-6.6131196022033691,1.4032707214355469,-0.85070121288299561,4.9240145683288574,5.3749971389770508,-0.12963996827602386,0.02686956524848938,-3.981113331974484e-05,0.12892426550388336,0.014676976017653942,0.0099583845585584641,-0.47830146551132202,-0.10985902696847916
10,0.00951420608907938,0.0098642762750387192,0.0089932335540652275,0.0089313266798853874,0.0097234258428215981,0.0096010081470012665,294.73532104492188,291.73641967773438,296.8680419921875,297.08840942382812,293.044921875,293.251953125,-9.6674604415893555,-3.2920989990234375,-10.56771183013916,-10.298982620239258,-3.9605154991149902,-6.6049141883850098,1.3647749423980713,0.076273307204246521,4.9291863441467285,5.3704714775085449,-0.027417110279202461,0.39151474833488464,0.080106072127819061,-0.093046456575393677,-0.020121222361922264,0.002500761765986681,-0.099274307489395142,-0.012956801801919937
20,0.0095122475177049637,0.0098500596359372139,0.0089972773566842079,0.0089330589398741722,0.0097515741363167763,0.0096017718315124512,294.66790771484375,292.51168823242188,296.865966796875,297.25335693359375,292.88153076171875,293.604248046875,-9.6278419494628906,-3.1675903797149658,-10.563591003417969,-10.290378570556641,-4.0588474273681641,-6.3265037536621094,1.4692494869232178,0.12349588423967361,4.9511508941650391,5.3645973205566406,0.16312164068222046,0.37353494763374329,0.01916184276342392,0.066799722611904144,0.054525543004274368,0.029215708374977112,0.19514745473861694,0.083349511027336121
30,0.0095055075362324715,0.009851330891251564,0.0089932950213551521,0.0089328791946172714,0.0097237471491098404,0.0095950504764914513,294.76162719726562,292.27093505859375,296.77566528320312,297.28488159179688,292.93051147460938,293.39315795898438,-9.5803670883178711,-2.9671835899353027,-10.606053352355957,-10.280046463012695,-3.9909017086029053,-6.6468486785888672,1.5005007982254028,-0.071469672024250031,4.9392299652099609,5.3777389526367188,-0.13420669734477997,0.28362363576889038,0.053777828812599182,-0.090545997023582458,0.0036982924211770296,0.031709704548120499,-0.21000340580940247,-0.13677895069122314
40,0.009518367238342762,0.0098300231620669365,0.0089912358671426773,0.0089315678924322128,0.0097665777429938316,0.0095957014709711075,294.73379516601562,292.20916748046875,296.73590087890625,297.2213134765625,292.55142211914062,293.51153564453125,-9.5087862014770508,-3.3925662040710449,-10.543511390686035,-10.271298408508301,-4.1335387229919434,-6.6064572334289551,1.6089702844619751,-0.094552785158157349,4.9227008819580078,5.3810853958129883,0.13123629987239838,0.36693799495697021,0.060099363327026367,-0.058376926928758621,-0.014129465445876122,0.01235033106058836,0.080113545060157776,-0.056228287518024445
50,0.0095270145684480667,0.0098167788237333298,0.0089981267228722572,0.0089361639693379402,0.0097080180421471596,0.0096080237999558449,294.64874267578125,292.47879028320312,296.6142578125,297.37649536132812,293.060302734375,293.29296875,-9.4844846725463867,-3.3569753170013428,-10.583148956298828,-10.297408103942871,-4.2011775970458984,-6.4848647117614746,1.3149503469467163,0.0076956767588853836,4.9733328819274902,5.4300293922424316,-0.030152438208460808,0.38078653812408447,0.059541825205087662,-0.02337857149541378,0.028525929898023605,0.065273210406303406,-0.05632781982421875,-0.062315959483385086
60,0.0095204897224903107,0.0098106153309345245,0.0090066539123654366,0.0089404378086328506,0.0097600650042295456,0.0095945438370108604,294.469970703125,292.5374755859375,296.78866577148438,297.1915283203125,292.81341552734375,293.54849243164062,-9.5773420333862305,-3.2448537349700928,-10.509801864624023,-10.266192436218262,-3.7999374866485596,-6.690185546875,1.4444316625595093,-0.021998725831508636,4.9098272323608398,5.3441214561462402,-0.078502722084522247,0.62745785713195801,0.031692754477262497,0.092520534992218018,0.061189152300357819,0.059760104864835739,0.14176158607006073,-0.0077234329655766487
70,0.0094460723921656609,0.0098421284928917885,0.0089847743511199951,0.0089194271713495255,0.009806215763092041,0.0096108689904212952,294.63613891601562,292.27056884765625,296.81146240234375,297.21920776367188,292.61785888671875,293.56875610351562,-9.6614627838134766,-3.0692868232727051,-10.442225456237793,-10.201094627380371,-3.5162308216094971,-6.260866641998291,1.6112056970596313,-0.042472608387470245,4.9903697967529297,5.428168773651123,0.17291264235973358,0.15475532412528992,-0.17391568422317505,0.094086974859237671,-0.024203483015298843,-0.01855764165520668,0.098747700452804565,0.017815666273236275
80,0.0095260366797447205,0.0098452689126133919,0.0089891478419303894,0.0089316926896572113,0.0097795929759740829,0.0096074109897017479,294.50296020507812,292.27105712890625,296.80606079101562,297.20571899414062,292.63064575195312,293.61538696289062,-9.8232936859130859,-2.9184980392456055,-10.629785537719727,-10.26497745513916,-3.4996459484100342,-6.3831419944763184,1.3320106267929077,0.058241803199052811,4.9629006385803223,5.3567090034484863,0.064113400876522064,0.51394438743591309,-0.053813118487596512,-0.010159439407289028,-0.012351738288998604,-0.0042803911492228508,-0.077512368559837341,0.083592996001243591
90,0.0095064472407102585,0.0098390234634280205,0.0089979609474539757,0.0089361686259508133,0.0097503466531634331,0.0096043180674314499,294.682861328125,292.27169799804688,296.90786743164062,297.072021484375,292.67340087890625,293.53704833984375,-9.574620246887207,-3.0000975131988525,-10.448403358459473,-10.242112159729004,-3.7828118801116943,-6.7556428909301758,1.4548344612121582,-0.083772994577884674,5.0587401390075684,5.4735684394836426,-0.090785495936870575,0.43710315227508545,-0.020391559228301048,-0.099866650998592377,-0.042498983442783356,-0.026236213743686676,-0.065487362444400787,0.039134308695793152
