time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s,source_times_s
14400,5.2083334922790527,buoyancy_mean,-0.00024147705941383416,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,15.625,buoyancy_mean,-0.00022522275685332716,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,26.041666030883789,buoyancy_mean,-0.000226469652261585,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,36.458332061767578,buoyancy_mean,-0.00018970327558539188,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,46.875,buoyancy_mean,-0.00015811568300705403,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,57.291667938232422,buoyancy_mean,-0.00016780342169416448,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,67.708335876464844,buoyancy_mean,-0.00015605637599946931,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,78.125,buoyancy_mean,-0.00015522522638396671,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,88.541664123535156,buoyancy_mean,-0.00013106808425315344,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,98.958335876464844,buoyancy_mean,-0.00014935895645370087,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,109.375,buoyancy_mean,-0.00014542342008401951,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,119.79166412353516,buoyancy_mean,-0.00014596262432557219,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,130.20832824707031,buoyancy_mean,-0.00013985866098664701,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,140.625,buoyancy_mean,-0.0001386584117426537,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,151.04167175292969,buoyancy_mean,-0.00011722958273215529,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,161.45832824707031,buoyancy_mean,-0.00013281196152092889,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,171.875,buoyancy_mean,-0.00012881076205909872,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,182.29167175292969,buoyancy_mean,-9.838175416613619e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,192.70832824707031,buoyancy_mean,-0.00014454787500047436,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,203.125,buoyancy_mean,-0.00014854799519525841,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,213.54167175292969,buoyancy_mean,-0.00016310092420705283,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,223.95832824707031,buoyancy_mean,-0.00016718654903039956,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,234.375,buoyancy_mean,-0.00021192495235785222,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,244.79167175292969,buoyancy_mean,-0.00016462839266750962,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,255.20832824707031,buoyancy_mean,-0.0001603004930075258,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,265.625,buoyancy_mean,-0.00015478194351696098,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,276.04165649414062,buoyancy_mean,-0.00014919340173946694,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,286.45834350585938,buoyancy_mean,-0.00016383715167952081,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,296.875,buoyancy_mean,-0.0001290827882864202,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,307.29165649414062,buoyancy_mean,-0.00012073918818108116,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,317.70834350585938,buoyancy_mean,-0.00010937294913067792,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,328.125,buoyancy_mean,-9.7678963356884196e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,338.54165649414062,buoyancy_mean,-8.8801036326913163e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,348.95834350585938,buoyancy_mean,-7.6931206422159448e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,359.375,buoyancy_mean,-6.6052935532449439e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,369.79165649414062,buoyancy_mean,-5.4755722279272355e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,380.20834350585938,buoyancy_mean,-4.3146770622115582e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,390.625,buoyancy_mean,-2.8436769146840863e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,401.04165649414062,buoyancy_mean,-1.230497429105526e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,411.45834350585938,buoyancy_mean,1.1352123768422947e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,421.875,buoyancy_mean,4.6426691672725916e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,432.29165649414062,buoyancy_mean,0.00011652493534105209,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,442.70834350585938,buoyancy_mean,0.00026662405677294981,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,453.125,buoyancy_mean,0.00070726563960003353,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,463.54165649414062,buoyancy_mean,0.0035166094700495401,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,473.95834350585938,buoyancy_mean,0.024846979416906834,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,484.375,buoyancy_mean,0.066950950771570206,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,494.79165649414062,buoyancy_mean,0.11051961779594421,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,505.20834350585938,buoyancy_mean,0.15318442384401956,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,515.625,buoyancy_mean,0.1954816629489263,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,526.04168701171875,buoyancy_mean,0.23660857975482941,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,536.45831298828125,buoyancy_mean,0.25477090974648792,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,546.875,buoyancy_mean,0.25629323720932007,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,557.29168701171875,buoyancy_mean,0.25729402403036755,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,567.70831298828125,buoyancy_mean,0.25828026731808978,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,578.125,buoyancy_mean,0.2592330127954483,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,588.54168701171875,buoyancy_mean,0.26020267109076184,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,598.95831298828125,buoyancy_mean,0.26117022832234699,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,609.375,buoyancy_mean,0.26213936507701874,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,619.79168701171875,buoyancy_mean,0.26310668389002484,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
