time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,prescribed_friction_velocity,prescribed_kinematic_stress_magnitude,prescribed_surface_heat_flux,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_sensible_heat_flux,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,10.416667605439878,1,0.5,203.125,15.000091552734375,-1.3622751566799707e-06,1,0,0,0.5,0.25,0,0.0015590495895594358,15.00584602355957,9.8958342251678832,0,1.1614301204681396,-0.29035753011703491,-0.25,-4.2995802118639403e-07,-3.7019705700913619e-07,0,0,0,309.39288330078125,299.95001220703125,15.00584602355957,0.0057227499783039093,0.003532337723299861,1.2799067690139054e-06
60,10.41787846584975,1,0.49999997019767761,203.125,15.000091552734375,-1.3825263067701599e-06,1,0,0,0.5,0.25,0,0.024243069812655449,15.025119781494141,9.8969845425572611,0,1.1614301204681396,-0.29035747051239014,-0.24999995529651642,-8.9853907411452383e-05,-7.7364886237774044e-05,0,0,0,309.392822265625,299.94869995117188,15.025106430053711,0.021576467901468277,0.042890816926956177,0.00010566521086730063
120,10.427882241348605,1,0.49999988079071045,182.29167175292969,15.000148773193359,3.3661049201327842e-06,1,0,0,0.5,0.25,0,0.090349942445755005,15.139516830444336,9.9064881292811755,0,1.1614301204681396,-0.29035717248916626,-0.24999968707561493,-0.00038490325096063316,-0.00033140456071123481,0,0,0,309.392822265625,299.95223999023438,15.139488220214844,0.058282278478145599,0.071476757526397705,0.0003470019728410989
180,10.444442151843081,1,0.49999958276748657,182.29167175292969,15.000259399414062,1.775921305124939e-06,1,0,0,0.5,0.25,0,0.24719318747520447,15.322098731994629,9.9222200442509259,0,1.1614301204681396,-0.29035556316375732,-0.2499983012676239,-0.00093732867389917374,-0.00080704700667411089,0,0,0,309.392822265625,299.95077514648438,15.322068214416504,0.10166570544242859,0.10170695185661316,0.00067473086528480053
240,10.462009317300947,1,0.49999850988388062,182.29167175292969,15.000340461730957,-5.7049110324669527e-08,1,0,0,0.5,0.25,0,0.55165338516235352,15.463266372680664,9.9389088514358992,0,1.1614301204681396,-0.29035010933876038,-0.24999360740184784,-0.0018206840613856912,-0.0015676225302740932,0,0,0,309.392822265625,299.95404052734375,15.463230133056641,0.19151818752288818,0.1291748583316803,0.0010684882290661335
300,10.483492761347028,1,0.49998977780342102,182.29167175292969,15.000396728515625,-4.4994280301580147e-07,1,0,0,0.5,0.25,0,1.0255924463272095,15.589377403259277,9.9593181232796759,0,1.1614301204681396,-0.29032862186431885,-0.24997511506080627,-0.003146378556266427,-0.0027090553194284439,0,0,0,309.392822265625,299.95654296875,15.589374542236328,0.41911828517913818,0.14896601438522339,0.0015067501226440072
360,10.623127605174068,1,0.49990153312683105,182.29167175292969,15.000431060791016,3.3463563795521623e-06,1,0,0,0.5,0.25,0,1.9126553535461426,15.897673606872559,10.091971224915364,0,1.1614301204681396,-0.2901986837387085,-0.24986323714256287,-0.0050819525495171547,-0.0043755988590419292,0,0,0,309.392822265625,299.95486450195312,15.897209167480469,0.97208905220031738,0.21806994080543518,0.0019900398328900337
420,19.040913373299983,1,0.49932184815406799,567.70831298828125,15.000449180603027,-5.5891899819471291e-07,1,0,0,0.5,0.25,0,7.3456077575683594,16.733461380004883,18.088867704634982,0,1.1614301204681396,-0.28946501016616821,-0.24923153221607208,-0.0078132068738341331,-0.0067272293381392956,0,0,0,309.392822265625,299.95425415039062,16.733255386352539,2.0659723281860352,0.60147279500961304,0.011046222411096096
480,32.095214504841621,1,0.4886094331741333,567.70831298828125,15.000505447387695,-7.4889987899950938e-07,1,0,0,0.5,0.25,0,37.970333099365234,18.6400146484375,30.490453779599541,0,1.1614301204681396,-0.27710285782814026,-0.2385876327753067,-0.009878138080239296,-0.0085051506757736206,0,0,0,309.392822265625,299.95474243164062,18.636533737182617,4.644585132598877,1.9476239681243896,0.11156940460205078
540,62.484884063822172,1,0.47979316115379333,567.70831298828125,15.00053596496582,-9.5043463943511597e-07,1,0,0,0.5,0.25,0,103.02960968017578,18.573604583740234,59.360639860631061,0,1.1614301204681396,-0.26727747917175293,-0.23012790083885193,-0.0067586102522909641,-0.005819214042276144,0,0,0,309.392822265625,299.95663452148438,18.571525573730469,6.1910233497619629,3.0532405376434326,0.35459771752357483
600,86.776108385020663,1,0.49619424343109131,567.70831298828125,15.000566482543945,-1.1570859896892216e-06,1,0,0,0.5,0.25,0,101.75682830810547,17.462318420410156,82.437302965769632,0,1.1614301204681396,-0.28592753410339355,-0.24618573486804962,-0.0039074141532182693,-0.0033643126953393221,0,0,0,309.39285278320312,299.96078491210938,17.446929931640625,5.0152864456176758,2.8509368896484375,0.32873794436454773
660,105.91034464963238,1,0.49832531809806824,567.70831298828125,15.000583648681641,-1.3734367030338035e-06,1,0,0,0.5,0.25,0,85.988533020019531,16.483728408813477,100.61482741715075,0,1.1614301204681396,-0.28838646411895752,-0.2483028918504715,-0.0041119586676359177,-0.003540427191182971,0,0,0,309.392822265625,299.960693359375,16.479385375976562,3.2618117332458496,2.4444732666015625,0.22297853231430054
720,124.79307474616022,1,0.4988434910774231,567.70831298828125,15.00059700012207,-1.5951379737089155e-06,1,0,0,0.5,0.25,0,82.069969177246094,16.803121566772461,118.5534210088522,0,1.1614301204681396,-0.28900215029716492,-0.24883300065994263,-0.0028161606751382351,-0.0024247353430837393,0,0,0,309.392822265625,299.96051025390625,16.794218063354492,3.6062860488891602,2.5140385627746582,0.20346024632453918
780,147.06091906750936,1,0.49897068738937378,567.70831298828125,15.00062084197998,-1.8256891962664668e-06,1,0,0,0.5,0.25,0,79.1409912109375,16.33941650390625,139.70787311413389,0,1.1614301204681396,-0.28914296627044678,-0.24895425140857697,-0.0034276240039616823,-0.0029512098990380764,0,0,0,309.392822265625,299.96322631835938,16.339147567749023,3.0580720901489258,2.1669249534606934,0.17747320234775543
840,161.12804141256751,1,0.49900317192077637,567.70831298828125,15.000627517700195,-2.0574937025230611e-06,1,0,0,0.5,0.25,0,79.105873107910156,16.732723236083984,153.07163934193912,0,1.1614301204681396,-0.28916597366333008,-0.24897405505180359,-0.0044975681230425835,-0.003872439730912447,0,0,0,309.392822265625,299.96395874023438,16.728540420532227,3.2796568870544434,2.0704469680786133,0.18099290132522583
