time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s,source_times_s
18000,5.2083334922790527,buoyancy_mean,-0.00023718471008275324,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,15.625,buoyancy_mean,-0.00021316807639474669,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,26.041666030883789,buoyancy_mean,-0.00021579554838050777,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,36.458332061767578,buoyancy_mean,-0.00018374742163966099,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,46.875,buoyancy_mean,-0.00015528904623351991,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,57.291667938232422,buoyancy_mean,-0.00015951080786180682,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,67.708335876464844,buoyancy_mean,-0.00014656149141956121,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,78.125,buoyancy_mean,-0.00014277795222975934,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,88.541664123535156,buoyancy_mean,-0.00012025633380593111,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,98.958335876464844,buoyancy_mean,-0.00013148023208486848,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,109.375,buoyancy_mean,-0.0001254384454417353,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,119.79166412353516,buoyancy_mean,-0.00012288741587932842,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,130.20832824707031,buoyancy_mean,-0.00011503158505850782,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,140.625,buoyancy_mean,-0.00011093641478510108,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,151.04167175292969,buoyancy_mean,-9.0643513127967409e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,161.45832824707031,buoyancy_mean,-9.9668787697737571e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,171.875,buoyancy_mean,-9.2920719604686994e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,182.29167175292969,buoyancy_mean,-6.4714822049912371e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,192.70832824707031,buoyancy_mean,-9.8539418710667334e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,203.125,buoyancy_mean,-9.7752975761977723e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,213.54167175292969,buoyancy_mean,-0.00010576632712400169,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,223.95832824707031,buoyancy_mean,-0.00010433051556901773,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,234.375,buoyancy_mean,-0.00013439660445631793,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,244.79167175292969,buoyancy_mean,-9.236904581181686e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,255.20832824707031,buoyancy_mean,-8.3413647492610224e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,265.625,buoyancy_mean,-7.063132155356773e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,276.04165649414062,buoyancy_mean,-5.8209043648579005e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,286.45834350585938,buoyancy_mean,-5.8139007402739175e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,296.875,buoyancy_mean,-2.1478985521146871e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,307.29165649414062,buoyancy_mean,-9.8058808362111449e-07,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,317.70834350585938,buoyancy_mean,2.6337156668887474e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,328.125,buoyancy_mean,5.7809084940648368e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,338.54165649414062,buoyancy_mean,9.4984980023582466e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,348.95834350585938,buoyancy_mean,0.00014397191747169322,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,359.375,buoyancy_mean,0.00020452572183179049,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,369.79165649414062,buoyancy_mean,0.00028125337045518489,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,380.20834350585938,buoyancy_mean,0.00037830414385098265,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
18000,390.625,buoyancy_mean,0.00050915611730791477,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,14400,18000,15000.0;15600.0;16200.0;16800.0;17400.0;18000.0
