time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,prescribed_friction_velocity,prescribed_kinematic_stress_magnitude,prescribed_surface_heat_flux,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_resolved_flux,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_resolved_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_sensible_heat_flux,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,10.416937696029869,1,0.5,203.125,15.000091552734375,-1.3622751566799707e-06,1,0,0,0.5,0.25,0,0.0015590495895594358,15.00584602355957,9.8960908112283761,0,1.1614301204681396,-0.29035753011703491,-0.25,-4.2995802118639403e-07,-3.7019705700913619e-07,15.000030517578125,-7.381054878408122e-09,-7.381054878408122e-09,1.8737204300123267e-05,2.7680084890846501e-09,2.7680084890846501e-09,3.1347249795921073e-10,1,1,0,0,0,2.0833334922790527,0,0,0,1,0,0,0,0,0,0,0,1,0,348.1337890625,3.9788170624888153e-07,3.9788170624888153e-07,0,15.000026702880859,-1.4914096624352169e-08,-1.4914096624352169e-08,5.2590185077860951e-06,-1.0908535408304942e-08,-1.0908535408304942e-08,2.0312048917836556e-11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,347.83865356445312,2.8788215900021896e-07,2.8788215900021896e-07,0,0.5,0,0,-0.25,-3.701969717440079e-07,0,0,0,309.39288330078125,299.95001220703125,15.00584602355957,0.0057227499783039093,0.003532337723299861,1.2799067690139054e-06
60,20.711640581083653,1,0.5,203.125,15.00008487701416,-1.3819420701111085e-06,1,0,0,0.5,0.25,0,0.023917051032185555,15.018303871154785,19.67605855202947,0,1.1614301204681396,-0.29035753011703491,-0.25,-5.4781132348580286e-05,-4.7166962758637965e-05,14.93169116973877,8.2197303186148929e-08,-6.4992570969479857e-07,0.00015628087567165494,2.0455597216084698e-09,1.3604437576475448e-09,7.5036341584677757e-09,1,0.99999701976776123,-7.3201397299271775e-07,-6.8510846995550878e-10,6.7778871404300389e-10,2.0833272933959961,0,0,0,1,0,0,0,0,0,0,0,0.99999606609344482,0,348.13372802734375,2.8585911877598846e-06,6.7797695919580292e-06,3.9208030102599878e-06,14.983551025390625,3.3965786627732086e-08,-8.4755043872064562e-07,5.0694990932242945e-05,-5.4330016041603812e-09,-2.4131388443038304e-08,4.8393200557939053e-09,0,0.9999997615814209,-8.8146265397881507e-07,-1.8698379733450565e-08,4.6691397415088431e-09,0,0,0,0,1,0,0,0,0,0,0,0,0.99999195337295532,0,347.83853149414062,2.0130019038333558e-06,1.0002508133766241e-05,7.9881119745550677e-06,0.5,0,0,-0.25,-3.6174558317725314e-06,0,0,0,309.392822265625,299.947998046875,15.018301010131836,0.018971167504787445,0.042898908257484436,0.00010568193829385564
120,20.853199690851667,1,0.49999991059303284,182.29167175292969,15.000130653381348,3.4107945339201251e-06,1,0,0,0.5,0.25,0,0.08207230269908905,15.030118942260742,19.810539706309083,0,1.1614301204681396,-0.29035738110542297,-0.24999986588954926,-0.00019529723795130849,-0.00016815238632261753,14.745023727416992,-6.6675255538939382e-08,-1.4209644177753944e-05,0.0010430691763758659,7.5317846404132638e-10,8.8605730752533418e-08,2.5216650101356208e-08,1,0.99994343519210815,-1.4142838153929915e-05,8.7852555452627712e-08,-8.9175628659177164e-08,2.0832154750823975,0,0,0,1,0,0,0,0,0,0,0,0.99998980760574341,0,348.13363647460938,9.2550953922909684e-06,1.9396913558011875e-05,1.0140672202396672e-05,14.913872718811035,-2.1465530153363943e-07,-2.1775233108201064e-05,0.00044723373139277101,-7.4217748613492063e-10,1.3698866041522706e-07,3.1687097390431518e-08,0,0.99999457597732544,-2.1560515961027704e-05,1.3773085072443791e-07,-3.492748135158763e-08,0,0,0,0,1,0,0,0,0,0,0,0,0.99997794628143311,0,347.83831787109375,1.1901681318704505e-05,3.402317815925926e-05,2.211938044638373e-05,0.5,0,0,-0.25,-2.1939113139524125e-05,0,0,0,309.392822265625,299.95217895507812,15.030115127563477,0.043954968452453613,0.071722239255905151,0.00034718986717052758
180,20.929065034612606,1,0.49999979138374329,182.29167175292969,15.000247955322266,1.9290509953862056e-06,1,0,0,0.5,0.25,0,0.20314414799213409,15.038824081420898,19.882611782881973,0,1.1614301204681396,-0.29035699367523193,-0.24999953806400299,-0.00043064361670985818,-0.00037078736932016909,14.463653564453125,-2.0283123376430012e-06,-6.5708998590707779e-05,0.0032382397912442684,5.6660551805975956e-09,4.9457281647846685e-07,2.4703593837216431e-08,1,0.99974524974822998,-6.3680650782771409e-05,4.889066644864215e-07,-5.0597788003869937e-07,2.0828027725219727,0,0,0,1,0,0,0,0,0,0,0,0.99998366832733154,0,348.13345336914062,9.3690277935820632e-06,2.5741755962371826e-05,1.6373329344787635e-05,14.791741371154785,-4.0952613744593691e-06,-0.00011826245463453233,0.0015335665084421635,2.0976379744297446e-08,1.2934663118358003e-06,1.3486795680250907e-08,0,0.99997150897979736,-0.00011416697816457599,1.2724898397209472e-06,-3.2583000120212091e-07,0,0,0,0,1,0,0,0,0,0,0,0,0.99996590614318848,0,347.83792114257812,6.0987658798694611e-06,4.0176015318138525e-05,3.4075572330038995e-05,0.5,0,0,-0.25,-6.6561355197336525e-05,0,0,0,309.392822265625,299.95269775390625,15.038819313049316,0.085750222206115723,0.10124512016773224,0.00067436165409162641
240,21.003575559344004,1,0.4999995231628418,182.29167175292969,15.000335693359375,3.3117436259999522e-07,1,0,0,0.5,0.25,0,0.45352292060852051,15.046684265136719,19.953396781376803,0,1.1614301204681396,-0.29035595059394836,-0.24999864399433136,-0.00076996319694444537,-0.00066294404678046703,14.107452392578125,-6.9267925937310793e-06,-0.00016025161312427372,0.0071245040744543076,-1.4424538230528583e-09,1.0155722520721611e-06,3.6046508000708855e-08,1,0.99938666820526123,-0.00015332481416407973,1.0170147106691729e-06,-1.1105902331109974e-06,2.0820553302764893,0,0,0,1,0,0,0,0,0,0,0,0.99997943639755249,0,348.13323974609375,1.4259531781135593e-05,3.4887136280303821e-05,2.0627650883398019e-05,14.62482738494873,-1.5814652215340175e-05,-0.00032147421734407544,0.0035545607097446918,4.9216513531291639e-08,3.0630044420831837e-06,-6.3408556627564394e-08,0,0.9999234676361084,-0.00030565945780836046,3.0137885005387943e-06,-7.9942697084334213e-07,0,0,0,0,1,0,0,0,0,0,0,0,0.99996060132980347,0,347.83740234375,-1.8011262000072747e-05,2.1457257389556617e-05,3.9468639442929998e-05,0.49999988079071045,0,0,-0.24999989569187164,-0.00014829606516286731,0,0,0,309.392822265625,299.9541015625,15.046669006347656,0.12888441979885101,0.12978090345859528,0.0010640276595950127
300,21.077811090982841,1,0.49999862909317017,182.29167175292969,15.00040340423584,2.6508865857977071e-07,1,0,0,0.5,0.25,0,0.87033098936080933,15.06329345703125,20.0239205364337,0,1.1614301204681396,-0.29035338759422302,-0.24999643862247467,-0.0012204290833324194,-0.0010507985716685653,13.692591667175293,-1.7044338164851069e-05,-0.00029297906439751387,0.012939389795064926,2.7008644210013699e-09,1.5668915693822782e-06,4.9726722295417858e-08,1,0.99889630079269409,-0.0002759347262326628,1.5641905974916881e-06,-1.8733031765805208e-06,2.0810327529907227,0,0,0,1,0,0,0,0,0,0,0,0.99997645616531372,0,348.13302612304688,1.9022470951313153e-05,4.2493764340179041e-05,2.3468342988053337e-05,14.42015266418457,-3.8780406612204388e-05,-0.0006144679500721395,0.0066978419199585915,9.1516206168762437e-08,4.8770416469778866e-06,-4.2626197682693601e-08,0,0.99985611438751221,-0.00057568738702684641,4.7855251068540383e-06,-1.3568974281952251e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99995815753936768,0,347.8367919921875,-1.0518564522499219e-05,3.1314168154494837e-05,4.1834300645859912e-05,0.49999967217445374,0,0,-0.24999949336051941,-0.00027725347899831831,0,0,0,309.392822265625,299.95639038085938,15.063213348388672,0.22086057066917419,0.1524302065372467,0.0015032580122351646
360,21.211970209648982,1,0.49999544024467468,182.29167175292969,15.00041675567627,4.6114982978906482e-06,1,0,0,0.5,0.25,0,1.4704809188842773,15.113650321960449,20.151371699166532,0,1.1614301204681396,-0.29034674167633057,-0.24999071657657623,-0.0017845212714746594,-0.0015364860882982612,13.233322143554688,-3.2577270758338273e-05,-0.00048914196668192744,0.020781246945261955,7.0566934518012658e-09,3.7722102206316777e-06,3.4378494717657304e-08,1,0.99817383289337158,-0.00045656485599465668,3.765153678614297e-06,-4.6131931412674021e-06,2.079524040222168,0,0,0,1,0,0,0,0,0,0,0,0.99997544288635254,0,348.13278198242188,1.3735766515310388e-05,3.8275080441962928e-05,2.4542865503462963e-05,14.183469772338867,-7.2299328166991472e-05,-0.0010282420553267002,0.011112794280052185,1.0078214529585239e-07,8.4989060269435868e-06,-3.0786193150333929e-08,0,0.99976104497909546,-0.00095594272715970874,8.3981249190401286e-06,-2.5430110781599069e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99995923042297363,0,347.83609008789062,-5.9933713600912597e-06,3.4753233194351196e-05,4.0756000089459121e-05,0.49999889731407166,0,0,-0.24999846518039703,-0.00046256769564934075,0,0,0,309.392822265625,299.95657348632812,15.113626480102539,0.42691531777381897,0.29047572612762451,0.0019780450966209173
420,21.592493458882547,1,0.49998307228088379,567.70831298828125,15.00047492980957,-5.8665233382271254e-07,1,0,0,0.5,0.25,0,2.561767578125,15.184906959533691,20.512868785938419,0,1.1614301204681396,-0.29032766819000244,-0.24997429549694061,-0.0024362392723560333,-0.0020976201631128788,12.745723724365234,-4.8903024435276166e-05,-0.00088650255929678679,0.03053009882569313,3.4672464011009652e-08,1.7878646758617833e-05,8.4821500934140204e-09,1,0.99664974212646484,-0.0008375996258109808,1.7843973182607442e-05,-2.0224346371833235e-05,2.0763404369354248,0,0,0,1,0,0,0,0,0,0,0,0.99997437000274658,0,348.13250732421875,4.549821369437268e-06,3.0153742045513354e-05,2.5607942006899975e-05,13.918501853942871,-0.00010220051626674831,-0.0018345341086387634,0.016947243362665176,6.3937555694337789e-08,2.9875613108742982e-05,-2.4156179279088974e-08,0,0.99956703186035156,-0.0017323330976068974,2.9811681088176556e-05,-8.6833597379154526e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.9999619722366333,0,347.83538818359375,-3.9798519537725952e-06,3.4069849789375439e-05,3.8056739867897704e-05,0.49999681115150452,0,0,-0.24999576807022095,-0.00071018963353708386,0,0,0,309.392822265625,299.95492553710938,15.184889793395996,0.70575284957885742,0.43130326271057129,0.0049982462078332901
480,37.106907774063245,1,0.49994054436683655,567.70831298828125,15.000516891479492,-7.8376723422479699e-07,1,0,0,0.5,0.25,0,5.6229448318481445,15.339014053344727,35.251562385360081,0,1.1614301204681396,-0.2902718186378479,-0.24992619454860687,-0.0031122670043259859,-0.0026796851307153702,12.252378463745117,-6.1919265135657042e-05,-0.0019498723559081554,0.041780121624469757,7.4525132731650956e-08,5.8437970437807962e-05,2.4317058588962936e-08,1,0.99244880676269531,-0.0018879526760429144,5.8363439165987074e-05,-6.6037384385708719e-05,2.067561149597168,0,0,0,1,0,0,0,0,0,0,0,0.99997138977050781,0,348.1322021484375,9.4311935754376464e-06,3.8048459828132764e-05,2.8621878300327808e-05,13.626428604125977,-0.00013190839672461152,-0.004272019024938345,0.024371979758143425,3.5394162978263921e-07,7.2905721026472747e-05,-3.0943837714403344e-08,0,0.99896514415740967,-0.0041401106864213943,7.2551782068330795e-05,-2.2337191694532521e-05,0,0,0,0,1,0,0,0,0,0,0,0,0.99995952844619751,0,347.83468627929688,-7.8943039625301026e-06,3.2534200727241114e-05,4.0434308175463229e-05,0.49999013543128967,0,0,-0.24998801946640015,-0.0010177474468946457,0,0,0,309.392822265625,299.95382690429688,15.338352203369141,1.027700662612915,0.81380724906921387,0.016634821891784668
540,49.886924188741865,1,0.49981734156608582,567.70831298828125,15.000568389892578,-1.000086854219262e-06,1,0,0,0.5,0.25,0,14.733040809631348,15.631001472473145,47.392577979304768,0,1.1614301204681396,-0.29012224078178406,-0.24979741871356964,-0.0036671976558864117,-0.0031574845779687166,11.786965370178223,-0.00011346016981406137,-0.0051517616957426071,0.053660538047552109,-8.7100681867013918e-07,0.00017151006613858044,1.8303076387837791e-08,1,0.97984778881072998,-0.0050383014604449272,0.00017238108557648957,-0.00019969523418694735,2.0412266254425049,0,0,0,1,0,0,0,0,0,0,0,0.99996250867843628,0,348.13177490234375,6.6922771111421753e-06,4.4271764636505395e-05,3.7600384530378506e-05,13.309843063354492,-0.00026012171292677522,-0.012698744423687458,0.033530991524457932,-3.758576667678426e-07,0.00025325664319097996,-2.0049306215241813e-08,0,0.99689114093780518,-0.012438624165952206,0.00025363251916132867,-8.026056457310915e-05,0,0,0,0,1,0,0,0,0,0,0,0,0.99994635581970215,0,347.83404541015625,-5.200505256652832e-06,4.8321981012122706e-05,5.3532206948148087e-05,0.4999699592590332,0,0,-0.2499660849571228,-0.0013654959620907903,0,0,0,309.392822265625,299.95510864257812,15.630131721496582,1.7364344596862793,1.2186310291290283,0.059756260365247726
