case,window,z_m,variable,value,location,units
factor1,penultimate_hour,6.25,buoyancy_mean,0.00253489549504593,Center,m s^-2
factor1,penultimate_hour,18.75,buoyancy_mean,0.006198992254212499,Center,m s^-2
factor1,penultimate_hour,31.25,buoyancy_mean,0.010252255480736494,Center,m s^-2
factor1,penultimate_hour,43.75,buoyancy_mean,0.013043264392763376,Center,m s^-2
factor1,penultimate_hour,56.25,buoyancy_mean,0.015762850642204285,Center,m s^-2
factor1,penultimate_hour,68.75,buoyancy_mean,0.018451261334121227,Center,m s^-2
factor1,penultimate_hour,81.25,buoyancy_mean,0.02089030761271715,Center,m s^-2
factor1,penultimate_hour,93.75,buoyancy_mean,0.023245339281857014,Center,m s^-2
factor1,penultimate_hour,106.25,buoyancy_mean,0.025654610246419907,Center,m s^-2
factor1,penultimate_hour,118.75,buoyancy_mean,0.028194897808134556,Center,m s^-2
factor1,penultimate_hour,131.25,buoyancy_mean,0.03094656951725483,Center,m s^-2
factor1,penultimate_hour,143.75,buoyancy_mean,0.034005844965577126,Center,m s^-2
factor1,penultimate_hour,156.25,buoyancy_mean,0.037620946764945984,Center,m s^-2
factor1,penultimate_hour,168.75,buoyancy_mean,0.04182475432753563,Center,m s^-2
factor1,penultimate_hour,181.25,buoyancy_mean,0.04731341637670994,Center,m s^-2
factor1,penultimate_hour,193.75,buoyancy_mean,0.05470058508217335,Center,m s^-2
factor1,penultimate_hour,206.25,buoyancy_mean,0.06488575786352158,Center,m s^-2
factor1,penultimate_hour,218.75,buoyancy_mean,0.07813624292612076,Center,m s^-2
factor1,penultimate_hour,231.25,buoyancy_mean,0.09162061288952827,Center,m s^-2
factor1,penultimate_hour,243.75,buoyancy_mean,0.10246587172150612,Center,m s^-2
factor1,penultimate_hour,256.25,buoyancy_mean,0.10993951559066772,Center,m s^-2
factor1,penultimate_hour,268.75,buoyancy_mean,0.11481224372982979,Center,m s^-2
factor1,penultimate_hour,281.25,buoyancy_mean,0.11850398406386375,Center,m s^-2
factor1,penultimate_hour,293.75,buoyancy_mean,0.12243946269154549,Center,m s^-2
factor1,penultimate_hour,306.25,buoyancy_mean,0.12711702287197113,Center,m s^-2
factor1,penultimate_hour,318.75,buoyancy_mean,0.13210894167423248,Center,m s^-2
factor1,penultimate_hour,331.25,buoyancy_mean,0.13695907592773438,Center,m s^-2
factor1,penultimate_hour,343.75,buoyancy_mean,0.14172858744859695,Center,m s^-2
factor1,penultimate_hour,356.25,buoyancy_mean,0.14654943346977234,Center,m s^-2
factor1,penultimate_hour,368.75,buoyancy_mean,0.1508447751402855,Center,m s^-2
factor1,penultimate_hour,381.25,buoyancy_mean,0.15360847860574722,Center,m s^-2
factor1,penultimate_hour,393.75,buoyancy_mean,0.15539930760860443,Center,m s^-2
factor1,penultimate_hour,0.0,density_at_w_faces,1.322311282157898,Face,kg m^-3
factor1,penultimate_hour,12.5,density_at_w_faces,1.3207802772521973,Face,kg m^-3
factor1,penultimate_hour,25.0,density_at_w_faces,1.3192499876022339,Face,kg m^-3
factor1,penultimate_hour,37.5,density_at_w_faces,1.317720651626587,Face,kg m^-3
factor1,penultimate_hour,50.0,density_at_w_faces,1.316192626953125,Face,kg m^-3
factor1,penultimate_hour,62.5,density_at_w_faces,1.3146657943725586,Face,kg m^-3
factor1,penultimate_hour,75.0,density_at_w_faces,1.313139796257019,Face,kg m^-3
factor1,penultimate_hour,87.5,density_at_w_faces,1.3116148710250854,Face,kg m^-3
factor1,penultimate_hour,100.0,density_at_w_faces,1.3100910186767578,Face,kg m^-3
factor1,penultimate_hour,112.5,density_at_w_faces,1.3085682392120361,Face,kg m^-3
factor1,penultimate_hour,125.0,density_at_w_faces,1.30704665184021,Face,kg m^-3
factor1,penultimate_hour,137.5,density_at_w_faces,1.3055260181427002,Face,kg m^-3
factor1,penultimate_hour,150.0,density_at_w_faces,1.3040063381195068,Face,kg m^-3
factor1,penultimate_hour,162.5,density_at_w_faces,1.302487850189209,Face,kg m^-3
factor1,penultimate_hour,175.0,density_at_w_faces,1.3009703159332275,Face,kg m^-3
factor1,penultimate_hour,187.5,density_at_w_faces,1.2994539737701416,Face,kg m^-3
factor1,penultimate_hour,200.0,density_at_w_faces,1.297938585281372,Face,kg m^-3
factor1,penultimate_hour,212.5,density_at_w_faces,1.2964246273040771,Face,kg m^-3
factor1,penultimate_hour,225.0,density_at_w_faces,1.2949113845825195,Face,kg m^-3
factor1,penultimate_hour,237.5,density_at_w_faces,1.2933990955352783,Face,kg m^-3
factor1,penultimate_hour,250.0,density_at_w_faces,1.2918879985809326,Face,kg m^-3
factor1,penultimate_hour,262.5,density_at_w_faces,1.2903778553009033,Face,kg m^-3
factor1,penultimate_hour,275.0,density_at_w_faces,1.288869023323059,Face,kg m^-3
factor1,penultimate_hour,287.5,density_at_w_faces,1.2873611450195312,Face,kg m^-3
factor1,penultimate_hour,300.0,density_at_w_faces,1.2858543395996094,Face,kg m^-3
factor1,penultimate_hour,312.5,density_at_w_faces,1.284348487854004,Face,kg m^-3
factor1,penultimate_hour,325.0,density_at_w_faces,1.282843828201294,Face,kg m^-3
factor1,penultimate_hour,337.5,density_at_w_faces,1.2813401222229004,Face,kg m^-3
factor1,penultimate_hour,350.0,density_at_w_faces,1.2798376083374023,Face,kg m^-3
