time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_resolved_flux,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_resolved_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.5,1,0.77147060632705688,6.25,8,0,1,173309.359375,1,5.0487097934144756e-27,8,11.875,0.00018174079013988376,8.6545405793003738e-06,-6.6233260440640152e-06,1.3223112821578979,-0.78699588775634766,-0.59516686201095581,0,0,8,2.2182240400070441e-07,2.2182240400070441e-07,0,0,0,2.7727800500088051e-08,1,1,0,0,0,3.8573527336120605,0,0,0,1,0,0,0,0,0,1,0,1,3.8573527336120605,350.00762939453125,9.7049414762295783e-06,9.7049414762295783e-06,0,8,6.7548819515650393e-07,6.7548819515650393e-07,0,0,0,8.4436024394562992e-08,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,349.600830078125,2.951890928670764e-05,2.951890928670764e-05,0,0.77147054672241211,0,-0.00017790481797419488,-0.59516680240631104,0,0.4462890625,-0.23642179369926453,0,0.00075175828533247113,0.00020818470511585474,265,-0.00023524556308984756,-0.00017790483252611011,267.9375,264.9500732421875,8,0,1.3249705261841882e-06,3.2311742677852644e-27
60,25.051134573360198,1,0.62932044267654419,281.25,8,2.5987390017689904e-10,1,68699.28125,1,0.0056748520582914352,8.0098848342895508,23.798577844692186,0.00014628002827521414,2.1882979126530699e-05,-9.0699177235364914e-06,1.3223112821578979,-0.52369356155395508,-0.39604407548904419,-0.00043568445835262537,-0.00032948705484159291,7.8854398727416992,8.8890374172478914e-08,-3.395536623429507e-06,0.00032080616801977158,4.7629171717744612e-09,3.8044170480588946e-08,2.4047949409577996e-08,1,0.99999386072158813,-3.4844183574023191e-06,3.3281246203387127e-08,-3.3427163259602821e-08,3.7826170921325684,0,0,0,1,0,0,0,0,0,1,0,1.0004904270172119,3.7844944000244141,350.00750732421875,1.0563293471932411e-05,1.9298167899250984e-05,8.7351054389728233e-06,7.9677543640136719,1.9850267563015223e-07,-4.1958846850320697e-06,0.00012088630319340155,1.1425928647668115e-08,1.508604015043602e-07,3.9555743569508195e-08,0,0.99999749660491943,-4.3942918637185358e-06,1.3943449062026048e-07,-7.9768994964979356e-08,0,0,0,0,1,0,0,0,0,0,0,0,0.99998617172241211,0,349.6009521484375,1.6726087778806686e-05,3.0567403882741928e-05,1.384186907671392e-05,0.75652801990509033,0,-0.00017988777835853398,-0.5723346471786499,-2.5329947675345466e-05,0.306640625,-0.32375368475914001,0,0.00060504989232867956,0.00012961207539774477,264.99583333323244,-0.00032214296516031027,-0.0002436211216263473,267.93743896484375,264.95843505859375,8.0098390579223633,0.020734174177050591,0.046437829732894897,0.00025645788991823792
120,25.154447120225434,1,0.55460923910140991,343.75,7.9999980926513672,1.1408547440083794e-09,1,30743.546875,1,0.03666234016418457,8.0195531845092773,23.896724764214163,0.00017484609270468354,4.9169317207997665e-05,-1.3872264389647171e-05,1.3223112821578979,-0.40672987699508667,-0.30759012699127197,-0.0011729237157851458,-0.00088702543871477246,7.6183786392211914,-2.1713931346312165e-06,-3.3168340451084077e-05,0.0021350162569433451,3.1304889347438802e-08,7.5468705063030939e-07,2.0676452550105751e-08,1,0.99994087219238281,-3.0996932764537632e-05,7.2338212930844747e-07,-7.304795417439891e-07,3.6445326805114746,0,0,0,1,0,0,0,0,0,1,0,1.0205729007720947,3.7197561264038086,350.00726318359375,1.1991709470748901e-05,2.6504509150981903e-05,1.4517971067107283e-05,7.8567910194396973,-3.7645804695785046e-06,-5.9627753216773272e-05,0.00099866348318755627,1.0529772254130876e-07,2.5017416191985831e-06,-7.465132512152195e-09,0,0.99997043609619141,-5.5863340094219893e-05,2.3964444153534714e-06,-1.2778089057974285e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99997484683990479,0,349.6009521484375,4.9062073230743408e-06,3.0133873224258423e-05,2.522656177461613e-05,0.72894936800003052,0,-0.00020409075659699738,-0.53136718273162842,-0.00013157131616026163,0.1171875,-0.49517500400543213,0,0.00072324031498283148,0.00021403229038696736,264.99166666646488,-0.000492711435072124,-0.00037261380930431187,267.93695068359375,264.96783447265625,8.0195522308349609,0.051708877086639404,0.085637211799621582,0.00062487588729709387
180,25.210162893640899,1,0.49734818935394287,343.75,7.9999942779541016,5.5922879660386116e-09,1,17416.279296875,1,0.12139313668012619,8.0246067047119141,23.949654748958853,0.00021498202113434672,8.6893705883994699e-05,-1.7659005607129075e-05,1.3223112821578979,-0.32707434892654419,-0.24735049903392792,-0.0020216447301208973,-0.0015288720605894923,7.2694382667541504,-1.1922733392566442e-05,-7.9088436905294657e-05,0.0061462577432394028,7.579873795293679e-08,1.1536135389178526e-06,1.9077560864388943e-08,1,0.99985671043395996,-6.7165776272304356e-05,1.0778147725432063e-06,-1.1186373285454465e-06,3.4807217121124268,0,0,0,1,0,0,0,0,0,1,0,1.0149807929992676,3.5334551334381104,350.00677490234375,1.3211742043495178e-05,2.7220696210861206e-05,1.4007908248458989e-05,7.6926817893981934,-2.4611828848719597e-05,-0.00017696362920105457,0.0030884365551173687,3.42395139796281e-07,3.4181650789832929e-06,-4.7337380237877369e-08,0,0.9999271035194397,-0.00015235209139063954,3.0757696549699176e-06,-1.523637138234335e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99997663497924805,0,349.6007080078125,-4.1499733924865723e-06,1.9200146198272705e-05,2.336089892196469e-05,0.69624245166778564,0,-0.00024473218945786357,-0.48475360870361328,-0.00032902380917221308,0.0126953125,-0.6303439736366272,0,0.00088931585196405649,0.00036047663888894022,264.98749999969732,-0.00062720791902393103,-0.00047432698193006217,267.9365234375,264.97232055664062,8.0245723724365234,0.089559048414230347,0.079306028783321381,0.00099274003878235817
240,25.279652074187947,1,0.45143818855285645,168.75,7.9999923706054688,1.9844625498421919e-08,1,11248.3154296875,1,0.27336254715919495,8.0466709136962891,24.015669470478549,0.00025659482344053686,0.00013459200272336602,-2.04478383238893e-05,1.3223112821578979,-0.26946690678596497,-0.20378477871417999,-0.0028819809667766094,-0.0021795027423650026,6.8814830780029297,-3.4017954021692276e-05,-0.00013358809519559145,0.01261325366795063,1.4146064586384455e-07,2.5127851586148608e-06,1.2681994121521711e-08,1,0.99975705146789551,-9.9570163001772016e-05,2.3713255359325558e-06,-2.4928112907218747e-06,3.3059115409851074,0,0,0,1,0,0,0,0,0,1,0,1.0384507179260254,3.433931827545166,350.00607299804688,1.1963769793510437e-05,2.4063512682914734e-05,1.2113059710827656e-05,7.4987568855285645,-8.1333564594388008e-05,-0.00034071120899170637,0.0065756328403949738,7.8795972058287589e-07,4.5342039811657742e-06,-7.8973243944346905e-08,0,0.99988925457000732,-0.00025937717873603106,3.7462446016434114e-06,-1.7376797813994926e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99997973442077637,0,349.60031127929688,-1.1675059795379639e-05,8.6054205894470215e-06,2.0296989532653242e-05,0.66133785247802734,0,-0.0002937725221272558,-0.43736818432807922,-0.00060881057288497686,0,-0.7298923134803772,0,0.0010615532519295812,0.00055670825531706214,264.98333333292976,-0.00072626100154593587,-0.0005492360214702785,267.93606567382812,264.97628784179688,8.0465984344482422,0.1306367814540863,0.11925368010997772,0.001438987790606916
300,25.424176015497526,1,0.41412293910980225,168.75,7.9999904632568359,2.5929496771937011e-08,1,7832.41259765625,1,0.50619411468505859,8.0552043914794922,24.152967214722647,0.00031847861828282475,0.00019338472338858992,-2.2668997189612128e-05,1.3223112821578979,-0.2267431914806366,-0.17147490382194519,-0.0037066375371068716,-0.0028031505644321442,6.4819326400756836,-6.8127294071018696e-05,-0.00020319706527516246,0.021512197330594063,1.8695868675422389e-07,2.9417988116620108e-06,9.7497832030057907e-09,1,0.99962115287780762,-0.00013506934919860214,2.7548426260182168e-06,-3.0348437576321885e-06,3.1285812854766846,0,0,0,1,0,0,0,0,0,1,0,1.0287351608276367,3.2200324535369873,350.00518798828125,1.119077205657959e-05,2.1237879991531372e-05,1.0051978279079776e-05,7.2906241416931152,-0.00017936201766133308,-0.00056113279424607754,0.01151864230632782,1.1297861419734545e-06,5.6099352150340565e-06,-1.0407529771327972e-07,0,0.99985551834106445,-0.00038176984526216984,4.4801504373026546e-06,-1.9851829620165518e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99998283386230469,0,349.5997314453125,-1.837313175201416e-05,-1.1846423149108887e-06,1.7161339201265946e-05,0.62594276666641235,0,-0.00034592876909300685,-0.39180552959442139,-0.00095340865664184093,0,-0.80917727947235107,0,0.0013177074724808335,0.00079997006105259061,264.9791666661622,-0.00080515153240412474,-0.00060889712767675519,267.93560791015625,264.97967529296875,8.0551319122314453,0.18231624364852905,0.1821734607219696,0.0020531611517071724
360,25.658943267095729,1,0.38467559218406677,168.75,7.9999880790710449,2.2682149491970449e-08,1,5799.34033203125,1,0.93012839555740356,8.1098508834838867,24.375996103740942,0.00036988587817177176,0.00026126531884074211,-2.4538347133784555e-05,1.3223112821578979,-0.1956181526184082,-0.14793653786182404,-0.0044787386432290077,-0.0033870532643049955,6.090446949005127,-0.00010112638119608164,-0.00030157709261402488,0.032674551010131836,1.4972692952142097e-07,6.5501303652126808e-06,7.2759576141834259e-09,1,0.99937140941619873,-0.00020045058045070618,6.4004029809439089e-06,-7.0983983277983498e-06,2.9541454315185547,0,0,0,1,0,0,0,0,0,1,0,1.0071487426757812,2.9774065017700195,350.00408935546875,9.2871487140655518e-06,1.7624348402023315e-05,8.3347094914643094e-06,7.0779581069946289,-0.00028142216615378857,-0.00090146320872008801,0.017908427864313126,1.2522768884082325e-06,-1.5967189028742723e-06,-1.2462260201573372e-07,0,0.99978959560394287,-0.00062004080973565578,-2.8489976102719083e-06,3.4524322245488293e-07,0,0,0,0,1,0,0,0,0,0,0,0,0.99998515844345093,0,349.59902954101562,-2.6345252990722656e-05,-1.1458992958068848e-05,1.4862527677905746e-05,0.59118449687957764,0,-0.00039840763201937079,-0.34950140118598938,-0.0013453231658786535,0,-0.875904381275177,0,0.001530546578578651,0.0010808985680341721,264.97499999939464,-0.00087154662469401956,-0.00065910851117223501,267.93515014648438,264.98199462890625,8.1096553802490234,0.29988786578178406,0.25022640824317932,0.0051551200449466705
420,45.179975093552684,1,0.3633258044719696,168.75,7.9999856948852539,-5.5192783676716317e-09,1,4536.453125,1,1.7935141324996948,8.2062969207763672,42.92097633887505,0.00048103698645718396,0.00033399119274690747,-2.6430921934661455e-05,1.3223112821578979,-0.17447628080844879,-0.13194796442985535,-0.0051586674526333809,-0.0039012504275888205,5.7236404418945312,-0.00011001498205587268,-0.00041748274816200137,0.045546617358922958,-1.4742772691533901e-07,6.5016592998290434e-06,2.7357600629329681e-09,1,0.99895459413528442,-0.00030746788252145052,6.6490838435129263e-06,-8.3578033809317276e-06,2.7870187759399414,0,0,0,1,0,0,0,0,0,1,0,1.0029382705688477,2.7983222007751465,350.00283813476562,6.3665211200714111e-06,1.300126314163208e-05,6.6348975451546721e-06,6.8655834197998047,-0.00031194929033517838,-0.0015769704477861524,0.025708174332976341,2.0844363461947069e-06,2.9021239242865704e-05,-1.4173565432429314e-07,0,0.99961090087890625,-0.0012650208082050085,2.693679925869219e-05,-1.049400816555135e-05,0,0,0,0,1,0,0,0,0,0,0,0,0.99998646974563599,0,349.59823608398438,-3.6001205444335938e-05,-2.2411346435546875e-05,1.357297514914535e-05,0.55797100067138672,0,-0.0004504586395341903,-0.31133460998535156,-0.0017649393994361162,0,-0.94346040487289429,0,0.0019909036345779896,0.0013819553423672915,264.97083333262708,-0.00093876657774671912,-0.00070994370616972446,267.93466186523438,264.98318481445312,8.2054119110107422,0.52175146341323853,0.58821964263916016,0.01571366935968399
480,59.841315729825304,1,0.35371524095535278,81.25,7.9999852180480957,-2.1866294446226675e-06,1,3835.263916015625,1,5.7961077690124512,8.4966020584106445,56.849249943334037,0.00059463386423885822,0.00039742037188261747,-2.8847362045780756e-05,1.3223112821578979,-0.16534069180488586,-0.12503916025161743,-0.0057395496405661106,-0.0043405434116721153,5.4000024795532227,-0.00010399892926216125,-0.00091562035959213972,0.059351932257413864,6.8219924287404865e-07,6.7966684582643211e-05,4.9476511776447296e-09,1,0.99705368280410767,-0.00081162102287635207,6.7284490796737373e-05,-7.4090094130951911e-05,2.6284606456756592,0,0,0,1,0,0,0,0,0,1,0,1.124974250793457,2.9670226573944092,350.00140380859375,4.5299530029296875e-06,9.4473361968994141e-06,4.8514666559640318e-06,6.6569504737854004,-0.00030145188793540001,-0.0051086298190057278,0.035084761679172516,1.4120429113972932e-05,0.00012898581917397678,-1.5454133972525597e-07,0,0.99866491556167603,-0.0048071769997477531,0.00011486538278404623,-4.2078732803929597e-05,0,0,0,0,1,0,0,0,0,0,0,0,0.99999904632568359,0,349.59735107421875,-4.3541193008422852e-05,-4.2498111724853516e-05,9.6781081992958207e-07,0.52723807096481323,0,-0.0005031774053350091,-0.2779824435710907,-0.0021945186890661716,0,-1.0297160148620605,0,0.0024615633301436901,0.0016445997171103954,264.96666666585952,-0.0010245930170640349,-0.00077485007932409644,267.9342041015625,264.98382568359375,8.4960613250732422,1.0431463718414307,1.1422550678253174,0.061001148074865341
540,72.415200761641302,1,0.3617437481880188,343.75,7.9999723434448242,1.0841225872582072e-07,1,3577.136474609375,1,14.776490211486816,8.4338245391845703,68.794440723559234,0.00068324781022965908,0.00043142694630660117,-3.3083204471040517e-05,1.3223112821578979,-0.1729191392660141,-0.13077037036418915,-0.0063511105254292488,-0.0048030372709035873,5.1483230590820312,-0.00014761229977011681,-0.002606566995382309,0.072771690785884857,3.1336167012341321e-06,0.00031836409470997751,4.6566128730773926e-09,1,0.99018925428390503,-0.0024589544627815485,0.00031523048528470099,-0.00034163874806836247,2.4784755706787109,0,0,0,1,0,0,0,0,0,1,0,1.0768132209777832,2.6954188346862793,349.99996948242188,7.152557373046875e-07,-2.86102294921875e-06,-3.6081687539990526e-06,6.4609708786010742,-0.00044324062764644623,-0.016482487320899963,0.04651324450969696,3.3804568374762312e-05,0.00042337010381743312,-1.6076955944299698e-07,0,0.99598771333694458,-0.016039244830608368,0.00038956556818448007,-0.00013491103891283274,0,0,0,0,1,0,0,0,0,0,0,0,1.0000567436218262,0,349.59649658203125,-4.9382448196411133e-05,-0.00010621547698974609,-5.6850789405871183e-05,0.5006030797958374,0,-0.00056237378157675266,-0.25060570240020752,-0.0026288756635040045,0,-1.1809158325195312,0,0.0028288294561207294,0.0017854520119726658,264.96249999909196,-0.0011750406119972467,-0.00088862632401287556,267.93380737304688,264.98330688476562,8.429473876953125,1.4862686395645142,1.3144867420196533,0.12719565629959106
