time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s,source_times_s
28800,6.25,buoyancy_mean,0.002917592239100486,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,18.75,buoyancy_mean,0.011763525661081076,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,31.25,buoyancy_mean,0.012898632325232029,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,43.75,buoyancy_mean,0.014680385589599609,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,56.25,buoyancy_mean,0.016507380176335573,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,68.75,buoyancy_mean,0.018460377119481564,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,81.25,buoyancy_mean,0.020415996201336384,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,93.75,buoyancy_mean,0.022455970756709576,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,106.25,buoyancy_mean,0.02466307021677494,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,118.75,buoyancy_mean,0.0272297328338027,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,131.25,buoyancy_mean,0.030183343216776848,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,143.75,buoyancy_mean,0.033628266304731369,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,156.25,buoyancy_mean,0.037898695096373558,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,168.75,buoyancy_mean,0.043406371027231216,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,181.25,buoyancy_mean,0.050744988024234772,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,193.75,buoyancy_mean,0.060455814003944397,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,206.25,buoyancy_mean,0.072170324623584747,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,218.75,buoyancy_mean,0.084781497716903687,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,231.25,buoyancy_mean,0.096042860299348831,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,243.75,buoyancy_mean,0.10460822284221649,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,256.25,buoyancy_mean,0.11037138104438782,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,268.75,buoyancy_mean,0.11443998664617538,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,281.25,buoyancy_mean,0.1182655543088913,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,293.75,buoyancy_mean,0.12254109606146812,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,306.25,buoyancy_mean,0.12722078710794449,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,318.75,buoyancy_mean,0.13206570595502853,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,331.25,buoyancy_mean,0.13693781942129135,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,343.75,buoyancy_mean,0.14184057712554932,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,356.25,buoyancy_mean,0.14664890617132187,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,368.75,buoyancy_mean,0.15080849826335907,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,381.25,buoyancy_mean,0.15353910624980927,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,393.75,buoyancy_mean,0.15538226068019867,Center,m s^-2,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,0,density_at_w_faces,1.3223112821578979,Face,kg m^-3,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,12.5,density_at_w_faces,1.3207802772521973,Face,kg m^-3,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,25,density_at_w_faces,1.3192499876022339,Face,kg m^-3,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
28800,37.5,density_at_w_faces,1.3177206516265869,Face,kg m^-3,equal_mean_of_two_preceding_1800s_averages,25200,28800,27000.0;28800.0
