time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_momentum_deficit_zero_fraction,surface_layer_face1_momentum_valid_zero_deficit_fraction,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_viscosity_zero_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_deficit_zero_fraction,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_diffusivity_zero_fraction,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_resolved_flux,surface_layer_face1_ρθ_valid_zero_deficit_fraction,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_resolved_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.5,1,0.77147060632705688,6.25,8,0,1,173309.359375,1,5.0487097934144756e-27,8,11.875,0.00018174079013988376,8.6545405793003738e-06,-6.6233260440640152e-06,1.3223112821578979,-0.78699588775634766,-0.59516686201095581,0,0,8,2.2182240400070441e-07,2.2182240400070441e-07,0,0,0,2.7727800500088051e-08,1,1,0,0,0,0,0,3.8573527336120605,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3.8573527336120605,0,350.00762939453125,9.7049414762295783e-06,9.7049414762295783e-06,0,0,8,6.7548819515650393e-07,6.7548819515650393e-07,0,0,0,8.4436024394562992e-08,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,349.600830078125,2.951890928670764e-05,2.951890928670764e-05,0,0.77147054672241211,0,-0.00017790481797419488,-0.59516680240631104,0,0.4462890625,-0.23642179369926453,0,0.00075175828533247113,0.00020818470511585474,265,-0.00023524556308984756,-0.00017790483252611011,267.9375,264.9500732421875,8,0,1.3249705261841882e-06,3.2311742677852644e-27
60,25.051107596803966,1,0.62932020425796509,306.25,8,3.5495872907631565e-10,1,68590.484375,1,0.005663928110152483,8.009861946105957,23.798552216963767,0.00014511536573991179,2.191893509007059e-05,-9.0842931967927143e-06,1.3223112821578979,-0.52369320392608643,-0.3960438072681427,-0.00043568364344537258,-0.00032948644366115332,7.885439395904541,8.3789927884936333e-08,-3.3922769944183528e-06,0.00032080750679597259,4.7642965128602555e-09,3.7464133129105903e-08,2.3389475245494395e-08,1,0.9999815821647644,0,0,-3.4760532798827626e-06,3.2699851715278783e-08,-3.2844756248096019e-08,3.7825708389282227,0,0,0,0,1,0,0,0,0,0,1,0,1.0062587261199951,0.00390625,3.80631422996521,0.00390625,350.00750732421875,1.0331161320209503e-05,1.9055558368563652e-05,8.7249200078076683e-06,0.00390625,7.9677538871765137,1.7879938241094351e-07,-4.2013853089883924e-06,0.00012088649964425713,1.1408035405224837e-08,1.5007384490672848e-07,3.6912751966156065e-08,0,0.99999254941940308,-4.3801337596960366e-06,1.3866579706700577e-07,-7.9328216884277936e-08,0,0,0,0,1,0,0,0,0,0,0,0,0.99995851516723633,0,349.6009521484375,1.5806406736373901e-05,2.9643066227436066e-05,1.3837843653163873e-05,0.75652801990509033,0,-0.00017991756612900645,-0.5723346471786499,-2.5329893105663359e-05,0.3056640625,-0.32426682114601135,0,0.00060024682898074389,0.00012970679381396621,264.99583333323244,-0.0003226535627618432,-0.00024400727124884725,267.9375,264.95855712890625,8.0098152160644531,0.020727662369608879,0.046464309096336365,0.00025616789935156703
120,25.1542782461635,1,0.55460792779922485,331.25,7.9999980926513672,1.1957158596587192e-09,1,30727.630859375,1,0.036503475159406662,8.0195446014404297,23.896564333855324,0.00017375392781104892,4.9200440116692334e-05,-1.3879350262868684e-05,1.3223112821578979,-0.40672796964645386,-0.30758866667747498,-0.0011729367543011904,-0.00088703527580946684,7.6183786392211914,-2.1864398149773479e-06,-3.3046133466996253e-05,0.0021350542083382607,3.136380755108803e-08,7.4346780820633285e-07,1.807347871363163e-08,1,0.99982333183288574,0,0,-3.0859584512654692e-05,7.1210411078936886e-07,-7.1914865884536994e-07,3.6441066265106201,0,0,0,0,1,0,0,0,0,0,1,0,1.0941252708435059,0.0068359375,3.9879055023193359,0.0068359375,350.00726318359375,1.1077150702476501e-05,2.5547109544277191e-05,1.4470879250438884e-05,0.0068359375,7.8567914962768555,-3.6920537240803242e-06,-5.939690163359046e-05,0.00099865416996181011,1.0497510771756424e-07,2.4855066840245854e-06,-5.347828846424818e-09,0,0.99991166591644287,-5.5705284466966987e-05,2.3805314413039014e-06,-1.2692767086264212e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99992436170578003,0,349.6009521484375,5.6605786085128784e-06,3.0875205993652344e-05,2.5219746021321043e-05,0.72894918918609619,0,-0.0002041516563622281,-0.53136706352233887,-0.00013157200010027736,0.1171875,-0.4954279363155365,0,0.00071871181717142463,0.00021416723029688001,264.99166666646488,-0.00049296312499791384,-0.00037280414835549891,267.93698120117188,264.96774291992188,8.0195436477661133,0.051763277500867844,0.08565230667591095,0.00062398368027061224
180,25.209662785202823,1,0.49734672904014587,343.75,7.9999942779541016,4.9909694155303441e-09,1,17390.017578125,1,0.12081324309110641,8.0239715576171875,23.949179645942682,0.0002149605134036392,8.7038359197322279e-05,-1.7685519196675159e-05,1.3223112821578979,-0.32707244157791138,-0.24734905362129211,-0.0020216410048305988,-0.0015288692666217685,7.2694377899169922,-1.1908297892659903e-05,-7.8690820373594761e-05,0.0061463741585612297,7.5951021472064895e-08,1.1262627594987862e-06,1.6611011233180761e-08,1,0.9995720386505127,0,0,-6.6782537032850087e-05,1.0503114253879176e-06,-1.0907974683505017e-06,3.4797463417053223,0,0,0,0,1,0,0,0,0,0,1,0,1.0520029067993164,0.0087890625,3.6625103950500488,0.0087890625,350.00677490234375,1.2345612049102783e-05,2.627447247505188e-05,1.3938555639469996e-05,0.0087890625,7.6926846504211426,-2.4249544367194176e-05,-0.00017609260976314545,0.0030884253792464733,3.4108865065718419e-07,3.3916751362994546e-06,-4.5634806156158447e-08,0,0.99978208541870117,-0.00015184369112830609,3.0505862014251761e-06,-1.5107541457837215e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99992996454238892,0,349.6007080078125,-3.5315752029418945e-06,1.9822269678115845e-05,2.334472446818836e-05,0.69624209403991699,0,-0.00024486705660820007,-0.48475319147109985,-0.000329025206156075,0.0146484375,-0.63129037618637085,0,0.00088922400027513504,0.00036109861684963107,264.98749999969732,-0.0006281496025621891,-0.00047503912355750799,267.9365234375,264.97232055664062,8.0239391326904297,0.08958771824836731,0.079255059361457825,0.00099200475960969925
240,25.278698829488537,1,0.45143875479698181,168.75,7.9999918937683105,2.0873606842997106e-08,1,11242.2109375,1,0.27196413278579712,8.046844482421875,24.014763888014109,0.00025485610240139067,0.00013467797543853521,-2.0459017832763493e-05,1.3223112821578979,-0.26946759223937988,-0.20378530025482178,-0.0028819593135267496,-0.0021794862113893032,6.8814806938171387,-3.3924938179552555e-05,-0.00013268447946757078,0.012613458558917046,1.4193790320859989e-07,2.4815888082230231e-06,1.2078089639544487e-08,1,0.9992750883102417,0,0,-9.87594248726964e-05,2.33965056395391e-06,-2.4598884920123965e-06,3.3043689727783203,0,0,0,0,1,0,0,0,0,0,1,0,1.1268701553344727,0.0146484375,3.7265701293945312,0.0146484375,350.006103515625,1.1758878827095032e-05,2.3799017071723938e-05,1.2047803465975448e-05,0.0146484375,7.4987621307373047,-8.0354628153145313e-05,-0.00033858383540064096,0.0065757483243942261,7.8661923907930031e-07,4.4841090129921213e-06,-7.705239113420248e-08,0,0.99966967105865479,-0.00025822914903983474,3.6974895465391455e-06,-1.7137538179667899e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.9999392032623291,0,349.60028076171875,-1.0922551155090332e-05,9.320676326751709e-06,2.0274284906918183e-05,0.66133755445480347,0,-0.0002939592523034662,-0.4373677670955658,-0.00060880999080836773,0,-0.73029130697250366,0,0.0010543592507019639,0.00055706396233290434,264.98333333292976,-0.00072665803600102663,-0.00054953631479293108,267.93606567382812,264.97640991210938,8.0467720031738281,0.13059592247009277,0.1192045658826828,0.0014382761437445879
300,25.421399758405638,1,0.41411381959915161,168.75,7.9999904632568359,2.7566247950971956e-08,1,7833.1318359375,1,0.50372427701950073,8.0547237396240234,24.150329770485357,0.00031453260453417897,0.00019339020946063101,-2.2665419237455353e-05,1.3223112821578979,-0.22673320770263672,-0.17146734893321991,-0.0037067052908241749,-0.002803201787173748,6.481907844543457,-6.7933404352515936e-05,-0.00020128337200731039,0.021513190120458603,1.8863238437916152e-07,2.8786048460460734e-06,9.6915755420923233e-09,1,0.99887263774871826,0,0,-0.00013335024414118379,2.6899706426775083e-06,-2.9656894184881821e-06,3.1263482570648193,0,0,0,0,1,0,0,0,0,0,1,0,1.1084967851638794,0.015625,3.470470666885376,0.015625,350.00518798828125,1.117214560508728e-05,2.1189451217651367e-05,1.0011872291215695e-05,0.015625,7.2906346321105957,-0.00017776829190552235,-0.00055719050578773022,0.011519091203808784,1.1338543117744848e-06,5.5182167670864146e-06,-1.0116491466760635e-07,0,0.99956989288330078,-0.00037942262133583426,4.3843606363225263e-06,-1.9413641894061584e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99994862079620361,0,349.5997314453125,-1.7203390598297119e-05,-5.2154064178466797e-08,1.7116108210757375e-05,0.62594211101531982,0,-0.00034612856688909233,-0.39180484414100647,-0.00095340871484950185,0,-0.80904954671859741,0,0.0013013851130381227,0.00079999252920970321,264.9791666661622,-0.00080502440687268972,-0.00060880096862092614,267.93560791015625,264.97955322265625,8.0546417236328125,0.17967355251312256,0.1812138706445694,0.002052876865491271
360,25.652255603666593,1,0.38460853695869446,168.75,7.9999880790710449,2.6264427077649088e-08,1,5794.96435546875,1,0.92528891563415527,8.1119318008422852,24.369642823483261,0.00036965240724384785,0.00026148761389777064,-2.4544036932638846e-05,1.3223112821578979,-0.19554992020130157,-0.14788493514060974,-0.004479158204048872,-0.0033873703796416521,6.0903024673461914,-0.00010088371345773339,-0.00029612204525619745,0.032678097486495972,1.5430214261868969e-07,6.3874958868836984e-06,6.0244929045438766e-09,1,0.99815315008163452,0,0,-0.00019523853552527726,6.233196472749114e-06,-6.909907369845314e-06,2.9506914615631104,0,0,0,0,1,0,0,0,0,0,1,0,1.0396631956100464,0.015625,3.074223518371582,0.015625,350.00408935546875,8.8624656200408936e-06,1.7162412405014038e-05,8.2817941802204587e-06,0.015625,7.078007698059082,-0.00028012297116219997,-0.00089347129687666893,0.017908427864313126,1.268632331630215e-06,-1.1690299288602546e-06,-1.1979136615991592e-07,0,0.99937659502029419,-0.00061334972269833088,-2.4376624878641451e-06,2.1541438854910666e-07,0,0,0,0,1,0,0,0,0,0,0,0,0.99995547533035278,0,349.59902954101562,-2.4557113647460938e-05,-9.7006559371948242e-06,1.4842351447441615e-05,0.59117960929870605,0,-0.00039860996184870601,-0.34949594736099243,-0.0013453485444188118,0,-0.87610739469528198,0,0.0015295969787985086,0.0010818187147378922,264.97499999939464,-0.0008717486634850502,-0.00065926130628213286,267.93508911132812,264.98190307617188,8.1117992401123047,0.29236000776290894,0.25346964597702026,0.0051922551356256008
420,45.346383392664343,1,0.36316078901290894,168.75,7.9999856948852539,-5.2791713223143688e-09,1,4530.8671875,1,1.7985548973083496,8.2084760665893555,43.079064223031125,0.00048238670569844544,0.00033439393155276775,-2.6427464035805315e-05,1.3223112821578979,-0.1743176281452179,-0.13182798027992249,-0.0051622558385133743,-0.0039039640687406063,5.7232151031494141,-0.00010934489546343684,-0.00040388817433267832,0.045562960207462311,-1.5322166291298345e-07,4.2320843931520358e-06,1.7607817426323891e-09,1,0.99698126316070557,0,0,-0.00029454374453052878,4.3853060560650192e-06,-6.0126840253360569e-06,2.7815887928009033,0,0,0,0,1,0,0,0,0,0,1,0,1.0381817817687988,0.0234375,2.8969342708587646,0.0234375,350.0028076171875,6.0126185417175293e-06,1.265108585357666e-05,6.6170259742648341e-06,0.0234375,6.8657770156860352,-0.00031118257902562618,-0.0015694075264036655,0.025702778249979019,2.0412244339240715e-06,2.6644356694305316e-05,-1.3978569768369198e-07,0,0.99884003400802612,-0.001258225878700614,2.4603128622402437e-05,-9.7416486823931336e-06,0,0,0,0,1,0,0,0,0,0,0,0,0.99995911121368408,0,349.59820556640625,-3.5256147384643555e-05,-2.1502375602722168e-05,1.3632452464662492e-05,0.55795180797576904,0,-0.00045062674325890839,-0.31131371855735779,-0.0017651820089668036,0,-0.94333690404891968,0,0.0019964824896305799,0.0013836226426064968,264.97083333262708,-0.00093864370137453079,-0.00070985080674290657,267.93463134765625,264.98312377929688,8.2076072692871094,0.53094816207885742,0.58514320850372314,0.016063667833805084
480,59.974761271797163,1,0.35357201099395752,81.25,7.9999837875366211,-4.0894856283557601e-06,1,3827.75390625,1,5.8694972991943359,8.4912548065185547,56.976023208207302,0.00058533361880108714,0.00039818207733333111,-2.8868858862551861e-05,1.3223112821578979,-0.1652064323425293,-0.12493762373924255,-0.0057456321083009243,-0.0043451432138681412,5.3994312286376953,-0.00010139122605323792,-0.00088431942276656628,0.059387423098087311,7.2043258114717901e-07,6.6982727730646729e-05,-1.1641532182693481e-10,1,0.99146938323974609,0,0,-0.00078292842954397202,6.6262306063435972e-05,-7.2826689574867487e-05,2.6136283874511719,0,0,0,0,1,0,0,0,0,0,1,0,1.2442852258682251,0.0341796875,3.2804536819458008,0.0341796875,350.00140380859375,2.6971101760864258e-06,7.7337026596069336e-06,4.9744180614652578e-06,0.0341796875,6.6574373245239258,-0.00029707793146371841,-0.0051360134966671467,0.035087194293737411,1.4645331248175353e-05,0.00012771516048815101,-1.5157274901866913e-07,0,0.99596905708312988,-0.0048389360308647156,0.00011306982923997566,-4.1672250517876819e-05,0,0,0,0,1,0,0,0,0,0,0,0,0.99999773502349854,0,349.59735107421875,-4.2527914047241211e-05,-4.1663646697998047e-05,7.5445041147759184e-07,0.52720052003860474,0,-0.00050335691776126623,-0.27794325351715088,-0.0021955468691885471,0,-1.0304833650588989,0,0.002423006808385253,0.0016477538738399744,264.96666666585952,-0.0010253565851598978,-0.00077542755752801895,267.9342041015625,264.98355102539062,8.4907102584838867,1.0454564094543457,1.1443852186203003,0.062660157680511475
540,72.398351759509922,1,0.36170458793640137,343.75,7.9999723434448242,1.0642455094966863e-07,1,3570.286376953125,1,14.976777076721191,8.4359149932861328,68.778434171534428,0.00070214539300650358,0.00043223821558058262,-3.3135915145976469e-05,1.3223112821578979,-0.17288205027580261,-0.13074232637882233,-0.0063399681821465492,-0.0047946111299097538,5.1482992172241211,-0.00014344742521643639,-0.0025808017235249281,0.072769209742546082,4.0652194002177566e-06,0.00031327723991125822,-4.6566128730773926e-10,1,0.97082000970840454,0,0,-0.0024373535998165607,0.00030921192956157029,-0.00033550051739439368,2.4298319816589355,0,0,0,0,1,0,0,0,0,0,1,0,1.1020187139511108,0.0390625,2.7577447891235352,0.0390625,350,-9.8347663879394531e-07,-4.6491622924804688e-06,-3.6463197830016725e-06,0.0390625,6.4620857238769531,-0.00042597483843564987,-0.016726549714803696,0.046522848308086395,3.7588411942124367e-05,0.0004582019173540175,-1.5925616025924683e-07,0,0.98776978254318237,-0.01630057767033577,0.00042061353451572359,-0.00014320842456072569,0,0,0,0,1,0,0,0,0,0,0,0,1.0001747608184814,0,349.59649658203125,-4.8816204071044922e-05,-0.00010696053504943848,-5.8261332014808431e-05,0.50056260824203491,0,-0.00056271126959472895,-0.25056558847427368,-0.0026300454046577215,0,-1.1827973127365112,0,0.0029071557801216841,0.0017888114089146256,264.96249999909196,-0.0011769128032028675,-0.00089004216715693474,267.93380737304688,264.98309326171875,8.4342250823974609,1.4552357196807861,1.3063578605651855,0.13008686900138855
